identifier,question_id,label,position
S87.V88:1.0,S87.V88,"306 Inf. Regt.; 307 Inf. Regt.; 262 Inf. Regt.; Rtc; 306 Hdqts. and Air Base Sqdn. - 330 Combat Crew Tr. Sch.; 487 Bomb Group; 75th Inf. Div.-Artillery; 995, 246, 828, 989, 990, Sig. Corps; 834 and 835 Bomb Group",1
S106EE.Q21:6.0,S106EE.Q21,"Semi-professional managers, officials (including those people who would be coded as professional if they had academic training)",6
S106EH.Q14A.x:1.0,S106EH.Q14A.x,"Air Corps flying personnel (includes aerial gunnery, aerial photographer, airplane armorer-gunner, airplane mechanic-gunner, etc.)",1
S106EH.Q41:1.0,S106EH.Q41,"Veterans should get first chance at any government jobs they can do, even if some non-veterans could do the same work much better",1
S106EH.Q41:3.0,S106EH.Q41,Veterans should be given government jobs only if they can do the work better than non-veterans who are trying for the same jobs,3
S106EU.V75.2:1.0,S106EU.V75.2,"Camp Cooke, California 22nd Tank Bn - AGF Divisional 41st Tank Bn - AGF Divisional 42nd Tank Bn - AGF Divisional 21st Armored Inf Bn - AGF Divisional 55th Armored Inf Bn - AGF Divisional 63rd Armored Inf Bn - AGF Divisional 490th Div Artillery - AGF Divisional 491st Div Artillery - AGF Divisional 492nd Div Artillery - AGF Divisional 56th Engineer Bn - AGF Divisional 81st Med Bn - AGF Divisional 41st Cav Recon - AGF Divisional",1
S106EU.V75.2:2.0,S106EU.V75.2,"Camp Cooke, California 798th AAA Auto Wpns Bn - AGF Non-divisional 834th AAA Auto Wpns Bn - AGF Non-divisional 441st Hv Ord Maint Co - AGF Non-Divisional 3548th Hv Ord Maint Co - AGF Non-Divisional 3435th Med Ord Maint Co - AGF Non-Divisional 3436th Med Ord Maint Co - AGF Non-Divisional",2
S106EU.V75.2:26.0,S106EU.V75.2,"Pomona Ordnance Depot, California 824th Obd Co - ASF other than Station Complement 3020th Obam Co - ASF other Station Complement",26
S106EU.V75.2:27.0,S106EU.V75.2,"Ft. Sam Houston, Texas 263rd QM Bakery Co - AGF Non-Divisional 34th Med Co - AGF Non-Divisional 304th Sig Opr Bn - AGF Non-Divisional 508th MP Bn - AGF Non-Divisional",27
S106EU.V75.2:32.0,S106EU.V75.2,"Camp Shelby, Mississippi 69th Inf Div - 271st Inf Regt - 1st Bn - AGF Divisional 69th Inf Div - 271st Inf Regt - 2nd Bn - AGF Divisional 69th Inf Div - 271st Inf Regt - 3rd Bn - AGF Divisional 69th Inf Div - 271st Inf Regt - Spec Troops - AGF Div. 69th Inf Div - 272nd Inf Regt - 1st Bn - AGF Divisional 69th Inf Div - 272nd Inf Regt - 2nd Bn - AGF Divisional 69th Inf Div - 272nd Inf Regt - 3rd Bn - AGF Divisional 69th Inf Div - 272nd Inf Regt - Spec Troops - AGF Div. 69th Inf Div - 273rd Inf Regt - 1st Bn - AGF Divisional 69th Inf Div - 273rd Inf Regt - 2nd Bn - AGF Divisional 69th Inf Div - 273rd Inf Regt - 3rd Bn - AGF Divisional 69th Inf Div - 273rd Inf Regt - Regt Hdqs - AGF Div. 879th FA Bn - Battery A - AGF Divisional 881st FA Bn - Battery B - AGF Divisional 269th Eng Combat Bn - AGF Divisional 369th Med Bn - AGF Divisional 69th QM Co - AGF Divisional 769th Ord Co - AGF Divisional",32
S106EU.V75.2:33.0,S106EU.V75.2,"Camp Shelby, Mississippi 3313th QM Truck CO - ASF other than Station Complement 3314th QM Truck CO - ASF other than Station Complement",33
S106EU.V75.2:35.0,S106EU.V75.2,"Camp Silbert, Alabama Medics - Sta Hosp - ASF other than Station Complement UTC - 199th Cml Co - ASF other than Station Complement",35
S106EU.V75.2:39.0,S106EU.V75.2,"Camp Swift, Texas 1284th Eng Bn - AGF Non-Divisional 837th QM Gas Supply CO - AGF - Non-Divisional 947th QM Rd Co - AGF - Non-Divisional 91st Cml Bn - Company A - AGF Non-Divisional 91st Cml Bn - Company B - AGF Non-Divisional 91st Cml Bn - Company C - AGF Non-Divisional 91st Cml Bn - Company D - AGF Non-Divisional 39th Sig Bn - Company A - AGF Non-Divisional 39th Sig Bn - Hqs and Co B - AGF Non-Divisional",39
S106EU.V75.2:40.0,S106EU.V75.2,"Camp Van Dorn, Mississippi 63rd Inf Div - 253rd Inf Regt - AGF Divisional 63rd Inf Div - 254th Inf Regt - AGF divisional 63rd Inf Div - 255th Inf Regt - AGF Divisional 63rd Div Artillery - AGF Divisional 363rd Med Bn - AGF Divisional 263rd Eng Bn - AGF Divisional 563rd Signal Co - AGF Divisional",40
S106EU.V75.2:41.0,S106EU.V75.2,"Camp Van Dorn, Mississippi 144th Inf Regt - 1st Bn - AGF Non-Divisional 144th Inf Regt - 2nd Bn - AGF Non-Divisional 144th Inf Regt - 3rd Bn - AGF Non-Divisional 154th FA Bn - AGF Non-Divisional 569, 583, 580, 626 FA Bn - AGF Non-Divisional",41
S106EU.V75.2:5.0,S106EU.V75.2,"Camp Crowder, Missouri Signal Center Teams - ASF other than Station Complement 800th Sig Tr Regt - ASF other than Station Complement 804th Sig Tr Regt - ASF other than Station Complement 249th Sig Opr Co - ASF other than Station Complement 299th Sig Instl Co - ASF other than Station Complement MP - Escort Gd Co - ASF other than Station Complement",5
S106EU.V75.2:8.0,S106EU.V75.2,"Camp Haan, California 143rd AAA Gun Bn - AGF Non-Divisional 780th AAA Auto Wpns Bn - AGF Non-Divisional 783rd AAA Auto Wpns Bn - AGF Non-Divisional 862nd AAA Auto Wpns Bn - AGF Non-Divisional 248th AAA Sl Bn - AGF Non-Divisional 419th C AAA - AGF Non-Divisional",8
S106OU.V52:2.0,S106OU.V52,"Camp Cooke, California 798th AAA Auto Wpns Bn - AGF Non-divisional 834th AAA Auto Wpns Bn - AGF Non-divisional 441st, 3548th Hv Ord Maint Co - AGF Non-Divisional 3435th, 3436th Med Ord Maint Co - AGF Non-Divisional",2
S106OU.V52:5.0,S106OU.V52,"Camp Crowder, Missouri Signal Center Teams - ASF other than Station Complement 800th Sig Tr Regt - ASF other than Station Complement 804th Sig Tr Regt - ASF other than Station Complement 249th Sig Opn Co - ASF other than Station Complement 299th Sig Instl Co - ASF other than Station Complement MP Escort Guard - ASF other than Station Complement",5
S106OU.V52:7.0,S106OU.V52,"Camp Ellis, Illinois Engineer - ASF other than Station Complement Medical - ASF other than Station Complement Quartermaster - ASF other than Station Complement",7
S115A.Q83B.4:1.0,S115A.Q83B.4,"They help continentals to get into combat, to serve elsewhere, help continentals to go elsewhere where they can do good",1
S126.V32G:nan,S126.V32G,"Sports are classified as ""blood sports"" (B) or ""other sports"" (X). ""Blood sports"" include: football, boxing, basketball, wrestling, hockey, lacrosse, soccer and any other vigorous sport involving body contact. ""Other sports"" include: golf, tennis, hunting and fishing, track, swimming, volley ball and baseball. count only the sports which have been checked ""a lot"" in questions 32a-32f.",
S127.V84:nan,S127.V84,"The three-way organization of major commands in the United States (Army Ground Forces, Army Service Forces and Army Air Forces) is not used in the China-Burma-India theater",
S131.V108:nan,S131.V108,"The three-way organization of major commands in the United States (Army Ground Forces, Army Service Forces and Army Air Forces) is not used in the China-Burma-India theater.",
S133A.V116:3.0,S133A.V116,"Mainland - Fairbanks (a fairly large Northern post, principally an Air Base. The only troops there who were under Alaskan Department jurisdiction were infantry and a few service troops.)",3
S133A.V116:5.0,S133A.V116,"Mainland - Whittier (a small post, principally port activities. no civilian community adjacent, but one could be visited on a three-day pass.)",5
S133B.Q35.5:1.0,S133B.Q35.5,"Unit combat training - training under live ammunition, exposure to fire, maneuvers, etc., combat training in general",1
S136.Q21:2.0,S136.Q21,They should pay by sending German laborers to work in allied countries which need additional man-power to repair war damage,2
S157O.Q24B.1:3.0,S157O.Q24B.1,Want to get away from all this garrison soldiering; want to get away from my present outfit; too G.I. here in the States; everything is snafued here in the States; would get better treatment over there,3
S157O.Q26:29.0,S157O.Q26,"I. Questions 27a, 27b and 28 are to be answered only by officers who have not served overseas in this war. ",29
S177.Q106A:nan,S177.Q106A,"The survey documentation did not specify codes or locations for Q.106a-h. the following columns have been transferred as is from the original data, because their Location and format indicated that they are the responses to Q.106.",
S198E.Qiii7:nan,S198E.Qiii7,"The following question not coded. Q. If you have any further remarks to make on any subject, please write them below as fully as you like. E. The following questions (36-40) were added to some s-198 ex schedules. P. The questions on this page are for Overseas Returnees only. split. part of Form X (Overseas Returnees only).",
S218C.Q28:0.0,S218C.Q28,No answer P. The next questions ask for your own personal opinion. There are no right or wrong answers to these questions. Some people believe one way and some another way. So your answers should show what your own opinion is.,0
S218C.Q41:5.0,S218C.Q41,"My official point score does not show the right number of points - comments, but not about Campaign Stars or decorations",5
S218C.Q44B:0.0,S218C.Q44B,No code or no data P. The Army has announced that men with point scores as high or higher than the critical score will be released from the Army as rapidly as possible. but not all of these men with enough points for discharge can be released right away.,0
S218I.Q28:0.0,S218I.Q28,No answer P. The next questions ask for your own personal opinion. There are no right or wrong answers to these questions. Some people believe one way and some another way. So your answers should show what your own opinion is.,0
S218I.Q41:5.0,S218I.Q41,"My official point score does not show the right number of points - comments, but not about Campaign Stars or decorations",5
S218U.Q28:0.0,S218U.Q28,No answer P. The next questions ask for your own personal opinion. There are no right or wrong answers to these questions. Some people believe one way and some another way. So your answers should show what your own opinion is.,0
S218U.Q41:5.0,S218U.Q41,"My official point score does not show the right number of points - comments, but not about Campaign Stars or decorations",5
S218U.V86:37.0,S218U.V86,"Godman Field, Kentucky - 387 Air Service Gp; Headquarter and Base SU Squadron 602; Engineer Squadron - 590 Air; Material Squadron - AAF 10",37
S233.V78:28.0,S233.V78,"Negro - 5th Army, Combat - Regiment Headquarter Company: Headquarter Company, 1st Battalion, Headquarter Company 2nd Battalion, 371 Infantry Regiment",28
S234AE.Viii9F:nan,S234AE.Viii9F,Codes not provided by survey organization. Data transferred as is. P. Here are some more questions about your Army record:,
S234BE.Qii88:0.0,S234BE.Qii88,No answer,0
S234BE.Viii9F:nan,S234BE.Viii9F,Codes not provided by survey organization. Data transferred as is. P. Here are some more questions about your Army record:,
S234BO.Qi27:3.0,S234BO.Qi27,No opinion,3
S234BO.Qii88:0.0,S234BO.Qii88,No answer P. Here are some questions about several different topics:,0
S234BO.Viii9F:nan,S234BO.Viii9F,Codes not provided by survey organization. Data transferred as is. P. Here are some more questions about your Army record:,
S32N.Q3:nan,S32N.Q3,"Questions 4-5: codes for branches of service which were not printed on original questionnaire not provided by survey organization (with the exception of ""Air Corps"" which was on the questionnaire without a code number).",
S32N.Q50A:31.0,S32N.Q50A,"Try to do both at the same time: this is the best or only way to improve things, the opportune moment, the proper method, etc. (if we wait until after, things will be as before)",31
S32N.Q54A:11.0,S32N.Q54A,"About the same: an historical answer (nothing changed after the last war, haven't seen any signs of change so far, etc.)",11
S32W.Q34:8.0,S32W.Q34,"World War III - any line up like World Wars I and II (same set up as last time, those defeated now fighting the winners)",8
S40E.Q18B.18:1.0,S40E.Q18B.18,"Officers, and/or NCO's time too much taken up with other duties - insufficient time for preparation or training men - time taken up with other things",1
S40O.Q60A.2:1.0,S40O.Q60A.2,"Not enough is available through present sources, publications - Army bulletins, pamphlets, newspapers, picture magazines",1
S44T.V65:1.0,S44T.V65,"Camp Beale, California A. 498 Armd. FA Bn. - Field Artillery - AGF B. 45th Armd. Regt. - Armored - AGF C. 83rd Med. Bn. - Medical - AGF D. 153 Armd. Sig. Co. - Signal - AGF E. 197 Ord. Dep. Co. - Ordnance - AGF F. 224 Sta. Hosp. - Medical - ASF G. MP (SCU) 1918 - Military Police - ASF",1
S44T.V65:12.0,S44T.V65,"Camp White, Oregon A. 361 Inf. Regt. - Infantry - AGF B. 362 Inf. Regt. - Infantry - AGF C. 316 Medical Bn. - Medical - AGF D. 91st QM Co. - Quartermaster - AGF E. 316 Engr. Bn. - Engineer - AGF F. 347 FA Bn. - Field Artillery - AGF G. 627 QM Refrig. Co. - Quartermaster - ASF H. MP, SCU - MP - ASF I. Cws, SCU, 1913 - Chemical Warfare - ASF J. Signal Corps, SCU 1991 - Signal - ASF",12
S44T.V65:13.0,S44T.V65,"Will Rogers Field, Oklahoma A. 416 Bomb Gp. - Air Corps - AAF B. Station Hosp. - Medical - AAF C. 1742 Ord. M. Maint. Co. - Ordnance - AAF D. 64 Sig. Svc. Co. - Signal - AAF E. 94 Sig. Svc. Co. - Signal - AAF",13
S44T.V65:2.0,S44T.V65,"Fort Benning, Georgia A. 3rd Armd. Regt. - Armored - AGF B. 80th Armd. Med. Bn. - Medical - AGF C. 55th Armd. Eng. Bn. - Engineers - AGF D. 801st FA Bn. - Field Artillery - AGF E. 455th Ca Bn. (AA) - Coast Artillery - AGF F. 99th QM Bakery Bn. - Quartermaster - AGF G. 863rd Ord. Hv. Maint. Co. - Ordnance - AGF H. 150th Armd. Sig. Co. - Signal - AGF I. Cws (SCU) - Chemical Warfare - ASF J. MP (SCU) - MP - ASF K. 250th Sta. Hosp. - Medical - ASF L. Post Sig. Det. (SCU) - Signal - ASF",2
S44T.V65:3.0,S44T.V65,"Ft. Bragg, North Carolina A. 551 FA Bn. - Field Artillery - AGF B. 58 QM Sales Co. - Quartermaster - AGF C. 503 Eng. L. Pontoon Co. - Engineer - AGFd D. 877 Ord. H. Maint. Co. - Ordnance - AGF E. 266 QM Bakery - Quartermaster - ASF F. Post Ord. Shop - Ordnance - ASF G. 325 MP Escort Gd. Co. - MP - ASF H. Sig. Corp. Det. - Signal - ASF",3
S44T.V65:4.0,S44T.V65,"Dale Mabry Field, Florida A. 306 Fighter Sq. - Air Corps - AAF B. 312 Fighter Sq. - Air Corps - AAF C. 441 Fighter Sq. - Air Corps - AAF D. Base Med. Det. - Medical - AAF E. 903 QM Ser. Co. - Quartermaster - AAF F. 1788 and 1814 Ord. Co. - Ordnance - AAF G. 853 Signal Ser. Co. - Signal - AAF",4
S44T.V65:5.0,S44T.V65,"Edgewood Arsnal, Maryland A. MP from MP Det. - MP - ASF B. 760 Chem. Depot Co. - Chemical Warfare - ASF C. 43rd Chem. Lab. - Chemical Warfare - ASF D. 106th Chem. Imp. Reg. Co. - Chemical Warfare - ASF E. 41st Chem. Lab Co. - Chemical Warfare - AGF",5
S44T.V65:6.0,S44T.V65,"George Field, Illinois A. 30th, 707, 708, 710, 711 2 Eng. Fly Tng. Sq. - Air Corps - AAF B. 907th QM Svc. Co. - Quartermaster - AAF C. Ord. Sec. 327 B Hqts. and Ab Sqdn. - Ordnance - AAF D. 856th Sig. Svc. Co. - Signal - AAF",6
S44T.V65:7.0,S44T.V65,"Camp Gordon - Johnson, Florida A. 110 Inf. Regt. - Infantry - AGF B. 103 Med. Bn. - Medical - AGF C. 728 Ord. L. Maint. Co. - Ordnance - AGF D. 263 Med. Bn. - Medical - ASF E. 363 QM. Bn. - Quartermaster - ASF F. Serv. Det. #1 QM. Sec. - Quartermaster - ASF G. 533rd Eng. Amphib Regt. - Engineer - ASF H. 3499 Ord. M. Maint. Co., 163rd Ord. Platoon - Ordnance - ASF I. 288 Sig. Co. Amph. - Signal - ASF K. 28th Sig. Co. - Signal - AGF",7
S44T.V65:8.0,S44T.V65,"Camp McCoy, Wisconsin A. 9th Inf. Regt. - Infantry - AGF B. 2nd Med. Bn. - Medical - AGF C. 2nd QM Co. - Quartermaster - AGF D. 2nd Eng. Bn. - Enginner - AGF E. 2nd Sig. Co. - Signal - AGF F. 405 Ca Bn. (AA) - Coast Artillery - AGF G. 84th and 215th Gen. HOSP. - Medical - ASF H. 456th Ca Bn. - Coast Artillery - AGF I. 301 Ord. Base Regt. - Ordnance - ASF",8
S44T.V65:9.0,S44T.V65,"Fort Meade, Maryland A. 603 Eng. Cam. Co. - Engineer - ASF B. 172 QM Bakery Co. - Quartermaster - ASF C. Sig. Pidgeon Co. - Signal - AGF",9
S68.N48:nan,S68.N48,"The camps are herein coded as per instructions in original documentation -- created by combinations of cells produced by produced by a bi-variate table of the first column of the original respondent identification number and Q.1, what branch of service are you in? (Card 1, Col. 10). further coding not provided.",
S68.V39:22.0,S68.V39,"Photography and photographic laboratory work, photography and drafting, photography and lithography, motion picture projection",22
S68.V39:37.0,S68.V39,"Machinists, airplane mechanics, general, airplane engine mechanics, airplane instrument and equipment repair, automotive engine mechanics, armament and ammunition mechanics, instrument repair (none electrical), instrument and armament mechanics",37
S68.V39:45.0,S68.V39,"Automotive repair, chassis, foundry and toll dressing, sheet metal work and welding, sheet metal work and automotive repair, business and office machine repair",45
S68.V40:22.0,S68.V40,"Photography and photographic laboratory work, photography and drafting, photography and lithography, motion picture projection",22
S68.V40:37.0,S68.V40,"Machinists, airplane mechanics, general, airplane engine mechanics, airplane instrument and equipment repair, automotive engine mechanics, armament and ammunition mechanics, instrument repair (none electrical), instrument and armament mechanics",37
S68.V40:45.0,S68.V40,"Automotive repair, chassis, foundry and toll dressing, sheet metal work and welding, sheet metal work and automotive repair, business and office machine repair",45
S68.V41:22.0,S68.V41,"Photography and photographic laboratory work, photography and drafting, photography and lithography, motion picture projection",22
S68.V41:37.0,S68.V41,"Machinists, airplane mechanics, general, airplane engine mechanics, airplane instrument and equipment repair, automotive engine mechanics, armament and ammunition mechanics, instrument repair (none electrical), instrument and armament mechanics",37
S68.V41:45.0,S68.V41,"Automotive repair, chassis, foundry and toll dressing, sheet metal work and welding, sheet metal work and automotive repair, business and office machine repair",45
S68.V42:22.0,S68.V42,"Photography and photographic laboratory work, photography and drafting, photography and lithography, motion picture projection",22
S68.V42:37.0,S68.V42,"Machinists, airplane mechanics, general, airplane engine mechanics, airplane instrument and equipment repair, automotive engine mechanics, armament and ammunition mechanics, instrument repair (none electrical), instrument and armament mechanics",37
S68.V42:45.0,S68.V42,"Automotive repair, chassis, foundry and toll dressing, sheet metal work and welding, sheet metal work and automotive repair, business and office machine repair",45
S68.V43:22.0,S68.V43,"Photography and photographic laboratory work, photography and drafting, photography and lithography, motion picture projection",22
S68.V43:37.0,S68.V43,"Machinists, airplane mechanics, general, airplane engine mechanics, airplane instrument and equipment repair, automotive engine mechanics, armament and ammunition mechanics, instrument repair (none electrical), instrument and armament mechanics",37
S68.V43:45.0,S68.V43,"Automotive repair, chassis, foundry and toll dressing, sheet metal work and welding, sheet metal work and automotive repair, business and office machine repair",45
S72.V57:7.0,S72.V57,"Blanding, Drew Field, McClellan, Ft. McPherson Ft. Benning, Air Base, Shelby, Harbor Defenses, Jackson, Smyrna Air Base, Forrest",7
S74.Q63:nan,S74.Q63,"The respondents were shown a series of inkblot pictures - (M. Harrower-Erickson items). They were asked to look at picture and see if it or any part of it reminded them of something or resembled something they had seen. If they saw two things, they were asked to designate first and second choices.",
S76.Qv7.2:nan,S76.Qv7.2,Data for the few remaining questions for each form irretrivable because of insufficient documentation concerning the same sample groups.,
S77A.V107:nan,S77A.V107,Original survey documentation specifies that this variable applies to Walter Reed Hospital patients only. It is not know what the codes are for the patients at the other hospitals.,
S77B.V107:nan,S77B.V107,Original survey documentation specifies that this variable applies to Walter Reed Hospital patients only. It is not know what the codes are for the patients at the other hospitals.,
S86.V105:1.0,S86.V105,"304 FA. Bn.; 307 Inf. Regt.; 262 Inf. Regt.; Rtc- 9th Regt.; 306 Hdqtrs. and Air Base Sqdn. and 330 Combat Crew Tr. Bn.; 487th Bomb Grp.; 75 Inf. Div.; 275 Eng.; 375 Med.-Div. Hdqts.; 990, 246, 828, 989, 995 Sig. Corps; 834 and 835 Bomb Sqd. of 486 Bomb Grp.",1
S86.V105:2.0,S86.V105,"306 Inf. Regt.; 307 Inf.-77 Div.; 263 Inf. Regt., 66 Div.; 330 Static Personnel; 75 Inf. Div. 290 Combat; 118, 221, 3110 , 996, 999, Sig. Corps; 39th Combat Crew Tng. School",2
S86.V105:3.0,S86.V105,306 FA. Bn.; 307 Inf.-77 Div.; 721 and 870 FA.; Utc-32 Bn.; 75 Inf. Div. 289 Combat; 832 and 833 Bomb Sqd. of 486 Bomb Grp.,3
S87.V88:2.0,S87.V88,"304 FA Bn; 307 Inf. Regt.; 263 Inf. Regt., 66 Div.; Utc-32 Bn; 306 Hdqts. and Air Base Sqdn. Static Personnel; 487 Bomb Group; 75 Inf. Div.-Sp. Trps.; 118, 221, 996, 3103, 3110 Sig. Corps.; 834 and 835 Bomb Group",2
S93.V50:nan,S93.V50,"Data for the following questions not provided by survey organization. P. ""Yank"" is the enlisted men's magazine. your answers to the following questions will help to keep it the kind of magazine you want.",
S133A.Q78:1.0,S133A.Q78,A correspondence course - the teacher sends you the lessons by mail and you send them back to him by mail to be corrected,1
S144.Q25.11:1.0,S144.Q25.11,"All other (teachers, government clerk, auto repair, personal service amusement, Regular Army, Finance, real estate, etc.)",1
S186B.Q48B.2:5.0,S186B.Q48B.2,Willing to go later - after ZI soldiers (U.S. Commandos) have gone over; plenty of ZI available who haven't been over yet,5
S207G.Q11:5.0,S207G.Q11,"Automatic (""up to T/O limits,"" ""mass promotion,"" ""up to whatever the job calls for""; length of time in grade, unit, etc.)",5
S32N.Q11:1.0,S32N.Q11,"Any general mention of ""North"" (any place outside the South, anywhere a Negro's treated like a man, anywhere North, etc.)",1
S32W.Q11:1.0,S32W.Q11,"Any general mention of ""North"" (any place outside the South, anywhere a Negro's treated like a man, anywhere North, etc.)",1
S40O.Q17:1.0,S40O.Q17,"Professional or semi-professional occupation (i.e. doctors, dentists, lawyers, teachers, engineers, social workers, etc.)",1
S77B.Q41:1.0,S77B.Q41,A correspondence course - the teacher sends you the lessons by mail and you send them back to him by mail to be corrected,1
S133A.Q35:2.0,S133A.Q35,"Checked #1 and one or more actual symptoms mentioned (examples: ""it gives me colds all the time"", my teeth are bad"", etc.)",2
S133B.Q35.3:1.0,S133B.Q35.3,"Defense against air attack - identification of planes, camouflage and concealment, cover, dispersing, handling bombs, etc.",1
S32N.Q34:8.0,S32N.Q34,"World War III - any line up like World Wars I and II - (same set up as last time, those defeated now fighting the winners)",8
S32W.Q7A.1:1.0,S32W.Q7A.1,"Criticisms of operation (too crowded, too infrequent, too small, wait too long, schedules irregular, prices too high, etc.)",1
S125.Q4:5.0,S125.Q4,"South Atlantic (Delaware, Maryland, North Carolina, South Carolina, Virginia, West Virginia, District of Columbia, Florida)",5
S133B.V109:8.0,S133B.V109,"Aleutians - Ft. Glenn, Subpost (a small post with principally port activities. reached by a two-hour boat trip from Umnak.)",8
S32N.Q54A:5.0,S32N.Q54A,"More: statement of the specific ways in which it will be better (we'll be allowed to vote, there'll be less discrimination)",5
S32N.Q7A.1:1.0,S32N.Q7A.1,"Criticisms of operation (too crowded, too infrequent, too small, wait too long, schedules irregular, prices too high, etc.)",1
S116.Q23A:1.0,S116.Q23A,A correspondence course - the instructor sends you the lessons by mail and you send them back to him by mail to be corrected,1
S133B.Q35.8:1.0,S133B.Q35.8,"Taking care of self under Alaskan conditions - exposure to severe weather, scouting for food, cooking own food, skiing, etc.",1
S144.Q13:1.0,S144.Q13,"Radio operator (anything pertaining to radio) - includes radar, also advanced telephone and teletype if connected with radio",1
S146.Q54:2.0,S146.Q54,"Taking atabrine won't keep you from getting malaria, but it will keep you from feeling sick for a while if you have malaria'",2
S150.Q39C:7.0,S150.Q39C,"A combat flying job, in another theater (some may state it as ""continue with present assignment in another theater"" or etc.)",7
S192A.Q31:1.0,S192A.Q31,"Send nurses into combat areas when their hospitals go in, no matter how dangerous it is or what the living conditions may be",1
S227.Q15:2.0,S227.Q15,"A news broadcast 5 or 6 times a day: (a few 5 minute summaries, one or two 15 minute broadcasts and one 30 minute broadcast)",2
S227.Q16:1.0,S227.Q16,"A news broadcast 5 or 6 times a day: (a few 5 minute summaries, one or two 15 minute broadcasts and one 30 minute broadcast)",1
S233.Q22:4.0,S233.Q22,"It depends on circumstances, on person, on whether man can get medical attention or not, etc. (partial sympathy toward AWOL)",4
S32N.Q50A:16.0,S32N.Q50A,"Better for the Negro: a statement indicating acceptance of a ""both"" position (at the same time we should try to win the war)",16
S32N.Q54A:21.0,S32N.Q54A,"Less rights and privileges: an historical answer (things are getting worse now, look at how they're treating Negro soldiers)",21
S44I.Q50A.15:1.0,S44I.Q50A.15,Too much responsibility; it is for a more educated man than I am; I am personally not fitted for it; can't meet requirements,1
S44T.Q50X.15:1.0,S44T.Q50X.15,Too much responsibility; it is for a more educated man than I am; I am personally not fitted for it; can't meet requirements,1
S44X.Q50A.15:1.0,S44X.Q50A.15,Too much responsibility; it is for a more educated man than I am; I am personally not fitted for it; can't meet requirements,1
S136.Q22:2.0,S136.Q22,They should pay by sending Japanese laborers to work in allied countries which need additional man-power to repair war damage,2
S157E.Q28B.2:5.0,S157E.Q28B.2,Willing to go later - after Z.I. soldiers (U.S. Commandos) have gone over; plenty of Z.I. available who haven't been over yet,5
S157E.Q31B.2:5.0,S157E.Q31B.2,Willing to go later - after Z.I. soldiers (U.S. Commandos) have gone over; plenty of Z.I. available who haven't been over yet,5
S157O.Q24B.2:5.0,S157O.Q24B.2,Willing to go later - after Z.I. soldiers (U.S. Commandos) have gone over; plenty of Z.I. available who haven't been over yet,5
S157O.Q27B.2:5.0,S157O.Q27B.2,Willing to go later - after Z.I. soldiers (U.S. Commandos) have gone over; plenty of Z.I. available who haven't been over yet,5
S218C.Q54:1.0,S218C.Q54,"Yes, my job is essential - men in jobs like mine probably will not be released even though they have enough points to get out",1
S32N.Q50A:22.0,S32N.Q50A,"Win the war: there will be more time or a better chance to improve Negro conditions after the war, or ""things will be better""",22
S32N.Q54A:13.0,S32N.Q54A,"About the same: distrustful cynical answer (whites always make promises when they need us, then take them back after the war)",13
S32W.Q60A:2.0,S32W.Q60A,"It's a good idea because intermingling would lead to violence, fights, trouble (they couldn't get along, they don't mix well)",2
S32W.Q62A:2.0,S32W.Q62A,"It's a good idea because intermingling would lead to violence, fights, trouble (they couldn't get along, they don't mix well)",2
S112.Q19:3.0,S112.Q19,"I obey cheerfully, provided I feel there is a good purpose in not telling the reason why, - otherwise I obey but don't like it",3
S113.Q25:3.0,S113.Q25,"I obey cheerfully, provided I feel there is a good purpose in not telling the reason why, - otherwise I obey but don't like it",3
