,CARD,DECK,BALLOT,FORM,S203B.Qi1,S203B.Qi2,S203B.Qi3,S203B.Qi4,S203B.Qi5,S203B.Qi6,S203B.Qi7,S203B.Qi8,S203B.Qi9,S203B.Qi10,S203B.Qi11,S203B.Qi12A,S203B.Qi12B,S203B.Qi12C,S203B.Qi12D,S203B.Qi12E,S203B.Qi12F,S203B.Qi12G,S203B.Qi12H,S203B.Qi12I,S203B.Qi12J,S203B.Qi13,S203B.Qi14,S203B.Qi15,S203B.Qi16,S203B.Qi17A1,S203B.Qi17A2,S203B.Qi17A3,S203B.Qi17A4,S203B.Qi17A5,S203B.Qi17B,S203B.Qi17C,S203B.Qi18A,S203B.Qi18B,S203B.Qii1,S203B.Qii2,S203B.Qii3,S203B.Qii4,S203B.Qii5,S203B.Qii6,S203B.Qii7A1,S203B.Qii7A2,S203B.Qii7A3,S203B.Qii7A4,S203B.Qii7A5,S203B.Qii7A6,S203B.Qii7A7,S203B.Qii7B,S203B.Qii7C,S203B.Qii8A,S203B.Qii8B,S203B.Qii9,S203B.Qii10A,S203B.Qii10B,S203B.Qii10C,S203B.Qii10D,S203B.Qii10E,S203B.Qii10F,S203B.Qii11,S203B.Qii12A,S203B.Qii13A,S203B.Qii13B,S203B.Qiii1,S203B.Qiii2,S203B.Qiii3A,S203B.Qiii3B,S203B.Qiii3C,S203B.Qiii4,S203B.Qiii5.n,S203B.Qiii6,CARD..1,DECK..1,BALLOT..1,FORM..1,S203B.Qiii7,S203B.Viii8,S203B.Viii9.1,S203B.Viii9.2
10,1.0,203.0,11.0,2.0,1.0,4.0,4.0,6.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,11.0,2.0,13.0,5.0,82.0,210.0
11,1.0,203.0,12.0,2.0,4.0,4.0,6.0,8.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,12.0,2.0,13.0,5.0,82.0,126.0
12,1.0,203.0,13.0,2.0,5.0,4.0,6.0,5.0,1.0,5.0,4.0,3.0,2.0,5.0,6.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,13.0,2.0,13.0,5.0,82.0,135.0
13,1.0,203.0,14.0,2.0,3.0,4.0,9.0,6.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,14.0,2.0,13.0,5.0,82.0,122.0
14,1.0,203.0,15.0,2.0,1.0,6.0,7.0,5.0,6.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,3.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,15.0,2.0,13.0,5.0,81.0,103.0
15,1.0,203.0,16.0,2.0,3.0,5.0,9.0,8.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,16.0,2.0,14.0,5.0,71.0,505.0
16,1.0,203.0,17.0,2.0,2.0,2.0,5.0,6.0,4.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,203.0,17.0,2.0,4.0,5.0,72.0,260.0
17,1.0,203.0,18.0,2.0,2.0,6.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,203.0,18.0,2.0,4.0,5.0,54.0,87.0
18,1.0,203.0,19.0,2.0,3.0,2.0,9.0,6.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,19.0,2.0,1.0,5.0,16.0,66.0
19,1.0,203.0,20.0,2.0,3.0,2.0,11.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,5.0,0.0,0.0,,2.0,2.0,203.0,20.0,2.0,1.0,5.0,16.0,55.0
20,1.0,203.0,21.0,2.0,5.0,2.0,11.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,4.0,0.0,5.0,0.0,0.0,,2.0,2.0,203.0,21.0,2.0,1.0,5.0,15.0,54.0
21,1.0,203.0,22.0,2.0,2.0,3.0,10.0,6.0,0.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,3.0,,2.0,2.0,203.0,22.0,2.0,1.0,5.0,15.0,60.0
22,1.0,203.0,23.0,2.0,5.0,4.0,8.0,6.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,,2.0,2.0,203.0,23.0,2.0,1.0,5.0,16.0,61.0
23,1.0,203.0,24.0,2.0,3.0,2.0,10.0,6.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,,2.0,2.0,203.0,24.0,2.0,1.0,5.0,15.0,78.0
24,1.0,203.0,25.0,2.0,2.0,6.0,4.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,,1.0,2.0,203.0,25.0,2.0,2.0,5.0,72.0,212.0
25,1.0,203.0,26.0,2.0,2.0,6.0,9.0,6.0,2.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,4.0,,1.0,2.0,203.0,26.0,2.0,3.0,5.0,11.0,6.0
26,1.0,203.0,27.0,2.0,1.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,7.0,4.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,3.0,5.0,1.0,3.0,1.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,,3.0,2.0,203.0,27.0,2.0,3.0,5.0,12.0,32.0
27,1.0,203.0,28.0,2.0,4.0,4.0,9.0,5.0,7.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,28.0,2.0,3.0,5.0,11.0,18.0
28,1.0,203.0,29.0,2.0,1.0,3.0,9.0,7.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,2.0,2.0,203.0,29.0,2.0,3.0,5.0,72.0,174.0
29,1.0,203.0,30.0,2.0,1.0,4.0,8.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,,2.0,2.0,203.0,30.0,2.0,3.0,5.0,12.0,56.0
30,1.0,203.0,31.0,2.0,2.0,3.0,9.0,6.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,,2.0,2.0,203.0,31.0,2.0,3.0,5.0,12.0,59.0
31,1.0,203.0,32.0,2.0,4.0,5.0,9.0,6.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,203.0,32.0,2.0,4.0,5.0,56.0,77.0
32,1.0,203.0,33.0,2.0,3.0,2.0,5.0,6.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,1.0,2.0,203.0,33.0,2.0,4.0,5.0,54.0,56.0
33,1.0,203.0,34.0,2.0,1.0,3.0,10.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,0.0,,1.0,2.0,203.0,34.0,2.0,4.0,5.0,71.0,526.0
34,1.0,203.0,35.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,0.0,5.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,0.0,0.0,,1.0,2.0,203.0,35.0,2.0,4.0,5.0,71.0,446.0
35,1.0,203.0,36.0,2.0,3.0,2.0,11.0,5.0,6.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,,1.0,2.0,203.0,36.0,2.0,4.0,5.0,71.0,539.0
36,1.0,203.0,37.0,2.0,1.0,6.0,9.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,3.0,4.0,0.0,2.0,2.0,0.0,,1.0,2.0,203.0,37.0,2.0,4.0,5.0,61.0,24.0
37,1.0,203.0,38.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,0.0,5.0,0.0,6.0,5.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,,1.0,2.0,203.0,38.0,2.0,4.0,5.0,56.0,96.0
