identifier,question_id,label,position
S40E.Q11:1.0,S40E.Q11,"PROFESSIONAL OR SEMI-PROFESSIONAL OCCUPATION (I.E. DOCTORS, DENTISTS, LAWYERS, TEACHERS, ENGINEERS, SOCIAL WORKERS, ETC",1
S44T.Q50X.1:1.0,S44T.Q50X.1,"UNPLEASANT DUTIES; DIRTIEST JOBS; DISLIKES THE DUTIES (INCLUDING SPECIFIC DUTIES, SUCH AS MARCHING, CARING FOR WOUNDED)",1
S44X.Q50A.1:1.0,S44X.Q50A.1,"UNPLEASANT DUTIES; DIRTIEST JOBS; DISLIKES THE DUTIES (INCLUDING SPECIFIC DUTIES, SUCH AS MARCHING, CARING FOR WOUNDED)",1
S87.V88:1.0,S87.V88,"306 INF. REGT.; 307 INF. REGT.; 262 INF. REGT.; RTC; 306 HDQTS. AND AIR BASE SQDN. - 330 COMBAT CREW TR. SCH.; 487 BOMB GROUP; 75TH INF. DIV.-ARTILLERY; 995, 246, 828, 989, 990, SIG. CORPS; 834 AND 835 BOMB GROUP",1
S106EE.Q21:6.0,S106EE.Q21,"SEMI-PROFESSIONAL MANAGERS, OFFICIALS, \(INCLUDING THOSE PEOPLE WHO WOULD BE CODED AS PROFESSIONAL IF THEY HAD ACADEMIC ",6
S106EH.Q14A.x:1.0,S106EH.Q14A.x,"AIR CORPS FLYING PERSONNEL \(INCLUDES AERIAL GUNNERY, AERIAL PHOTOGRAPHER, AIRPLANE ARMORER-GUNNER, AIRPLANE MECHANIC- GUNNER, ETC.)",1
S106EH.Q41:1.0,S106EH.Q41,"VETERANS SHOULD GET FIRST CHANCE AT ANY GOVERNMENT JOBS THEY CAN DO, EVEN IF SOME NON-VETERANS COULD DO THE SAME WORK MUCH BETTER",1
S106EH.Q41:3.0,S106EH.Q41,VETERANS SHOULD BE GIVEN GOVERNMENT JOBS ONLY IF THEY CAN DO THE WORK BETTER THAN NON-VETERANS WHO ARE TRYING FOR THE SAME JOBS,3
S106EU.V75.2:1.0,S106EU.V75.2,"CAMP COOKE, CALIFORNIA 22ND TANK BN - AGF DIVISIONAL 41ST TANK BN - AGF DIVISIONAL 42ND TANK BN - AGF DIVISIONAL 21ST ARMORED INF BN - AGF DIVISIONAL 55TH ARMORED INF BN - AGF DIVISIONAL 63RD ARMORED INF BN - AGF DIVISIONAL 490TH DIV ARTILLERY - AGF DIVISIONAL 491ST DIV ARTILLERY - AGF DIVISIONAL 492ND DIV ARTILLERY - AGF DIVISIONAL 56TH ENGINEER BN - AGF DIVISIONAL 81ST MED BN - AGF DIVISIONAL 41ST CAV RECON - AGF DIVISIONAL",1
S106EU.V75.2:2.0,S106EU.V75.2,"CAMP COOKE, CALIFORNIA 798TH AAA AUTO WPNS BN - AGF NON-DIVISIONAL 834TH AAA AUTO WPNS BN - AGF NON-DIVISIONAL 441ST HV ORD MAINT CO - AGF NON-DIVISIONAL 3548TH HV ORD MAINT CO - AGF NON-DIVISIONAL 3435TH MED ORD MAINT CO - AGF NON-DIVISIONAL 3436TH MED ORD MAINT CO - AGF NON-DIVISIONAL",2
S106EU.V75.2:26.0,S106EU.V75.2,"POMONA ORDNANCE DEPOT, CALIFORNIA 824TH OBD CO - ASF OTHER THAN STATION COMPLEMENT 3020TH OBAM CO - ASF OTHER STATION COMPLEMENT",26
S106EU.V75.2:27.0,S106EU.V75.2,"FT. SAM HOUSTON, TEXAS 263RD QM BAKERY CO - AGF NON-DIVISIONAL 34TH MED CO - AGF NON-DIVISIONAL 304TH SIG OPR BN - AGF NON-DIVISIONAL 508TH MP BN - AGF NON-DIVISIONAL",27
S106EU.V75.2:32.0,S106EU.V75.2,"CAMP SHELBY, MISSISSIPPI 69TH INF DIV - 271ST INF REGT - 1ST BN - AGF DIVISIONAL 69TH INF DIV - 271ST INF REGT - 2ND BN - AGF DIVISIONAL 69TH INF DIV - 271ST INF REGT - 3RD BN - AGF DIVISIONAL 69TH INF DIV - 271ST INF REGT - SPEC TROOPS - AGF DIV. 69TH INF DIV - 272ND INF REGT - 1ST BN - AGF DIVISIONAL 69TH INF DIV - 272ND INF REGT - 2ND BN - AGF DIVISIONAL 69TH INF DIV - 272ND INF REGT - 3RD BN - AGF DIVISIONAL 69TH INF DIV - 272ND INF REGT - SPEC TROOPS - AGF DIV. 69TH INF DIV - 273RD INF REGT - 1ST BN - AGF DIVISIONAL 69TH INF DIV - 273RD INF REGT - 2ND BN - AGF DIVISIONAL 69TH INF DIV - 273RD INF REGT - 3RD BN - AGF DIVISIONAL 69TH INF DIV - 273RD INF REGT - REGT HDQS - AGF DIV. 879TH FA BN - BATTERY A - AGF DIVISIONAL 881ST FA BN - BATTERY B - AGF DIVISIONAL 269TH ENG COMBAT BN - AGF DIVISIONAL 369TH MED BN - AGF DIVISIONAL 69TH QM CO - AGF DIVISIONAL 769TH ORD CO - AGF DIVISIONAL",32
S106EU.V75.2:33.0,S106EU.V75.2,"CAMP SHELBY, MISSISSIPPI 3313TH QM TRUCK CO - ASF OTHER THAN STATION COMPLEMENT 3314TH QM TRUCK CO - ASF OTHER THAN STATION COMPLEMENT",33
S106EU.V75.2:35.0,S106EU.V75.2,"CAMP SILBERT, ALABAMA MEDICS - STA HOSP - ASF OTHER THAN STATION COMPLEMENT UTC - 199TH CML CO - ASF OTHER THAN STATION COMPLEMENT",35
S106EU.V75.2:39.0,S106EU.V75.2,"CAMP SWIFT, TEXAS 1284TH ENG BN - AGF NON-DIVISIONAL 837TH QM GAS SUPPLY CO - AGF - NON-DIVISIONAL 947TH QM RD CO - AGF - NON-DIVISIONAL 91ST CML BN - COMPANY A - AGF NON-DIVISIONAL 91ST CML BN - COMPANY B - AGF NON-DIVISIONAL 91ST CML BN - COMPANY C - AGF NON-DIVISIONAL 91ST CML BN - COMPANY D - AGF NON-DIVISIONAL 39TH SIG BN - COMPANY A - AGF NON-DIVISIONAL 39TH SIG BN - HQS AND CO B - AGF NON-DIVISIONAL",39
S106EU.V75.2:40.0,S106EU.V75.2,"CAMP VAN DORN, MISSISSIPPI 63RD INF DIV - 253RD INF REGT - AGF DIVISIONAL 63RD INF DIV - 254TH INF REGT - AGF DIVISIONAL 63RD INF DIV - 255TH INF REGT - AGF DIVISIONAL 63RD DIV ARTILLERY - AGF DIVISIONAL 363RD MED BN - AGF DIVISIONAL 263RD ENG BN - AGF DIVISIONAL 563RD SIGNAL CO - AGF DIVISIONAL",40
S106EU.V75.2:41.0,S106EU.V75.2,"CAMP VAN DORN, MISSISSIPPI 144TH INF REGT - 1ST BN - AGF NON-DIVISIONAL 144TH INF REGT - 2ND BN - AGF NON-DIVISIONAL 144TH INF REGT - 3RD BN - AGF NON-DIVISIONAL 154TH FA BN - AGF NON-DIVISIONAL 569, 583, 580, 626 FA BN - AGF NON-DIVISIONAL",41
S106EU.V75.2:5.0,S106EU.V75.2,"CAMP CROWDER, MISSOURI SIGNAL CENTER TEAMS - ASF OTHER THAN STATION COMPLEMENT 800TH SIG TR REGT - ASF OTHER THAN STATION COMPLEMENT 804TH SIG TR REGT - ASF OTHER THAN STATION COMPLEMENT 249TH SIG OPR CO - ASF OTHER THAN STATION COMPLEMENT 299TH SIG INSTL CO - ASF OTHER THAN STATION COMPLEMENT MP - ESCORT GD CO - ASF OTHER THAN STATION COMPLEMENT",5
S106EU.V75.2:8.0,S106EU.V75.2,"CAMP HAAN, CALIFORNIA 143RD AAA GUN BN - AGF NON-DIVISIONAL 780TH AAA AUTO WPNS BN - AGF NON-DIVISIONAL 783RD AAA AUTO WPNS BN - AGF NON-DIVISIONAL 862ND AAA AUTO WPNS BN - AGF NON-DIVISIONAL 248TH AAA SL BN - AGF NON-DIVISIONAL 419TH C AAA - AGF NON-DIVISIONAL",8
S106OU.V52:2.0,S106OU.V52,"CAMP COOKE, CALIFORNIA 798TH AAA AUTO WPNS BN - AGF NON-DIVISIONAL 834TH AAA AUTO WPNS BN - AGF NON-DIVISIONAL 441ST, 3548TH HV ORD MAINT CO - AGF NON-DIVISIONAL 3435TH, 3436TH MED ORD MAINT CO - AGF NON-DIVISIONAL",2
S106OU.V52:5.0,S106OU.V52,"CAMP CROWDER, MISSOURI SIGNAL CENTER TEAMS - ASF OTHER THAN STATION COMPLEMENT 800TH SIG TR REGT - ASF OTHER THAN STATION COMPLEMENT 804TH SIG TR REGT - ASF OTHER THAN STATION COMPLEMENT 249TH SIG OPN CO - ASF OTHER THAN STATION COMPLEMENT 299TH SIG INSTL CO - ASF OTHER THAN STATION COMPLEMENT MP ESCORT GUARD - ASF OTHER THAN STATION COMPLEMENT",5
S106OU.V52:7.0,S106OU.V52,"CAMP ELLIS, ILLINOIS ENGINEER - ASF OTHER THAN STATION COMPLEMENT MEDICAL - ASF OTHER THAN STATION COMPLEMENT QUARTERMASTER - ASF OTHER THAN STATION COMPLEMENT",7
S115A.Q83B.4:1.0,S115A.Q83B.4,"THEY HELP CONTINENTALS TO GET INTO COMBAT, TO SERVE ELSEWHERE, HELP CONTINENTALS TO GO ELSEWHERE WHERE THEY CAN DO GOOD ",1
S126.V32G:nan,S126.V32G,"SPORTS ARE CLASSIFIED AS ""BLOOD SPORTS"" \(B\) OR ""OTHER SPORTS"" \(X\). ""BLOOD SPORTS"" INCLUDE: \(FOOTBALL, BOXING, BASKETBALL, WRESTLING, HOCKEY, LACROSSE, SOCCER AND ANY OTHER VIGOROUS SPORT INVOLVING BODY CONTACT. ""OTHER SPORTS"" INCLUDE: (GOLF, TENNIS, HUNTING AND FISHING, TRACK, SWIMMING, VOLLEY BALL AND BASEBALL. COUNT ONLY THE SPORTS WHICH HAVE BEEN CHECKED ""A LOT"" IN QUESTIONS 32A-32F.",
S127.V84:nan,S127.V84,"THE THREE-WAY ORGANIZATION OF MAJOR COMMANDS IN THE UNITED STATES \(ARMY GROUND FORCES, ARMY SERVICE FORCES AND ARMY AIR FORCES) IS NOT USED IN THE CHINA-BURMA-INDIA THEATER",
S131.V108:nan,S131.V108,"THE THREE-WAY ORGANIZATION OF MAJOR COMMANDS IN THE UNITED STATES \(ARMY GROUND FORCES, ARMY SERVICE FORCES AND ARMY FORCES) IS NOT USED IN THE CHINA-BURMA-INDIA THEATER.",
S133A.V116:3.0,S133A.V116,"MAINLAND - FAIRBANKS \(A FAIRLY LARGE NORTHERN POST, PRINCIPALLY AN AIR BASE. THE ONLY TROOPS THERE WHO WERE UNDER ALASKAN DEPARTMENT JURISDICTION WERE INFANTRY AND A FEW SERVICE TROOPS.) ",3
S133A.V116:5.0,S133A.V116,"MAINLAND - WHITTIER \(A SMALL POST, PRINCIPALLY PORT ACTIVITIES. NO CIVILIAN COMMUNITY ADJACENT, BUT ONE COULD BE VISITED ON A THREE-DAY PASS.)",5
S133B.Q35.5:1.0,S133B.Q35.5,"UNIT COMBAT TRAINING - TRAINING UNDER LIVE AMMUNITION, EXPOSURE TO FIRE, MANEUVERS, ETC., COMBAT TRAINING IN GENERAL",1
S136.Q21:2.0,S136.Q21,THEY SHOULD PAY BY SENDING GERMAN LABORERS TO WORK IN ALLIED COUNTRIES WHICH NEED ADDITIONAL MAN-POWER TO REPAIR WAR DAMAGE,2
S157O.Q24B.1:3.0,S157O.Q24B.1,WANT TO GET AWAY FROM ALL THIS GARRISON SOLDIERING; WANT TO GET AWAY FROM MY PRESENT OUTFIT; TOO G.I. HERE IN THE STATES; EVERYTHING IS SNAFUED HERE IN THE STATES; WOULD GET BETTER TREATMENT OVER THERE,3
S157O.Q26:29.0,S157O.Q26,"I. QUESTIONS 27A, 27B AND 28 ARE TO BE ANSWERED ONLY BY OFFICERS WHO HAVE NOT SERVED OVERSEAS IN THIS WAR. \*\*\*\*\*\*\PART III\*\*\*\*\*\*\",29
S177.Q106A:nan,S177.Q106A,"THE SURVEY DOCUMENTATION DID NOT SPECIFY CODES OR LOCATIONS FOR Q.106A-H. THE FOLLOWING COLUMNS HAVE BEEN TRANSFERRED AS IS FROM THE ORIGINAL DATA, BECAUSE THEIR LOCATION AND FORMAT INDICATED THAT THEY ARE THE RESPONSES TO Q.106.",
S198E.Qiii7:nan,S198E.Qiii7,"THE FOLLOWING QUESTION NOT CODED. Q. IF YOU HAVE ANY FURTHER REMARKS TO MAKE ON ANY SUBJECT, PLEASE WRITE THEM BELOW AS FULLY AS YOU LIKE. E. THE FOLLOWING QUESTIONS (36-40) WERE ADDED TO SOME S-198 EX SCHEDULES. P. THE QUESTIONS ON THIS PAGE ARE FOR OVERSEAS RETURNEES ONLY. SPLIT. PART OF FORM X (OVERSEAS RETURNEES ONLY).",
S218C.Q28:0.0,S218C.Q28,NO ANSWER P. THE NEXT QUESTIONS ASK FOR YOUR OWN PERSONAL OPINION. THERE ARE NO RIGHT OR WRONG ANSWERS TO THESE QUESTIONS. SOME PEOPLE BELIEVE ONE WAY AND SOME ANOTHER WAY. SO YOUR ANSWERS SHOULD SHOW WHAT YOUR OWN OPINION IS.,0
S218C.Q41:5.0,S218C.Q41,"MY OFFICIAL POINT SCORE DOES NOT SHOW THE RIGHT NUMBER OF POINTS - COMMENTS, BUT NOT ABOUT CAMPAIGN STARS OR DECORATIONS",5
S218C.Q44B:0.0,S218C.Q44B,NO CODE OR NO DATA P. THE ARMY HAS ANNOUNCED THAT MEN WITH POINT SCORES AS HIGH OR HIGHER THAN THE CRITICAL SCORE WILL BE RELEASED FROM THE ARMY AS RAPIDLY AS POSSIBLE. BUT NOT ALL OF THESE MEN WITH ENOUGH POINTS FOR DISCHARGE CAN BE RELEASED RIGHT AWAY. ,0
S218I.Q28:0.0,S218I.Q28,NO ANSWER P. THE NEXT QUESTIONS ASK FOR YOUR OWN PERSONAL OPINION. THERE ARE NO RIGHT OR WRONG ANSWERS TO THESE QUESTIONS. SOME PEOPLE BELIEVE ONE WAY AND SOME ANOTHER WAY. SO YOUR ANSWERS SHOULD SHOW WHAT YOUR OWN OPINION IS.,0
S218I.Q41:5.0,S218I.Q41,"MY OFFICIAL POINT SCORE DOES NOT SHOW THE RIGHT NUMBER OF POINTS - COMMENTS, BUT NOT ABOUT CAMPAIGN STARS OR DECORATIONS",5
S218U.Q28:0.0,S218U.Q28,NO ANSWER P. THE NEXT QUESTIONS ASK FOR YOUR OWN PERSONAL OPINION. THERE ARE NO RIGHT OR WRONG ANSWERS TO THESE QUESTIONS. SOME PEOPLE BELIEVE ONE WAY AND SOME ANOTHER WAY. SO YOUR ANSWERS SHOULD SHOW WHAT YOUR OWN OPINION IS.,0
S218U.Q28:0.0,S218U.Q28,NO ANSWER P. THE NEXT QUESTIONS ASK FOR YOUR OWN PERSONAL OPINION. THERE ARE NO RIGHT OR WRONG ANSWERS TO THESE QUESTIONS. SOME PEOPLE BELIEVE ONE WAY AND SOME ANOTHER WAY. SO YOUR ANSWERS SHOULD SHOW WHAT YOUR OWN OPINION IS.,0
S218U.Q41:5.0,S218U.Q41,"MY OFFICIAL POINT SCORE DOES NOT SHOW THE RIGHT NUMBER OF POINTS - COMMENTS, BUT NOT ABOUT CAMPAIGN STARS OR DECORATIONS",5
S218U.Q41:5.0,S218U.Q41,"MY OFFICIAL POINT SCORE DOES NOT SHOW THE RIGHT NUMBER OF POINTS - COMMENTS, BUT NOT ABOUT CAMPAIGN STARS OR DECORATIONS",5
S218U.V86:37.0,S218U.V86,"GODMAN FIELD, KENTUCKY - 387 AIR SERVICE GP; HEADQUARTER AND BASE SU SQUADRON 602; ENGINEER SQUADRON - 590 AIR; MATERIAL SQUADRON - AAF 10",37
S218U.V86:37.0,S218U.V86,"GODMAN FIELD, KENTUCKY - 387 AIR SERVICE GP; HEADQUARTER AND BASE SU SQUADRON 602; ENGINEER SQUADRON - 590 AIR; MATERIAL SQUADRON - AAF 10",37
S233.V78:28.0,S233.V78,"NEGRO - 5TH ARMY, COMBAT - REGIMENT HEADQUARTER COMPANY: HEADQUARTER COMPANY, 1ST BATTALION, HEADQUARTER COMPANY 2ND BATTALION, 371 INFANTRY REGIMENT",28
S234AE.Viii9F:nan,S234AE.Viii9F,CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. \*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\PART \*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\ P. HERE ARE SOME MORE QUESTIONS ABOUT YOUR ARMY RECORD:,
S234BE.Qii88:0.0,S234BE.Qii88,NO ANSWER \*\*\*\*\*\*PART III \*\*\*\*\*\*,0
S234BE.Viii9F:nan,S234BE.Viii9F,CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. \*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\PART \*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\ P. HERE ARE SOME MORE QUESTIONS ABOUT YOUR ARMY RECORD:,
S234BO.Qi27:3.0,S234BO.Qi27,NO OPINION \*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*PART II\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*,3
S234BO.Qii88:0.0,S234BO.Qii88,NO ANSWER \*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*PART III\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\* P. HERE ARE SOME QUESTIONS ABOUT SEVERAL DIFFERENT TOPICS:,0
S234BO.Viii9F:nan,S234BO.Viii9F,CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. \*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\ PART \*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\*\* P. HERE ARE SOME MORE QUESTIONS ABOUT YOUR ARMY RECORD:,
S32N.Q3:nan,S32N.Q3,"Questions 4-5: Codes for branches of service which were not printed on original questionnaire not provided by survey organization (with the exception of ""Air Corps"" which was on the questionnaire without a code number). ",
S32N.Q50A:31.0,S32N.Q50A,"Try to do both at the same time: this is the best or only way to improve things, the opportune moment, the proper method, etc. (if we wait until after, things will be as before)",31
S32N.Q54A:11.0,S32N.Q54A,"About the same: an historical answer (nothing changed after the last war, haven't seen any signs of change so far, etc.)",11
S32W.Q34:8.0,S32W.Q34,"WORLD WAR III - ANY LINE UP LIKE WORLD WARS I AND II (SAME SET UP AS LAST TIME, THOSE DEFEATED NOW FIGHTING THE WINNERS)",8
S40E.Q18B.18:1.0,S40E.Q18B.18,"OFFICERS, AND/OR NCO'S TIME TOO MUCH TAKEN UP WITH OTHER DUTIES - INSUFFICIENT TIME FOR PREPARATION OR TRAINING MEN - TIME TAKEN UP WITH OTHER THINGS",1
S40O.Q60A.2:1.0,S40O.Q60A.2,"NOT ENOUGH IS AVAILABLE THROUGH PRESENT SOURCES, PUBLICATIONS - ARMY BULLETINS, PAMPHLETS, NEWSPAPERS, PICTURE MAGAZINES",1
S44T.V65:1.0,S44T.V65,"CAMP BEALE, CALIFORNIA A. 498 ARMD. FA BN. - FIELD ARTILLERY - AGF B. 45TH ARMD. REGT. - ARMORED - AGF C. 83RD MED. BN. - MEDICAL - AGF D. 153 ARMD. SIG. CO. - SIGNAL - AGF E. 197 ORD. DEP. CO. - ORDNANCE - AGF F. 224 STA. HOSP. - MEDICAL - ASF G. MP (SCU) 1918 - MILITARY POLICE - ASF",1
S44T.V65:12.0,S44T.V65,"CAMP WHITE, OREGON A. 361 INF. REGT. - INFANTRY - AGF B. 362 INF. REGT. - INFANTRY - AGF C. 316 MEDICAL BN. - MEDICAL - AGF D. 91ST QM CO. - QUARTERMASTER - AGF E. 316 ENGR. BN. - ENGINEER - AGF F. 347 FA BN. - FIELD ARTILLERY - AGF G. 627 QM REFRIG. CO. - QUARTERMASTER - ASF H. MP, SCU - MP - ASF I. CWS, SCU, 1913 - CHEMICAL WARFARE - ASF J. SIGNAL CORPS, SCU 1991 - SIGNAL - ASF ",12
S44T.V65:13.0,S44T.V65,"WILL ROGERS FIELD, OKLAHOMA A. 416 BOMB GP. - AIR CORPS - AAF B. STATION HOSP. - MEDICAL - AAF C. 1742 ORD. M. MAINT. CO. - ORDNANCE - AAF D. 64 SIG. SVC. CO. - SIGNAL - AAF E. 94 SIG. SVC. CO. - SIGNAL - AAF",13
S44T.V65:2.0,S44T.V65,"FORT BENNING, GEORGIA A. 3RD ARMD. REGT. - ARMORED - AGF B. 80TH ARMD. MED. BN. - MEDICAL - AGF C. 55TH ARMD. ENG. BN. - ENGINEERS - AGF D. 801ST FA BN. - FIELD ARTILLERY - AGF E. 455TH CA BN. (AA) - COAST ARTILLERY - AGF F. 99TH QM BAKERY BN. - QUARTERMASTER - AGF G. 863RD ORD. HV. MAINT. CO. - ORDNANCE - AGF H. 150TH ARMD. SIG. CO. - SIGNAL - AGF I. CWS (SCU) - CHEMICAL WARFARE - ASF J. MP (SCU) - MP - ASF K. 250TH STA. HOSP. - MEDICAL - ASF L. POST SIG. DET. (SCU) - SIGNAL - ASF",2
S44T.V65:3.0,S44T.V65,"FT. BRAGG, NORTH CAROLINA A. 551 FA BN. - FIELD ARTILLERY - AGF B. 58 QM SALES CO. - QUARTERMASTER - AGF C. 503 ENG. L. PONTOON CO. - ENGINEER - AGFD D. 877 ORD. H. MAINT. CO. - ORDNANCE - AGF E. 266 QM BAKERY - QUARTERMASTER - ASF F. POST ORD. SHOP - ORDNANCE - ASF G. 325 MP ESCORT GD. CO. - MP - ASF H. SIG. CORP. DET. - SIGNAL - ASF",3
S44T.V65:4.0,S44T.V65,"DALE MABRY FIELD, FLORIDA A. 306 FIGHTER SQ. - AIR CORPS - AAF B. 312 FIGHTER SQ. - AIR CORPS - AAF C. 441 FIGHTER SQ. - AIR CORPS - AAF D. BASE MED. DET. - MEDICAL - AAF E. 903 QM SER. CO. - QUARTERMASTER - AAF F. 1788 AND 1814 ORD. CO. - ORDNANCE - AAF G. 853 SIGNAL SER. CO. - SIGNAL - AAF ",4
S44T.V65:5.0,S44T.V65,"EDGEWOOD ARSNAL, MARYLAND A. MP FROM MP DET. - MP - ASF B. 760 CHEM. DEPOT CO. - CHEMICAL WARFARE - ASF C. 43RD CHEM. LAB. - CHEMICAL WARFARE - ASF D. 106TH CHEM. IMP. REG. CO. - CHEMICAL WARFARE - ASF E. 41ST CHEM. LAB CO. - CHEMICAL WARFARE - AGF",5
S44T.V65:6.0,S44T.V65,"GEORGE FIELD, ILLINOIS A. 30TH, 707, 708, 710, 711 2 ENG. FLY TNG. SQ. - AIR CORPS - AAF B. 907TH QM SVC. CO. - QUARTERMASTER - AAF C. ORD. SEC. 327 B HQTS. AND AB SQDN. - ORDNANCE - AAF D. 856TH SIG. SVC. CO. - SIGNAL - AAF ",6
S44T.V65:7.0,S44T.V65,"CAMP GORDON - JOHNSON, FLORIDA A. 110 INF. REGT. - INFANTRY - AGF B. 103 MED. BN. - MEDICAL - AGF C. 728 ORD. L. MAINT. CO. - ORDNANCE - AGF D. 263 MED. BN. - MEDICAL - ASF E. 363 QM. BN. - QUARTERMASTER - ASF F. SERV. DET. #1 QM. SEC. - QUARTERMASTER - ASF G. 533RD ENG. AMPHIB REGT. - ENGINEER - ASF H. 3499 ORD. M. MAINT. CO., 163RD ORD. PLATOON - ORDNANCE - ASF I. 288 SIG. CO. AMPH. - SIGNAL - ASF K. 28TH SIG. CO. - SIGNAL - AGF",7
S44T.V65:8.0,S44T.V65,"CAMP MCCOY, WISCONSIN A. 9TH INF. REGT. - INFANTRY - AGF B. 2ND MED. BN. - MEDICAL - AGF C. 2ND QM CO. - QUARTERMASTER - AGF D. 2ND ENG. BN. - ENGINNER - AGF E. 2ND SIG. CO. - SIGNAL - AGF F. 405 CA BN. (AA) - COAST ARTILLERY - AGF G. 84TH AND 215TH GEN. HOSP. - MEDICAL - ASF H. 456TH CA BN. - COAST ARTILLERY - AGF I. 301 ORD. BASE REGT. - ORDNANCE - ASF ",8
S44T.V65:9.0,S44T.V65,"FORT MEADE, MARYLAND A. 603 ENG. CAM. CO. - ENGINEER - ASF B. 172 QM BAKERY CO. - QUARTERMASTER - ASF C. SIG. PIDGEON CO. - SIGNAL - AGF",9
S68.N48:nan,S68.N48,"THE CAMPS ARE HEREIN CODED AS PER INSTRUCTIONS IN ORIGINAL DOCUMENTATION -- CREATED BY COMBINATIONS OF CELLS PRODUCED BY PRODUCED BY A BI-VARIATE TABLE OF THE FIRST COLUMN OF THE ORIGINAL RESPONDENT IDENTIFICATION NUMBER AND Q.1, WHAT BRANCH OF SERVICE ARE YOU IN* (CARD 1, COL. 10).  FURTHER CODING NOT",
S68.V39:22.0,S68.V39,"PHOTOGRAPHY AND PHOTOGRAPHIC LABORATORY WORK, PHOTOGRAPHY AND DRAFTING, PHOTOGRAPHY AND LITHOGRAPHY, MOTION PICTURE PROJECTION",22
S68.V39:37.0,S68.V39,"MACHINISTS, AIRPLANE MECHANICS, GENERAL, AIRPLANE ENGINE MECHANICS, AIRPLANE INSTRUMENT AND EQUIPMENT REPAIR, AUTOMOTIVE ENGINE MECHANICS, ARMAMENT AND AMMUNITION MECHANICS, INSTRUMENT REPAIR (NONE ELECTRICAL),  INSTRUMENT AND ARMAMENT MECHANICS",37
