,identifier,parent_id,question
35,S112.Q36,S112, DO YOU FEEL THAT YOUR NONCOMS KNOW WHAT YOUR ABILITIES ARE AND WHAT YOU ARE ABLE TO DO?
36,S112.Q37,S112," DO YOU THINK THAT MOST OF THE MEN IN YOUR COMPANY WOULD ""GO TO BAT"" FOR THEIR NONCOMS?"
37,S112.Q38,S112," DO YOU THINK THAT MOST OF THE MEN IN YOUR COMPANY WOULD ""GO TO BAT"" FOR THEIR OFFICERS?"
38,S112.Q39,S112, DO YOU THINK YOUR OFFICERS ARE INTERESTED IN WHAT YOU THINK AND HOW YOU FEEL ABOUT THINGS?
39,S112.Q40,S112, DO YOU THINK YOUR NON-COMS ARE INTERESTED IN WHAT YOU THINK AND HOW YOU FEEL ABOUT THINGS?
40,S112.Q41,S112, WHICH OF THE FOLLOWING STATEMENTS BEST TELLS THE WAY YOU FEEL ABOUT GETTING INTO AN ACTUAL BATTLE ZONE?
41,S112.Q42,S112, IF AND WHEN YOU GET INTO COMBAT HOW WELL DO YOU THINK YOU WILL STAND UP UNDER BATTLE CONDITIONS?
42,S112.Q43,S112, DO YOU THINK THE MEN IN YOUR PLATOON HAVE BEEN GIVEN ENOUGH TRAINING AND EXPERIENCE SO THAT THEY COULD DO A GOOD JOB OF TAKING CHARGE OF A GROUP OF MEN ON THEIR OWN IN COMBAT?
43,S112.Q44,S112, HOW ABOUT YOURSELF - DO YOU THINK YOU HAVE BEEN GIVEN ENOUGH TRAINING AND EXPERIENCE SO THAT YOU COULD DO A GOOD JOB OF TAKING CHARGE OF A GROUP OF MEN ON YOUR OWN IN COMBAT?
44,S112.Q45,S112, IF YOUR SQUAD OR PLATOON WERE TO GET SEPARATED FROM YOUR OFFICERS IN COMBAT HOW GOOD A JOB DO YOU THINK THE MEN WOULD BE ABLE TO DO IN GOING AHEAD AND CARRYING OUT THEIR MISSION?
45,S112.Q46A,S112, DO YOU FEEL THAT YOU ARE NOW TRAINED AND READY FOR COMBAT OR DO YOU NEED MORE TRAINING?
46,S112.Q46B.n,S112," HOW ABOUT THE KINDS OF TRAINING YOU ARE GETTING? ARE THERE ANY KINDS YOU'RE GETTING TOO MUCH OF, TOO LITTLE OF?"
47,S112.Q47,S112, WHICH OF THE FOLLOWING BEST DESCRIBED YOUR OWN FEELING ABOUT GETTING INTO COMBAT AGAINST THE GERMANS?
48,S112.Q48,S112," IF YOU WERE GIVEN A SQUAD OF MEN AND TOLD TO TAKE CHARGE OF THEM ALL BY YOURSELF IN A COMBAT MISSION UNDER ENEMY FIRE, HOW WELL DO YOU THINK YOU WOULD DO?"
49,S112.Q49,S112, HOW MANY OF THE MEN IN YOUR PLATOON DO YOU THINK WOULD DO A GOOD JOB IF THEY WERE GIVEN A SQUAD OF MEN AND TOLD TO TAKE CHARGE OF THEM IN A COMBAT MISSION UNDER ENEMY FIRE?
50,S112.Q50,S112, HOW MANY OF THE OFFICERS IN YOUR COMPANY ARE THE KIND YOU WOULD WANT TO SERVE UNDER IN COMBAT?
51,S112.Q51,S112, HOW MANY OF THE NON-COMS IN YOUR COMPANY ARE THE KIND YOU WOULD WANT TO SERVE UNDER IN COMBAT?
52,S112.Q52,S112," DO YOU FEEL THE MOST DESERVING MEN USUALLY GET THE BEST ""BREAKS"" IN YOUR OUTFIT?"
53,S112.Q53,S112," WHEN YOU ARE GIVEN A JOB TO DO, ARE YOU TOLD ENOUGH ABOUT IT SO THAT YOU CAN DO A GOOD JOB?"
54,S112.Q54,S112, HOW WELL DO YOU THINK YOUR NON-COMS KNOW THEIR STUFF?
55,S112.Q55,S112, HOW WELL DO YOU THINK YOUR OFFICERS KNOW THEIR STUFF?
56,S112.Q56,S112, ARE YOU USUALLY TOLD WHY THE THINGS YOU DO AND THE THINGS THAT ARE DONE IN YOUR OUTFIT ARE NECESSARY?
57,S112.Q57,S112, HOW EASY DO YOU FEEL IT IS TO GET SUGGESTIONS BROUGHT TO THE ATTENTION OF THOSE IN YOUR COMPANY WHO COULD PUT THEM TO USE?
58,S112.Q58,S112, WHEN YOU DO A PARTICULARLY GOOD JOB DO YOU USUALLY GET RECOGNITION OR PRAISE FOR IT?
59,S112.Q59,S112, WHEN A MAN IN YOUR OUTFIT MAKES A GOOD SUGGESTION DOES HE USUALLY GET THE CREDIT HE DESERVES?
60,S112.Q60,S112, DO TOO MANY OF THE THINGS YOU HAVE TO DO SEEM UNNECESSARY FOR MAKING YOUR OUTFIT A BETTER FIGHTING UNIT?
61,S112.Q61,S112," WHEN PROMOTIONS ARE MADE IN THE COMPANY, HOW OFTEN DO THEY GO TO THE MEN WHO DESERVE THEM MOST?"
62,S112.Q62,S112, DO YOU THINK THOSE WHO RECOMMEND AND DECIDE ON PROMOTIONS IN YOUR COMPANY REALLY KNOW WHICH MEN ARE BEST QUALIFIED FOR PROMOTION?
63,S112.Q63,S112, WHICH OF THE FOLLOWING DO YOU THINK WOULD BE THE BIGGEST HELP IN GETTING A PROMOTION IN YOUR OUTFIT?
64,S112.Q64,S112, IN YOUR OUTFIT WHEN A MAN BREAKS A RULE OR DISOBEYS AN ORDER DOES HE USUALLY GET WHAT HE HAS COMING TO HIM?
65,S112.Q65,S112, DO YOU THINK YOUR OFFICERS ARE INTERESTED IN YOUR PERSONAL WELFARE?
66,S112.Q66,S112, DO YOU THINK THAT YOUR NON-COMS ARE INTERESTED IN YOUR PERSONAL WELFARE?
67,S112.Q67.n,S112," SUPPOSE YOU WERE COMPANY COMMANDER AND HAD FULL AUTHORITY TO DO ANY THING YOU THOUGHT WOULD MAKE THE COMPANY A BETTER FIGHTING UNIT. WHAT CHANGES, IF ANY, WOULD YOU MAKE?"
68,S112.Q68,S112, WHAT SORT OF OPINION DO YOU HAVE OF THE ENGLISH PEOPLE?
69,S112.Q69,S112, WHAT SORT OF OPINION DO YOU HAVE OF THE IRISH PEOPLE?
70,S112.Q70,S112, AFTER THE WAR DO YOU THINK THAT YOU WILL BE VERY MUCH CONCERNED ABOUT THE MAJOR PROBLEMS THAT FACE GROUPS OF PEOPLE OUTSIDE THE CIRCLE OF YOUR OWN FAMILY AND FRIENDS?
71,S112.Q71,S112," DO YOU THINK OF ANY GROUP OF PEOPLE IN THE U.S. (WHETHER OCCUPATIONAL, RACIAL, OR RELIGIOUS, ETC.) FOR WHOM YOU FEEL A PARTICULAR DISLIKE? IF YES, WHAT GROUP OR GROUPS?"
72,S112.Q72,S112, ARE YOUR MESS FACILITIES AND FOOD ABOUT AS GOOD AS THEY COULD BE UNDER PRESENT CIRCUMSTANCES?
73,S112.Q73,S112, ARE YOUR HOUSING AND SANITARY CONDITIONS ABOUT AS GOOD AS THEY COULD BE UNDER PRESENT CIRCUMSTANCES?
74,S112.Q74,S112, IS YOUR MEDICAL SERVICE ABOUT AS GOOD AS IT COULD BE UNDER THE CIRCUMSTANCES?
75,S112.Q75,S112, IS YOUR DENTAL SERVICE ABOUT AS GOOD AS IT COULD BE UNDER THE CIRCUMSTANCES?
76,S112.Q76,S112, ARE YOU GETTING ABOUT AS MUCH TIME-OFF (FURLOUGHS AND PASSES) AS YOU SHOULD HAVE UNDER PRESENT CIRCUMSTANCES?
77,S112.Q77,S112, IS THE TRANSPORTATION PROVIDED FROM YOUR CAMP TO TOWN ABOUT AS GOOD AS IT COULD BE UNDER PRESENT CIRCUMSTANCES?
78,S112.Q78,S112, ARE YOUR RECREATION AND ENTERTAINMENT NEEDS ABOUT AS WELL TAKEN CARE OF AS THEY COULD BE UNDER PRESENT CIRCUMSTANCES?
79,S112.V79,S112, IDENTIFICATION OF ORGANIZATIONS WITHIN THE FIFTH DIVISION:
80,S112.V80,S112, SERIAL NUMBER IDENTIFICATION:  ANP
81,S115B.Q1,S115B, WHAT IS YOUR ARMY RANK OR GRADE?
82,S115B.Q2,S115B, HOW OLD WERE YOU ON YOUR LAST BIRTHDAY?
83,S115B.Q3,S115B, HOW FAR DID YOU GO IN SCHOOL?
84,S115B.Q4,S115B, IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY? E. SECTION:
85,S115B.Q5,S115B, WHERE WERE YOU LIVING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY?
86,S115B.Q6,S115B, ARE YOU:
87,S115B.Q7,S115B, WHAT BRANCH OF THE ARMY ARE YOU IN NOW?
88,S115B.Q8,S115B," IF YOU HAD A CHOICE, WHICH ONE OF THESE BRANCHES OF THE ARMY WOULD YOU LIKE TO BE IN?"
89,S115B.Q9,S115B, HOW DID YOU COME INTO THE ARMY?
90,S115B.Q10,S115B," HOW LONG HAVE YOU BEEN IN THE ARMY? P. IF YOU HAVE BEEN IN THE ARMY BEFORE, THEN WERE OUT FOR A WHILE, JUST CHECK THE LENGTH OF TIME SINCE YOU ENTERED THIS LAST TIME. IF YOU WERE IN THE NATIONAL GUARD, CHECK THE LENGTH OF TIME SINCE YOUR OUTFIT CAME INTO THE ARMY."
91,S115B.Q11,S115B," HOW MANY MONTHS HAVE YOU BEEN STATIONED IN THE CARIBBEAN AREA (COVERING PANAMA CANAL DEPARTMENT, AND ANTILLES DEPARTMENT - WHICH INCLUDES THE PUERTO RICAN DEPARTMENT, AND TRINIDAD SECTOR AND BASE COMMAND)?  ANP (MONTHS)"
92,S115B.Q12,S115B, ARE YOU NOW STATIONED AT A POST OR OUTLYING POSITION?
93,S115B.V12A,S115B, EXPLANATION OF POST:
94,S115B.Q13,S115B, HOW MANY MONTHS IN ALL HAVE YOU BEEN AT YOUR PRESENT POST OR POSITION WHERE YOU ARE NOW STATIONED? (LEAVE OUT THE MONTHS YOU MAY HAVE BEEN STATIONED AWAY FROM YOUR POST OR POSITION.)  ANP (MONTHS)
95,S115B.Q14,S115B," IF EVERY MAN WERE GIVEN A 30-DAY FURLOUGH TO THE STATES ONCE A YEAR, HOW LONG, IN YOUR OPINION, COULD A MAN STAY IN THE TROPICS AND STILL DO HIS JOB WELL?"
96,S115B.Q15,S115B," WOULD YOU LIKE IT BETTER OR WORSE IF YOUR OUTFIT MOVED AROUND EVERY SIX MONTHS OR SO, TO SOME OTHER PLACE WITHIN THIS TROPICAL AREA?"
97,S115B.Q16A.n,S115B, WHAT IS THE JOB YOU ARE DOING IN THE ARMY CALLED?
98,S115B.Q16B.n,S115B, JUST WHAT KIND OF WORK DO YOU DO?
99,S115B.Q17,S115B, HOW INTERESTED ARE YOU IN YOUR ARMY JOB?
100,S115B.Q18,S115B, WOULD YOU CHANGE TO SOME OTHER ARMY JOB IF GIVEN A CHANCE?
101,S115B.Q19,S115B," CONSIDERING EVERYTHING, DO YOU THINK THE ARMY DOES ALL IT CAN TO PROVIDE INTERESTING THINGS FOR YOU TO DO IN YOUR OFF-DUTY TIME?"
102,S115B.Q20,S115B," IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARMY?"
103,S115B.Q21,S115B, DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NOT?
104,S115B.Q22,S115B," ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN DO?"
105,S115B.Q23,S115B," WOULD YOU SAY THAT MOST OF THE MEN IN YOUR OUTFIT USUALLY PUT ALL THEY HAVE INTO THEIR ARMY DUTIES, OR DO THEY USUALLY WORK JUST HARD ENOUGH TO GET BY?"
106,S115B.Q24,S115B," HOW ABOUT YOU, YOURSELF - WOULD YOU HONESTLY SAY THAT YOU USUALLY PUT ALL YOU HAVE INTO YOUR ARMY DUTIES, OR DO YOU USUALLY WORK JUST HARD ENOUGH TO GET BY?"
107,S115B.Q25,S115B," IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS?"
108,S115B.Q26,S115B," IF IT WERE UP TO YOU TO CHOOSE, DO YOU THINK YOU COULD DO MORE FOR YOUR COUNTRY AS A SOLDIER OR AS A WORKER IN A WAR JOB?"
109,S115B.Q27,S115B," SINCE YOU HAVE BEEN IN THIS AREA, HAVE YOU EVER HAD A FURLOUGH OF ANY KIND? (INCLUDE REGULAR, EMERGENCY, LOCAL FURLOUGHS, AND FURLOUGHS TO THE U.S.)"
110,S115B.Q28,S115B," UNDER THE CIRCUMSTANCES, WHAT DO YOU THINK ABOUT THE WAY FURLOUGHS HAVE BEEN HANDLED IN THIS AREA?"
111,S115B.Q29,S115B," IN CASE YOU NEEDED AN EMERGENCY FURLOUGH, WHAT DO YOU THINK YOUR CHANCES WOULD BE OF GETTING ONE, IF IT HAD ALREADY BEEN LOOKED INTO AND APPROVED BY THE RED CROSS?"
112,S115B.Q30,S115B," ACCORDING TO THE PRESENT POLICY, HOW MANY MONTHS DOES A MAN HAVE TO SPEND IN THIS AREA BEFORE HE CAN BE REASSIGNED?"
113,S115B.Q31,S115B," IF YOU WERE SENT HOME ON FURLOUGH AND THEN GIVEN YOUR CHOICE OF ASKING FOR REASSIGNMENT OR COMING BACK HERE FOR ANOTHER 6 MONTHS, WHICH WOULD YOU DO?"
114,S115B.Q32,S115B," WHEN YOU HAVE PUT IN THE AMOUNT OF TIME REQUIRED BY THE ARMY FOR REASSIGNMENT, DO YOU THINK THAT THE ARMY WILL OR WILL NOT KEEP ITS PROMISE TO SEND YOU BACK TO THE UNITED STATES FOR REASSIGNMENT?"
115,S115B.Q33,S115B, ARE YOU IN BETTER OR WORSE PHYSICAL CONDITION NOW THAN YOU WERE WHEN YOU FIRST CAME INTO THIS AREA?
116,S115B.Q34.n,S115B," SINCE YOU HAVE BEEN HERE, YOU PROBABLY HEARD MANY REASONS WHY MEN DON'T GET MORE FURLOUGHS. WHAT DO YOU PERSONALLY THINK ARE THE REASONS?"
117,S115B.Q35,S115B, DO YOU THINK THE EQUIPMENT OF THE AMERICAN ARMY IS BETTER OR WORSE THAN THE EQUIPMENT OF THE JAPANESE ARMY?
118,S115B.Q36,S115B, WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE JAPANESE?
119,S115B.Q37,S115B, HOW DO YOU FEEL ABOUT THE POSSIBILITY OF THIS AREA BEING ATTACKED BY GERMANY OR BY JAPAN BEFORE THE END OF THE WAR?
120,S115B.Q38,S115B," IF YOU THINK THE ENEMY MIGHT ATTACK THIS AREA, WHAT KIND OF ATTACK DO YOU THINK WOULD BE MOST LIKELY?"
121,S115B.Q39,S115B," FROM WHAT YOU HAVE SEEN OF OUR FIGHTING EQUIPMENT IN YOUR AREA, HOW DO YOU THINK IT WOULD DO AGAINST AN ENEMY ATTACK?"
122,S115B.Q40.n,S115B, IN WHAT WAY DO YOU THINK THE DESTRUCTION OF THE PANAMA CANAL WOULD INTERFERE WITH OUR WAR EFFORT?
123,S115B.Q41,S115B," IN GENERAL, DO YOU THINK CIVILIANS BACK HOME IN THE UNITED STATES ARE TRYING TO DO EVERYTHING THEY POSSIBLY CAN TO BACK UP THE ARMED FORCES?"
124,S115B.Q42.n,S115B, DO YOU THINK WORKERS IN WAR INDUSTRIES SHOULD OR SHOULD NOT BE ALLOWED TO STRIKE?
125,S115B.Q43.n,S115B," WHAT, IN YOUR OPINION, SHOULD BE DONE WITH STRIKERS IN WAR INDUSTRIES?"
126,S115B.Q44,S115B, DO YOU EVER WORRY ABOUT HOW WELL YOUR FAMILY IS GETTING ALONG BACK HOME?
127,S115B.Q45,S115B, UP TO NOW HAS THE WAR MADE THINGS BETTER OR WORSE FINANCIALLY FOR YOUR FAMILY BACK HOME?
128,S115B.Q46,S115B, HOW ARE THE SOLDIERS IN YOUR AREA USUALLY TREATED BY CIVILIANS?
129,S115B.Q47A,S115B," IF YOU HAD YOUR CHOICE, WHAT KIND OF AN OUTFIT WOULD YOU RATHER BE IN?"
130,S115B.Q47B,S115B," WHERE WOULD YOU LIKE THIS OUTFIT YOU JUST CHOSE, TO SERVE?"
131,S115B.Q48,S115B," CONSIDERING THEIR RESPONSIBILITIES, HOW DO YOU FEEL ABOUT THE PRIVILEGES AND BREAKS THAT OFFICERS WHERE YOU ARE STATIONED GET?"
132,S115B.Q49,S115B, HOW MANY OF YOUR OFFICERS REALLY KNOW THEIR STUFF?
133,S115B.Q50,S115B, HOW MANY OF YOUR OFFICERS TAKE A PERSONAL INTEREST IN THEIR MEN?
134,S115B.Q51,S115B, HOW MANY OF YOUR OFFICERS ARE THE KIND WHO ARE WILLING TO GO THROUGH ANYTHING THEY ASK THEIR MEN TO GO THROUGH?
135,S115B.Q52,S115B, HOW MANY OF YOUR OFFICERS ARE THE KIND YOU WOULD WANT TO SERVE WITH UNDER COMBAT CONDITIONS?
136,S115B.Q53,S115B, WHAT DO YOU THINK OF THE NON-COMS IN YOUR OUTFIT?
137,S115B.Q54,S115B, SOME NON-COMS (REASSIGNMENT NON-COMS) ARE SHIPPED DOWN FROM THE UNITED STATES RATHER THAN PICKED FROM THE OUTFITS HERE. HOW DO YOU FEEL ABOUT THIS POLICY?
138,S115B.Q55,S115B, WHAT DO YOU THINK YOUR CHANCES ARE OF BEING SENT INTO AN ACTIVE COMBAT ZONE BEFORE THE END OF THE WAR?
139,S115B.Q56,S115B, DO YOU THINK THAT THE PUNISHMENT (COMPANY PUNISHMENT) GIVEN IN YOUR OUTFIT IS FAIR OR UNFAIR?
140,S115B.Q57,S115B," DO YOU FEEL THAT MOST MEN IN YOUR OUTFIT ARE WELL ENOUGH TRAINED, OR NOT WELL ENOUGH TRAINED, TO GO INTO AN ACTIVE COMBAT ZONE IN THE NEAR FUTURE?"
141,S115B.Q58,S115B, CHECK THE STATEMENT BELOW WHICH IN YOUR OPINION TELLS WHAT SORT OF A RECORD A SOLDIER MUST HAVE BEFORE HE CAN GET A GOOD CONDUCT RIBBON.
142,S115B.Q59,S115B, DO YOU FEEL THAT YOU ARE ENTITLED TO RECEIVE A GOOD CONDUCT RIBBON FOR YOUR SERVICE IN THIS AREA?
143,S115B.Q60,S115B, ARE THE GOOD CONDUCT RIBBONS MEN RECEIVE IN YOUR OUTFIT GIVEN OUT FAIRLY OR NOT?
144,S115B.Q61A,S115B, WHAT WEAPON ARE YOU ARMED WITH?
145,S115B.Q61B,S115B, WHAT IS YOUR QUALIFICATION WITH THE WEAPON YOU CHECKED ABOVE?
146,S115B.Q62,S115B," IF YOU COULD BE GIVEN AN EXTRA HOUR OF FREE TIME EVERY DAY, ON WHICH ONE OF THE FOLLOWING THINGS DO YOU THINK YOU WOULD SPEND THE MOST OF THIS EXTRA TIME?"
147,S115B.Q63,S115B, HOW OFTEN DO YOU GO TO A U.S.O. CLUB NEAR WHERE YOU ARE NOW STATIONED?
148,S115B.Q64.n,S115B, ARE THERE ANY REASONS WHY YOU DON'T GO TO A U.S.O. CLUB MORE OFTEN THAN YOU DO?
149,S115B.Q65,S115B, DO YOU THINK MOST M.P.'S IN TOWN TREAT SOLDIERS FAIRLY OR UNFAIRLY?
150,S115B.Q66A,S115B, HAVE YOU EVER RECEIVED COMPANY PUNISHMENT IN YOUR PRESENT OUTFIT? (COMPANY PUNISHMENT IS AUTHORIZED BY THE 104TH ARTICLE OF WAR.)
151,S115B.Q66B1,S115B, DID YOUR COMMANDING OFFICER PERSONALLY NOTIFY YOU OF THE PUNISHMENT?
152,S115B.Q66B2,S115B," DID HE, OR ANYONE ELSE, EXPLAIN YOUR RIGHTS TO APPEAL TO THE NEXT HIGHER COMMANDER?"
153,S115B.Q66B3,S115B, IN YOUR OUTFIT DOES IT SOMETIMES HAPPEN THAT MEN ARE JUST NOTIFIED OF THEIR COMPANY PUNISHMENT WITHOUT EVER HAVING HAD A HEARING?
154,S115B.Q66B4,S115B, IN YOUR OUTFIT DOES IT SOMETIMES HAPPEN THAT MEN ARE GIVEN RESTRICTION FOR A PERIOD OF MORE THAN SEVEN DAYS AS COMPANY PUNISHMENT?
155,S115B.Q67,S115B, MANY ARMY CORRESPONDENCE COURSES COST ...?
156,S115B.Q68,S115B, IN ORDER TO GET CREDIT A MAN MUST COMPLETE AN ARMY CORRESPONDENCE COURSE WITHIN ...?
157,S115B.Q69,S115B, MOST ARMY CORRESPONDENCE COURSES ARE OFFERED IN SUCH SUBJECTS AS ...?
158,S115B.Q70,S115B, ARMY CORRESPONDENCE COURSES ARE OPEN TO ...?
159,S115B.Q71A,S115B," DOES YOUR OUTFIT HAVE ENOUGH ATHLETIC EQUIPMENT (BASEBALLS, BATS, HORSESHOES, ETC.)?"
160,S115B.Q71B,S115B," DOES YOUR OUTFIT HAVE ENOUGH PLACES (FIELDS, COURTS, ETC.) TO PLAY ATHLETIC GAMES?"
161,S115B.Q72,S115B," HOW MANY HOURS EACH WEEK, ON THE AVERAGE, DO YOU LISTEN TO THE RADIO?"
162,S115B.Q73,S115B, DO YOU HAVE A PERSONAL RADIO OF YOUR OWN WHERE YOU ARE STATIONED?
163,S115B.Q74A,S115B, HOW FAR FROM YOUR BARRACKS IS THE RADIO THAT YOU NOW LISTEN TO MOST OFTEN?
164,S115B.Q74B,S115B, WHO DOES THIS RADIO BELONG TO?
165,S115B.Q74C,S115B, DOES THIS RADIO OPERATE ON STANDARD OR SHORTWAVE?
166,S115B.Q75.n,S115B, PLEASE LIST BELOW THE CALL LETTERS OR NAMES AND CITY LOCATION OF THE RADIO STATIONS WHOSE BROADCASTS YOU NOW LISTEN TO MOST OFTEN.
167,S115B.Q76,S115B, HOW DO YOU USUALLY FEEL ABOUT THE ARMY FOOD YOU ARE GETTING?
168,S115B.Q77A,S115B, FOR BREAKFAST?
169,S115B.Q77B,S115B, FOR DINNER?
170,S115B.Q77C,S115B, FOR SUPPER?
171,S115B.Q78,S115B, WHEN YOUR FOOD IS SERVED IS IT USUALLY FRESH AND HOT?
172,S115B.Q79.n,S115B," WHAT KINDS OF FOOD, IF ANY, WOULD YOU LIKE MORE OF?"
173,S115B.Q80.n,S115B," WHAT KINDS OF FOOD, IF ANY, WOULD YOU LIKE LESS OF?"
174,S115B.Q81,S115B, HAVE YOU EVER BEEN TO DINNER OR SUPPER IN A CIVILIAN HOME SINCE YOU HAVE BEEN WHERE YOU ARE NOW STATIONED?
175,S115B.Q82,S115B," HAVE YOU EVER SEEN AN ARMY ""NEWSMAP"" WHERE YOU ARE NOW STATIONED?"
176,S115B.Q83,S115B," HOW OFTEN DO YOU SEE A NEW COPY OF THE ""ARMY HIT KIT""?"
177,S115B.Q84A,S115B," IF EVENING STUDY CLASSES WERE HELD IN YOUR OUTFIT, IN YOUR OFF-DUTY TIME, ONE HOUR A NIGHT, TWO NIGHTS A WEEK, WITH INSTRUCTORS WHO KNEW THEIR STUFF, DO YOU THINK YOU WOULD TAKE A CLASS REGULARLY IN SOME SUBJECT FOR THE NEXT SIX MONTHS?"
178,S115B.Q84B.n,S115B, WHICH OF THE FOLLOWING EVENING CLASSES DO YOU THINK YOU WOULD BE INTERESTED IN TAKING?
