S101C.CARD.  1. CARD ONE 
S101C.Q9C. WHO HAVE THE BETTER CHANCE FOR PROMOTION?  1. LINE OFFICERS 2. STAFF OFFICERS 3. ABOUT THE SAME 0. NO ANSWER 
S101C.Q9D. HOW DO YOU FEEL ABOUT THE COMPARATIVE PROMOTION OPPORTUNITIES OF LINE OFFICERS AND STAFF OFFICERS?  1. I THINK THE PRESENT PRACTICE IS O.K. 2. I THINK THE PRESENT PRACTICE IS SOMEWHAT UNFAIR 3. I THINK THE PRESENT PRACTICE IS VERY UNFAIR 0. NO ANSWER X. QUESTION 10 NOT CODED. 
S101C.Q11. HOW MUCH OF THE TIME YOU WERE IN COMBAT WERE YOU A MEMBER OF THE COMPANY YOU ARE NOW IN?  1. ALL OR MOST OF THE TIME 2. SOME OF THE TIME 3. LITTLE OR NONE OF THE TIME 0. NO ANSWER 
S101C.Q12. ABOUT HOW MANY BATTLE CASUALTIES (KILLED AND WOUNDED) HAS YOUR PRESENT COMPANY HAD SINCE YOU FIRST WENT INTO COMBAT WITH IT?  1. MORE THAN HALF OF THE MEN HAVE BEEN CASUALTIES 2. BETWEEN A QUARTER AND A HALF HAVE BEEN CASUALTIES 3. LESS THAN A QUARTER HAVE BEEN CASUALTIES 4. DON'T KNOW 0. NO ANSWER 
"S101C.Q13. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS?  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
"S101C.Q14. HOW DO YOU FEEL ABOUT THE IMPORTANCE OF THE RIFLEMAN'S JOB IN MODERN BATTLE?  1. MORE IMPORTANT THAN MOST ANY OTHER SOLDIER'S JOB 2. IMPORTANT, BUT NO MORE SO THAN MANY OTHERS 3. NOT VERY IMPORTANT COMPARED WITH WHAT OTHER SOLDIERS CAN DO 0. NO ANSWER "
S101C.Q15. WHAT SORT OF TEAMWORK DID THE MEN IN YOUR COMPANY SHOW IN ACTUAL BATTLE?  1. VERY GOOD 2. FAIRLY GOOD 3. NOT VERY GOOD 4. NOT GOOD AT ALL 0. NO ANSWER 
S101C.Q16. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NOT?  1. I USUALLY FEEL IT IS NOT WORTHWHILE 2. I USUALLY FEEL IT IS WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
"S101C.Q17. WHEN YOU WERE FIGHTING IN A PARTICULAR BATTLE, DID YOU EVER HAVE THE FEELING THAT IT WASN'T WORTH THE COST?  1. YES, ALMOST ALWAYS 2. YES, SOMETIMES 3. NO, NEVER 4. UNDECIDED 0. NO ANSWER "
"S101C.Q18. WHILE YOU WERE AT THE BATTLE FRONT, DID YOUR LEADERS EXPLAIN THE WHOLE BATTLE SO YOU COULD SEE JUST HOW YOUR COMPANY'S PART FITTED INTO THE CAMPAIGN AS A WHOLE?  1. AS MUCH AS THEY COULD 2. THEY COULD HAVE GIVEN US A LITTLE MORE 3. THEY COULD HAVE GIVEN US A GREAT DEAL MORE 0. NO ANSWER "
"S101C.Q19. WHILE YOU WERE IN COMBAT, DID YOU FEEL THAT THE TROOPS IN THE REAR, IN GENERAL, WERE DOING AS MUCH AS THEY COULD UNDER THE CIRCUMSTANCES FOR THE MEN WHO WERE DOING THE FIGHTING?  1. AS MUCH AS THEY COULD 2. COULD HAVE DONE SOMEWHAT MORE 3. COULD HAVE DONE A GREAT DEAL MORE 0. NO ANSWER "
"S101C.Q20. DID YOU RECEIVE ANY OF THE FOLLOWING DECORATIONS?  01. PURPLE HEART 02. SILVER STAR 03. DISTINGUISHED SERVICE CROSS 04. PURPLE HEART AND SILVER STAR 05. PURPLE HEART AND DISTINGUISHED SERVICE CROSS 06. SILVER STAR AND DISTINGUISHED SERVICE CROSS 07. PURPLE HEART, SILVER STAR AND DISTINGUISHED SERVICE CROSS 08. NONE OF THE THREE (PURPLE HEART, SILVER STAR, DISTINGUISHED SERVICE CROSS) 09. SOLDIERS MEDAL 10. SOLDIERS MEDAL AND PURPLE HEART 11. AIR MEDAL 00. NO ANSWER "
S101C.Q21A. HOW DO YOU FEEL ABOUT THE WAY IN WHICH THE SILVER STAR IS AWARDED TO ENLISTED MEN?  1. ALL MEN I KNOW WHO GOT THEM REALLY DESERVED THEM 2. A FEW MEN I KNOW WHO GOT THEM DID NOT DESERVE THEM 3. MANY MEN I KNOW WHO GOT THEM DID NOT DESERVE THEM 0. NO ANSWER 
S101C.Q21B. DO YOU KNOW ANY ENLISTED MEN WHO DESERVED SILVER STARS BUT DID NOT GET THEM?  1. MANY MEN I KNOW DESERVED SILVER STARS BUT DID NOT GET THEM 2. A FEW MEN I KNOW DESERVED SILVER STARS BUT DID NOT GET THEM 3. NOBODY I KNOW DESERVED A SILVER STAR BUT DID NOT GET IT 0. NO ANSWER 
S101C.Q22. IN GENERAL WOULD YOU SAY THAT BATTLE FIGHTING BECAME MORE FRIGHTENING OR LESS FRIGHTENING THE MORE YOU SAW OF IT?  1. IT WAS MORE FRIGHTENING THE MORE I SAW OF IT 2. IT WAS LESS FRIGHTENING THE MORE I SAW OF IT 3. IT WAS NEVER FRIGHTENING 4. IT STAYED FRIGHTENING ALL THE TIME 0. NO ANSWER 
"S101C.Q23. WHICH OF THE FOLLOWING STATEMENTS BEST TELLS THE WAY YOU WOULD FEEL ABOUT GOING BACK INTO ACTUAL BATTLE? X. CODES 1-4 PRECODED ON QUESTIONNAIRE, OTHER RESPONSES VOLUNTEERED.  1. I WANT VERY MUCH TO GET INTO IT AS SOON AS POSSIBLE 2. I AM READY TO GO ANYTIME 3. I HOPE I WON'T HAVE TO GO BUT IF I GO I THINK I WILL DO ALL RIGHT 4. I HOPE I WON'T HAVE TO GO BECAUSE I DON'T THINK I WOULD DO VERY WELL 5. HAVE DONE MY SHARE, LET OTHERS FIGHT 6. NEED A REST OR FURLOUGH FIRST 7. QUALIFIED ACCEPTANCE 8. REFUSAL (MISCELLANEOUS) 9. ALL OTHER 0. NO ANSWER "
S101C.Q24. ARE YOU EVER WORRIED AND UPSET?  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES WORRIED AND UPSET 3. I AM OFTEN WORRIED AND UPSET 0. NO ANSWER 
"S101C.Q25. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARMY?  1. I HAVE A PRETTY GOOD TIME 2. IT'S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
S101C.Q26A. DO YOU THINK THAT THE EQUIPMENT OF THE AMERICAN ARMY IS BETTER OR WORSE THAN THE EQUIPMENT OF THE GERMAN ARMY?  1. ALL OF OUR EQUIPMENT IS BETTER 2. MOST OF OUR EQUIPMENT IS BETTER 3. OUR EQUIPMENT IS ABOUT THE SAME AS THAT OF THE GERMAN ARMY 4. MOST OF OUR EQUIPMENT IS WORSE 5. ALL OF OUR EQUIPMENT IS WORSE 6. DON'T KNOW 0. NO ANSWER 
"S101C.Q26B. IF YOU THINK SOME GERMAN WEAPONS ARE BETTER THAN OURS, WHAT ARE THEY?  1. NO GERMAN WEAPONS ARE BETTER THAN OURS 2. SOME GERMAN WEAPONS ARE BETTER THAN OURS 0. NO ANSWER "
S101C.Q27. THINK OF ALL THE MEN IN YOUR PLATOON (OR EQUIVALENT UNIT) JUST BEFORE YOU WENT INTO ACTION FOR THE FIRST TIME. NOW THINK OF THE ONE MAN WHO HAD SERVED TIME THE MOST IN THE GUARDHOUSE. HOW DID HE DO IN ACTUAL BATTLE AS COMPARED WITH OTHER MEN IN THE PLATOON?  1. HE DID MUCH BETTER THAN AVERAGE 2. HE DID BETTER THAN AVERAGE 3. SAME AS AVERAGE 4. HE DID WORSE THAN AVERAGE 5. HE DID MUCH WORSE THAN AVERAGE 6. ANY OTHER ANSWER 0. NO ANSWER 
S101C.Q28. HOW MANY OF THE NON-COMS IN YOUR OUTFIT ARE THE KIND YOU WOULD WANT SERVING UNDER YOU IN COMBAT?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
"S101C.Q29. IF SOME OF THE NON-COMS YOU HAVE ARE NOT THE KIND YOU WOULD WANT IN COMBAT, WHY HAVEN'T YOU REPLACED THEM?  1. ALL OF THEM ARE THE KIND I WOULD WANT IN COMBAT 2. NO BETTER MEN ARE AVAILABLE 3. I DON'T HAVE AUTHORITY TO CHANGE THEM MYSELF 4. I DON'T WANT TO BREAK PRESENT NON-COMS AND CAN'T TRANSFER THEM OUT 5. SOME OTHER REASON 0. NO ANSWER "
S101C.Q30A. HOW MANY OF THE OFFICERS IN YOUR COMPANY (OR BATTERY) ARE THE KIND YOU WOULD WANT TO SERVE WITH IN COMBAT?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S101C.Q30B. HOW MANY OF THE MEN IN YOUR COMPANY ARE THE KIND YOU WOULD WANT SERVING UNDER YOU IN COMBAT?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S101C.Q30C. HOW MANY OF THE OFFICERS IN YOUR COMPANY (OR BATTERY) ARE THE KIND WHO ARE WILLING TO GO THROUGH ANYTHING THEY ASK THEIR MEN TO GO THROUGH?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S101C.Q30D. HOW MANY OF THE OFFICERS IN YOUR COMPANY (OR BATTERY) TAKE A PERSONAL INTEREST IN THEIR MEN?  1. ALL OF THEM DO 2. MOST OF THEM DO 3. ABOUT HALF OF THEM DO 4. FEW OF THEM DO 5. NONE OF THEM DO 0. NO ANSWER 
S101C.Q31A. HESITANCY OF OFFICERS TO TAKE NECESSARY PERSONAL RISKS?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31B. UNDERESTIMATION OF THE FIGHTING ABILITY OF THE ENEMY?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31C. INABILITY OF COMPANY OFFICERS TO MAKE MISSION CLEAR TO THE MEN?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31D. FATIGUE OF TROOPS FROM BEING KEPT IN COMBAT TOO LONG?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31E. EVERY MAN FOR HIMSELF INSTEAD OF TEAMWORK?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31F. LACK OF NECESSARY WEAPONS AND TOOLS?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31G. POOR LEADERSHIP BY NON-COMS?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31H. LACK OF CONVICTION OF WHAT WE ARE FIGHTING FOR?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31I. FAILURE OF COMPANY OFFICERS TO UNDERSTAND ORDERS FROM ABOVE?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31J. LACK OF SELF-CONFIDENCE AMONG OWN MEN?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31K. POOR DISCIPLINE IN COMBAT?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31L. INADEQUATE COMMUNICATION WITH OTHER COMPANIES AND WITH HIGHER HEADQUARTERS?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
"S101C.Q31M. LACK OF FEED, CLOTHING OR PERSONAL EQUIPMENT FOR MEN?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER "
S101C.Q31N. HESITANCY OF ENLISTED MEN TO TAKE NECESSARY PERSONAL RISKS?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31O. POOR JUDGMENT BY COMPANY OFFICERS IN COMBAT?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31P. FEAR ON THE PART OF OFFICERS WHICH TRANSMITTED ITSELF TO THE MEN?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31Q. INSUFFICIENT CARE FOR PERSONAL NEEDS OF THE MEN?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31R. INADEQUATE RECONNAISANCE OF ENEMY POSITIONS?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31S. LACK OF ENDURANCE DUE TO POOR PHYSICAL CONDITION?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q31T. INADEQUATE TRAINING OF OUR TROOPS FOR COMBAT?  1. THIS HAD LITTLE EFFECT ON OUR PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. REPLACEMENTS VERY BAD 5. I NEVER OBSERVED THIS 0. NO ANSWER 
S101C.Q32. DO YOU EVER GET THE FEELING THAT THIS WAR IS NOT WORTH FIGHTING?  1. VERY OFTEN 2. SOMETIMES 3. ONLY ONCE IN A GREAT WHILE 4. NEVER 0. NO ANSWER 
S101C.Q33. DO YOU THINK THERE WILL BE ANOTHER WAR IN THE NEXT 25 YEARS OR SO?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"S101C.Q34. AFTER THE WAR IS OVER, DO YOU THINK THE UNITED STATES WILL BE A BETTER PLACE OR A WORSE PLACE TO LIVE IN THAN IT WAS BEFORE THE WAR?  1. WORSE AFTER THE WAR THAN BEFORE THE WAR 2. SAME AFTER THE WAR AS BEFORE THE WAR 3. BETTER AFTER THE WAR THAN BEFORE THE WAR 4. UNDECIDED 0. NO ANSWER "
"S101C.Q35A. WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE GERMANS?  1. IT WILL NOT BE VERY HARD 2. IT WILL BE A TOUGH JOB, BUT OUR LOSSES WON'T BE HEAVY 3. IT WILL BE A TOUGH JOB, WITH HEAVY LOSSES OF MEN AND EQUIPMENT 0. NO ANSWER "
"S101C.Q35B. WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE JAPANESE?  1. IT WILL NOT BE VERY HARD 2. IT WILL BE A TOUGH JOB, BUT OUR LOSSES WON'T BE HEAVY 3. IT WILL BE A TOUGH JOB, WITH HEAVY LOSSES OF MEN AND EQUIPMENT 0. NO ANSWER "
S101C.Q36A. TACTICAL AIR FORCE?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101C.Q36B. MEDICAL TROOPS?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER X. COL. 80 NOT USED. CARD 2 
S101C.CARD.  2. CARD TWO 
S101C.DECK.  101. SURVEY NUMBER 
S101C.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S101C.FORM.  1. S-101B 2. S-10XX 3. S-101D 4. S-101E 5. S-101F 
S101C.Q36C. QUARTERMASTER TROOPS?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101C.Q36D. ORDNANCE TROOPS?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101C.Q36E. ENGINEER TROOPS?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101C.Q36F. ARTILLERY?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101C.Q36G. TANKS?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101C.Q36H. PARACHUTISTS?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101C.Q36I. MARINES?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
"S101C.Q37A. BEFORE YOU WENT INTO COMBAT FOR THE FIRST TIME, HOW MUCH CONFIDENCE DID YOU HAVE IN YOUR MEN?  1. HAD A LOT OF CONFIDENCE IN MY MEN 2. HAD A FAIR AMOUNT OF CONFIDENCE IN MY MEN 3. HAD LITTLE CONFIDENCE IN MY MEN 4. HAD NO CONFIDENCE IN MY MEN 0. NO ANSWER "
"S101C.Q37B. DID YOU HAVE MORE OR LESS CONFIDENCE IN YOUR MEN, THE MORE TIMES YOUR OUTFIT WENT INTO COMBAT?  1. HAD MORE CONFIDENCE THE MORE TIMES MY OUTFIT WENT INTO COMBAT 2. HAD LESS CONFIDENCE THE MORE TIMES MY OUTFIT WENT INTO COMBAT 3. HAD ABOUT THE SAME AMOUNT OF CONFIDENCE 4. UNDECIDED 0. NO ANSWER "
S101C.Q38. DID SUPPLIES YOU MUCH WANTED OR NEEDED AT THE FRONT EVER FAIL TO REACH YOU?  1. WE USUALLY GOT WHAT WE NEEDED 2. WE OFTEN DID NOT GET WHAT WE NEEDED 3. WE SELDOM GOT WHAT WE NEEDED 0. NO ANSWER 
"S101C.Q39. HAVE YOU LISTENED TO RADIO BROADCASTS FROM BERLIN? IF YES, HOW DID YOU FEEL ABOUT THE RADIO PROPAGANDA?  1. YES, MOSTLY LIES 2. YES, MOSTLY LIES, BUT MAYBE A LITTLE MORE TRUTH THAN WE CARE TO ADMIT 3. YES, A LOT OF TRUTH IN WHAT THEY SAID 4. YES, NO ANSWER 5. NO 0. NO ANSWER "
"S101C.Q40A. WHAT WOULD YOU LIKE TO SEE HAPPEN TO THE JAPANESE AFTER THE WAR?  1. PUNISH THE LEADERS, BUT NOT THE ORDINARY JAPANESE 2. MAKE THE ORDINARY JAPANESE PEOPLE SUFFER PLENTY 3. WIPE OUT THE WHOLE JAPANESE NATION 0. NO ANSWER "
"S101C.Q40B. WHAT WOULD YOU LIKE TO SEE HAPPEN TO THE GERMANS AFTER THE WAR?  1. PUNISH THE LEADERS, BUT NOT THE ORDINARY GERMAN 2. MAKE THE ORDINARY GERMAN PEOPLE SUFFER PLENTY 3. WIPE OUT THE WHOLE GERMAN NATION 0. NO ANSWER X. QUESTION 41 NOT CODED. "
"S101C.Q42. IN GENERAL, DID YOU USUALLY FEEL MORE SCARED BEFORE GOING INTO COMBAT, DURING COMBAT, OR AFTER COMBAT?  1. BEFORE GOING INTO COMBAT 2. DURING COMBAT 3. AFTER COMBAT 4. UNDECIDED 0. NO ANSWER "
S101C.Q43A. VIOLENT POUNDING OF THE HEART?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101C.Q43B. SINKING FEELING IN THE STOMACH?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101C.Q43C. FEELING OF WEAKNESS OR FEELING FAINT?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101C.Q43D. FEELING SICK AT THE STOMACH?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101C.Q43E. COLD SWEAT?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101C.Q43F. VOMITING?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101C.Q43G. SHAKING OR TREMBLING ALL OVER?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101C.Q43H. URINATING IN PANTS?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101C.Q43I. LOSING CONTROL OF BOWELS?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
