S077A.CARD.  1. CARD ONE 
"S077A.Q27. BELOW IS A LIST OF SOME LIGHT GAMES THAT HOSPITAL PATIENTS SOMETIMES PLAY. READ THE LIST AND CHECK EACH GAME THAT YOU WOULD LIKE TO TAKE PART IN HERE AT THE HOSPITAL, WHETHER THEY HAVE IT HERE NOW OR NOT. BILLIARDS OR POOL PING-PONG (TABLE TENNIS) SHUFFLE BOARD CROQUET DARTS QUOITS OR RING-TOSSING HORSESHOE PITCHING BOWLING OTHER LIGHT GAMES  1. SOMETHING CHECKED IN LIST OF GAMES 2. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY LIGHT GAMES NOW 3. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER "
S077A.Q27A. BILLIARDS OR POOL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q27B. PING-PONG (TABLE TENNIS)*  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q27C. SHUFFLE BOARD?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q27D. CROQUET?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q27E. DARTS?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q27F. QUOITS OR RING-TOSSING?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q27G. HORSESHOE PITCHING?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q27H. BOWLING?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q27I. OTHER LIGHT GAMES?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q28. DURING THE PAST WEEK ABOUT HOW MUCH TIME DID YOU SPEND TAKING PART IN ANY LIGHT GAMES - ANY OF THE GAMES IN QUESTION 27 OR OTHERS LIKE THEM?  1. NONE AT ALL 2. LESS THAN AN HOUR 3. ABOUT AN HOUR 4. ABOUT TWO HOURS 5. ABOUT THREE OR FOUR HOURS 6. ABOUT FIVE OR SIX HOURS 7. ABOUT SEVEN OR MORE HOURS 0. NO ANSWER 
S077A.Q29. IS THERE A PLACE AT THIS HOSPITAL WHERE YOU CAN TAKE PART IN YOUR FAVORITE LIGHT GAME (ANY OF THE GAMES IN QUESTION 27 OR OTHERS LIKE THEM)*  1. THERE IS A GOOD PLACE 2. THERE IS A PLACE THAT WILL DO 3. THERE IS NO PLACE 4. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY LIGHT GAMES NOW 5. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 6. DON'T KNOW 0. NO ANSWER 
S077A.Q30. DOES THE HOSPITAL HAVE THE EQUIPMENT YOU NEED FOR YOU TO TAKE PART IN YOUR FAVORITE LIGHT GAME?  1. YES 2. NO 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY LIGHT GAMES NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY LIGHT GAMES HERE AT THE HOSPITAL 5. DON'T KNOW 0. NO ANSWER 
S077A.Q31. HOW WELL SATISFIED ARE YOU WITH THE CHANCE YOU HAVE AT THIS HOSPITAL TO TAKE PART IN LIGHT GAMES?  1. I AM VERY WELL SATISFIED 2. I AM PRETTY WELL SATISFIED 3. I AM SOMEWHAT DISSATISFIED 4. I AM VERY DISSATISFIED 0. NO ANSWER 
"S077A.Q32. BELOW IS A LIST OF ACTIVE SPORTS. READ THE LIST AND CHECK EACH SPORT THAT YOU WOULD LIKE TO TAKE PART IN HERE AT THE HOSPITAL, WHETHER THEY HAVE IT HERE NOW OR NOT. TENNIS BADMINTON SWIMMING HANDBALL BASKETBALL GOLF VOLLEYBALL SOCCER SOFTBALL BASEBALL TOUCH FOOTBALL REGULAR FOOTBALL BOXING WRESTLING TRACK (RACES, JUMPING, ETC.) OTHER SPORTS  1. SOMETHING CHECKED IN LIST OF SPORTS 2. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 3. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER "
S077A.Q32A. TENNIS?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32B. BADMINTON?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32C. SWIMMING?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32D. HANDBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32E. BASKETBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32F. GOLF?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32G. VOLLEYBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32H. SOCCER?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32I. SOFTBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32J. BASEBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32K. TOUCH FOOTBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32L. REGULAR FOOTBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32M. BOXING?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q32N. WRESTLING?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
"S077A.Q32O. TRACK (RACES, JUMPING, ETC.)*  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION "
S077A.Q32P. OTHER SPORTS?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q33. DURING THE PAST WEEK ABOUT HOW MUCH TIME DID YOU SPEND TAKING PART IN ANY ACTIVE SPORTS - ANY OF THE SPORTS IN QUESTION 32 OR OTHERS LIKE THEM?  1. NONE AT ALL 2. LESS THAN AN HOUR 3. ABOUT AN HOUR 4. ABOUT TWO HOURS 5. ABOUT THREE OR FOUR HOURS 6. ABOUT FIVE OR SIX HOURS 7. ABOUT SEVEN OR MORE HOURS 0. NO ANSWER 
S077A.Q34. IS THERE A PLACE AT THIS HOSPITAL WHERE YOU CAN TAKE PART IN YOUR FAVORITE ACTIVE SPORT (ANY OF THE SPORTS IN QUESTION 32 OR OTHERS LIKE THEM)*  1. THERE IS A GOOD PLACE 2. THERE IS A PLACE THAT WILL DO 3. THERE IS NO PLACE 4. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 5. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 6. DON'T KNOW 0. NO ANSWER 
S077A.Q35. DOES THE HOSPITAL HAVE THE EQUIPMENT YOU NEED FOR YOU TO TAKE PART IN YOUR FAVORITE ACTIVE SPORT?  1. YES 2. NO 3. I DON'T THINK I AM PHYSICALLY ABLE OR WELL ENOUGH TO TAKE PART IN ANY ACTIVE SPORTS NOW 4. I WOULDN'T LIKE TO TAKE PART IN ANY ACTIVE SPORTS HERE AT THE HOSPITAL 5. DON'T KNOW 0. NO ANSWER 
S077A.Q36. HOW WELL SATISFIED ARE YOU WITH THE CHANCE YOU HAVE AT THIS HOSPITAL TO TAKE PART IN ACTIVE SPORTS?  1. I AM VERY WELL SATISFIED 2. I AM PRETTY WELL SATISFIED 3. I AM SOMEWHAT DISSATISFIED 4. I AM VERY DISSATISFIED 0. NO ANSWER 
"S077A.Q37. WHILE YOU ARE HERE AT THE HOSPITAL, WHAT SPORTS WOULD YOU LIKE TO HAVE A CHANCE TO WATCH? (PUT A CHECK IN FRONT OF EACH SPORT THAT YOU WOULD LIKE TO WATCH, WHETHER YOU NOW HAVE A CHANCE TO SEE THEM OR NOT.) GOLF TENNIS BASEBALL SOFTBALL SOCCER BASKETBALL FOOTBALL SWIMMING OR DIVING WRESTLING BOXING TRACK (RACES, JUMPING, ETC.) ICE HOCKEY HORSESHOE PITCHING BILLIARDS OR POOL BOWLING PING-PONG (TABLE TENNIS) OTHERS  1. A SPORT CHECKED 2. I WOULDN'T LIKE TO WATCH ANY SPORTS 3. NO ANSWER 0. NO CODE OR NO DATA "
S077A.Q37A. GOLF?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I WOULDN'T LIKE TO WATCH ANY SPORTS 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q37B. TENNIS?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I WOULDN'T LIKE TO WATCH ANY SPORTS 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q37C. BASEBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I WOULDN'T LIKE TO WATCH ANY SPORTS 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q37D. SOFTBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I WOULDN'T LIKE TO WATCH ANY SPORTS 0. NO ANSWER TO ENTIRE QUESTION X. COL. 80 NOT USED. CARD 2 
S077A.CARD.  2. CARD TWO 
S077A.DECK.  077. SURVEY NUMBER 
S077A.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S077A.FORM.  1. S-077A - A FORM 2. S-77B - B FORM 
S077A.Q37E. SOCCER?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I WOULDN'T LIKE TO WATCH ANY SPORTS 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q37F. BASKETBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I WOULDN'T LIKE TO WATCH ANY SPORTS 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q37G. FOOTBALL?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I WOULDN'T LIKE TO WATCH ANY SPORTS 0. NO ANSWER TO ENTIRE QUESTION 
S077A.Q37H. SWIMMING AND DIVING?  1. ITEM CHECKED 2. ITEM NOT CHECKED 3. I WOULDN'T LIKE TO WATCH ANY SPORTS 0. NO ANSWER TO ENTIRE QUESTION 
