CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22A.,Q.22B.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48A.,Q.48B.,Q.48B..1,Q.49.,Q.50.,V.51.,V.52.
1,186,13,4,6,2,3,8,4,3,3,2,3,4,2,2,2,1,1,3,2,2,5,1,2,2,1,2,1,2,1,2,4,1,4,1,4,2,1,2,2,2,1,2,2,2,6,99,99,9,9,99,99,9,9,15,27
1,186,14,4,6,2,7,8,4,3,3,2,3,4,1,2,2,6,1,1,3,1,3,2,3,1,3,1,2,2,1,3,4,2,2,1,4,2,1,2,2,3,1,2,2,3,6,99,99,9,9,99,99,9,9,15,162
1,186,15,4,5,1,12,8,7,3,3,2,3,4,2,2,1,6,1,1,4,1,2,1,1,2,2,3,1,2,1,2,4,1,1,1,4,9,1,2,2,5,2,2,2,2,2,99,99,9,9,99,99,9,9,15,49
1,186,16,4,5,2,8,8,7,3,1,2,2,3,1,2,1,2,1,3,3,1,2,1,3,2,3,2,1,2,3,1,3,2,2,1,4,2,1,2,1,2,1,1,2,4,6,99,99,9,9,99,99,9,9,15,358
1,186,17,4,6,1,3,8,6,10,3,1,5,6,1,1,2,2,1,3,2,1,4,1,2,2,3,2,3,3,3,1,1,1,3,3,3,9,2,2,2,2,2,1,2,4,3,99,99,9,9,99,99,9,9,10,63
1,186,18,4,6,2,5,8,6,10,3,1,5,9,1,1,2,2,1,3,3,1,2,1,1,2,1,2,1,2,1,2,4,2,1,1,3,1,2,2,1,1,2,2,2,1,1,99,99,9,9,99,99,9,9,4,63
1,186,19,3,6,2,2,8,6,10,3,2,7,7,1,1,2,9,1,1,4,3,2,1,1,1,1,1,2,4,1,4,4,2,2,1,4,6,1,1,1,4,2,3,2,2,3,99,99,9,9,99,99,9,9,4,47
1,186,20,4,5,1,6,8,7,10,3,1,5,9,1,2,1,2,1,3,3,1,2,1,1,1,2,2,2,3,2,2,3,1,2,1,3,7,1,2,2,3,2,2,2,1,4,99,99,9,9,99,99,9,9,4,2
1,186,21,4,5,1,9,8,6,10,3,1,4,6,2,1,2,6,3,2,3,2,2,1,1,1,2,3,1,3,2,3,3,2,2,2,3,2,1,1,0,2,2,2,2,2,2,99,99,9,9,99,99,9,9,4,25
1,186,22,4,6,1,7,8,7,5,3,0,0,0,1,0,1,6,1,1,4,1,2,1,1,1,2,1,1,3,1,3,4,0,0,1,4,2,1,2,1,4,2,3,1,9,9,6,1,1,2,2,99,2,3,12,117
1,186,23,4,6,3,4,8,6,4,2,2,3,4,2,1,2,2,1,2,4,1,2,1,1,1,1,1,1,2,2,3,3,1,3,1,3,1,1,2,2,3,1,2,1,9,9,7,7,1,2,3,99,2,3,12,41
1,186,24,4,6,2,7,8,4,1,2,2,3,3,2,2,1,6,2,2,3,2,3,1,1,1,2,2,1,3,1,1,1,1,3,1,3,1,1,2,2,2,1,2,1,9,9,3,6,1,4,99,1,4,3,5,426
1,186,25,4,6,2,7,8,7,1,2,2,2,5,3,2,1,2,1,2,4,1,2,1,1,1,3,3,2,2,1,4,2,1,4,2,2,2,1,2,1,3,1,2,1,9,9,3,7,2,4,99,5,3,3,5,100
1,186,26,4,6,1,2,8,4,3,3,1,8,8,1,1,2,1,1,4,4,1,3,2,2,1,2,2,1,4,1,4,1,1,3,1,3,7,1,1,1,5,2,2,1,9,9,9,3,2,4,99,2,6,3,6,28
1,186,27,4,5,1,2,8,3,10,3,1,5,5,2,1,2,2,1,1,3,1,5,0,2,2,3,2,2,3,1,1,1,1,2,1,4,1,1,2,2,3,2,1,1,9,9,2,8,2,4,99,3,4,3,10,13
1,186,28,3,6,2,2,8,4,12,2,1,4,4,2,2,1,4,1,2,4,2,5,3,2,3,3,2,3,3,2,1,2,1,4,1,4,1,1,2,1,3,1,1,1,9,9,0,0,0,5,99,99,4,3,7,29
1,186,29,4,6,1,3,8,4,3,3,1,6,8,1,1,1,2,2,4,2,2,3,1,1,2,1,2,1,4,4,1,4,2,2,2,2,9,1,2,1,3,0,1,1,9,9,0,0,0,5,99,99,3,0,7,41
1,186,30,3,5,2,8,8,5,1,2,2,2,4,2,2,2,2,3,2,4,2,3,1,3,1,3,2,1,1,1,3,2,1,3,2,3,1,1,2,2,3,1,2,1,9,9,2,7,2,3,6,99,3,3,5,103
1,186,31,1,6,1,9,8,4,5,3,2,2,2,1,2,1,3,1,3,3,2,4,1,3,2,3,2,1,2,2,2,2,1,3,2,3,9,1,2,2,3,1,1,1,9,9,7,7,2,4,99,0,1,3,12,37
1,186,32,1,5,2,5,8,4,4,2,1,2,2,3,2,1,1,2,2,1,3,4,3,2,1,0,2,1,3,1,1,2,1,1,1,4,2,1,1,1,3,1,1,1,3,3,0,3,2,3,7,99,3,3,14,119
1,186,33,2,5,2,5,8,3,4,3,1,5,6,1,1,3,1,3,3,1,3,5,3,2,3,3,2,3,2,1,1,2,2,1,1,3,9,2,2,1,3,2,1,1,9,9,1,3,2,4,99,7,6,3,14,13
1,186,34,2,5,1,3,8,3,4,3,1,5,5,2,2,2,2,3,3,4,2,3,1,2,2,2,2,1,1,2,2,2,1,3,3,2,9,1,2,2,4,2,2,1,9,9,1,3,2,2,8,99,2,2,14,53
1,186,35,2,5,1,5,8,3,4,3,2,3,4,2,2,1,2,2,3,4,3,4,1,2,2,1,2,1,1,2,1,2,1,3,4,2,9,2,2,3,3,1,1,1,9,9,1,3,2,4,99,3,3,2,14,96
1,186,36,2,5,1,9,8,3,4,3,1,0,0,2,2,2,11,1,2,4,2,4,3,2,3,3,2,1,3,2,2,3,2,1,2,3,9,1,1,1,5,2,1,1,9,9,1,3,2,3,0,99,6,3,13,66
1,186,37,1,5,2,2,8,4,4,2,2,1,1,1,2,1,2,2,3,1,3,5,1,2,2,3,2,2,2,2,1,1,1,6,3,2,9,1,2,3,4,1,1,1,9,9,1,3,2,4,99,7,1,3,13,100
1,186,38,1,5,1,6,8,5,4,3,2,2,2,3,1,2,2,1,1,4,2,4,2,2,2,3,2,1,1,1,1,2,1,2,1,4,9,2,2,1,4,2,1,1,9,9,1,3,2,4,99,2,6,3,13,65
1,186,39,2,5,1,6,8,5,4,3,1,3,5,2,1,1,2,1,1,4,2,5,3,2,1,2,2,2,3,1,1,3,2,1,2,3,2,3,2,2,3,2,3,1,2,9,1,3,2,2,7,99,6,3,13,118
1,186,40,2,6,2,3,8,5,5,3,2,2,3,3,1,2,6,1,2,4,1,3,1,3,2,2,2,1,0,2,2,2,1,4,2,2,9,1,2,2,3,2,1,1,9,9,7,7,2,4,99,1,2,3,12,36
1,186,41,3,5,1,9,8,6,3,2,2,3,5,2,2,1,6,2,3,4,1,3,1,3,1,3,2,1,2,1,1,3,1,5,1,3,1,1,1,1,2,2,1,1,9,9,5,10,2,2,2,99,2,2,16,100
1,186,42,4,6,1,12,8,5,3,2,2,3,3,2,2,1,2,2,3,4,1,2,2,1,2,1,1,3,2,1,3,2,2,4,2,2,2,1,2,2,2,1,3,1,2,5,8,7,2,2,2,99,5,2,15,223
1,186,43,4,6,1,7,8,7,3,2,1,4,10,2,2,1,7,1,1,2,1,3,1,2,1,1,1,1,2,1,3,4,1,3,1,3,1,1,2,0,2,2,0,1,9,9,8,7,1,2,4,99,3,2,15,279
1,186,44,4,6,1,2,8,4,3,2,1,7,7,2,1,2,1,1,3,4,2,2,1,1,3,1,1,1,2,1,4,4,1,4,4,1,9,2,2,2,3,1,3,1,9,9,9,7,1,2,0,99,2,1,15,311
1,186,45,2,6,1,1,8,5,3,3,2,3,5,2,2,2,2,1,3,2,2,3,3,2,2,2,2,1,2,2,1,4,2,2,2,3,1,1,2,2,3,2,1,1,9,9,7,7,2,4,99,3,3,3,16,47
1,186,46,4,6,3,1,8,7,3,2,1,3,5,2,2,1,2,2,1,4,1,1,1,1,1,1,1,1,2,1,4,3,1,4,1,4,2,1,2,2,3,2,2,1,9,9,7,2,2,1,1,99,3,2,15,283
1,186,47,3,5,1,9,8,5,3,3,1,6,7,1,1,1,6,1,1,4,2,1,1,1,1,2,1,1,1,1,4,3,2,2,2,4,2,1,2,1,2,2,3,1,9,9,5,10,2,1,2,99,2,4,16,93
1,186,48,4,6,1,2,8,6,3,3,1,5,6,0,2,2,2,1,3,3,2,2,1,1,1,1,1,1,1,1,4,4,1,2,1,3,1,1,2,2,2,2,2,1,9,9,8,1,1,1,2,99,3,2,15,118
1,186,49,2,6,3,4,8,4,3,2,1,3,4,2,2,2,11,1,3,3,2,3,1,3,1,1,1,3,2,2,3,3,1,4,2,3,9,2,2,3,4,1,2,1,9,9,8,5,1,1,3,99,3,1,15,54
1,186,50,4,2,2,7,8,7,3,3,2,4,4,2,1,1,6,1,1,4,1,1,2,1,1,1,2,1,2,1,1,4,2,4,1,4,1,1,2,1,1,1,1,2,2,3,99,99,9,9,99,99,9,9,15,345
1,186,51,3,5,1,5,8,6,3,1,2,3,3,2,2,1,6,1,1,4,2,2,1,1,1,3,1,1,1,2,2,1,1,4,1,4,1,1,2,2,2,1,2,2,4,4,99,99,9,9,99,99,9,9,15,338
1,186,52,4,6,1,3,8,6,3,0,2,2,5,0,2,0,9,1,1,4,3,5,2,3,3,1,2,1,2,1,1,4,1,2,1,3,9,2,2,1,4,1,3,2,2,3,99,99,9,9,99,99,9,9,15,230
1,186,53,4,6,2,9,8,7,3,3,2,3,4,1,2,1,2,1,2,4,2,5,2,2,2,3,2,1,2,2,1,1,1,1,1,4,1,1,2,2,5,2,1,2,4,4,99,99,9,9,99,99,9,9,15,376
1,186,54,4,5,2,3,8,7,3,3,2,2,4,3,2,2,9,1,1,4,2,4,2,2,2,3,2,2,2,2,1,1,1,3,1,3,1,1,2,1,3,1,1,2,4,4,99,99,9,9,99,99,9,9,15,347
1,186,55,3,5,2,12,8,5,3,3,2,2,3,2,2,2,2,1,2,4,2,2,1,1,2,1,1,1,2,1,3,3,2,1,2,3,2,1,2,1,3,1,3,2,2,3,99,99,9,9,99,99,9,9,15,239
1,186,56,4,5,2,4,8,5,3,3,1,6,9,2,1,2,2,1,1,3,2,4,2,2,2,2,2,1,2,1,3,3,2,1,2,3,9,1,2,1,3,1,2,2,2,3,99,99,9,9,99,99,9,9,15,299
1,186,57,4,6,1,9,8,5,3,3,1,3,3,1,1,2,2,1,1,4,1,3,1,1,1,1,2,1,2,1,3,4,1,1,1,3,8,2,2,1,2,2,2,2,2,3,99,99,9,9,99,99,9,9,15,145
1,186,58,4,6,2,7,8,5,3,2,1,4,8,1,1,1,6,2,2,4,1,3,1,1,1,2,1,1,2,1,4,4,1,4,2,2,9,1,2,1,4,1,3,2,1,1,99,99,9,9,99,99,9,9,15,22
1,186,59,4,6,2,1,6,5,10,3,2,3,3,1,1,2,2,1,2,4,2,3,1,1,1,3,2,1,3,2,3,4,1,4,1,3,9,1,2,1,3,2,1,2,2,3,99,99,9,9,99,99,9,9,10,100
1,186,60,4,6,2,2,6,5,10,3,1,5,9,2,1,3,2,1,1,4,1,3,3,3,2,3,2,1,3,2,3,4,2,2,1,4,1,2,2,1,2,1,2,2,2,1,99,99,9,9,99,99,9,9,4,45
1,186,61,4,6,1,2,6,5,10,3,1,7,7,1,1,1,6,1,1,4,2,3,2,2,2,1,1,1,3,2,3,4,2,2,1,4,1,1,2,2,2,2,2,2,2,1,99,99,9,9,99,99,9,9,4,46
1,186,62,4,6,2,3,6,5,10,2,2,3,3,2,0,1,2,2,2,4,2,1,1,1,1,1,3,1,2,2,3,2,2,1,1,4,9,3,2,1,4,2,2,2,9,9,99,99,9,9,99,99,9,9,3,24
1,186,63,3,6,1,2,6,5,5,2,2,4,3,1,1,2,2,1,2,2,3,2,1,1,1,2,1,2,3,1,3,4,2,1,1,4,1,1,1,2,1,2,2,2,2,1,99,99,9,9,99,99,9,9,6,127
1,186,64,3,6,2,4,6,5,5,3,2,3,3,1,2,2,2,2,3,2,2,3,1,1,3,1,2,2,3,2,2,2,1,4,1,4,2,2,2,1,2,1,2,2,2,2,99,99,9,9,99,99,9,9,6,153
1,186,65,4,5,1,1,6,5,10,2,2,3,5,2,2,1,2,1,1,3,1,1,1,1,1,3,2,1,3,1,2,2,1,5,1,3,1,1,1,3,2,1,1,2,4,2,99,99,9,9,99,99,9,9,8,5
1,186,66,4,5,1,4,6,5,10,2,2,4,5,2,2,2,2,1,1,4,1,2,1,1,2,1,2,1,1,1,3,2,1,3,1,3,2,1,2,1,3,2,2,2,2,3,99,99,9,9,99,99,9,9,9,27
1,186,67,4,5,2,2,6,5,10,2,2,10,10,1,2,2,1,1,2,4,2,2,1,1,2,1,1,1,3,1,3,4,2,3,2,2,4,2,2,2,3,2,2,2,2,2,99,99,9,9,99,99,9,9,10,51
1,186,68,4,5,2,2,6,5,10,2,2,2,2,3,2,1,9,2,3,1,3,4,1,2,3,3,2,2,4,2,1,1,1,4,4,1,2,2,3,1,4,1,1,2,4,2,99,99,9,9,99,99,9,9,10,55
1,186,69,4,5,1,2,6,5,10,3,2,4,5,1,2,2,2,3,2,4,1,2,1,3,1,1,1,1,1,1,3,4,1,3,2,3,9,1,1,2,2,2,2,2,2,2,99,99,9,9,99,99,9,9,10,91
1,186,70,4,5,2,1,6,5,10,3,1,3,5,2,1,1,2,1,2,3,1,2,1,1,1,3,2,2,3,1,3,3,1,3,2,3,2,1,2,2,3,2,2,2,4,2,99,99,9,9,99,99,9,9,4,70
1,186,71,3,5,1,2,6,5,5,3,2,4,5,2,1,2,2,1,1,2,2,3,1,1,2,2,1,1,3,2,2,3,1,4,2,3,9,1,2,2,3,1,2,2,2,1,99,99,9,9,99,99,9,9,6,74
1,186,72,3,5,2,2,6,5,3,2,2,3,4,2,1,2,2,1,1,2,1,3,1,1,2,0,0,2,3,1,2,2,1,4,1,4,2,1,2,3,4,1,2,2,2,2,99,99,9,9,99,99,9,9,7,63
1,186,73,3,5,1,2,6,5,10,3,1,5,5,2,1,1,2,1,1,3,1,3,2,1,2,2,2,1,0,1,3,3,1,5,2,2,2,1,2,1,2,2,2,2,3,3,99,99,9,9,99,99,9,9,9,46
1,186,74,3,5,2,3,6,5,10,2,2,3,4,2,2,2,6,1,2,3,2,2,1,1,2,3,2,1,3,2,2,2,1,4,2,3,9,1,2,2,2,1,1,2,2,3,99,99,9,9,99,99,9,9,10,92
1,186,75,4,6,2,6,6,4,10,3,1,4,5,2,2,1,2,1,2,4,2,4,3,2,1,1,2,1,1,1,3,2,2,2,1,3,5,2,2,1,3,2,3,2,2,3,99,99,9,9,99,99,9,9,7,3
1,186,76,4,6,2,2,6,4,10,2,2,2,3,3,2,1,6,1,2,4,1,3,3,2,2,1,1,1,3,1,3,3,1,4,1,3,2,1,2,1,3,1,3,2,2,2,99,99,9,9,99,99,9,9,7,7
1,186,77,4,6,2,2,6,4,10,3,1,4,5,2,1,2,2,1,2,4,1,3,1,1,2,1,1,1,3,1,3,4,2,4,1,2,9,2,2,2,3,2,3,2,2,2,99,99,9,9,99,99,9,9,9,26
1,186,78,4,6,2,3,6,4,10,3,2,4,5,2,2,1,6,1,1,2,1,2,1,1,1,3,1,1,3,2,3,3,2,2,1,4,1,1,2,1,2,1,3,2,2,2,99,99,9,9,99,99,9,9,10,86
1,186,79,4,6,2,2,6,3,10,3,2,3,5,1,1,1,6,1,2,4,1,3,1,3,1,1,2,1,3,1,3,4,2,2,1,2,2,2,2,1,3,2,2,2,2,3,99,99,9,9,99,99,9,9,7,9
1,186,80,4,6,2,6,6,1,10,2,2,3,3,2,2,1,2,1,2,3,2,3,1,1,2,3,3,3,2,1,3,4,2,3,3,2,9,1,2,2,3,1,0,2,4,6,99,99,9,9,99,99,9,9,9,14
1,186,81,4,5,1,12,6,3,5,3,0,1,2,2,2,1,1,0,1,0,0,3,1,1,1,3,1,1,1,1,3,2,1,2,1,4,9,2,2,2,2,0,0,2,2,3,99,99,9,9,99,99,9,9,6,140
1,186,82,4,6,2,3,6,4,1,3,1,6,7,1,1,2,6,1,2,3,1,3,2,2,1,2,1,1,3,2,3,4,1,4,1,3,2,1,2,2,3,2,3,2,2,4,99,99,9,9,99,99,9,9,5,208
1,186,83,4,5,2,4,6,4,1,2,2,2,3,1,2,2,2,2,2,4,2,4,2,2,3,0,2,1,3,1,2,2,2,2,1,3,9,2,2,2,3,1,3,2,2,4,99,99,9,9,99,99,9,9,5,33
1,186,84,4,4,2,3,6,6,1,2,2,2,3,2,2,2,2,3,2,3,3,4,2,2,2,3,2,3,1,1,1,3,1,3,2,3,1,1,2,2,3,1,2,2,4,3,99,99,9,9,99,99,9,9,5,77
1,186,85,4,4,2,4,6,6,1,3,1,5,5,1,1,2,6,1,2,2,1,3,1,3,1,3,2,3,4,2,3,4,2,2,1,3,2,1,2,1,2,1,3,2,9,9,99,99,9,9,99,99,9,9,5,324
1,186,86,3,4,2,5,6,6,1,3,2,3,4,2,2,2,1,1,2,4,1,1,1,1,1,2,2,1,2,2,3,4,1,4,1,3,2,1,2,2,2,2,3,2,2,2,99,99,9,9,99,99,9,9,5,271
1,186,87,3,4,2,5,6,6,1,2,2,3,4,2,2,1,2,1,1,4,1,2,1,1,2,2,2,3,2,1,3,3,1,2,2,2,2,1,2,2,3,1,3,2,2,1,99,99,9,9,99,99,9,9,5,273
1,186,88,3,4,2,2,6,6,1,3,2,3,4,1,2,2,2,1,2,3,1,2,1,1,1,2,2,1,2,1,3,3,2,2,1,3,1,1,2,1,3,2,2,2,2,2,99,99,9,9,99,99,9,9,5,294
1,186,89,3,4,2,3,6,6,1,3,2,3,5,2,2,1,6,1,3,2,2,3,1,2,2,3,2,1,2,2,3,4,2,2,1,3,1,1,2,2,3,1,3,2,2,2,99,99,9,9,99,99,9,9,5,74
1,186,90,3,4,2,5,6,6,1,3,1,6,7,3,2,2,6,1,2,3,3,1,1,1,1,1,2,1,4,1,3,4,2,1,1,4,9,2,2,1,3,2,1,2,2,1,99,99,9,9,99,99,9,9,5,313
1,186,91,3,4,2,4,6,6,1,3,1,5,9,1,1,2,6,1,2,4,1,1,1,1,1,1,2,1,3,2,3,4,1,4,3,2,2,1,2,1,3,2,3,2,1,1,99,99,9,9,99,99,9,9,5,318
1,186,92,3,4,2,7,6,6,1,3,2,3,3,2,1,1,2,1,2,4,1,3,2,2,1,2,2,1,3,1,1,2,1,3,2,3,2,1,2,1,4,2,2,2,9,3,99,99,9,9,99,99,9,9,5,374
1,186,93,3,5,2,2,6,6,1,3,1,5,5,2,1,1,1,0,4,1,2,3,2,2,0,3,2,1,2,3,0,4,1,0,1,4,1,2,3,1,5,1,1,2,9,9,99,99,9,9,99,99,9,9,5,375
1,186,94,4,5,2,7,6,7,1,1,2,2,3,2,2,1,2,1,2,2,1,3,1,1,1,2,1,1,3,2,3,4,1,3,1,3,1,1,2,2,3,1,2,2,2,1,99,99,9,9,99,99,9,9,5,311
1,186,95,4,5,2,2,6,7,1,3,1,5,7,1,1,2,2,1,2,4,1,3,1,1,2,1,1,1,3,1,3,4,2,2,1,4,1,1,2,1,2,2,3,2,2,1,99,99,9,9,99,99,9,9,5,220
1,186,96,3,5,2,4,6,7,1,2,2,3,4,2,2,1,2,1,2,2,1,2,1,1,2,3,2,3,3,2,2,3,1,4,1,3,9,1,1,2,2,1,2,2,4,3,99,99,9,9,99,99,9,9,5,224
1,186,97,4,5,2,2,6,8,1,3,1,5,5,1,1,2,2,1,3,2,1,2,1,1,2,2,2,1,2,2,3,4,2,3,1,4,1,1,2,1,2,2,2,2,2,2,99,99,9,9,99,99,9,9,5,184
1,186,98,3,5,2,4,6,8,1,3,2,3,5,1,2,2,2,1,3,3,3,3,2,2,2,3,2,1,2,2,2,4,2,4,1,2,2,2,2,1,3,2,3,2,4,4,99,99,9,9,99,99,9,9,5,218
1,186,99,4,6,2,4,6,6,1,3,2,3,4,1,1,2,2,1,2,2,2,4,2,2,1,3,3,1,3,2,3,4,2,1,2,3,2,1,2,1,2,1,2,2,4,6,99,99,9,9,99,99,9,9,5,84
1,186,100,4,6,2,4,6,6,1,3,2,3,5,1,1,2,2,1,2,4,1,2,1,1,2,3,1,1,3,2,3,3,1,3,1,3,9,2,2,2,3,2,2,2,9,9,99,99,9,9,99,99,9,9,5,305
1,186,101,4,6,2,4,6,6,1,2,2,2,4,1,2,1,1,2,2,3,1,4,3,3,1,1,2,2,3,1,3,3,2,2,1,4,1,1,2,2,4,1,2,2,2,2,99,99,9,9,99,99,9,9,5,211
1,186,102,4,6,2,4,6,6,1,2,1,3,5,1,1,1,6,3,1,4,1,4,2,2,1,3,2,3,3,1,3,2,1,4,2,3,9,3,1,2,4,2,2,2,2,6,99,99,9,9,99,99,9,9,5,231
1,186,103,4,6,2,3,6,7,1,2,2,3,5,1,2,1,2,1,1,3,1,3,2,2,1,1,2,2,3,2,2,4,2,3,2,3,2,1,2,1,2,2,2,2,4,2,99,99,9,9,99,99,9,9,5,212
1,186,104,4,6,2,4,6,7,1,3,1,5,7,2,2,2,2,1,2,3,1,3,2,2,1,1,2,1,2,2,3,2,1,4,1,3,1,2,2,1,2,2,2,2,2,3,99,99,9,9,99,99,9,9,5,380
1,186,105,4,6,2,4,6,8,1,3,1,5,7,1,1,2,2,1,1,2,1,3,1,1,1,2,1,1,2,2,3,3,2,3,1,4,1,2,2,2,2,2,2,2,4,2,99,99,9,9,99,99,9,9,5,229
1,186,106,3,6,2,1,6,5,10,3,2,3,3,1,2,1,2,1,1,4,2,2,1,1,1,3,2,1,3,1,3,3,1,3,1,4,2,1,2,1,2,2,2,2,3,2,99,99,9,9,99,99,9,9,11,38
1,186,107,3,6,2,7,6,5,10,3,1,4,5,2,1,2,6,2,2,4,1,2,1,1,2,1,2,1,3,3,1,1,2,1,3,2,2,1,2,2,3,1,2,2,3,3,99,99,9,9,99,99,9,9,2,37
1,186,108,4,6,2,2,6,5,10,3,2,3,3,1,2,2,1,2,2,3,1,2,1,1,1,0,1,1,2,1,3,4,2,1,1,3,2,1,2,2,2,1,2,2,2,3,99,99,9,9,99,99,9,9,11,32
1,186,109,4,6,2,12,6,5,10,2,2,4,5,2,2,2,2,1,3,4,1,2,1,1,2,3,2,1,3,2,2,2,2,3,1,3,2,1,2,1,2,1,2,2,2,1,99,99,9,9,99,99,9,9,2,96
1,186,110,4,6,2,4,6,6,10,2,2,3,5,2,2,1,2,2,1,4,2,3,1,1,2,2,2,1,2,1,3,4,1,2,1,4,2,1,2,1,2,2,2,2,2,3,99,99,9,9,99,99,9,9,11,12
1,186,111,4,6,2,5,6,6,10,2,2,2,3,3,2,1,2,3,1,2,1,1,1,1,2,3,2,1,3,1,3,3,1,4,2,4,4,1,2,2,2,1,2,2,2,3,99,99,9,9,99,99,9,9,11,50
1,186,112,3,6,2,7,6,7,10,3,1,4,5,3,1,1,2,1,1,4,2,1,1,1,1,1,1,1,3,1,3,4,1,4,1,4,1,1,2,1,3,2,3,2,2,2,99,99,9,9,99,99,9,9,2,157
1,186,113,4,6,2,7,6,7,10,3,1,5,6,2,1,1,2,1,2,4,1,1,1,1,1,1,1,1,3,1,3,4,1,2,1,3,1,1,2,2,3,2,3,2,2,3,99,99,9,9,99,99,9,9,11,63
1,186,114,4,6,2,9,6,7,10,3,1,5,8,2,1,2,9,3,2,3,1,2,1,1,1,1,2,1,3,2,3,4,2,3,1,2,1,1,2,1,2,2,2,2,1,1,99,99,9,9,99,99,9,9,2,12
1,186,115,4,6,2,4,6,8,10,3,2,3,4,2,2,1,2,3,2,3,1,3,1,1,1,1,1,1,1,1,3,3,2,2,1,3,1,1,2,2,2,1,2,2,2,2,99,99,9,9,99,99,9,9,11,25
1,186,116,3,6,1,2,6,8,10,3,2,3,4,2,1,2,2,1,2,3,2,2,1,1,2,1,1,1,3,2,3,4,2,3,1,4,1,2,2,2,1,1,2,2,2,2,99,99,9,9,99,99,9,9,2,150
