CARD.,DECK.,BALLOT.,,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22A.,Q.22B.,Q.23.,Q.24A.,Q.24B.,Q.24C.,Q.24D.,Q.24E.,Q.24F.,Q.24G.,Q.24H.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.36B.,Q.36C.,Q.36D.,Q.36E.,Q.36F.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41A.,Q.41B.,Q.42.,Q.44A.,Q.44B.,Q.44C.,Q.44D.,V.45.,V.46.,V.47.,V.48.
1,219,25,3,1,5,1,6,2,6,3,5,2,1,3,4,4,2,1,3,2,5,2,2,2,5,5,4,1,2,1,2,1,1,1,3,3,5,7,4,2,5,3,3,2,1,1,2,1,1,1,1,1,3,2,6,3,2,2,1,2,1,1,3,5,9,26
1,219,26,3,4,6,1,8,2,1,4,6,2,6,3,3,4,1,1,2,2,3,1,1,2,5,5,4,1,3,3,1,1,3,1,3,5,10,5,5,2,5,3,2,2,4,1,1,1,2,2,1,5,2,5,1,1,3,2,2,3,3,2,3,5,8,16
1,219,27,3,3,3,1,8,2,6,6,6,2,2,3,3,3,1,1,3,2,2,1,1,1,3,3,1,2,1,1,2,1,2,1,1,1,14,2,1,2,3,4,1,1,4,2,1,2,2,2,2,5,4,4,1,4,1,1,1,1,3,2,3,5,8,317
1,219,28,3,3,3,1,8,2,6,3,6,2,2,3,3,5,2,1,3,3,5,1,1,1,5,4,2,1,1,1,1,1,3,1,1,2,3,1,4,2,4,3,2,1,1,1,2,2,1,2,2,4,3,3,3,2,2,2,1,2,6,2,3,5,8,307
1,219,29,3,4,4,2,8,2,3,5,6,2,2,3,4,3,1,2,1,3,4,1,1,1,5,3,3,1,2,1,2,1,2,1,2,1,8,2,2,3,3,3,2,1,2,1,2,2,1,2,2,5,3,4,2,3,1,1,1,2,3,1,3,5,8,717
1,219,30,3,3,6,1,7,2,1,4,8,2,5,2,3,5,2,1,3,4,9,2,1,1,3,2,2,1,1,1,2,1,2,1,2,1,9,2,1,4,3,3,1,1,2,1,2,2,1,1,2,4,3,2,4,2,4,1,1,2,3,2,3,5,9,37
1,219,31,3,4,6,3,8,2,6,5,6,2,6,3,3,5,1,1,2,4,4,2,1,1,3,1,1,1,1,1,2,1,2,1,3,3,10,6,5,2,3,3,3,3,4,1,1,1,2,1,1,2,3,4,6,1,2,1,2,2,6,1,3,5,8,19
1,219,32,3,4,6,2,8,2,6,6,10,2,5,3,4,6,1,1,3,4,4,1,1,1,4,0,2,1,1,1,2,1,2,1,1,1,9,2,6,2,3,3,1,1,2,1,1,0,1,2,2,4,3,2,5,1,2,1,1,1,3,4,3,5,9,409
1,219,33,3,4,6,1,8,2,1,5,6,2,6,2,2,3,1,1,3,2,3,2,1,1,4,2,2,1,1,1,1,1,2,1,3,2,11,4,2,4,4,3,2,1,3,1,1,1,1,2,2,4,3,4,4,3,2,2,2,2,3,2,3,5,8,9
1,219,34,3,3,2,1,8,2,2,3,6,1,1,2,3,8,4,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,1,1,1,5,4,4,5,2,4,3,2,1,1,1,2,2,1,2,2,5,3,2,4,1,4,3,2,3,2,2,3,5,8,39
1,219,35,3,3,6,3,8,1,6,5,6,2,6,1,2,4,2,1,3,4,5,2,2,2,5,4,4,3,1,1,3,1,3,1,3,5,11,4,5,3,5,3,3,2,2,1,1,1,2,1,2,4,3,4,2,2,4,2,2,1,1,1,3,5,8,719
1,219,36,3,2,7,1,6,2,1,3,6,2,5,3,4,4,3,1,2,2,3,2,1,2,5,2,2,1,1,1,3,1,2,1,2,3,10,1,2,2,5,3,2,2,1,1,2,1,2,2,2,5,3,3,4,1,3,3,1,1,1,2,3,5,9,69
1,219,37,3,3,5,2,8,2,4,5,6,2,4,1,2,2,1,1,2,3,3,2,2,2,5,4,2,3,1,1,3,1,1,1,3,5,10,2,4,3,5,3,2,1,1,1,2,2,1,1,1,5,3,4,5,2,1,1,2,1,6,1,3,5,8,729
1,219,38,3,2,4,2,7,2,1,4,5,1,3,2,4,6,3,1,2,4,4,2,1,2,5,4,3,1,3,1,1,1,2,1,2,5,7,1,5,2,4,2,2,2,4,1,1,2,2,1,1,5,3,4,2,2,2,1,1,2,2,1,3,5,9,419
1,219,39,3,3,5,1,8,1,6,3,5,2,5,2,2,3,1,1,3,2,3,1,1,2,5,4,3,1,1,1,1,1,1,1,3,5,7,1,4,3,4,3,2,1,1,1,2,2,1,1,1,4,3,3,4,2,4,1,2,1,1,1,3,5,9,79
1,219,40,3,3,5,1,8,2,2,5,6,0,4,2,2,3,1,1,2,2,3,1,3,2,5,5,4,1,2,1,1,1,1,1,2,2,8,1,4,2,5,3,2,1,3,1,1,2,2,1,1,5,2,2,5,1,3,3,2,1,1,1,3,5,8,319
1,219,41,3,2,3,2,8,2,6,4,6,2,1,3,4,4,2,2,2,3,5,2,2,2,5,5,4,3,3,3,3,1,3,1,3,5,2,2,3,4,4,3,2,5,1,1,2,1,2,1,2,5,2,3,3,2,2,4,1,1,3,2,3,5,8,709
1,219,42,3,4,6,1,8,1,6,6,6,2,1,3,3,4,1,2,3,2,5,1,2,2,3,2,3,3,1,1,1,2,3,1,1,2,4,2,2,5,3,3,2,1,2,1,2,2,1,2,2,4,3,3,3,3,2,2,1,1,3,2,3,5,8,49
1,219,43,3,3,3,1,8,2,1,3,6,2,2,3,3,5,1,3,3,3,7,1,1,2,5,2,3,3,3,1,3,1,2,1,1,5,4,1,3,3,3,3,1,1,1,1,2,2,1,2,2,4,3,3,4,3,1,2,2,3,3,1,3,5,8,309
1,219,44,3,2,4,1,7,1,6,2,6,2,3,3,4,4,1,1,2,1,9,1,1,2,5,5,4,1,1,1,1,1,3,1,3,5,4,2,5,1,4,4,2,2,2,1,1,1,2,2,1,4,4,5,2,1,2,1,2,1,3,1,3,3,4,29
1,219,45,3,4,6,1,8,1,6,5,6,2,1,3,3,4,2,1,2,2,3,1,1,2,5,4,4,1,3,1,3,1,3,1,1,5,6,1,6,2,4,3,2,2,2,1,2,1,2,1,1,2,3,3,3,2,2,3,2,2,3,1,3,5,8,29
1,219,46,3,2,5,1,8,1,6,3,8,1,4,3,4,4,1,1,3,2,5,2,1,2,4,2,4,3,1,3,3,1,3,1,3,5,6,4,2,3,3,3,2,1,1,1,2,2,1,2,2,5,3,3,4,2,3,2,2,1,3,1,3,5,3,409
1,219,47,3,3,3,1,8,2,2,3,6,2,1,3,4,5,3,2,3,3,7,2,3,2,5,4,3,3,3,3,3,3,3,3,1,5,14,3,3,3,3,3,2,1,2,1,2,2,1,2,2,5,3,2,4,2,2,1,2,3,2,2,3,5,8,38
1,219,48,3,3,5,1,8,2,6,4,6,2,5,2,2,3,1,3,3,3,6,2,2,2,5,5,3,1,1,3,1,1,1,1,3,5,10,1,5,4,4,3,2,1,2,1,1,1,1,1,2,4,3,4,3,1,2,2,2,1,2,2,3,5,8,308
1,219,49,3,3,3,1,8,1,6,3,6,1,1,3,4,5,1,3,2,3,7,1,1,2,5,4,4,1,1,1,1,1,1,1,1,5,2,1,3,3,4,2,3,5,5,1,2,2,1,1,2,4,2,2,5,3,2,3,1,1,3,1,3,5,8,48
1,219,50,3,3,3,1,8,1,6,3,6,2,1,3,4,5,2,1,2,3,5,1,1,1,3,2,2,1,1,1,2,1,2,1,2,2,3,2,2,4,3,3,2,2,1,1,2,1,2,2,1,4,3,3,4,1,2,2,2,3,3,2,3,5,9,58
1,219,51,3,1,4,1,8,2,6,4,6,1,1,2,4,5,3,1,3,4,5,2,1,2,5,5,3,1,1,1,1,1,1,1,2,3,4,6,5,2,5,3,2,1,1,1,2,2,1,2,2,5,3,1,5,1,4,3,2,3,2,1,3,5,8,28
1,219,52,3,3,3,1,8,2,6,3,6,2,2,3,4,5,1,3,3,3,6,1,1,1,4,2,3,1,1,1,3,1,3,1,3,0,4,2,2,3,3,3,2,1,1,1,2,2,1,2,2,4,3,2,4,2,2,2,2,2,3,2,3,5,8,318
1,219,53,3,2,5,1,8,2,2,6,8,1,1,4,3,6,1,1,2,3,5,2,3,2,5,3,4,1,1,3,1,3,1,1,3,5,6,6,3,4,3,1,2,2,1,1,2,1,1,2,2,3,3,2,3,1,4,1,1,1,6,4,3,5,3,412
1,219,54,3,3,5,1,8,2,6,3,6,1,1,3,3,4,1,1,3,2,4,1,1,2,5,4,4,1,1,3,2,3,2,1,1,2,14,3,2,1,3,1,2,5,5,1,1,1,2,2,1,4,1,3,3,2,2,2,1,2,3,2,3,5,8,32
1,219,55,3,4,6,2,8,2,2,5,6,2,6,3,3,4,1,1,2,2,5,2,1,1,5,5,3,1,1,3,3,1,1,1,3,3,12,3,5,4,4,1,2,2,4,1,1,1,2,1,1,5,2,5,2,1,2,2,1,3,3,3,3,5,9,412
1,219,56,3,4,5,1,8,1,6,3,8,2,6,2,2,3,2,1,2,3,6,2,1,1,4,0,2,1,1,1,1,1,2,1,2,2,9,1,2,4,3,3,2,1,1,1,2,1,2,2,2,5,3,3,4,1,1,1,2,1,1,1,3,5,3,402
1,219,57,3,4,5,1,8,2,1,5,6,2,6,2,3,4,2,1,3,4,5,1,1,2,5,4,3,1,1,1,2,1,2,1,2,2,10,4,4,3,4,2,2,2,2,1,2,1,2,2,1,4,3,3,4,2,2,3,2,2,2,2,3,5,8,12
1,219,58,3,1,4,1,8,1,6,4,8,1,1,3,4,4,2,1,3,3,5,2,2,2,4,3,3,1,1,1,1,2,2,1,3,2,3,3,3,0,0,3,2,2,1,1,2,1,1,2,2,4,3,3,3,2,4,1,1,3,3,1,3,5,3,2
1,219,59,3,3,4,3,8,2,6,3,6,1,2,3,3,4,1,2,2,2,4,1,1,1,5,3,3,1,1,3,1,1,3,1,2,5,5,3,3,2,4,3,1,2,5,1,1,1,2,2,1,4,2,4,2,1,2,2,2,1,3,1,3,3,2,732
1,219,60,3,3,4,3,8,1,6,3,6,2,2,3,3,4,1,1,2,3,4,2,1,2,4,2,2,1,1,1,2,1,2,1,1,2,5,4,2,2,3,3,3,2,2,1,2,1,1,1,1,4,3,4,4,2,1,2,1,1,3,3,3,3,6,712
1,219,61,3,4,6,1,8,2,6,6,6,0,6,3,4,6,1,1,3,4,5,2,1,2,5,5,3,1,1,1,1,1,1,1,3,3,9,1,4,2,4,1,2,2,3,3,1,1,2,2,2,2,1,5,3,2,3,2,1,1,4,2,3,5,8,22
1,219,62,3,3,5,1,8,2,2,3,6,2,2,2,4,5,1,1,2,2,3,1,1,1,5,4,3,2,1,1,3,1,3,1,2,2,8,1,2,5,3,3,1,1,1,1,2,2,1,2,2,3,3,0,4,4,1,1,2,3,2,2,3,5,8,310
1,219,63,3,2,5,2,6,2,1,4,8,1,4,1,3,3,2,3,2,3,4,2,1,2,5,5,4,1,1,3,3,3,3,1,3,5,8,1,5,4,5,3,2,2,2,1,2,1,1,2,2,2,3,1,4,1,2,1,2,1,1,1,3,5,3,410
1,219,64,3,2,6,1,8,2,6,3,5,2,5,2,3,4,2,1,2,3,7,1,2,1,4,4,3,1,1,3,1,1,2,1,2,2,8,6,2,3,3,1,2,3,1,1,2,1,1,1,1,4,1,3,4,2,2,2,2,1,1,2,3,5,9,20
1,219,65,3,4,6,3,8,2,6,5,6,2,4,3,4,6,2,1,3,4,5,2,2,1,5,3,2,1,2,1,1,3,1,1,2,5,9,5,4,2,4,3,2,2,1,1,2,1,2,2,2,5,3,3,3,1,4,2,3,3,3,2,3,5,8,720
1,219,66,3,3,5,1,8,2,2,5,6,0,1,1,4,0,1,1,1,1,3,1,3,2,5,5,4,1,3,3,3,3,3,3,3,5,7,5,5,2,5,3,2,1,1,1,2,2,1,2,2,4,3,2,4,1,2,2,2,1,1,1,3,5,8,40
1,219,67,3,4,5,1,5,2,2,6,10,2,6,3,4,5,1,1,3,4,5,2,1,1,5,5,3,1,3,1,1,1,1,3,3,5,7,1,2,5,3,3,1,1,1,1,2,2,1,1,2,5,2,3,5,2,1,1,1,1,3,1,3,5,9,70
1,219,68,3,2,5,1,8,2,1,3,6,2,1,1,4,4,1,2,3,9,9,2,3,2,5,5,4,1,1,3,3,1,3,1,1,5,14,6,5,1,5,3,1,1,1,1,2,2,1,2,2,5,3,3,6,1,3,3,2,1,1,1,3,5,8,50
1,219,69,3,4,6,1,7,2,3,5,8,2,4,2,3,3,2,1,2,2,4,1,1,1,3,2,3,2,1,1,4,1,2,1,2,2,11,2,2,3,3,3,2,1,1,1,2,2,1,2,2,4,3,3,3,3,1,2,2,2,7,2,3,5,9,30
1,219,70,3,4,7,2,8,2,2,5,6,2,6,4,3,6,3,1,3,5,8,2,1,1,4,4,2,1,1,1,1,1,1,1,1,2,13,2,1,5,3,2,2,1,1,1,2,2,2,2,2,4,2,2,5,2,2,2,1,2,5,4,3,5,8,20
1,219,71,3,2,5,1,7,1,6,5,5,0,4,1,4,6,2,1,3,5,5,2,2,1,5,4,3,2,2,2,1,2,2,2,2,4,6,5,4,2,1,1,3,3,4,1,1,1,2,1,1,1,1,5,1,1,4,1,2,1,1,1,3,5,9,3
1,219,72,3,4,6,2,8,2,6,4,6,2,4,3,3,4,2,1,2,2,3,1,1,1,3,2,4,1,1,1,2,1,2,1,2,5,8,1,2,2,2,1,5,5,3,1,1,1,2,1,1,4,1,2,1,5,4,3,1,1,2,1,3,5,8,703
1,219,73,3,2,2,1,8,2,6,3,6,2,1,3,4,6,1,1,3,5,5,1,2,2,5,5,4,3,1,3,3,1,3,3,3,5,1,5,5,3,4,2,2,1,2,1,2,1,2,2,1,5,2,3,4,2,2,3,2,1,3,1,3,5,8,33
1,219,74,3,1,4,1,7,1,6,2,5,1,1,3,4,5,1,1,3,3,4,1,2,1,3,3,2,1,1,1,1,1,2,3,3,2,3,4,3,3,4,3,2,2,5,2,1,1,1,2,2,3,3,3,3,1,2,2,1,1,3,2,3,5,9,413
1,219,75,3,3,5,3,8,1,6,3,6,2,5,2,3,5,1,1,2,3,4,2,2,1,5,5,3,1,1,1,1,3,2,1,3,5,9,1,6,4,4,3,2,1,1,2,2,1,1,2,2,3,3,2,4,2,2,2,2,1,3,1,3,5,3,403
1,219,76,3,4,5,3,8,2,1,4,6,2,4,1,3,4,1,1,3,4,5,2,1,2,5,5,3,3,1,1,3,1,3,1,1,5,10,1,4,4,3,3,3,2,3,1,1,2,1,1,2,5,3,3,4,2,2,2,2,1,1,1,3,5,8,715
1,219,77,3,4,6,1,8,2,3,6,6,0,6,1,4,5,4,2,3,3,5,1,3,2,5,5,4,3,3,1,1,3,3,1,3,5,13,1,5,3,3,3,2,5,5,1,2,1,2,2,2,5,3,3,3,3,4,4,2,1,1,1,3,5,8,15
1,219,78,3,4,4,1,8,2,1,6,6,2,2,3,3,4,2,1,2,3,3,1,1,2,5,3,3,1,1,1,3,1,2,1,1,5,7,2,2,4,3,2,2,1,1,1,2,2,1,2,2,5,2,2,4,3,2,2,2,2,3,2,3,5,8,25
1,219,79,3,4,4,2,8,1,6,5,6,0,5,3,4,5,2,1,2,4,5,1,2,2,5,4,4,0,1,0,4,0,0,1,0,5,7,5,4,2,4,2,2,1,1,1,1,1,1,1,2,4,2,3,4,2,4,2,1,2,3,2,3,5,8,315
1,219,80,3,3,5,2,8,2,1,3,6,2,3,1,2,4,1,1,2,3,4,1,2,2,5,4,2,1,1,1,3,2,2,1,2,3,7,3,4,4,5,5,6,6,6,3,3,0,3,0,0,0,0,0,0,0,0,5,3,4,7,4,3,3,4,615
1,219,81,3,3,4,2,8,1,6,6,6,2,4,1,4,4,4,1,3,3,3,2,2,2,5,5,4,3,3,3,3,3,3,3,3,4,8,5,5,2,4,1,5,2,5,1,1,1,2,2,2,5,1,3,3,1,4,4,2,3,2,1,3,5,8,725
1,219,82,3,2,4,2,8,2,2,6,8,1,3,2,3,5,2,1,3,3,6,2,1,2,5,5,2,1,1,1,3,1,1,1,2,5,8,1,4,3,4,3,2,2,2,1,2,1,1,2,2,5,3,3,3,2,2,1,2,1,2,1,3,5,3,415
1,219,83,3,2,4,1,7,2,6,3,8,1,1,3,4,6,3,3,3,4,5,2,2,2,5,0,4,3,1,3,1,3,3,1,3,5,5,3,3,3,3,3,2,2,1,1,2,1,1,2,1,5,3,3,3,3,4,2,1,1,3,2,3,5,3,5
1,219,84,3,2,4,3,8,2,6,3,6,2,3,3,3,4,1,1,2,3,3,2,1,2,4,1,3,3,1,3,3,1,3,1,3,2,5,3,2,3,4,2,1,2,2,1,1,2,1,2,2,4,2,2,4,2,4,2,2,1,3,2,3,3,4,405
1,219,85,3,4,6,2,8,2,2,4,6,2,1,2,4,4,3,1,3,4,5,2,2,2,5,4,3,1,1,1,1,1,3,1,2,5,9,1,4,2,5,2,1,1,2,1,2,1,2,1,1,2,4,3,3,1,2,1,2,2,6,2,3,5,8,705
1,219,86,3,4,4,2,8,2,1,5,6,2,3,1,2,4,1,1,3,3,4,1,2,2,4,3,3,1,1,1,2,1,2,1,1,2,6,1,5,3,4,3,2,2,2,1,1,1,1,1,2,5,3,2,4,2,2,1,2,2,3,1,3,5,9,75
1,219,87,3,2,5,2,8,2,6,4,8,1,3,2,3,4,3,1,3,3,5,1,1,2,5,4,3,3,1,1,3,1,2,1,2,5,6,2,5,4,3,3,2,1,1,1,2,2,1,2,2,4,3,2,6,1,2,2,1,2,2,2,3,5,3,405
1,219,88,3,3,3,1,8,1,6,3,6,1,2,3,4,5,2,2,2,2,3,1,2,2,5,4,3,3,1,1,1,1,1,1,3,5,3,3,4,2,4,3,2,5,2,1,1,1,2,2,2,5,3,3,3,2,2,2,2,2,3,1,3,5,8,305
1,219,89,3,3,3,1,8,1,6,4,6,2,2,3,3,3,2,1,2,0,2,1,2,1,3,1,1,1,1,1,1,1,2,1,1,1,6,3,1,2,3,3,2,1,1,1,2,2,1,2,2,4,3,3,3,2,1,2,2,2,3,1,3,5,6,405
1,219,90,3,1,4,1,6,2,6,2,6,2,1,3,4,5,2,2,2,2,4,1,1,1,3,2,2,1,1,1,2,1,3,1,2,2,3,2,2,3,3,2,2,2,2,1,2,1,1,1,1,4,2,2,4,2,2,2,1,1,3,1,3,5,8,5
1,219,91,3,2,4,1,7,1,6,3,5,2,1,3,3,6,1,2,3,3,5,1,1,1,5,4,3,1,1,1,1,2,2,1,3,3,3,1,4,2,5,3,2,2,2,1,2,1,2,2,1,5,3,3,3,2,3,2,2,2,3,1,3,5,9,415
1,219,92,3,3,4,1,8,1,6,3,6,2,4,2,4,6,2,1,3,5,9,1,2,1,5,4,3,1,1,1,1,1,1,1,2,5,7,5,2,2,4,3,2,1,1,1,2,2,1,1,1,4,3,1,4,1,2,2,2,1,2,2,3,5,8,35
1,219,93,3,4,5,1,8,2,2,4,5,2,5,1,2,3,1,1,2,3,4,1,2,1,5,4,2,2,1,3,1,1,2,1,2,1,10,2,4,3,4,3,1,2,2,1,2,1,1,1,2,5,3,3,4,1,3,1,2,1,1,2,3,5,9,27
1,219,94,3,2,6,2,8,2,1,5,6,2,6,2,3,3,1,1,1,2,3,1,2,1,4,2,3,1,1,1,3,1,2,1,2,5,11,2,4,1,5,1,1,2,1,1,2,1,1,2,2,5,1,2,5,3,2,3,2,2,2,1,3,5,8,27
1,219,95,3,4,6,2,8,2,1,5,6,2,6,4,2,3,1,1,3,4,5,1,2,2,5,4,3,3,1,2,1,1,2,1,3,2,13,4,4,3,3,2,2,2,2,1,2,1,1,2,2,4,2,2,5,2,2,3,2,2,5,2,3,3,1,757
1,219,96,3,1,5,2,8,1,6,3,6,1,5,3,4,5,1,1,3,3,7,1,2,2,4,3,2,1,1,1,1,1,3,1,3,2,7,2,3,2,0,4,1,1,2,1,2,2,1,1,2,5,4,3,3,4,4,1,2,2,6,1,3,5,8,7
1,219,97,3,4,7,1,6,3,6,6,6,2,2,4,4,5,3,1,2,2,5,1,1,2,3,2,2,1,1,2,1,1,2,1,2,1,7,2,2,3,3,3,2,5,2,1,2,1,2,1,1,3,3,3,3,2,2,2,1,1,5,3,3,5,9,87
1,219,98,3,4,5,1,8,2,2,4,5,2,1,2,3,5,1,3,2,2,3,2,1,2,5,4,4,2,1,1,1,3,2,3,2,5,8,4,2,4,5,2,2,2,1,1,1,1,1,2,2,4,2,3,1,2,2,2,2,2,2,2,3,5,9,417
