S0224.CARD.  1. CARD ONE 
"S0224.Q18A. AT THE PRESENT, ARE YOU YOURSELF GIVEN MILITARY INSPECTIONS IN THIS HOSPITA? (DO NOT INCLUDE VISITS OF DOCTORS AND NURSES TO CHECK ON YOUR PHYSICAL CONDITION.)  1. NO 2. YES, UNSPECIFIED 3. YES, MORE THAN 1 PER WEEK 4. YES, LESS THAN 1 PER WEEK 5. YES, 1 PER WEEK 0. NO ANSWER "
S0224.Q18B. HOW DO YOU FEEL ABOUT THE NUMBER OF MILITARY INSPECTIONS YOU HAVE HER?  1. DO NOT HAVE ANY AT ALL 2. HAVE TOO FEW 3. HAVE ABOUT THE RIGHT NUMBER 4. HAVE TOO MANY 0. NO ANSWER 
"S0224.Q19A. FROM WHAT YOU HAVE SEEN, HOW OFTEN ARE MILITARY INSPECTIONS GIVEN TO THE PEOPLE WHO WORK ON THE HOSPITAL STAFF HERE (THE DOCTORS, NURSES, WARD BOYS, ETC.)*  1. VERY OFTEN 2. FAIRLY OFTEN 3. JUST ONCE IN A WHILE 4. PRACTICALLY NEVER 5. HAVEN'T ANY IDEA 0. NO ANSWER "
S0224.Q19B. DO YOU THINK THESE INSPECTIONS THAT ARE GIVEN TO THE HOSPITAL STAFF MAKE ANY DIFFERENCE IN THE ATTENTION OR TREATMENT THE PATIENTS GE?  1. I THINK PATIENTS GET BETTER ATTENTION OR TREATMENT BECAUSE OF THESE INSPECTIONS 2. I THINK PATIENTS GET POORER ATTENTION OR TREATMENT BECAUSE OF THESE INSPECTIONS 3. I THINK THESE INSPECTIONS HAVE NO EFFECT ON THE ATTENTION OR TREATMENT THE PATIENTS GET 0. NO ANSWER X. QUESTION 20 NOT CODED. 
"S0224.Q21A. DO YOU THINK THAT THIS HOSPITAL PAYS TOO MUCH ATTENTION, TOO LITTLE OR ABOUT THE RIGHT AMOUNT OF ATTENTION TO MILITARY COURTES?  1. TOO LITTLE ATTENTION 2. TOO MUCH ATTENTION 3. ABOUT THE RIGHT AMOUNT 0. NO ANSWER "
"S0224.Q21B. DO YOU THINK THIS HOSPITAL PAYS TOO MUCH ATTENTION, TOO LITTLE OR ABOUT THE RIGHT AMOUNT OF ATTENTION TO INSPECTIONS AND ""SPIT AND POLISH""*  1. TOO LITTLE ATTENTION 2. TOO MUCH ATTENTION 3. ABOUT THE RIGHT AMOUNT 0. NO ANSWER "
"S0224.Q22. ARE THERE ANY HOSPITAL RULES OR RESTRICTIONS HERE THAT YOU FEEL SHOULD BE CHANGE?  1. NO 2. YES, WITH COMMENT 3. YES, WITH NO COMMENT 0. NO ANSWER "
"S0224.Q23. HOW MANY POINTS DO YOU HAVE UNDER THE ARMY POINT SCORE PLA?  1. UNDER 25 POINTS 2. 25 POINTS TO 44 POINTS 3. 45 POINTS TO 64 POINTS 4. 65 POINTS TO 84 POINTS 5. 85 POINTS TO 104 POINTS 6. 105 POINTS AND OVER 7. I DO NOT KNOW, I HAVE NOT FIGURED IT 0. NO ANSWER "
"S0224.Q24. DO YOU EXPECT TO BE SENT BACK TO THE UNITED STATES WITHIN THE NEXT THREE MONTHS OR S?  1. YES, I THINK I PROBABLY WILL BE 2. NO, I DON'T THINK SO 3. HAVE NO IDEA 0. NO ANSWER "
S0224.Q25. THINK OF YOUR EXPERIENCES WITH ARMY MEDICAL SERVICE OVERSEAS. SUPPOSE YOU HAD TO DECIDE WHAT SHOULD BE DONE TO MAKE THINGS EVEN BETTER THAN THEY NOW ARE FOR THE MEN RECEIVING MEDICAL CARE. WHAT ARE THE TWO MOST IMPORTANT THINGS YOU WOULD D?  1. MADE A COMMENT 2. MADE NO COMMENT 
"S0224.V26. TYPE OF PATIENT:  1. REHABILITATION PATIENTS 2. AMBULATORY PATIENTS 3. BED PATIENTS 4. NON-REHABILITATION, BUT UNKNOWN WHETHER AMBULATORY OR BED PATIENTS 5. UNCLASSIFIED "
S0224.V27. HOSPITAL NUMBER:  1. 108TH GENERAL 2. 221ST GENERAL 3. 2ND GENERAL 4. 203RD GENERAL 5. 1ST GENERAL 6. 68TH GENERAL 7. 76TH GENERAL 8. 15TH GENERAL 9. 65TH GENERAL 0. UNKNOWN 
S0224.V28. INDIVIDUAL IDENTIFICATION NUMBER. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS.  ANP 0000.NO CODE OR NO DATA 
