S101B.CARD.  1. CARD ONE 
"S101B.Q18. WHILE YOU WERE AT THE BATTLE FRONT, DID YOUR LEADERS EXPLAIN THE WHOLE BATTLE SO YOU COULD SEE JUST HOW YOUR COMPANY'S PART FITTED INTO THE CAMPAIGN AS A WHOL?  1. AS MUCH AS THEY COULD 2. THEY COULD HAVE GIVEN US A LITTLE MORE 3. THEY COULD HAVE GIVEN US A GREAT DEAL MORE 0. NO ANSWER "
"S101B.Q19. WHILE YOU WERE IN COMBAT, DID YOU FEEL THAT THE TROOPS IN THE REAR, IN GENERAL, WERE DOING AS MUCH AS THEY COULD UNDER THE CIRCUMSTANCES, FOR THE MEN WHO WERE DOING THE FIGHTIN?  1. AS MUCH AS THEY COULD 2. COULD HAVE DONE SOMEWHAT MORE 3. COULD HAVE DONE A GREAT DEAL MORE 0. NO ANSWER "
"S101B.Q20. DID YOU RECEIVE ANY OF THE FOLLOWING DECORATION?  1. PURPLE HEART 2. SILVER STAR 3. DISTINGUISHED SERVICE CROSS 4. PURPLE HEART AND SILVER STAR 5. PURPLE HEART AND DISTINGUISHED SERVICE CROSS 6. SILVER STAR AND DISTINGUISHED SERVICE CROSS 7. PURPLE HEART, SILVER STAR AND DISTINGUISHED SERVICE CROSS 8. NONE OF THE THREE (PURPLE HEART, SILVER STAR, DISTINGUISHED SERVICE CROSS) 0. NO ANSWER "
S101B.Q21A. HOW DO YOU FEEL ABOUT THE WAY IN WHICH THE SILVER STAR IS AWARDED TO ENLISTED ME?  1. ALL MEN I KNOW WHO GOT THEM REALLY DESERVED THEM 2. A FEW MEN I KNOW WHO GOT THEM DID NOT DESERVE THEM 3. MANY MEN I KNOW WHO GOT THEM DID NOT DESERVE THEM 0. NO ANSWER 
S101B.Q21B. DO YOU KNOW ANY ENLISTED MEN WHO DESERVED SILVER STARS BUT DID NOT GET THE?  1. MANY MEN I KNOW DESERVED SILVER STARS BUT DID NOT GET THEM 2. A FEW MEN I KNOW DESERVED SILVER STARS BUT DID NOT GET THEM 3. NOBODY I KNOW DESERVED A SILVER STAR BUT DID NOT GET IT 0. NO ANSWER 
"S101B.Q22. IN GENERAL WOULD YOU SAY THAT BATTLE FIGHTING BECAME MORE FRIGHTENING OR LESS FRIGHTENING THE MORE YOU SAW OF I?  1. IT WAS MORE FRIGHTENING THE MORE I SAW OF IT 2. IT WAS LESS FRIGHTENING THE MORE I SAW OF IT 3. IT WAS NEVER FRIGHTENING 4. IT STAYED FRIGHTENING ALL THE TIME 0. NO ANSWER X. CODES 01-04 PRECODED ON QUESTIONNAIRE, OTHER RESPONSES VOLUNTEERED. "
"S101B.Q23. WHICH OF THE FOLLOWING STATEMENTS BEST TELLS THE WAY YOU WOULD FEEL ABOUT GOING BACK INTO ACTUAL BATTL?  01. I WANT VERY MUCH TO GET INTO IT AS SOON AS POSSIBLE 02. I AM READY TO GO ANYTIME 03. I HOPE I WON'T HAVE TO GO BUT IF I GO I THINK I WILL DO ALL RIGHT 04. I HOPE I WON'T HAVE TO GO BECAUSE I DON'T THINK I WOULD DO VERY WELL 05. HAVE DONE MY SHARE, LET OTHERS FIGHT 06. NEED A REST OR FURLOUGH FIRST 07. COULDN'T STAND IT, AFRAID, NERVES SHOT 08. PHYSICAL CONDITION 09. QUALIFIED ACCEPTANCE 10. REFUSAL (MISCELLANEOUS) 11. ALL OTHER 00. NO ANSWER "
S101B.Q24. ARE YOU EVER WORRIED AND UPSE?  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES WORRIED AND UPSET 3. I AM OFTEN WORRIED AND UPSET 
"S101B.Q25. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARM?  1. I HAVE A PRETTY GOOD TIME 2. IT'S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
S101B.Q26A. DO YOU THINK THAT THE EQUIPMENT OF THE AMERICAN ARMY IS BETTER OR WORSE THAN THE EQUIPMENT OF THE JAPANESE ARM?  1. ALL OF OUR EQUIPMENT IS BETTER 2. MOST OF OUR EQUIPMENT IS BETTER 3. OUR EQUIPMENT IS ABOUT THE SAME AS THAT OF THE JAPANESE ARMY 4. MOST OF OUR EQUIPMENT IS WORSE 5. ALL OF OUR EQUIPMENT IS WORSE 6. DON'T KNOW 
S101B.Q26B. IF YOU THINK SOME JAPANESE WEAPONS ARE BETTER THAN OURS WHAT ARE THE?  1. NO JAPANESE WEAPONS ARE BETTER THAN OURS 2. SOME JAPANESE WEAPONS ARE BETTER THAN OURS 0. NO ANSWER 
S101B.Q27. THINK OF ALL THE MEN IN YOUR PLATOON (OR EQUIVALENT UNIT) JUST BEFORE YOU WENT INTO ACTION FOR THE FIRST TIME. NOW THINK OF THE ONE MAN WHO HAD SERVED TIME THE MOST IN THE GUARDHOUSE. HOW DID HE DO IN ACTUAL BATTLE AS COMPARED WITH OTHER MEN IN THE PLATOO?  1. HE DID MUCH BETTER THAN AVERAGE 2. HE DID BETTER THAN AVERAGE 3. SAME AS AVERAGE 4. HE DID WORSE THAN AVERAGE 5. HE DID MUCH WORSE THAN AVERAGE 6. ANY OTHER ANSWER 0. NO ANSWER 
S101B.Q28. HOW MANY OF THE NON-COMS IN YOUR OUTFIT ARE THE KIND YOU WOULD WANT SERVING UNDER YOU IN COMBA?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
"S101B.Q29. IF SOME OF THE NON-COMS YOU HAVE ARE NOT THE KIND YOU WOULD WANT IN COMBAT, WHY HAVEN'T YOU REPLACED THE?  1. ALL OF THEM ARE THE KIND I WOULD WANT IN COMBAT 2. NO BETTER MEN ARE AVAILABLE 3. I DON'T HAVE AUTHORITY TO CHANGE THEM MYSELF 4. I DON'T WANT TO BREAK PRESENT NON-COMS AND CAN'T TRANSFER THEM OUT 5. SOME OTHER REASON 0. NO ANSWER "
S101B.Q30A. HOW MANY OF THE OFFICERS IN YOUR COMPANY (OR BATTERY) ARE THE KIND YOU WOULD WANT TO SERVE WITH IN COMBA?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S101B.Q30B. HOW MANY OF THE MEN IN YOUR COMPANY ARE THE KIND YOU WOULD WANT SERVING UNDER YOU IN COMBA?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S101B.Q30C. HOW MANY OF THE OFFICERS IN YOUR COMPANY (OR BATTERY) ARE THE KIND WHO ARE WILLING TO GO THROUGH ANYTHING THEY ASK THEIR MEN TO GO THROUG?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S101B.Q30D. HOW MANY OF THE OFFICERS IN YOUR COMPANY (OR BATTERY) TAKE A PERSONAL INTEREST IN THEIR ME?  1. ALL OF THEM DO 2. MOST OF THEM DO 3. ABOUT HALF OF THEM DO 4. FEW OF THEM DO 5. NONE OF THEM DO 0. NO ANSWER 
S101B.Q31A. HESITANCY OF OFFICERS TO TAKE NECESSARY PERSONAL RISK?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31B. UNDERESTIMATION OF THE FIGHTING ABILITY OF THE ENEM?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31C. INABILITY OF COMPANY OFFICERS TO MAKE MISSION CLEAR TO THE ME?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31D. FATIGUE OF TROOPS FROM BEING KEPT IN COMBAT TOO LON?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31E. EVERY MAN FOR HIMSELF INSTEAD OF TEAMWOR?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31F. LACK OF NECESSARY WEAPONS AND TOOL?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31G. POOR LEADERSHIP BY NON-COM?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31H. LACK OF CONVICTION OF WHAT WE ARE FIGHTING FO?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31I. FAILURE OF COMPANY OFFICERS TO UNDERSTAND ORDERS FROM ABOV?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31J. LACK OF SELF-CONFIDENCE AMONG OWN ME?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31K. POOR DISCIPLINE IN COMBA?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31L. INADEQUATE COMMUNICATION WITH OTHER COMPANIES AND WITH HIGHER HEADQUARTER?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
"S101B.Q31M. LACK OF FOOD, CLOTHING OR PERSONAL EQUIPMENT FOR ME?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER "
S101B.Q31N. HESITANCY OF ENLISTED MEN TO TAKE NECESSARY PERSONAL RISK?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31O. POOR JUDGMENT BY COMPANY OFFICERS IN COMBA?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31P. FEAR ON THE PART OF OFFICERS WHICH TRANSMITTED ITSELF TO THE ME?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31Q. INSUFFICIENT CARE FOR PERSONAL NEEDS OF THE ME?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31R. INADEQUATE RECONNAISSANCE OF ENEMY POSITION?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31S. LACK OF ENDURANCE DUE TO POOR PHYSICAL CONDITIO?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q31T. INADEQUATE TRAINING OF OUR TROOPS FOR COMBA?  1. THIS HAD LITTLE EFFECT ON OUR BATTLE PERFORMANCE 2. THIS HAD A RATHER BAD EFFECT ON OUR BATTLE PERFORMANCE 3. THIS HAD A VERY BAD EFFECT ON OUR BATTLE PERFORMANCE 4. I NEVER OBSERVED THIS 0. NO ANSWER 
S101B.Q32. DO YOU EVER GET THE FEELING THAT THIS WAR IS NOT WORTH FIGHTIN?  1. VERY OFTEN 2. SOMETIMES 3. ONLY ONCE IN A GREAT WHILE 4. NEVER 0. NO ANSWER 
S101B.Q33. DO YOU THINK THERE WILL BE ANOTHER WAR IN THE NEXT 25 YEARS OR S?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"S101B.Q34. AFTER THE WAR IS OVER, DO YOU THINK THE UNITED STATES WILL BE A BETTER PLACE OR A WORSE PLACE TO LIVE IN THAN IT WAS BEFORE THE WA?  1. WORSE AFTER THE WAR THAN BEFORE THE WAR 2. SAME AFTER THE WAR AS BEFORE THE WAR 3. BETTER AFTER THE WAR THAN BEFORE THE WAR 4. UNDECIDED 0. NO ANSWER "
"S101B.Q35A. WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE GERMAN?  1. IT WILL NOT BE VERY HARD 2. IT WILL BE A TOUGH JOB, BUT OUR LOSSES WON'T BE HEAVY 3. IT WILL BE A TOUGH JOB, WITH HEAVY LOSSES OF MEN AND EQUIPMENT 0. NO ANSWER "
"S101B.Q35B. WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE JAPANES?  1. IT WILL NOT BE VERY HARD 2. IT WILL BE A TOUGH JOB, BUT OUR LOSSES WON'T BE HEAVY 3. IT WILL BE A TOUGH JOB, WITH HEAVY LOSSES OF MEN AND EQUIPMENT 0. NO ANSWER "
S101B.Q36A. TACTICAL AIR FORC?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101B.Q36B. MEDICAL TROOP?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101B.Q36C. QUARTERMASTER TROOP?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER CARD 2 
S101B.CARD.  2. CARD TWO 
S101B.DECK.  101. SURVEY NUMBER 
S101B.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S101B.FORM.  1. S-101B 2. S-101C 3. S-101D 4. S-101E 5. S-101F 
S101B.Q36D. ORDNANCE TROOP?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101B.Q36E. ENGINEER TROOP?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101B.Q36F. ARTILLER?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101B.Q36G. TANK?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101B.Q36H. PARACHUTIST?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S101B.Q36I. MARINE?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
"S101B.Q37A. BEFORE YOU WENT INTO COMBAT FOR THE FIRST TIME, HOW MUCH CONFIDENCE DID YOU HAVE IN YOUR ME?  1. HAD A LOT OF CONFIDENCE IN MY MEN 2. HAD A FAIR AMOUNT OF CONFIDENCE IN MY MEN 3. HAD LITTLE CONFIDENCE IN MY MEN 4. HAD NO CONFIDENCE IN MY MEN 0. NO ANSWER "
"S101B.Q37B. DID YOU HAVE MORE OR LESS CONFIDENCE IN YOUR MEN, THE MORE TIMES YOUR OUTFIT WENT INTO COMBA?  1. HAD MORE CONFIDENCE THE MORE TIMES MY OUTFIT WENT INTO COMBAT 2. HAD LESS CONFIDENCE THE MORE TIMES MY OUTFIT WENT INTO COMBAT 3. HAD ABOUT THE SAME AMOUNT OF CONFIDENCE 4. UNDECIDED 0. NO ANSWER "
S101B.Q38. DID SUPPLIES YOU MUCH WANTED OR NEEDED AT THE FRONT EVER FAIL TO REACH YO?  1. WE USUALLY GOT WHAT WE NEEDED 2. WE OFTEN DID NOT GET WHAT WE NEEDED 3. WE SELDOM GOT WHAT WE NEEDED 0. NO ANSWER 
"S101B.Q39. HAVE YOU LISTENED TO RADIO TOKY? IF YES, HOW DID YOU FEEL ABOUT THE RADIO PROPAGAND?  1. YES, MOSTLY LIES 2. YES, MOSTLY LIES, BUT MAYBE A LITTLE MORE TRUTH THAN WE CARE TO ADMIT 3. YES, A LOT OF TRUTH IN WHAT THEY SAID 4. YES, NO ANSWER 5. NO "
"S101B.Q40A. WHAT WOULD YOU LIKE TO SEE HAPPEN TO THE JAPANESE AFTER THE WA?  1. PUNISH THE LEADERS, BUT NOT THE ORDINARY JAPANESE 2. MAKE THE ORDINARY JAPANESE PEOPLE SUFFER PLENTY 3. WIPE OUT THE WHOLE JAPANESE NATION 0. NO ANSWER "
"S101B.Q40B. WHAT WOULD YOU LIKE TO SEE HAPPEN TO THE GERMANS AFTER THE WA?  1. PUNISH THE LEADERS, BUT NOT THE ORDINARY GERMAN 2. MAKE THE ORDINARY GERMAN PEOPLE SUFFER PLENTY 3. WIPE OUT THE WHOLE GERMAN NATION 0. NO ANSWER X. QUESTION 41 NOT CODED. "
"S101B.Q42. IN GENERAL, DID YOU USUALLY FEEL MORE SCARED BEFORE GOING INTO COMBAT, DURING COMBAT, OR AFTER COMBA?  1. BEFORE GOING INTO COMBAT 2. DURING COMBAT 3. AFTER COMBAT 4. UNDECIDED 0. NO ANSWER "
S101B.Q43A. VIOLENT POUNDING OF THE HEAR?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43B. SINKING FEELING IN THE STOMAC?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43C. FEELING OF WEAKNESS OR FEELING FAIN?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43D. FEELING SICK AT THE STOMAC?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43E. COLD SWEA?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43F. VOMITIN?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43G. SHAKING OR TREMBLING ALL OVE?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43H. URINATING IN PANT?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43I. LOSING CONTROL OF BOWEL?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S101B.Q43J. FEELING OF STIFFNES?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
