CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23A.,Q.23B.,Q.23C.,Q.24A.,Q.24B.,Q.25A.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31A.,Q.31B.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36A.,Q.36B.,Q.37.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.41.,Q.42.,Q.43.,Q.44A.,Q.44B.,Q.44C.,Q.45.,Q.47.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.54.,Q.54..1,Q.1A.,Q.1B.,Q.1C.,Q.1D.,Q.1E.,Q.1F.,Q.1G.,Q.1H.,Q.2A.,Q.2B.,Q.2C.,Q.2D.,Q.3..1,Q.4..1,Q.5..1,Q.5..2,Q.6.,Q.7A.,Q.7B.,Q.7C.,Q.7D.,Q.7E.,Q.9.,V.10.,V.12.,V.13.
1,198,11,1,3,1,2,4,3,3,4,5,22,2,2,3,3,1,1,3,2,1,4,6,6,1,2,1,2,9,2,3,2,9,9,4,2,3,4,3,2,0,0,1,2,1,2,4,4,4,2,1,1,3,2,0,0,1,7,3,2,2,7,3,2,198,11,1,1,9,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,9,2,1,3,2,1,1,2,2,47,3
1,198,12,2,3,1,3,3,4,3,1,5,22,2,2,5,5,1,1,3,2,2,2,6,6,3,2,1,5,9,2,3,4,7,99,9,9,9,99,9,9,0,0,2,4,9,3,16,16,3,3,1,1,3,2,0,0,1,6,3,2,3,1,2,2,198,12,2,9,1,1,2,1,1,2,2,1,2,1,2,2,1,3,3,9,2,9,9,9,9,9,9,9,3,65,2
1,198,13,2,6,3,4,3,4,11,1,5,50,2,5,3,5,2,1,2,2,1,1,1,1,0,0,1,6,9,2,6,3,2,99,9,9,9,99,9,9,0,0,1,4,9,3,4,4,8,4,1,1,2,2,0,0,1,9,4,1,3,11,3,2,198,13,2,9,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,9,1,9,9,9,9,9,9,9,3,53,2
1,198,14,1,6,3,6,3,2,6,3,6,43,2,3,1,6,2,1,2,2,1,1,1,1,0,4,2,5,9,2,6,3,2,99,9,9,9,99,9,9,0,0,3,3,9,4,16,2,4,3,2,1,3,2,0,0,1,5,1,2,1,2,1,2,198,14,1,1,9,2,2,2,2,2,2,2,2,1,1,2,2,1,1,3,9,1,1,3,2,1,1,2,5,46,3
1,198,15,2,5,4,5,3,3,10,3,5,50,2,3,7,3,4,1,5,2,3,3,5,5,4,1,1,2,9,2,5,4,2,99,9,9,9,99,9,9,0,0,3,4,9,3,13,4,1,5,2,1,2,2,0,0,1,0,1,2,2,12,1,2,198,15,2,9,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,9,2,9,9,9,9,9,9,9,3,48,3
1,198,16,2,5,4,6,3,3,4,0,6,49,2,4,3,1,2,1,5,2,1,3,5,5,4,1,1,6,9,1,5,2,9,8,4,2,5,2,3,2,0,0,1,2,2,2,2,2,8,6,1,1,2,2,0,0,1,0,1,2,2,12,1,2,198,16,2,9,1,2,1,1,2,2,2,2,2,2,2,3,2,1,1,9,2,9,9,9,9,9,9,9,2,53,2
1,198,17,1,6,4,6,4,3,6,1,6,48,2,2,7,6,2,1,5,2,1,3,5,5,4,1,2,5,9,2,6,2,9,8,4,2,6,4,3,2,0,0,1,1,2,1,4,4,8,6,1,1,3,2,0,0,1,5,1,1,2,12,3,2,198,17,1,1,9,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,9,1,1,2,2,1,1,2,4,37,3
1,198,18,1,6,4,6,0,2,6,1,6,56,2,3,4,6,2,1,2,2,2,1,2,2,4,2,2,4,9,2,6,2,9,3,3,2,6,16,3,3,0,0,2,2,2,4,17,16,8,5,2,1,3,2,0,0,1,5,1,2,1,3,1,2,198,18,1,1,9,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,9,1,2,2,2,1,1,2,4,65,2
1,198,19,1,6,4,5,3,3,3,1,7,55,2,4,3,4,3,3,2,2,1,1,1,1,4,2,4,99,4,2,8,3,6,99,9,9,9,99,9,9,0,0,3,4,9,5,2,2,1,5,2,1,2,2,0,0,1,7,1,2,1,5,2,2,198,19,1,0,9,2,1,2,1,2,1,2,2,1,1,1,1,1,1,1,9,1,1,3,1,1,1,2,6,45,2
1,198,20,1,4,3,4,4,4,3,3,5,29,2,4,4,4,4,1,5,2,1,3,5,5,4,3,1,0,9,1,4,3,2,99,9,9,9,99,9,9,0,0,3,4,9,3,4,4,4,4,1,1,3,2,0,0,1,7,1,1,2,5,3,2,198,20,1,1,9,2,1,1,2,2,2,1,2,2,1,2,2,2,1,1,9,3,1,3,2,1,1,2,3,37,3
1,198,21,2,4,3,4,4,4,3,4,5,29,2,2,3,6,1,1,2,2,1,3,1,1,4,1,2,1,9,1,4,2,9,8,2,2,4,4,1,2,0,0,2,2,2,1,4,4,8,4,1,2,3,2,0,0,1,1,1,2,1,6,1,2,198,21,2,9,1,2,2,2,2,2,1,1,2,1,1,2,1,1,1,9,2,9,9,9,9,9,9,9,4,38,3
1,198,22,2,4,3,4,2,4,3,1,5,26,2,2,2,4,1,1,2,1,2,5,1,3,3,2,1,4,9,2,4,1,9,3,4,2,4,4,1,2,0,0,2,1,1,1,4,4,2,4,1,1,3,2,0,1,1,5,1,1,2,5,1,2,198,22,2,9,1,2,2,2,2,2,1,2,2,1,1,2,2,1,1,9,2,9,9,9,9,9,9,9,1,37,3
1,198,23,2,4,3,4,4,4,3,1,5,29,1,1,9,4,1,1,2,1,1,0,1,4,4,3,1,8,9,2,4,1,9,2,4,2,4,16,1,1,0,0,1,1,1,1,16,16,4,4,1,1,3,2,0,1,1,1,1,2,1,5,1,2,198,23,2,9,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,9,2,9,9,9,9,9,9,9,1,65,2
1,198,24,2,4,3,4,4,4,3,1,7,27,1,1,9,6,2,3,2,2,2,1,1,1,2,2,2,5,9,1,2,4,1,99,9,9,9,99,9,9,0,0,3,4,9,9,17,4,4,4,2,0,3,2,0,0,1,7,1,2,2,5,1,2,198,24,2,9,2,2,1,1,1,2,1,1,2,2,1,2,2,1,2,9,3,9,9,9,9,9,9,9,5,47,3
1,198,25,2,4,4,6,7,2,6,3,5,31,2,3,7,4,1,1,5,2,1,3,5,5,4,1,1,6,9,1,3,1,9,10,4,2,4,2,1,1,0,0,1,1,4,1,2,2,8,6,1,1,3,2,0,0,1,7,1,1,3,3,1,2,198,25,2,9,1,2,1,2,2,2,1,2,2,1,1,1,2,2,2,9,1,9,9,9,9,9,9,9,1,48,3
1,198,26,1,4,4,6,7,2,6,1,5,30,2,2,6,4,1,1,2,2,2,3,2,4,4,3,2,4,9,2,4,3,1,99,9,9,9,99,9,9,0,0,3,4,9,3,4,4,7,6,1,1,3,2,0,0,1,5,1,1,2,4,1,2,198,26,1,2,9,1,1,1,2,1,1,1,2,2,2,2,2,3,1,1,9,1,1,3,1,1,1,4,5,36,3
1,198,27,2,4,4,5,0,3,4,3,6,30,2,4,6,4,3,1,2,2,1,5,1,1,4,2,1,4,9,2,5,3,0,99,9,9,9,99,9,9,0,0,1,1,3,1,2,2,8,6,1,1,3,2,0,0,1,8,1,2,1,4,2,2,198,27,2,9,1,0,1,1,2,2,2,2,1,1,1,1,2,2,1,9,1,9,9,9,9,9,9,9,3,48,3
1,198,28,2,4,4,5,7,3,6,1,6,49,2,4,7,4,3,1,2,2,2,1,1,2,4,2,1,0,9,3,5,1,9,8,4,3,4,4,1,1,0,0,1,1,1,1,4,4,8,5,1,2,2,2,0,0,1,9,1,2,1,5,1,2,198,28,2,9,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,9,2,9,9,9,9,9,9,9,1,36,3
1,198,29,1,4,4,6,2,4,10,1,6,47,2,4,3,4,3,1,2,2,2,2,4,4,4,2,1,6,9,2,5,1,9,8,4,2,5,21,2,2,0,0,2,4,9,2,17,16,5,4,2,1,3,2,0,0,1,7,1,2,2,5,1,2,198,29,1,1,9,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,9,1,1,2,2,2,2,2,1,65,2
1,198,30,1,4,3,4,3,4,8,1,5,37,2,2,4,6,3,1,5,2,1,3,5,5,4,3,1,6,9,2,4,4,5,99,9,9,9,99,9,9,0,0,3,4,9,3,2,2,3,4,1,1,3,2,0,0,1,7,2,1,3,2,1,2,198,30,1,2,9,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,9,1,1,3,1,1,1,2,3,48,3
1,198,31,1,4,3,6,3,4,3,1,5,41,2,2,1,5,1,1,2,2,1,1,1,1,4,2,1,5,9,2,4,4,2,99,9,9,9,99,9,9,0,0,2,3,9,4,4,4,4,6,1,1,2,2,0,0,1,5,2,2,2,12,1,2,198,31,1,1,9,2,2,2,2,2,1,2,2,2,1,2,1,1,1,1,9,1,1,2,2,1,1,3,3,38,3
1,198,32,2,2,3,3,3,4,3,1,5,25,2,2,2,5,1,1,2,2,2,4,1,4,1,4,1,5,9,1,2,1,9,9,4,1,2,2,1,2,0,0,1,2,2,2,2,2,3,3,1,1,3,2,0,0,1,7,1,2,1,7,1,2,198,32,2,9,1,2,2,1,2,2,1,1,1,2,1,2,2,3,2,9,1,9,9,9,9,9,9,9,1,48,3
1,198,33,1,2,3,3,3,4,3,3,5,35,2,3,2,6,2,1,2,1,1,5,1,1,0,0,1,5,9,1,3,1,9,2,4,1,2,2,1,1,0,0,1,1,1,1,2,2,3,3,1,1,3,2,0,0,5,6,1,2,1,8,4,2,198,33,1,1,9,1,0,1,1,0,0,1,0,2,1,1,2,1,1,1,9,1,1,4,4,1,1,2,1,48,3
1,198,34,1,2,3,3,2,3,3,3,5,22,1,1,3,4,1,1,3,1,1,5,6,4,0,2,1,9,9,3,2,1,9,3,4,3,2,2,3,1,0,0,1,2,1,2,2,2,2,3,1,1,3,2,0,0,1,6,1,2,3,8,2,2,198,34,1,1,9,2,1,2,2,0,1,1,1,2,1,2,1,3,2,2,9,1,1,3,1,1,1,1,1,46,3
1,198,35,2,2,3,3,4,4,3,1,5,35,2,2,2,5,1,1,2,2,1,1,1,2,4,3,2,6,9,2,4,4,6,99,9,9,9,99,9,9,0,0,2,4,9,3,2,2,4,3,1,1,3,2,0,0,1,6,1,2,3,7,2,2,198,35,2,9,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,9,2,9,9,9,9,9,9,9,5,46,3
1,198,36,1,2,3,3,2,4,3,1,5,38,2,3,2,3,1,1,5,2,2,3,1,1,4,1,1,5,9,1,2,4,2,99,9,9,9,99,9,9,0,0,1,4,9,2,3,3,2,3,1,1,2,2,0,0,1,7,1,2,1,5,1,2,198,36,1,1,9,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,9,1,4,4,4,4,4,1,3,38,3
1,198,37,1,2,3,3,3,4,3,1,5,23,2,3,3,6,1,1,2,2,2,6,1,3,3,2,2,2,9,2,2,2,9,0,2,2,2,17,1,2,0,0,1,2,3,3,17,4,1,2,2,2,3,2,0,0,1,6,1,2,2,5,1,2,198,37,1,1,9,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,9,1,1,2,4,1,1,2,4,37,3
1,198,38,2,2,3,3,3,4,3,1,5,29,2,2,2,6,1,1,2,2,2,2,1,4,3,3,2,0,9,3,2,3,2,99,9,9,9,99,9,9,0,0,3,4,9,3,17,4,1,2,2,2,3,2,0,0,1,5,1,2,1,5,3,2,198,38,2,9,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,9,1,9,9,9,9,9,9,9,5,46,3
1,198,39,1,2,3,1,4,4,3,4,5,22,1,1,3,6,1,1,3,2,1,4,1,6,1,2,1,1,9,1,3,4,2,99,9,9,9,99,9,9,0,0,2,3,9,3,4,4,4,1,1,1,3,2,0,0,1,6,1,2,2,3,2,2,198,39,1,1,9,1,1,1,2,2,2,1,2,3,2,2,2,1,1,1,9,1,1,3,2,1,1,2,3,36,3
1,198,40,1,2,3,3,5,4,3,1,5,28,2,2,9,6,4,2,2,2,2,2,1,4,4,2,4,99,0,2,4,4,3,99,9,9,9,99,9,9,0,0,1,2,4,1,2,4,1,2,2,2,3,2,0,0,1,7,1,1,2,5,2,2,198,40,1,2,9,1,1,1,2,2,1,1,1,3,1,2,2,2,2,1,9,1,1,1,3,1,1,1,6,37,3
1,198,41,1,2,3,3,3,4,3,1,5,22,1,1,4,4,3,1,3,2,1,4,6,6,1,0,1,3,9,2,2,1,9,5,4,2,2,17,1,1,0,0,1,1,1,2,17,4,1,1,2,2,3,2,0,0,1,6,1,2,1,7,1,2,198,41,1,1,9,1,2,1,1,2,2,1,2,2,2,1,2,2,1,1,9,1,1,3,1,1,1,1,1,36,3
1,198,42,2,2,3,3,4,4,3,1,5,33,2,2,4,4,4,1,2,2,1,1,1,1,4,2,3,99,5,2,2,2,9,8,2,2,2,15,3,3,0,0,2,2,2,3,17,4,8,2,2,2,3,2,0,0,1,6,1,1,4,5,1,2,198,42,2,9,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,9,1,9,9,9,9,9,9,9,6,37,3
1,198,43,1,2,3,3,3,4,3,1,5,35,2,2,5,6,2,1,2,2,1,3,1,3,4,3,1,5,9,2,3,1,9,8,4,2,3,4,1,1,0,0,1,1,1,2,17,4,1,2,2,2,3,2,0,0,1,6,1,2,1,5,1,2,198,43,1,1,9,2,2,2,2,2,1,1,2,2,1,1,2,1,2,1,9,1,3,1,2,1,1,2,1,36,3
1,198,44,2,2,3,3,3,4,3,1,5,31,2,2,6,3,4,1,2,2,1,1,1,1,4,4,1,0,9,2,2,2,9,7,2,2,2,17,1,2,0,0,2,2,2,2,17,4,1,1,2,2,3,2,0,0,1,5,1,2,3,3,1,2,198,44,2,9,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,9,1,9,9,9,9,9,9,9,2,37,3
1,198,45,1,2,3,3,4,4,3,1,5,26,2,4,3,6,1,1,2,2,1,3,1,4,4,3,1,2,9,2,3,4,2,99,9,9,9,99,9,9,0,0,3,4,9,3,17,4,8,1,2,2,3,2,0,0,1,6,1,2,3,5,1,2,198,45,1,1,9,2,1,2,2,2,1,2,2,1,3,2,2,2,2,3,9,2,1,2,1,1,1,2,3,36,3
1,198,46,1,2,3,4,2,4,3,1,6,30,2,2,5,5,1,1,2,2,1,3,1,3,4,3,3,99,3,3,4,2,9,8,4,2,4,1,2,2,0,0,3,2,2,9,2,2,3,3,1,1,3,2,0,0,1,7,1,2,1,2,1,2,198,46,1,1,9,2,1,1,2,2,1,1,2,2,1,3,2,2,3,1,9,1,1,3,2,1,2,2,6,48,3
1,198,47,2,2,3,3,4,4,3,1,6,29,2,2,1,5,3,1,2,2,2,2,3,4,4,2,1,5,9,2,2,4,2,99,9,9,9,99,9,9,0,0,3,4,9,3,2,2,4,3,1,2,3,2,0,0,1,6,1,2,3,9,2,2,198,47,2,9,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,9,2,9,9,9,9,9,9,9,3,48,3
1,198,48,1,2,3,3,3,3,3,3,6,26,1,1,4,5,4,1,3,2,3,6,1,3,2,4,1,2,9,2,2,2,9,1,2,2,3,2,2,3,0,0,3,2,2,3,2,2,3,3,1,2,3,2,0,0,1,6,1,2,2,3,3,2,198,48,1,1,9,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,9,1,1,1,1,1,1,2,2,46,3
1,198,49,2,2,3,3,2,4,3,1,6,0,2,4,4,3,1,1,2,2,4,3,1,4,4,3,4,99,3,2,8,4,6,99,9,9,9,99,9,9,0,0,3,4,9,5,2,4,2,1,2,2,3,2,0,0,1,7,1,2,3,7,1,2,198,49,2,9,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,9,3,9,9,9,9,9,9,9,6,37,3
1,198,50,1,2,3,3,4,4,3,1,6,28,2,4,3,3,1,1,2,2,1,3,1,3,3,3,2,5,9,3,2,2,9,9,2,3,2,4,3,2,0,0,1,2,2,2,4,4,3,3,1,2,3,2,0,0,1,5,1,2,1,5,1,2,198,50,1,1,9,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,9,1,1,3,2,1,1,2,4,48,3
1,198,51,1,2,3,3,3,4,3,1,6,39,2,3,3,4,4,2,2,2,1,6,0,0,4,2,1,5,9,1,2,1,9,8,4,1,3,18,1,1,0,0,1,1,1,2,18,18,3,3,1,1,2,2,0,0,1,7,1,2,1,4,3,2,198,51,1,2,9,1,1,1,2,2,2,1,2,2,1,1,1,2,3,1,9,1,1,2,1,1,1,2,1,55,2
1,198,52,1,2,3,3,3,4,3,1,6,39,2,3,3,4,4,2,2,2,1,6,0,0,4,2,1,5,9,1,2,1,9,8,4,1,3,18,1,1,0,0,1,1,1,2,18,18,3,3,1,1,2,2,0,0,1,7,1,2,1,4,3,2,198,52,1,2,9,1,1,1,2,2,2,1,2,2,1,1,1,2,3,1,9,1,1,2,1,1,1,2,1,55,2
1,198,53,1,2,3,3,3,4,3,1,6,39,2,3,3,4,4,2,2,2,1,6,0,0,4,2,1,5,9,1,2,1,9,8,4,1,3,18,1,1,0,0,1,1,1,2,18,18,3,3,1,1,2,2,0,0,1,7,1,2,1,4,3,2,198,53,1,2,9,1,1,1,2,2,2,1,2,2,1,1,1,2,3,1,9,1,1,2,1,1,1,2,1,55,2
1,198,54,1,2,3,3,3,4,3,1,6,39,2,3,3,4,4,2,2,2,1,6,0,0,4,2,1,5,9,1,2,1,9,8,4,1,3,18,1,1,0,0,1,1,1,2,18,18,3,3,1,1,2,2,0,0,1,7,1,2,1,4,3,2,198,54,1,2,9,1,1,1,2,2,2,1,2,2,1,1,1,2,3,1,9,1,1,2,1,1,1,2,1,55,2
1,198,55,1,2,3,3,3,3,3,3,7,23,2,2,3,6,1,1,3,2,1,4,1,2,1,2,1,5,9,3,3,2,9,3,2,2,4,19,3,4,0,0,2,2,2,3,2,2,3,3,1,1,3,2,0,0,1,8,1,2,3,3,3,2,198,55,1,1,9,0,1,1,2,2,1,2,2,2,2,2,1,1,1,1,9,1,1,2,2,1,1,1,2,48,3
1,198,56,1,2,3,3,2,4,3,1,7,32,2,2,2,6,2,1,2,2,3,1,1,2,4,4,1,5,9,3,2,2,9,5,4,2,2,2,1,2,0,0,2,2,2,2,2,2,2,3,1,1,3,2,0,0,1,6,1,2,2,6,2,2,198,56,1,1,9,2,1,1,2,2,2,1,2,2,1,2,1,2,1,1,9,1,1,3,2,1,2,2,2,46,3
1,198,57,2,2,4,4,3,4,3,3,5,25,1,2,5,2,1,1,2,2,2,2,2,3,2,4,2,2,9,3,2,1,9,5,3,1,3,2,3,3,0,0,2,2,2,2,2,2,3,4,1,1,3,2,0,0,1,5,1,2,1,7,2,2,198,57,2,9,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,9,2,9,9,9,9,9,9,9,4,48,3
1,198,58,2,2,4,3,3,4,3,3,5,24,2,3,3,4,3,1,2,2,1,3,2,3,3,3,1,6,9,2,2,2,9,9,2,2,3,2,2,4,2,1,2,3,9,3,2,2,3,3,1,1,3,2,0,0,5,9,1,2,1,5,1,2,198,58,2,9,1,2,1,1,1,2,1,1,2,2,1,1,2,1,2,9,2,9,9,9,9,9,9,9,2,46,3
1,198,59,1,2,4,4,4,4,3,1,5,28,2,3,6,4,4,1,2,2,1,6,3,4,4,2,1,5,9,3,2,2,9,9,4,3,2,4,3,2,0,0,1,1,2,1,4,4,4,4,1,1,3,2,0,0,1,6,1,1,2,7,2,2,198,59,1,1,9,2,2,1,1,2,1,1,2,2,2,1,2,1,1,1,9,1,1,3,2,1,1,2,2,37,3
1,198,60,1,2,4,2,2,3,11,2,5,34,2,3,4,5,1,1,2,2,2,5,1,2,3,4,1,5,9,2,2,2,9,9,4,2,2,4,1,1,0,0,1,1,1,1,4,4,2,2,1,2,3,2,0,0,1,5,1,1,3,12,3,2,198,60,1,1,9,2,1,1,2,2,2,1,2,2,2,1,3,2,1,3,9,1,1,4,4,1,1,2,2,36,3
1,198,61,1,2,3,3,3,3,3,3,5,24,2,2,4,5,3,1,3,2,2,5,6,6,2,2,1,9,9,1,2,1,9,9,4,1,2,2,1,1,0,0,1,2,1,2,2,2,3,3,1,1,3,2,0,0,1,5,2,2,1,5,1,2,198,61,1,1,9,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,9,1,1,3,2,1,1,2,1,46,3
1,198,62,2,2,3,3,4,4,3,1,5,26,2,2,2,4,4,1,2,2,1,1,1,1,3,4,2,2,9,2,3,3,2,99,9,9,9,99,9,9,0,0,2,3,9,3,2,2,4,3,1,1,3,2,0,0,1,6,2,2,2,4,1,2,198,62,2,9,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,9,1,9,9,9,9,9,9,9,5,46,3
1,198,63,2,2,3,3,4,4,3,3,5,25,1,1,7,4,2,1,3,2,1,4,6,6,1,2,3,99,1,2,8,3,1,99,9,9,9,99,9,9,0,0,2,4,9,5,2,2,4,3,1,1,3,2,0,0,1,7,2,2,3,5,3,2,198,63,2,9,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,9,2,9,9,9,9,9,9,9,6,46,3
1,198,64,1,2,3,3,4,4,3,1,5,22,1,1,2,6,1,1,3,2,2,4,6,6,1,2,1,0,9,1,2,3,2,99,9,9,9,99,9,9,0,0,3,4,9,3,2,4,2,3,2,2,3,2,0,0,1,6,2,2,3,11,1,2,198,64,1,0,9,2,2,2,2,2,1,1,2,1,1,2,2,1,1,1,9,1,1,3,2,1,2,2,3,46,3
1,198,65,2,2,3,3,4,4,3,1,5,25,1,1,2,6,1,1,3,2,3,4,6,6,1,3,1,5,9,1,2,4,2,99,9,9,9,99,9,9,0,0,2,4,9,3,5,4,2,1,2,2,0,2,0,0,1,6,2,2,2,8,1,2,198,65,2,9,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,9,1,9,9,9,9,9,9,9,3,47,3
1,198,66,1,2,3,3,2,3,3,3,6,26,2,2,5,5,3,1,3,2,1,4,6,6,1,2,1,5,9,1,2,3,3,99,9,9,9,99,9,9,0,0,1,1,3,1,2,2,2,3,1,1,3,2,0,0,1,8,2,2,2,12,2,2,198,66,1,1,9,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,9,1,1,3,2,1,1,2,3,48,3
