S085.CARD.  1. CARD ONE 
S085.Q9. IS YOUR WIFE NOW EXPECTING A BAB?  1. I'M NOT MARRIED 2. YES 3. NO 0. NO ANSWER 
S085.Q10. WHAT BRANCH OF THE ARMY ARE YOU IN NO?  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. OTHER 00. NO ANSWER 
"S085.Q11. HOW LONG HAVE YOU BEEN IN YOUR PRESENT UNIT (COMPANY, BATTERY, TROOP OR SQUADRON)*  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR 0. NO ANSWER "
S085.Q12. HOW DID YOU RECEIVE YOUR COMMISSIO?  1. FROM PILOT-NAVIGATOR-BOMBARDIER TRAINING 2. FROM AIR CORPS TECHNICAL SCHOOL 3. FROM OFFICER CANDIDATE SCHOOL 4. FROM R.O.T.C. OR C.M.T.C. 5. FROM WEST POINT 6. IN SOME OTHER WAY 0. NO ANSWER 
S085.Q13. HOW MUCH ACTIVE SERVICE DID YOU SEE AS AN ENLISTED MAN BEFORE YOU RECEIVED YOUR COMMISSIO?  1. NEVER SERVED AS AN ENLISTED MAN 2. 3 MONTHS OR LESS 3. OVER 3 MONTHS UP TO 6 MONTHS 4. OVER 6 MONTHS UP TO 9 MONTHS 5. OVER 9 MONTHS UP TO 1 YEAR 6. OVER 1 YEAR UP TO 2 YEARS 7. OVER 2 YEARS 0. NO ANSWER X. QUESTION 14 NOT CODED. 
S085.Q15. HOW INTERESTED ARE YOU IN THE WORK YOU ARE DOING IN YOUR PRESENT ARMY ASSIGNMEN?  1. VERY MUCH INTERESTED 2. A LITTLE BUT NOT MUCH 3. NOT INTERESTED AT ALL 0. NO ANSWER 
S085.Q16. HOW SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY ASSIGNMENT INSTEAD OF SOME OTHER ARMY ASSIGNMEN?  1. VERY SATISFIED 2. SATISFIED 3. IT DOES NOT MAKE ANY DIFFERENCE TO ME 4. DISSATISFIED 5. VERY DISSATISFIED 0. NO ANSWER 
S085.Q17. WOULD YOU CHANGE TO SOME OTHER ARMY ASSIGNMENT IF GIVEN A CHANC?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"S085.Q18. IF YOU HAD A CHANCE TO CHOOSE, WOULD YOU RATHER BE A LINE OFFICER OR A STAFF OFFICE?  1. RATHER BE A STAFF OFFICER 2. RATHER BE A LINE OFFICER 3. UNDECIDED 0. NO ANSWER "
S085.Q19. DO YOU FEEL THAT EVERYTHING POSSIBLE HAS BEEN DONE TO PLACE YOU IN THE ARMY ASSIGNMENT WHERE YOU BEST FI?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
S085.Q20. DO YOU THINK YOUR PRESENT ARMY ASSIGNMENT GIVES YOU A FAIR CHANCE OF PROMOTIO?  1. YES 2. NO 3. DON'T KNOW 0. NO ANSWER 
S085.Q21. HOW MUCH OF YOUR DUTY TIME IS USED IN DOING THINGS THAT DO NOT SEEM IMPORTANT TO YO?  1. A LOT OF IT 2. SOME OF IT 3. ONLY A LITTLE OF IT 4. NONE OF IT 0. NO ANSWER 
"S085.Q22. ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN D?  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER "
"S085.Q23. IF IT WERE UP TO YOU TO CHOOSE, DO YOU THINK YOU COULD DO MORE FOR YOUR COUNTRY AS AN OFFICER IN THE ARMY OR AS A CIVILIAN ENGAGED IN ESSENTIAL WAR WOR?  1. MORE AS A CIVILIAN ENGAGED IN ESSENTIAL WAR WORK 2. MORE AS AN OFFICER IN THE ARMY 3. NO DIFFERENCE 4. UNDECIDED 0. NO ANSWER X. QUESTIONS 24 AND 25 TO BE CODED TOGETHER. "
"S085.Q24. GRANTING THAT ALL OF THE ARMS AND SERVICES ARE NECESSARY, CHECK THE THREE WHICH YOU THINK ARE THE MOST IMPORTANT IN WINNING THE WAR.  Q.25. NOW ON THIS LIST OF ARMS AND SERVICES, CHECK THE THREE WHICH YOU THINK ARE THE LEAST IMPORTANT IN WINNING THE WAR. E. CODES 1-4 ARE USED IF 3 ARE CHECKED IN BOTH Q.24 AND 25. CODES 5-8 ARE USED IF LESS THAN 3 ARE CHECKED IN EITHER OR BOTH Q.24 AND 25. Q.24 AND Q.25 MUST BE COMPARED WITH ANSWER GIVEN IN Q.10.  1. OWN BRANCH CHECKED IN Q.24 BUT NOT IN Q.25 2. OWN BRANCH NOT CHECKED IN Q.24, BUT CHECKED IN Q.25 3. OWN BRANCH CHECKED IN BOTH Q.24 AND Q.25 4. OWN BRANCH NOT CHECKED IN Q.24 AND NOT CHECKED IN Q.25 5. OWN BRANCH CHECKED IN Q.24 BUT NOT IN Q.25 6. OWN BRANCH NOT CHECKED IN Q.24 BUT CHECKED IN Q.25 7. OWN BRANCH CHECKED IN BOTH Q.24 AND Q.25 8. OWN BRANCH NOT CHECKED IN EITHER Q.24 OR Q.25 0. NO ANSWER "
S085.Q26. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NO?  1. I USUALLY FEEL IT IS NOT WORTHWHILE 2. I USUALLY FEEL IT IS WORTHWHILE 3. UNDECIDED 0. NO ANSWER 
S085.Q27. DO YOU CONSIDER YOUR OWN PRESENT JOB OR DUTY IN THE ARMY AN IMPORTANT ONE IN THE WAR EFFOR?  1. VERY IMPORTANT 2. PRETTY IMPORTANT 3. NOT SO IMPORTANT 4. NOT IMPORTANT AT ALL 5. UNDECIDED 0. NO ANSWER 
S085.Q28. HOW IMPORTANT DO YOU THINK THE TYPE OF WORK DONE BY YOUR OUTFIT IS IN WINNING THE WA?  1. IT IS THE MOST IMPORTANT TYPE OF WORK 2. IT IS ONE OF THE MORE IMPORTANT TYPES OF WORK 3. IT IS ONE OF THE LESS IMPORTANT TYPES OF WORK 4. IT IS THE LEAST IMPORTANT TYPE OF WORK 5. UNDECIDED 0. NO ANSWER 
"S085.Q29. IN YOUR OPINION, HOW IMPORTANT IS THE JOB OF YOUR ARM OR SERVICE IN WINNING THE WA?  1. IT HAS THE MOST IMPORTANT JOB 2. IT HAS ONE OF THE MORE IMPORTANT JOBS 3. IT HAS ONE OF THE LESS IMPORTANT JOBS 4. IT HAS THE LEAST IMPORTANT JOB 5. UNDECIDED 0. NO ANSWER "
"S085.Q30. DO YOU FEEL PROUD OF YOUR REGIMEN? (IF YOU ARE NOT PART OF A REGIMENT, ANSWER THIS QUESTION FOR THE LARGEST UNIT TO WHICH YOU BELONG.)  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT PROUD 4. UNDECIDED 0. NO ANSWER "
"S085.Q31. DO YOU FEEL PROUD OF YOUR COMPANY (BATTERY, SQUADRON, TROOP)*  1. YES, VERY PROUD 2. YES, FAIRLY PROUD 3. NO, NOT PROUD 4. UNDECIDED 0. NO ANSWER "
"S085.Q32. DO THE MEN IN YOUR COMPANY (BATTERY, SQUADRON, TROOP) COOPERATE AND WORK WELL TOGETHE?  1. ALL OF THE TIME 2. MOST OF THE TIME 3. OFTEN DO NOT 4. ALMOST NEVER DO 5. UNDECIDED 0. NO ANSWER "
"S085.Q33. HOW MANY OF THE MEN IN YOUR COMPANY (BATTERY, SQUADRON, TROOP) WOULD YOU SAY ARE GOOD ALL-AROUND SOLDIER?  1. ALL ARE 2. MOST ARE 3. ABOUT HALF ARE, HALF ARE NOT 4. ONLY A FEW ARE 5. ALMOST NONE ARE 0. NO ANSWER "
"S085.Q34. HOW DO YOU THINK YOUR COMPANY (BATTERY, SQUADRON, TROOP) WOULD SHOW UP UNDER COMBAT CONDITION?  1. VERY WELL 2. FAIRLY WELL 3. NOT SO WELL 4. POORLY 5. UNDECIDED 0. NO ANSWER "
S085.Q35. HOW IMPORTANT DO YOU THINK IT IS THAT MEN OBEY WITHOUT QUESTION EVERY ORDER THAT IS GIVE?  1. IT IS ABSOLUTELY NECESSARY 2. IT IS OF GREAT IMPORTANCE 3. IT IS OF MEDIUM IMPORTANCE 4. IT IS OF LITTLE IMPORTANCE 5. IT IS OF NO IMPORTANCE AT ALL 0. NO ANSWER 
S085.Q36. HOW DO YOU THINK MOST OF THE NONCOMS WHO NOW SERVE WITH YOU COMPARE WITH THE AVERAGE RUN OF NONCOMS IN OTHER OUTFITS THAT YOU KNOW ABOU?  1. MOST OF MY NONCOMS ARE MUCH BETTER 2. MOST OF MY NONCOMS ARE SOMEWHAT BETTER 3. MOST OF MY NONCOMS ARE ABOUT AVERAGE 4. MOST OF MY NONCOMS ARE NOT QUITE AS GOOD 5. MOST OF MY NONCOMS ARE WORSE 0. NO ANSWER 
S085.Q37. HOW MUCH SUPERVISION IN THE CONDUCT OF YOUR JOB DO YOU RECEIVE FROM YOUR SUPERIOR OFFICER?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. TOO LITTLE 0. NO ANSWER 
"S085.Q38. DURING YOUR OFF-DUTY HOURS, HOW OFTEN DO YOU WORK ON IDEAS OR PLANS FOR IMPROVING YOUR OUTFI?  1. VERY OFTEN 2. FAIRLY OFTEN 3. ONCE IN A WHILE 4. NEVER 0. NO ANSWER "
S085.Q39A. DO YOU FEEL THAT YOU HAVE SOME GOOD SUGGESTIONS ABOUT HOW THINGS IN YOUR OUTFIT COULD BE DONE BETTER OR EASIE?  1. I HAVE A GOOD MANY SUGGESTIONS 2. I HAVE A FEW SUGGESTIONS 3. I HAVE NO SUGGESTIONS 0. NO ANSWER 
S085.Q39B. IF YOU WERE TO MAKE SUGGESTIONS HOW DO YOU THINK THEY WOULD BE RECEIVED BY THOSE WHO COULD PUT THEM TO US?  1. MY SUGGESTIONS WOULD BE GIVEN NO CONSIDERATION WHATEVER 2. MY SUGGESTIONS WOULD BE GIVEN LITTLE CONSIDERATION 3. MY SUGGESTIONS WOULD BE GIVEN CAREFUL CONSIDERATION 0. NO ANSWER 
"S085.Q40. DO YOU FEEL THAT YOUR SUPERIOR OFFICERS RECOGNIZE YOUR ABILITIES AND WHAT YOU ARE ABLE TO D?  1. YES, I'M SURE THEY DO 2. YES, I THINK THEY DO BUT I'M NOT SURE 3. NO, I DON'T THINK THEY DO 4. UNDECIDED 0. NO ANSWER "
S085.Q41. HOW MUCH DOES IT BOTHER YOU WHEN YOU ARE ORDERED TO DO THINGS WHICH YOU DON'T SEE A GOOD REASON FOR DOIN?  1. BOTHERS ME A GREAT DEAL 2. BOTHERS ME QUITE A BIT 3. DOESN'T BOTHER ME MUCH 4. DOESN'T BOTHER ME AT ALL 0. NO ANSWER 
"S085.Q42. DO TOO MANY OF THE ARMY RULES AND REGULATIONS SEEM USELESS TO YO?  1. NO, I NEVER THOUGHT SO 2. NO, I USED TO THINK SO, BUT DON'T NOW 3. YES, TOO MANY SEEM USELESS 4. UNDECIDED 0. NO ANSWER "
S085.Q43. HOW OFTEN ARE YOU IN SITUATIONS WHICH YOU FEEL COULD BE HANDLED MORE EFFECTIVELY BY DOING SOMETHING TECHNICALLY CONTRARY TO REGULATION?  1. FREQUENTLY 2. OCCASIONALLY 3. SELDOM 4. NEVER 
S085.Q44. HOW OFTEN HAVE YOU DONE SOMETHING TECHNICALLY CONTRARY TO REGULATIONS IN ORDER TO HANDLE A SITUATION MORE EFFECTIVEL?  1. FREQUENTLY 2. OCCASIONALLY 3. SELDOM 4. NEVER 0. NO ANSWER 
"S085.Q45. IN GENERAL, HOW WELL DO YOU THINK THE ARMY IS RU?  1. IT IS RUN VERY WELL 2. IT IS RUN PRETTY WELL 3. IT IS NOT RUN SO WELL 4. IT IS RUN VERY POORLY 5. UNDECIDED 0. NO ANSWER "
"S085.Q46. FROM WHAT YOU HAVE SEEN, DO YOU THINK PROMOTIONS USUALLY GO TO THE OFFICERS WHO DESERVE THEM MOS?  1. ALMOST ALWAYS 2. USUALLY 3. ABOUT HALF THE TIME 4. USUALLY NOT 5. ALMOST NEVER 0. NO ANSWER "
S085.Q47. HOW MANY OF YOUR SUPERIOR OFFICERS USE THEIR RANK IN WAYS THAT SEEM UNNECESSARY TO YO?  1. ALMOST ALL OF THEM DO 2. MOST OF THEM DO 3. SOME OF THEM DO 4. ONLY A FEW OF THEM DO 5. NONE OF THEM DO 0. NO ANSWER 
S085.Q48. ARE YOU EVER WORRIED AND UPSE?  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES WORRIED AND UPSET 3. I AM OFTEN WORRIED AND UPSET 0. NO ANSWER 
S085.Q49. DO YOU THINK THAT THE EFFICIENCY RATINGS GIVEN TO OFFICERS ARE USUALLY FAIR OR NO?  1. USUALLY FAIR 2. USUALLY NOT FAIR 3. UNDECIDED 0. NO ANSWER 
"S085.Q50. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRIT?  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
S085.Q51. HOW MUCH DOES IT BOTHER YOU WHEN YOU HAVE TO WORK EXTRA TIME ON YOUR REGULAR DUTIE?  1. BOTHERS ME A GREAT DEAL 2. BOTHERS ME QUITE A BIT 3. DOESN'T BOTHER ME MUCH 4. DOESN'T BOTHER ME AT ALL 0. NO ANSWER 
"S085.Q52. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARM?  1. I HAVE A PRETTY GOOD TIME 2. IT'S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 0. NO ANSWER "
"S085.Q53. IF IT WERE UP TO YOU, WHAT KIND OF OUTFIT WOULD YOU RATHER BE I?  1. IN A COMBAT OUTFIT OVERSEAS 2. IN A NON-COMBAT OUTFIT OVERSEAS 3. IN AN OUTFIT THAT WILL STAY IN THE UNITED STATES 0. NO ANSWER "
"S085.Q54. IF YOU WERE SENT INTO ACTUAL FIGHTING RIGHT NOW, HOW DO YOU THINK YOU WOULD D?  1. I THINK I WOULD DO ALL RIGHT 2. I THINK I WOULD HAVE TROUBLE AT FIRST, BUT AFTER A WHILE I WOULD BE OK 3. I DON'T THINK I WOULD DO VERY WELL 4. I HAVEN'T ANY IDEA HOW I WOULD DO 0. NO ANSWER "
"S085.Q55. WHICH OF THE FOLLOWING STATEMENTS BEST TELLS THE WAY YOU FEEL ABOUT GETTING INTO THE FIGHTIN?  01. I'M READY TO GO AND I WANT TO GET INTO THE REAL FIGHTING SOON 02. I'D LIKE TO GET IN ON THE FIGHTING BEFORE IT'S OVER, BUT I DON'T THINK I'M READY YET 03. I HOPE I WON'T HAVE TO GO, BUT IF I DO, I THINK I'LL DO ALL RIGHT 04. I HOPE I WON'T HAVE TO GO BECAUSE I DON'T THINK I'LL EVER BE GOOD AS A FIGHTER 05. NO INDICATION OF WHETHER HE WANTS TO GO OR NOT 06. WANTS TO GO BUT DOESN'T WANT TO LEAVE HIS FAMILY 07. WANTS TO GO IF HE CAN GO WITH THE MEN HE TRAINED 08. WOULD LIKE TO GET IN, BUT IN SOME OTHER BRANCH 09. OTHER COMMENTS INDICATING MAN DOES NOT WISH COMBAT 10. ALL OTHER 00. NO ANSWER "
"S085.Q56. IF YOU WERE GOING TO BE SENT OVERSEAS WITH A COMBAT UNIT, WOULD YOU RATHER BE SENT TO FIGHT THE GERMANS OR WOULD YOU RATHER BE SENT TO FIGHT THE JAPANES?  1. I WOULD RATHER BE SENT TO FIGHT THE GERMANS 2. I WOULD RATHER BE SENT TO FIGHT THE JAPANESE 3. IT WOULD NOT MAKE ANY DIFFERENCE TO ME 0. NO ANSWER "
"S085.Q57. IF THE GERMANS WERE TO OFFER TO STOP FIGHTING NOW AND TO GIVE UP ALL THE COUNTRIES AND TERRITORY THEY HAVE TAKEN OVER, WHAT DO YOU THINK WE SHOULD D?  1. WE SHOULD ACCEPT THE OFFER AND STOP FIGHTING NOW 2. WE SHOULD CONSIDER THE OFFER AND TRY TO WORK OUT SOME PEACE TERMS WITH THEM 3. WE SHOULD TURN DOWN THE OFFER AND KEEP ON FIGHTING UNTIL THEY GIVE UP COMPLETELY 4. UNDECIDED 0. NO ANSWER "
"S085.Q58. IF THE JAPANESE WERE TO OFFER TO STOP FIGHTING NOW AND TO GIVE UP ALL THE COUNTRIES AND TERRITORY THEY HAVE TAKEN OVER, WHAT DO YOU THINK WE SHOULD D?  1. WE SHOULD ACCEPT THE OFFER AND STOP FIGHTING NOW 2. WE SHOULD CONSIDER THE OFFER AND TRY TO WORK OUT SOME PEACE TERMS WITH THEM 3. WE SHOULD TURN DOWN THE OFFER AND KEEP ON FIGHTING UNTIL THEY GIVE UP COMPLETELY 4. UNDECIDED 0. NO ANSWER X. QUESTION 59 NOT CODED. "
S085.Q60. DO YOU EVER GET THE FEELING THAT THIS WAR IS NOT WORTH FIGHTIN?  1. VERY OFTEN 2. SOMETIMES 3. ONLY ONCE IN A GREAT WHILE 4. NEVER 5. NO ANSWER 0. NO CODE OR NO DATA 
"S085.Q61. WHICH DO YOU THINK ARE THE MOST DANGEROUS TO FIGHT AGAINST, THE GERMANS OR THE JAPANES?  1. THE GERMANS ARE THE MOST DANGEROUS TO FIGHT AGAINST 2. THE JAPANESE ARE THE MOST DANGEROUS TO FIGHT AGAINST 3. THEY ARE ABOUT THE SAME 4. UNDECIDED 5. NO ANSWER 0. NO CODE OR NO DATA "
S085.Q62. DO YOU THINK THERE WILL BE ANOTHER WAR IN THE NEXT 25 YEARS OR S?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
S085.Q63. HOW DO YOU THINK WE WILL GET ALONG WITH CHINA AFTER THE WA?  1. WE WILL GET ALONG VERY WELL 2. WE WILL DISAGREE ABOUT SOME THINGS BUT MANAGE TO GET ALONG 3. WE WILL HAVE SOME SERIOUS DISAGREEMENTS BUT WE WON'T FIGHT EACH OTHER 4. WE WILL VERY LIKELY FIGHT EACH OTHER SOONER OR LATER 5. UNDECIDED 0. NO ANSWER 
S085.Q64. HOW DO YOU THINK WE WILL GET ALONG WITH RUSSIA AFTER THE WA?  1. WE WILL GET ALONG VERY WELL 2. WE WILL DISAGREE ABOUT SOME THINGS BUT MANAGE TO GET ALONG 3. WE WILL HAVE SOME SERIOUS DISAGREEMENTS BUT WE WON'T FIGHT EACH OTHER 4. WE WILL VERY LIKELY FIGHT EACH OTHER SOONER OR LATER 5. UNDECIDED 0. NO ANSWER 
S085.Q65. HOW DO YOU THINK WE WILL GET ALONG WITH ENGLAND AFTER THE WA?  1. WE WILL GET ALONG VERY WELL 2. WE WILL DISAGREE ABOUT SOME THINGS BUT MANAGE TO GET ALONG 3. WE WILL HAVE SOME SERIOUS DISAGREEMENTS BUT WE WON'T FIGHT EACH OTHER 4. WE WILL VERY LIKELY FIGHT EACH OTHER SOONER OR LATER 5. UNDECIDED 0. NO ANSWER 
"S085.Q66. AFTER THE ALLIES WIN THE WAR, WHAT KIND OF A CHANCE DO YOU THINK THERE IS THAT THE TYPE OF PEACE YOU WOULD LIKE TO SEE WILL BE WORKED OUT IN THE PEACE SETTLEMEN?  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER "
S085.Q67. DO YOU THINK THAT AFTER THE WAR SOLDIERS IN YOUR OUTFIT WILL FIND IT EASIER OR HARDER TO GET JOBS THAN THEY DID BEFORE THE WA?  1. EASIER THAN BEFORE THE WAR 2. ABOUT THE SAME AS BEFORE THE WAR 3. HARDER THAN BEFORE THE WAR 4. UNDECIDED 0. NO ANSWER 
S085.Q68. DO YOU THINK THAT THINGS WILL BE BETTER OR WORSE FOR YOU PERSONALLY AFTER THE WAR THAN THEY WERE BEFORE THE WA?  1. BETTER FOR ME AFTER THE WAR THAN BEFORE THE WAR 2. SAME FOR ME AFTER THE WAR AS BEFORE THE WAR 3. WORSE FOR ME AFTER THE WAR THAN BEFORE THE WAR 4. UNDECIDED 0. NO ANSWER 
"S085.Q69. ARE THERE ANY IMPORTANT CHANGES WHICH YOU THINK SHOULD BE MADE IN THE UNITED STATES AFTER THE WA?  1. YES, A GOOD MANY 2. YES, A FEW 3. NO, NOT ANY 4. UNDECIDED 0. NO ANSWER "
"S085.Q70. AFTER THE WAR, DO YOU THINK THAT THE CHANGES YOU FAVOR IN THE UNITED STATES ACTUALLY WILL TAKE PLAC?  1. YES, IN FULL 2. YES, IN PART 3. NO 4. UNDECIDED 5. I DON'T FAVOR ANY CHANGES 0. NO ANSWER X. COL. 80 NOT USED. CARD 2 "
S085.CARD.  2. CARD TWO 
S085.DECK.  085. SURVEY NUMBER 
S085.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. P. HERE ARE SOME QUESTIONS ABOUT VARIOUS ASPECTS OF TRAINING ENLISTED MEN. THE OPINIONS OF OFFICERS WHO HAVE HAD PRACTICAL EXPERIENCE IN TRAINING SOLDIERS WILL BE HELPFUL TO THE WAR DEPARTMENT IN EVALUATING FUTURE PROGRAMS. 
"S085.Q71. AFTER THE WAR IS OVER, DO YOU THINK THE UNITED STATES WILL BE A BETTER PLACE OR A WORSE PLACE TO LIVE IN THAN IT WAS BEFORE THE WA?  1. WORSE AFTER THE WAR THAN BEFORE THE WAR 2. SAME AFTER THE WAR AS BEFORE THE WAR 3. BETTER AFTER THE WAR THAN BEFORE THE WAR 4. UNDECIDED 0. NO ANSWER "
"S085.Q72A. ""AFTER THE WAR THE UNITED STATES SHOULD CONTROL AND DOMINATE THE WORLD.""  1. AGREE 2. DISAGREE 0. NO ANSWER "
"S085.Q72B. ""AFTER THE WAR THE UNITED STATES SHOULD STAY OUT OF WORLD AFFAIRS AND STICK TO THE PROBLEMS WE HAVE IN THIS COUNTRY.""  1. AGREE 2. DISAGREE 0. NO ANSWER "
"S085.Q72C. ""AFTER THE WAR THE NATIONS OF THE WORLD SHOULD SET UP A STRONG INTERNATIONAL ORGANIZATION.""  1. AGREE 2. DISAGREE 0. NO ANSWER "
"S085.Q72D. ""AFTER THE WAR THE UNITED STATES SHOULD JOIN A STRONG INTERNATIONAL ORGANIZATION OF NATIONS EVEN IF IT MEANT THAT THIS ORGANIZATION WOULD HAVE SOME CONTROL OVER HOW THE UNITED STATES DEALS WITH OTHER COUNTRIES.""  1. AGREE 2. DISAGREE 0. NO ANSWER "
"S085.Q72E. ""AFTER THE WAR THERE SHOULD BE AN INTERNATIONALLY CONTROLLED ARMY TO POLICE THE WORLD.""  1. AGREE 2. DISAGREE 0. NO ANSWER "
S085.Q73. WHICH DO YOU THINK WOULD BE THE BEST WAY FOR THE UNITED STATES TO KEEP OUT OF WAR IN THE FUTUR?  1. STAY OUT OF WORLD AFFAIRS 2. JOIN A STRONG ORGANIZATION OF NATIONS 3. SOME OTHER WAY 4. UNDECIDED 0. NO ANSWER 
S085.Q74A. RANKS FIRST IN IMPORTANC?  1. THE ABILITY TO TEACH THINGS CLEARLY TO THE MEN UNDER HIM 2. THE ABILITY TO THINK FOR HIMSELF 3. THE ABILITY TO KNOW WHEN AND HOW TO DISCIPLINE MEN 4. THE ABILITY TO HELP AND ADVISE MEN UNDER HIM 5. THE ABILITY TO CARRY OUT ORDERS PROMPTLY AND ACCURATELY 6. THE ABILITY TO GAIN THE PERSONAL LIKING OF THE MEN UNDER HIM 0. NO ANSWER 
S085.Q74B. RANKS SECOND IN IMPORTANC?  1. THE ABILITY TO TEACH THINGS CLEARLY TO THE MEN UNDER HIM 2. THE ABILITY TO THINK FOR HIMSELF 3. THE ABILITY TO KNOW WHEN AND HOW TO DISCIPLINE MEN 4. THE ABILITY TO HELP AND ADVISE MEN UNDER HIM 5. THE ABILITY TO CARRY OUT ORDERS PROMPTLY AND ACCURATELY 6. THE ABILITY TO GAIN THE PERSONAL LIKING OF THE MEN UNDER HIM 0. NO ANSWER 
S085.Q74C. RANKS THIRD IN IMPORTANC?  1. THE ABILITY TO TEACH THINGS CLEARLY TO THE MEN UNDER HIM 2. THE ABILITY TO THINK FOR HIMSELF 3. THE ABILITY TO KNOW WHEN AND HOW TO DISCIPLINE MEN 4. THE ABILITY TO HELP AND ADVISE MEN UNDER HIM 5. THE ABILITY TO CARRY OUT ORDERS PROMPTLY AND ACCURATELY 6. THE ABILITY TO GAIN THE PERSONAL LIKING OF THE MEN UNDER HIM 0. NO ANSWER E. NUMBER OF ITEMS CHECKED. 
