CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5A.,Q.5B.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39J.,Q.40.,Q.40A.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.44.,Q.45.,Q.46.,Q.46A.,Q.46B.,Q.46C.,Q.46D.,Q.46E.,Q.47A.,Q.47B.,Q.47C.,Q.47D.,Q.47E.,Q.47F.,Q.47G.,Q.47H.,Q.48.,Q.49.,CARD..1,DECK..1,BALLOT..1,V.50.,V.51.,V.52.,V.53.
1,47,11,2,1,1,3,9,9,7,4,2,4,1,2,1,4,1,6,2,1,1,2,1,1,1,1,2,4,2,2,1,1,5,1,1,4,3,2,2,2,2,1,0,0,1,3,1,3,1,1,1,1,2,98,98,1,1,3,1,3,1,1,1,1,1,2,1,2,47,11,8,10,9,2215
1,47,12,1,1,2,4,1,2,3,5,1,3,1,1,3,2,1,6,1,1,1,2,1,2,1,11,2,4,2,2,1,4,1,1,1,4,3,3,3,9,5,3,2,3,1,1,1,2,1,1,3,1,2,98,98,2,1,3,3,3,3,3,3,1,1,1,1,2,47,12,4,7,9,2065
1,47,13,3,1,1,1,2,4,2,2,1,2,1,1,3,2,5,7,1,1,1,2,5,3,2,3,2,2,2,3,1,1,3,1,1,3,4,3,3,4,3,1,2,1,1,1,2,1,1,1,3,3,2,98,98,2,1,2,3,2,3,2,2,3,3,1,1,2,47,13,0,9,9,2117
1,47,14,1,1,1,1,3,4,1,4,2,3,1,2,2,3,2,7,2,3,2,2,3,1,1,2,2,3,3,3,1,4,4,1,2,3,1,1,2,2,5,1,2,3,1,1,1,1,1,1,1,3,2,98,98,2,1,1,3,1,3,3,3,3,3,2,1,2,47,14,0,10,9,2010
1,47,15,2,1,1,1,1,7,5,4,2,3,1,1,4,2,3,7,2,2,1,2,1,2,1,2,2,6,2,3,1,4,3,1,1,1,1,1,1,4,5,3,3,2,1,1,1,1,1,2,2,3,9,99,99,99,9,1,1,3,1,3,1,1,1,1,1,2,47,15,6,6,9,2254
1,47,16,2,1,2,1,2,2,5,2,1,1,1,2,3,2,2,7,2,1,2,2,2,2,3,4,1,6,3,2,1,1,1,1,1,1,1,1,1,2,5,1,4,1,1,1,2,2,1,1,1,1,9,99,99,99,9,3,3,3,3,3,1,1,3,1,1,2,47,16,4,10,9,2153
1,47,17,6,1,1,1,10,10,6,4,4,3,4,3,1,1,4,8,3,2,1,2,4,2,1,1,2,4,3,3,1,2,2,1,1,1,1,1,1,3,5,1,2,3,1,1,1,1,1,1,1,1,1,3,6,1,1,1,3,1,3,3,3,3,3,3,1,2,47,17,0,7,9,2008
1,47,18,1,1,2,2,2,3,3,4,2,3,1,3,1,1,4,7,3,1,3,2,1,2,3,4,2,7,2,2,1,2,2,1,1,3,1,1,1,1,5,1,4,1,1,1,2,2,1,1,2,1,9,99,99,99,9,1,3,1,3,3,3,3,3,3,1,2,47,18,0,6,9,2107
1,47,19,2,1,2,2,1,1,2,0,1,3,1,1,3,3,1,7,2,0,3,2,3,2,3,10,2,5,2,1,2,2,1,4,4,4,1,5,5,3,4,4,0,1,1,2,3,4,1,3,3,3,9,99,99,99,9,1,1,1,1,1,1,1,1,1,1,2,47,19,6,6,9,2144
1,47,20,1,1,1,3,1,2,3,2,1,1,1,1,3,1,1,7,2,1,1,2,1,2,3,4,2,7,2,1,1,3,1,1,1,1,2,2,1,2,5,1,2,4,1,1,1,3,1,1,1,1,2,98,98,2,1,3,3,3,1,3,1,1,1,1,1,2,47,20,6,8,9,2078
1,47,21,6,2,3,1,2,2,2,4,1,1,1,3,2,1,1,1,3,1,1,2,4,0,1,2,2,7,1,1,1,4,4,2,2,4,1,1,2,9,5,1,0,2,1,1,1,1,1,1,1,3,1,3,1,2,1,1,3,1,3,3,3,1,3,1,3,2,47,21,1,8,9,2001
1,47,22,6,2,1,2,0,0,5,5,2,1,1,2,3,2,1,3,1,1,1,2,5,1,1,1,2,7,2,3,1,4,4,4,2,4,2,2,2,9,5,1,3,2,1,1,5,5,1,1,3,3,9,99,99,99,9,3,1,3,1,3,1,2,2,1,1,2,47,22,5,9,9,2255
1,47,23,2,2,1,1,1,1,7,2,1,1,1,2,3,2,1,5,2,1,3,1,1,1,1,2,2,4,2,2,1,1,2,2,3,2,2,2,2,2,3,1,2,4,1,1,1,1,1,1,3,3,1,3,1,3,2,1,1,3,3,3,1,3,1,1,1,2,47,23,4,6,9,2030
1,47,24,3,2,2,1,3,5,7,4,2,5,1,1,3,2,1,5,1,1,2,1,1,1,1,1,2,1,3,3,2,1,3,1,1,4,3,2,1,3,5,1,3,2,1,1,1,1,1,1,3,1,9,99,99,99,9,3,3,3,3,3,2,1,1,2,1,2,47,24,4,8,9,2147
1,47,25,2,2,2,1,1,0,5,4,1,3,1,1,3,1,2,6,1,1,2,2,1,1,1,1,2,1,3,3,1,2,4,1,2,1,3,2,2,2,3,1,3,2,1,1,1,1,1,1,3,1,9,99,99,99,9,2,3,2,3,2,1,1,1,1,1,2,47,25,3,10,9,2248
1,47,26,2,2,1,1,1,2,5,4,2,5,1,1,3,2,2,6,2,1,2,1,1,1,1,2,2,1,3,3,2,3,2,1,1,2,2,1,1,2,4,1,4,1,1,1,2,3,1,1,3,3,9,99,99,99,9,3,1,2,1,1,1,1,3,1,1,2,47,26,6,9,9,2207
1,47,27,2,2,2,1,5,5,7,5,2,3,1,1,2,1,3,6,1,1,1,2,3,1,1,2,2,1,3,3,1,4,4,2,1,1,3,3,2,3,5,1,2,3,1,1,1,1,1,1,3,1,9,99,99,99,9,1,3,3,3,3,1,3,1,2,1,2,47,27,3,9,9,2178
1,47,28,2,2,1,1,3,4,7,5,2,2,1,2,3,2,1,6,1,1,3,2,2,2,3,4,2,1,3,3,1,1,3,1,3,3,3,2,2,2,4,1,5,5,1,1,1,2,1,1,3,1,1,3,1,1,2,3,1,3,3,1,1,1,1,1,1,2,47,28,7,10,9,2037
1,47,29,6,2,1,1,2,2,7,5,1,2,1,2,3,3,1,7,2,1,1,2,1,1,1,2,2,5,2,2,1,4,4,4,1,4,2,2,2,0,5,1,0,4,1,1,1,1,1,1,3,1,9,99,99,99,9,3,3,3,3,1,1,3,3,1,3,2,47,29,4,9,9,2129
1,47,30,2,1,3,1,0,0,6,2,1,2,1,1,2,2,1,1,1,1,3,2,3,2,3,0,2,4,3,2,1,1,4,1,1,1,1,1,2,5,1,1,4,2,2,1,5,5,1,3,3,3,2,98,98,1,1,3,1,3,1,1,3,1,1,1,1,2,47,30,7,7,9,2009
1,47,31,4,1,2,1,11,11,7,2,2,1,1,2,3,2,2,2,1,1,2,2,2,1,1,1,2,3,2,1,1,3,3,1,1,3,2,2,2,9,2,1,5,5,2,2,3,3,1,3,3,3,9,99,99,99,9,3,1,3,1,2,1,3,3,1,2,2,47,31,5,9,9,2137
1,47,32,2,1,2,1,0,0,2,4,5,5,4,2,1,1,3,2,3,3,3,2,4,2,3,4,3,3,2,1,4,3,1,1,4,4,1,2,2,1,1,2,4,4,2,2,2,3,1,3,3,1,9,99,99,99,9,2,1,2,1,1,1,1,1,3,1,2,47,32,6,6,9,2173
1,47,33,2,1,1,1,1,1,7,2,1,1,1,1,2,2,2,2,2,1,2,2,2,3,3,2,1,7,2,3,2,4,4,4,2,4,2,2,2,2,5,1,4,2,2,1,2,4,1,3,1,1,2,98,98,2,1,3,1,3,3,1,1,1,1,1,1,2,47,33,7,6,9,2233
1,47,34,2,1,2,1,2,4,7,4,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,4,3,7,3,3,1,1,1,1,1,1,1,1,2,2,5,1,4,1,2,1,1,3,1,3,3,1,9,99,99,99,9,2,2,2,2,2,1,1,2,2,1,2,47,34,2,7,9,2252
1,47,35,2,1,2,1,1,1,3,1,2,1,1,2,1,1,4,3,3,2,2,2,4,2,3,4,2,3,2,2,1,1,4,1,4,2,2,4,1,5,1,3,2,4,2,1,3,3,3,1,1,1,2,98,98,1,1,3,1,3,1,1,3,3,1,1,1,2,47,35,6,8,9,2119
1,47,36,6,1,2,1,1,4,5,3,2,2,1,3,4,4,3,3,3,2,3,2,3,2,3,3,2,4,2,2,1,1,1,1,1,1,2,2,5,2,4,1,4,2,2,1,2,2,2,2,2,1,1,8,9,9,2,3,1,3,3,1,1,3,3,2,1,2,47,36,5,6,9,2029
1,47,37,5,1,1,1,1,1,5,3,2,2,1,1,3,2,2,3,1,1,1,2,2,3,1,2,2,3,2,2,1,1,1,1,1,1,2,1,2,8,1,1,4,5,2,1,3,2,1,3,3,3,9,99,99,99,9,3,3,3,3,1,1,2,2,1,2,2,47,37,4,7,9,2158
1,47,38,1,1,1,1,1,10,5,5,1,1,1,1,3,2,1,3,1,1,1,2,1,1,2,2,2,1,1,1,4,1,4,1,4,4,5,1,1,7,1,1,4,4,2,2,3,4,1,1,3,1,2,98,98,2,2,3,1,3,1,1,1,1,1,1,1,2,47,38,8,3,9,2051
1,47,39,1,1,2,1,0,2,2,1,1,1,1,1,2,2,1,3,1,1,2,2,2,1,3,1,2,2,1,2,1,4,1,1,3,3,1,1,1,5,4,4,4,3,2,2,4,4,1,1,3,1,2,98,98,2,1,3,1,1,1,1,1,1,3,1,1,2,47,39,6,7,9,2066
1,47,40,1,1,2,1,2,0,2,2,1,2,1,2,2,2,2,3,2,1,2,2,1,1,2,3,2,3,2,3,3,2,3,3,3,3,3,2,3,4,1,3,4,2,2,1,1,1,1,1,1,1,2,98,98,1,1,3,1,3,1,1,1,1,3,1,1,2,47,40,7,5,9,2073
1,47,41,1,1,1,1,3,2,5,1,1,1,4,1,3,2,1,3,1,1,1,2,5,3,3,3,2,3,2,2,3,4,3,4,2,2,1,1,1,2,1,2,4,2,2,1,5,5,1,3,3,3,1,3,1,2,1,3,1,3,1,1,1,1,1,1,1,2,47,41,8,7,9,2226
1,47,42,4,1,2,1,4,4,4,3,1,1,2,2,3,1,3,3,3,2,2,2,4,2,3,2,3,6,3,3,3,3,1,1,3,2,2,2,3,7,2,1,4,2,2,1,1,3,1,3,3,3,9,99,99,99,9,3,1,3,1,1,1,1,1,2,1,2,47,42,8,6,9,2154
1,47,43,2,1,2,1,1,2,6,3,1,2,1,2,3,3,2,4,2,1,2,2,2,2,3,2,2,3,2,3,1,3,2,1,2,2,3,3,2,2,1,2,2,4,2,1,2,1,3,1,3,3,9,99,99,99,9,3,1,3,1,1,1,2,1,1,1,2,47,43,7,3,9,2132
1,47,44,2,1,2,1,3,3,5,5,2,3,4,3,1,1,5,4,2,3,3,2,4,2,3,4,2,5,2,2,1,2,1,1,1,1,2,2,2,3,4,1,2,4,2,1,3,2,1,2,3,3,2,98,98,2,2,3,1,3,1,1,1,1,1,2,1,2,47,44,8,7,9,2258
1,47,45,3,1,2,1,3,4,7,2,1,3,1,2,3,3,2,4,2,1,2,1,3,3,3,3,2,3,2,3,2,3,2,3,3,3,1,2,2,2,5,1,4,2,2,1,2,2,1,1,1,1,1,10,1,1,1,3,1,3,1,2,2,1,1,1,1,2,47,45,6,10,9,2212
1,47,46,1,1,2,1,1,3,3,2,1,1,1,1,3,2,1,4,2,3,2,2,2,2,2,3,1,2,3,2,1,3,3,1,2,1,2,2,1,7,1,1,4,2,2,1,1,1,1,1,3,3,2,98,98,2,1,2,2,2,2,2,1,1,2,1,1,2,47,46,2,8,9,2055
1,47,47,2,1,1,1,2,6,3,2,5,2,1,1,2,3,1,4,1,1,1,2,5,1,2,2,2,6,2,2,4,4,1,1,4,4,3,2,2,2,4,1,4,2,2,1,1,2,1,3,3,1,9,99,99,99,9,3,1,3,3,1,1,1,1,1,1,2,47,47,7,5,9,2246
1,47,48,6,1,2,1,3,3,2,5,2,2,3,2,2,1,5,4,2,2,1,2,4,2,3,4,3,6,3,3,1,2,1,1,1,1,1,1,1,9,1,2,2,4,2,1,5,5,2,3,3,3,2,98,98,1,1,3,2,2,2,1,1,3,3,1,1,2,47,48,3,6,9,2120
1,47,49,2,1,2,1,1,2,7,4,2,2,1,2,3,4,2,4,2,1,2,2,1,2,3,3,2,6,1,2,3,1,3,2,2,4,2,2,1,2,5,1,4,2,2,1,1,3,1,3,3,1,2,98,98,2,2,1,1,3,3,3,1,3,1,1,1,2,47,49,4,4,9,2234
1,47,50,2,1,2,1,4,4,7,5,1,1,1,2,4,2,1,4,2,2,2,2,3,2,3,6,2,6,2,2,2,2,2,1,1,1,2,2,1,2,4,1,4,2,2,2,3,2,1,3,3,3,1,8,1,3,1,3,1,3,3,0,1,3,1,2,1,2,47,50,6,8,9,2121
1,47,51,2,1,3,1,6,7,7,3,2,2,1,2,2,1,3,4,2,3,3,2,1,3,3,4,2,6,3,2,2,4,3,1,1,1,3,3,2,0,5,3,2,4,2,3,2,1,2,2,2,2,9,99,99,99,9,1,3,1,3,3,3,3,3,1,1,2,47,51,0,4,9,2244
1,47,52,2,1,2,2,4,3,1,5,1,1,1,1,3,2,1,2,2,1,2,2,1,1,3,4,2,4,4,4,1,1,4,1,0,1,1,1,1,5,1,4,4,2,2,1,3,1,1,3,3,3,2,98,98,2,1,3,1,3,1,1,1,1,1,2,1,2,47,52,8,99,9,2214
1,47,53,2,1,2,2,2,3,2,1,1,2,1,2,3,2,3,4,2,1,2,2,1,2,3,2,2,2,3,3,1,2,4,1,1,1,3,2,2,4,1,1,4,2,2,1,3,3,1,3,1,3,1,98,2,1,1,3,1,1,1,1,1,1,1,1,1,2,47,53,7,9,9,2069
1,47,54,2,1,2,2,3,3,2,1,1,2,1,2,2,2,2,4,3,1,3,2,1,1,3,2,3,4,2,3,1,1,1,1,1,1,2,2,3,5,2,1,4,2,2,1,2,2,1,3,3,3,1,3,2,2,1,3,1,1,1,1,1,1,1,1,1,2,47,54,7,6,9,2068
1,47,55,1,1,2,2,1,1,1,2,1,2,1,2,1,2,1,4,2,1,2,2,2,3,2,3,2,3,2,3,2,1,3,2,2,2,2,2,3,2,1,2,5,5,2,2,2,3,2,3,2,3,9,99,99,99,9,3,1,3,1,2,1,3,1,1,1,2,47,55,6,6,9,2125
1,47,56,2,1,2,2,1,4,7,1,5,1,1,2,2,1,2,4,1,3,2,2,4,2,3,3,2,3,2,3,3,3,2,1,3,3,3,2,2,6,1,1,4,2,2,1,2,2,1,3,3,3,2,98,98,2,1,3,1,3,1,1,1,1,1,1,1,2,47,56,8,8,9,2099
1,47,57,5,1,1,1,1,2,4,2,1,1,1,1,3,3,1,5,1,1,1,2,1,1,3,5,2,8,2,2,4,3,4,4,4,2,3,2,1,2,2,1,4,2,2,1,2,3,1,3,3,1,1,3,3,2,1,3,1,3,1,1,1,1,1,1,2,2,47,57,8,10,9,2198
1,47,58,1,1,1,1,1,2,3,2,1,1,1,2,3,2,2,5,2,2,2,2,1,2,3,2,2,1,3,1,3,3,2,1,1,3,1,1,1,2,3,1,4,2,2,1,2,4,1,3,3,3,2,98,98,2,1,3,1,3,1,1,1,3,1,1,1,2,47,58,7,8,9,2094
1,47,59,1,1,1,1,4,7,3,4,1,1,1,2,3,3,1,5,2,1,3,2,2,2,3,3,2,2,1,2,1,3,1,1,1,4,1,1,2,0,5,2,4,3,2,2,4,3,1,1,1,3,2,98,98,1,1,3,3,3,1,1,1,1,3,1,1,2,47,59,6,7,9,2046
1,47,60,1,1,2,1,3,5,7,5,0,2,1,2,1,1,1,5,2,1,1,2,1,3,1,2,2,3,3,2,1,1,3,3,1,1,2,1,1,4,5,1,3,2,2,1,2,2,1,1,3,1,2,98,98,1,1,3,1,3,3,2,1,3,1,1,1,2,47,60,5,9,9,2011
1,47,61,1,1,1,1,3,4,7,5,2,3,2,2,2,1,2,5,1,2,1,2,3,3,1,2,2,4,3,2,3,3,2,3,1,2,3,3,3,9,1,4,2,4,2,1,3,3,1,3,3,3,9,99,99,99,9,1,3,1,3,2,2,3,1,2,2,2,47,61,1,4,9,2145
1,47,62,2,1,2,1,2,3,7,4,2,5,1,2,3,1,2,5,1,2,2,2,3,3,1,2,2,2,2,3,3,3,3,3,3,3,2,2,2,6,1,1,4,2,2,2,2,2,2,1,3,3,2,98,98,1,1,3,1,3,1,1,1,1,1,2,1,2,47,62,8,9,9,2193
1,47,63,3,1,0,1,1,5,7,2,2,2,1,1,2,3,1,5,1,1,2,2,2,2,3,3,1,6,3,3,1,1,1,1,1,1,3,1,1,3,1,1,2,4,2,1,2,4,1,2,2,3,9,99,99,99,9,3,1,3,1,1,1,3,1,1,2,2,47,63,7,4,9,2148
1,47,64,2,1,2,1,7,7,7,3,1,2,1,1,2,2,2,5,2,2,2,2,4,2,2,4,2,6,3,3,1,4,4,4,1,4,3,2,3,2,3,1,2,3,2,1,1,1,2,2,2,1,2,98,98,1,1,3,1,3,1,1,1,1,1,1,1,2,47,64,8,5,9,2020
1,47,65,2,1,2,1,1,2,5,5,2,2,2,2,3,2,2,5,2,3,2,2,5,2,2,4,3,6,3,3,1,3,2,1,3,3,2,2,2,7,1,1,4,2,2,1,2,2,2,1,3,3,1,3,2,2,1,3,1,3,1,1,1,1,1,1,1,2,47,65,8,7,9,2192
1,47,66,2,1,1,1,3,3,7,5,2,2,1,2,3,2,2,5,2,1,1,2,2,3,3,3,2,3,2,3,3,3,2,4,2,2,2,2,1,2,4,1,5,5,2,1,3,2,1,3,3,3,1,3,1,1,2,1,1,3,3,3,1,1,1,1,1,2,47,66,5,6,9,2026
1,47,67,2,1,2,1,2,3,7,4,2,3,1,3,1,1,3,5,3,1,3,2,1,2,3,2,2,3,3,1,1,1,1,1,1,1,3,2,2,2,5,3,2,3,2,1,3,2,1,1,2,1,2,98,98,2,2,3,1,3,3,3,1,3,1,2,1,2,47,67,5,7,9,2187
1,47,68,2,1,1,1,1,3,6,3,2,1,1,1,3,2,1,5,2,1,1,2,1,1,1,2,2,3,2,3,1,4,4,4,1,4,2,2,2,1,5,1,4,2,2,3,1,2,1,1,2,1,9,99,99,99,9,3,1,3,1,1,1,1,1,1,1,2,47,68,8,5,9,2208
1,47,69,2,1,1,1,1,3,7,2,2,1,1,2,3,1,1,5,2,1,2,1,2,1,1,1,2,3,2,2,1,2,1,2,1,1,2,1,1,2,5,1,4,2,2,1,2,2,1,3,3,1,9,99,99,99,9,2,3,2,3,1,1,3,2,1,1,2,47,69,2,4,9,2251
1,47,70,2,1,2,1,1,1,7,3,2,2,1,2,3,1,2,5,2,1,2,2,4,2,2,4,2,4,2,2,1,1,2,1,1,1,1,1,1,2,3,1,3,4,2,1,2,2,1,1,1,1,1,3,1,1,1,3,3,1,3,1,1,3,3,1,1,2,47,70,3,8,9,2031
1,47,71,3,1,1,1,3,4,7,3,2,3,1,2,2,1,2,5,2,1,1,2,1,1,2,2,2,3,2,3,1,4,3,1,2,1,3,2,4,2,5,2,2,4,2,1,2,2,2,3,3,1,1,9,1,2,1,3,1,3,1,2,1,1,1,2,1,2,47,71,7,4,9,2219
1,47,72,3,1,1,1,4,7,7,3,2,2,1,3,1,1,2,5,3,1,1,2,4,1,1,2,2,4,3,3,2,3,4,3,2,2,3,3,2,8,5,1,0,4,2,1,1,1,2,1,1,1,9,99,99,99,9,3,1,3,2,1,1,2,1,2,1,2,47,72,6,9,9,2130
1,47,73,4,1,1,1,1,1,5,0,2,2,1,3,2,3,2,5,3,1,3,2,1,1,2,10,2,3,2,1,1,1,1,2,4,2,1,1,1,2,3,1,2,4,2,1,1,3,2,1,3,1,9,99,99,99,9,1,3,3,3,3,1,3,1,1,1,2,47,73,3,8,9,2146
1,47,74,5,1,1,1,2,2,4,3,1,1,1,2,2,1,1,5,1,1,1,2,1,3,1,2,2,3,2,2,1,3,3,1,3,1,2,3,2,2,5,1,4,2,2,1,2,2,1,3,1,3,9,99,99,99,9,3,1,3,1,1,1,3,1,1,2,2,47,74,7,7,9,2180
1,47,75,5,1,1,1,8,8,4,4,2,2,1,3,2,1,1,5,3,1,1,2,1,2,0,1,2,3,3,2,2,3,3,3,0,3,1,1,6,1,5,1,2,4,2,1,5,3,1,1,3,1,9,99,99,99,9,1,2,2,3,3,1,3,1,1,2,2,47,75,2,9,9,2105
1,47,76,5,1,1,1,1,1,7,3,1,1,1,1,3,2,1,5,1,1,1,2,1,1,1,1,2,3,1,1,2,1,4,4,3,4,2,1,2,4,4,1,4,3,2,1,4,4,1,2,1,1,9,99,99,99,9,3,1,3,1,1,1,1,1,2,2,2,47,76,8,8,9,2239
1,47,77,6,1,1,1,1,6,5,3,2,1,2,1,2,2,1,5,1,1,2,2,1,2,1,2,2,3,2,2,1,4,3,2,2,3,2,1,1,3,4,1,4,2,2,1,4,4,1,3,3,1,9,99,99,99,9,3,1,3,1,2,1,3,1,1,1,2,47,77,6,7,9,2159
1,47,78,4,1,1,1,10,10,4,4,2,2,1,1,2,2,2,6,2,1,2,2,1,2,2,6,2,8,2,2,1,4,4,4,3,4,3,2,2,5,4,1,2,1,2,1,1,1,2,3,1,3,1,6,1,2,1,1,3,1,3,3,1,3,3,0,0,2,47,78,1,8,9,2185
1,47,79,1,1,1,1,1,1,3,4,2,4,1,2,1,1,3,6,2,1,1,1,1,2,1,2,2,1,2,2,1,1,2,2,2,4,1,1,1,8,3,1,5,5,2,1,3,2,2,1,1,1,2,98,98,2,1,3,3,3,3,1,1,1,1,1,1,2,47,79,6,8,9,2070
1,47,80,1,1,2,1,2,4,2,3,2,2,1,1,3,2,2,6,2,1,1,2,2,1,3,2,2,2,2,2,1,4,3,3,2,2,2,2,2,4,3,1,4,1,2,2,3,3,1,1,3,3,2,98,98,1,1,3,1,3,1,1,1,1,1,2,1,2,47,80,8,5,9,2088
1,47,81,1,1,2,1,5,3,5,0,1,3,1,1,3,2,1,6,2,1,2,2,1,1,1,1,2,2,2,3,1,1,2,1,1,3,2,2,2,9,1,3,4,1,2,2,2,2,1,1,1,1,2,98,98,2,1,3,1,3,1,1,1,1,1,3,1,2,47,81,8,7,9,2052
1,47,82,1,1,1,1,2,2,2,5,1,1,1,2,1,1,3,6,1,1,1,2,4,1,2,3,2,2,2,1,4,2,1,1,3,3,3,2,2,2,3,1,0,0,2,1,2,4,1,1,2,1,9,99,99,99,9,3,1,3,1,1,1,1,2,1,1,2,47,82,7,9,9,2179
1,47,83,1,1,2,1,3,5,1,5,1,3,2,2,1,1,2,6,3,3,2,2,2,2,3,3,2,2,2,2,2,2,1,1,2,3,2,2,2,5,3,1,2,1,2,2,2,2,2,1,3,1,2,98,98,2,1,3,1,3,1,1,1,1,1,2,1,2,47,83,8,7,9,2049
1,47,84,1,1,1,1,1,1,3,2,2,0,1,2,3,3,5,6,0,3,2,2,1,1,1,2,2,3,2,3,1,3,2,1,1,1,2,2,2,3,4,1,1,2,2,1,1,2,2,1,1,3,9,99,99,99,9,1,1,3,1,3,3,3,1,1,1,2,47,84,4,8,9,2152
1,47,85,1,1,1,1,1,3,2,2,2,4,3,3,2,3,2,6,3,1,2,2,2,1,3,4,2,3,3,2,1,3,1,1,3,4,3,3,4,2,5,1,2,4,2,1,1,2,2,1,1,1,2,98,98,1,1,3,1,3,1,1,1,1,1,2,1,2,47,85,8,7,9,2077
1,47,86,1,1,1,1,2,2,3,1,1,1,1,1,3,2,1,6,1,1,2,2,3,1,2,3,2,3,2,2,1,3,3,2,1,3,2,2,2,7,1,1,5,5,2,1,2,2,1,1,1,1,2,98,98,1,1,2,1,2,1,2,2,3,3,1,1,2,47,86,2,8,9,2071
