S0136.CARD.  1. CARD ONE 
"S0136.Q9. WHAT WOULD YOU LIKE TO SEE HAPPEN TO THE GERMANS AFTER THE WA?  1. PUNISH THE LEADERS, BUT NOT THE ORDINARY GERMANS 2. MAKE THE ORDINARY GERMAN PEOPLE SUFFER PLENTY 3. WIPE OUT THE WHOLE GERMAN NATION 4. NO ANSWER 0. NO CODE OR NO DATA "
"S0136.Q10. WHAT WOULD YOU LIKE TO SEE HAPPEN TO THE JAPANESE AFTER THE WA?  1. PUNISH THE LEADERS, BUT NOT THE ORDINARY JAPANESE 2. MAKE THE ORDINARY JAPANESE PEOPLE SUFFER PLENTY 3. WIPE OUT THE WHOLE JAPANESE NATION 0. NO ANSWER "
"S0136.Q11. ABOUT HOW LONG HAVE YOU BEEN OVERSEA?  1. LESS THAN 6 MONTHS 2. 6 MONTHS UP TO A YEAR 3. MORE THAN A YEAR, UP TO 1 1/2 YEARS 4. MORE THAN 1 1/2 YEARS 0. NO ANSWER "
"S0136.Q12. ARE YOU MARRIED OR SINGL?  1. MARRIED 2. SINGLE 3. WIDOWED, DIVORCED OR SEPARATED 0. NO ANSWER "
S0136.Q13. HOW OLD WERE YOU ON YOUR LAST BIRTHDA?  01. 20 YEARS OR LESS 02. 21 YEARS 03. 22 04. 23 05. 24 06. 25 07. 26-29 YEARS 08. 30-34 YEARS 09. 35-37 YEARS 10. 38 YEARS 11. 39 YEARS AND OVER 00. NO ANSWER 
S0136.Q14. ARE YOU AN OFFICER OR AN ENLISTED MA?  1. COMMISSIONED OFFICER 2. FLIGHT OFFICER OR WARRANT OFFICER 3. ENLISTED MAN 0. NO ANSWER 
S0136.Q15. HOW DID YOU COME INTO THE ARM?  1. I WAS DRAFTED 2. I VOLUNTEERED 3. I WAS IN THE NATIONAL GUARD 4. I WAS A RESERVE OFFICER 0. NO ANSWER 
"S0136.Q16. IF YOU ARE IN EUROPEAN THEATER OPERATIONS WHEN GERMANY IS DEFEATED, HOW WOULD YOU FEEL ABOUT GOING TO ANOTHER THEATER TO HELP BEAT JAPA?  1. WOULD BE QUITE ANXIOUS TO GO 2. WOULD ONLY FEEL WILLING TO GO AFTER A FURLOUGH IN THE U.S. 3. WOULD RATHER GO AFTER A FURLOUGH IN THE U.S., BUT WOULD FEEL WILLING TO GO EVEN WITHOUT ONE IF IT SEEMED NECESSARY 4. WOULD NOT WANT TO GO AT ALL 0. NO ANSWER "
"S0136.Q17. IF YOU WERE SENT TO ANOTHER THEATER TO HELP DEFEAT JAPAN, WOULD YOU PREFER TO CONTINUE IN YOUR PRESENT TYPE OF JOB OR TO CHANGE TO SOME OTHER TYPE OF AIR CORPS JO?  1. WOULD PREFER TO KEEP MY PRESENT TYPE OF JOB 2. WOULD PREFER SOME OTHER TYPE - SPECIFIES SOME KIND OF COMBAT FLYING JOB 3. WOULD PREFER SOME OTHER TYPE - SPECIFIES OTHER NON-COMBAT FLYING JOB 4. WOULD PREFER SOME OTHER TYPE - NO ANSWER AS TO WHAT 5. IT WOULDN'T MAKE ANY DIFFERENCE TO ME 0. NO ANSWER "
"S0136.Q18. ALL THINGS CONSIDERED, WHERE DO YOU FEEL THAT YOU PERSONALLY COULD BE OF MOST VALUE TO THE TOTAL WAR EFFORT AT THE PRESENT TIM?  1. IN MY PRESENT ASSIGNMENT IN E.T.O. 2. IN SOME OTHER AIR CORPS ASSIGNMENT IN E.T.O. 3. IN AN AIR CORPS ASSIGNMENT IN ANOTHER THEATER IN THE FIGHT AGAINST JAPAN 4. SOMETHING ELSE 0. NO ANSWER "
S0136.Q19A. WITH RESPECT TO THE DIFFICULTY OF COMBAT FLYIN?  1. MUCH TOUGHER IN THE PACIFIC THAN HERE 2. SOMEWHAT TOUGHER IN THE PACIFIC THAN HERE 3. ABOUT AS HARD ONE PLACE AS THE OTHER 4. SOMEWHAT EASIER IN THE PACIFIC THAN HERE 5. MUCH EASIER IN THE PACIFIC THAN HERE 6. NO OPINION 0. NO ANSWER 
S0136.Q19B. WITH RESPECT TO THE GENERAL LIVING AND WORKING CONDITION?  1. MUCH BETTER IN THE PACIFIC THAN HERE 2. SOMEWHAT BETTER IN THE PACIFIC THAN HERE 3. ABOUT AS GOOD ONE PLACE AS THE OTHER 4. NOT QUITE AS GOOD IN THE PACIFIC AS HERE 5. NOT NEARLY AS GOOD IN THE PACIFIC AS HERE 6. NO OPINION 0. NO ANSWER 
"S0136.Q21. AFTER THE WAR, DO YOU THINK THE GERMANS SHOULD BE REQUIRED TO MAKE SOME TYPE OF PAYMENT FOR WHAT THE WAR HAS COST OTHER COUNTRIE?  1. THEY SHOULD PAY IN MONEY OR IN GOODS 2. THEY SHOULD PAY BY SENDING GERMAN LABORERS TO WORK IN ALLIED COUNTRIES WHICH NEED ADDITIONAL MAN-POWER TO REPAIR WAR DAMAGE 3. THEY SHOULD NOT BE REQUIRED TO PAY 4. UNDECIDED 5. NO ANSWER 0. NO CODE OR NO DATA "
S0136.Q22. HOW ABOUT THE JAPANES?  1. THEY SHOULD PAY IN MONEY OR IN GOODS 2. THEY SHOULD PAY BY SENDING JAPANESE LABORERS TO WORK IN ALLIED COUNTRIES WHICH NEED ADDITIONAL MAN-POWER TO REPAIR WAR DAMAGE 3. THEY SHOULD NOT BE REQUIRED TO PAY 4. UNDECIDED 5. NO ANSWER 0. NO CODE OR NO DATA 
S0136.V23. EIGHTH AND NINTH AIR FORCE IDENTIFICATION:  01. 303RD H BOMBER GROUP (8TH) 02. 96TH BOMBER GROUP (8TH) 03. 445TH BOMBER GROUP (8TH) 04. 352ND FIGHTER-B GROUP (8TH) 05. 386TH M BOMBER GROUP (9TH) 06. 394TH BOMBER GROUP (9TH) 07. 354TH FIGHTER-B GROUP (9TH) 08. 474TH FIGHTER-B GROUP (9TH) 09. TROOP CARRIERS 10. ENGINEERS (9TH) 
S0136.V24. SERIAL NUMBER IDENTIFICATION:  ANP X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. 
