CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24A.,Q.24B.,Q.25.,Q.26A.,Q.26B.,Q.26C.,Q.26D.,Q.26E.,Q.26F.,Q.26G.,Q.26H.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38A.,Q.38B.,Q.38C.,Q.38D.,Q.38E.,Q.38F.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48A.,Q.48B.,Q.48C.,Q.48D.,Q.48E.,V.49.,V.50.,CARD..1,DECK..1,BALLOT..1,FORM..1,V.51.,V.52.
1,219,15,2,3,7,1,7,1,6,3,3,3,5,4,4,7,1,1,3,4,5,2,1,2,1,2,5,4,3,1,1,1,1,1,1,1,1,5,9,4,1,3,3,3,3,1,1,1,2,2,1,2,2,5,3,2,5,2,2,1,1,1,4,2,2,2,1,2,2,1,2,219,15,2,1,125
1,219,16,2,4,5,2,6,2,6,5,4,1,5,1,2,3,1,3,2,2,3,1,3,4,2,2,5,4,3,1,2,1,1,1,2,1,2,5,9,4,4,1,5,2,3,2,2,2,1,1,2,2,2,4,3,4,3,1,3,2,1,2,2,3,2,2,3,2,2,5,2,219,16,2,0,425
1,219,17,2,5,6,3,4,2,6,5,15,0,3,1,2,4,2,1,2,2,3,1,3,4,2,2,5,4,4,1,1,1,1,1,1,1,2,4,9,4,5,2,4,1,2,4,2,1,1,1,1,1,1,4,3,4,2,3,4,2,1,6,2,2,1,2,1,2,2,1,2,219,17,2,0,503
1,219,18,2,3,6,3,8,2,1,5,13,1,2,2,2,3,2,1,2,2,3,2,0,4,1,2,4,2,2,1,1,1,1,1,3,1,3,5,9,1,2,3,4,3,2,1,1,1,2,2,1,2,2,4,3,2,5,1,1,1,1,2,1,2,2,2,3,2,2,3,2,219,18,2,2,503
1,219,19,2,3,6,3,6,1,6,3,13,1,2,3,4,5,2,1,2,2,2,2,2,4,1,2,5,3,4,1,1,3,3,1,2,1,2,5,9,2,3,2,3,3,1,1,1,1,2,2,1,1,1,5,3,2,5,1,3,2,1,2,1,2,2,3,1,2,2,3,2,219,19,2,2,508
1,219,20,2,3,7,1,5,1,6,5,11,1,4,4,4,7,0,1,3,4,5,2,2,2,1,2,5,5,3,1,3,1,3,1,3,1,3,5,9,4,2,3,3,2,2,3,2,1,2,2,1,1,2,4,2,4,2,2,1,2,1,3,1,3,2,2,3,2,2,5,2,219,20,2,1,516
1,219,21,2,1,6,1,7,2,6,3,5,2,5,2,2,4,1,1,3,3,4,1,3,3,1,2,5,4,2,1,3,1,3,1,2,1,3,5,9,6,2,3,3,3,2,1,2,1,2,1,2,2,2,4,3,2,4,2,2,2,1,5,1,2,3,2,3,2,2,5,2,219,21,2,1,819
1,219,22,2,1,7,2,7,1,6,3,4,1,4,1,3,6,0,1,3,5,7,2,2,1,2,2,5,4,3,1,2,1,1,2,1,1,2,5,9,1,2,3,5,3,3,2,1,1,1,2,1,1,1,1,3,4,6,2,2,2,1,6,2,3,1,1,3,1,2,5,2,219,22,2,0,120
1,219,23,2,2,6,3,5,1,6,5,17,1,3,4,3,6,2,1,2,3,7,1,3,4,1,2,4,2,3,1,2,1,3,1,1,1,2,3,9,6,4,3,3,3,2,1,1,1,2,2,2,1,1,1,3,3,3,2,4,3,1,5,1,3,2,2,3,2,2,3,2,219,23,2,1,808
1,219,24,2,1,6,3,7,1,6,3,17,1,2,1,3,4,2,1,3,3,7,1,3,4,2,2,5,5,4,2,1,1,2,1,1,1,1,5,9,1,4,4,3,3,3,3,1,1,1,2,2,1,1,1,3,4,3,3,1,1,1,5,1,1,2,2,1,2,2,3,2,219,24,2,3,907
1,219,25,2,2,5,1,6,2,6,4,4,1,4,2,3,5,2,1,3,3,4,1,1,1,1,2,4,4,3,1,1,1,1,1,2,1,1,5,9,2,3,4,3,2,1,1,3,1,1,2,2,1,1,4,2,5,1,1,4,2,1,6,2,3,2,2,1,2,2,5,2,219,25,2,0,107
1,219,26,2,5,6,2,6,2,6,5,4,2,2,4,4,6,2,1,2,3,3,2,1,2,1,2,4,3,4,1,1,3,3,1,3,3,2,5,9,2,1,5,3,1,2,1,4,2,1,1,1,1,1,3,1,4,2,2,4,2,1,3,1,2,1,3,3,2,2,5,2,219,26,2,0,422
1,219,27,2,2,5,1,6,3,6,3,9,1,5,1,2,4,1,3,2,3,5,1,3,4,1,2,5,4,3,3,2,2,1,3,3,1,2,3,9,2,4,2,5,3,2,2,1,1,2,1,1,2,2,1,3,2,5,1,2,2,1,1,2,2,2,2,3,2,2,5,2,219,27,2,2,606
1,219,28,2,2,5,3,6,1,6,2,1,3,3,1,4,6,3,1,3,4,5,2,0,4,2,2,5,4,3,1,1,1,1,1,3,1,3,3,14,1,4,3,3,3,2,2,2,1,2,1,1,1,1,2,3,2,3,1,4,2,1,3,1,1,2,2,3,2,2,1,2,219,28,2,0,733
1,219,29,2,1,4,1,7,2,1,2,1,0,1,3,4,6,1,1,3,4,7,2,1,4,1,2,5,5,4,2,2,1,1,1,3,3,3,5,5,0,3,2,3,3,2,1,2,1,2,2,1,1,2,5,3,3,4,2,3,2,1,3,1,3,3,1,1,3,2,1,2,219,29,2,0,724
1,219,30,2,2,4,3,8,1,6,2,1,3,2,3,3,6,1,1,3,4,5,2,1,4,1,2,5,3,4,3,3,3,3,1,3,1,3,5,5,2,1,2,3,2,2,1,4,2,1,1,2,1,0,5,2,4,2,3,4,2,1,7,3,3,3,3,1,3,2,1,2,219,30,2,0,413
1,219,31,2,1,4,3,7,1,6,2,1,3,1,3,4,5,2,1,3,3,5,1,0,5,1,2,5,3,3,3,1,3,3,1,3,1,3,5,5,0,1,3,3,3,1,1,1,1,2,2,1,1,2,4,3,2,4,3,3,2,1,7,3,1,1,1,3,3,2,1,2,219,31,2,0,739
1,219,32,2,1,4,3,6,1,6,2,1,3,2,3,3,5,2,1,2,2,4,1,0,5,1,2,4,3,3,1,1,1,3,2,2,1,1,2,5,1,3,2,4,2,3,0,2,1,2,2,1,1,2,4,2,3,3,2,2,2,1,7,3,1,2,3,1,1,2,1,2,219,32,2,0,743
1,219,33,2,2,4,3,7,1,6,2,1,3,1,3,4,5,1,1,3,3,6,1,2,2,1,2,5,4,2,2,1,1,1,1,3,1,2,5,5,2,2,3,2,3,2,5,2,1,2,2,1,2,2,5,2,1,5,4,2,3,1,5,2,3,3,1,1,3,2,1,2,219,33,2,0,803
1,219,34,2,1,4,3,7,1,6,2,1,3,1,3,2,5,2,1,2,3,5,1,3,3,1,2,5,4,3,3,2,1,3,1,2,1,3,2,5,2,2,4,3,3,1,1,2,1,2,2,1,2,2,4,3,3,4,4,1,2,1,5,1,1,2,1,3,1,2,1,2,219,34,2,0,703
1,219,35,2,1,4,3,7,2,1,2,1,3,1,4,3,6,3,1,3,4,5,2,1,3,1,2,5,4,3,3,3,1,3,3,3,1,3,5,5,2,2,2,3,3,1,1,1,1,2,2,1,1,2,5,3,1,5,4,1,1,1,3,1,1,2,2,3,2,2,1,2,219,35,2,0,416
1,219,36,2,2,5,1,5,2,6,4,3,3,3,2,2,3,1,2,3,4,5,2,3,4,1,1,4,5,3,1,1,1,3,1,2,1,3,1,9,3,1,5,3,2,1,2,1,1,2,2,2,1,2,4,2,2,4,1,2,2,1,3,2,1,1,2,3,2,2,1,2,219,36,2,0,105
1,219,37,2,2,5,2,7,2,6,4,3,3,4,1,1,2,3,1,3,5,7,2,1,4,1,1,4,2,3,3,1,1,3,1,3,1,2,2,9,2,2,4,3,2,1,2,1,1,1,2,1,1,1,4,2,4,2,2,3,3,1,5,2,3,3,3,3,3,2,1,2,219,37,2,0,103
1,219,38,2,2,6,3,6,2,6,3,13,1,3,2,3,3,2,1,1,2,4,1,3,4,1,1,4,4,3,1,1,1,3,1,3,3,2,5,9,5,4,4,4,3,3,2,5,2,2,2,2,1,2,4,3,3,3,0,2,2,1,5,1,3,3,3,3,3,2,3,2,219,38,2,3,601
1,219,39,2,1,5,2,5,1,6,2,12,1,5,4,1,7,1,1,3,5,8,2,3,1,2,1,5,5,3,1,1,1,3,1,2,3,3,3,9,3,1,2,5,1,2,2,1,1,2,2,1,1,2,5,2,2,4,4,1,1,1,3,2,3,2,3,1,3,2,3,2,219,39,2,2,715
1,219,40,2,3,6,2,6,2,1,4,14,2,2,3,2,3,2,1,2,2,3,1,3,3,1,1,4,0,3,3,1,1,1,1,2,2,2,5,9,1,2,3,3,3,2,1,2,1,2,2,1,1,1,1,2,4,4,2,1,2,1,4,1,1,2,2,2,2,2,3,2,219,40,2,0,605
1,219,41,2,4,5,2,8,2,1,4,4,2,5,2,2,3,1,1,3,4,5,2,3,4,1,1,4,4,3,2,1,1,2,1,2,1,1,2,9,1,2,4,5,2,1,1,1,1,2,2,1,1,2,5,2,3,3,1,3,1,1,5,1,1,2,2,1,2,2,5,2,219,41,2,0,402
1,219,42,2,4,7,1,8,2,1,4,1,3,4,4,2,4,2,3,2,2,5,1,2,3,1,1,4,4,3,2,1,1,2,1,2,1,2,2,9,2,2,3,3,1,2,1,1,1,2,1,1,1,2,5,2,3,3,2,2,2,1,4,3,1,2,2,1,2,2,1,2,219,42,2,0,211
1,219,43,2,3,6,3,7,2,1,3,15,2,2,2,3,4,1,2,3,3,9,1,0,4,1,1,5,5,3,0,2,1,1,3,3,1,3,5,9,4,5,2,1,2,2,1,1,1,1,1,1,2,2,2,2,3,3,1,2,1,1,4,3,3,2,2,2,2,2,3,2,219,43,2,3,705
1,219,44,2,3,6,3,8,2,1,3,12,2,2,1,2,0,2,1,3,3,5,2,3,4,2,1,4,4,3,1,1,1,2,1,1,1,3,2,9,1,4,4,5,3,1,1,1,1,2,1,1,1,2,5,3,3,5,1,3,1,1,2,2,1,2,2,1,2,2,3,2,219,44,2,1,5
1,219,45,2,2,6,3,8,2,1,3,13,1,2,2,3,4,1,1,3,3,5,2,2,3,1,1,4,4,3,1,1,1,3,1,3,1,3,5,9,5,4,2,4,3,3,1,2,1,1,2,2,2,2,5,3,3,5,2,2,2,1,5,1,3,3,3,3,3,2,3,2,219,45,2,3,602
1,219,46,2,3,6,3,8,1,6,3,15,1,3,3,3,6,2,1,3,4,5,2,1,3,1,1,4,3,3,1,1,1,2,1,2,1,1,2,9,1,4,3,3,3,2,1,1,1,2,1,1,1,2,1,3,4,4,2,4,1,1,3,1,1,1,2,1,2,2,3,2,219,46,2,2,807
1,219,47,2,2,5,2,8,2,6,3,8,1,5,1,1,3,1,1,3,2,4,1,3,4,1,1,5,5,3,1,1,1,2,1,2,1,2,5,9,1,4,4,3,3,1,1,1,2,2,2,1,2,1,2,1,1,5,5,4,1,1,1,1,1,2,2,2,2,2,5,2,219,47,2,1,610
1,219,48,2,2,6,3,7,2,6,4,13,1,4,1,2,3,1,1,1,3,5,2,3,5,2,1,5,3,3,1,1,1,2,1,2,3,3,3,9,6,3,3,4,2,4,4,2,1,1,1,1,2,2,1,2,3,5,1,3,2,1,3,2,1,2,2,3,2,2,3,2,219,48,2,2,308
1,219,49,2,2,6,2,6,1,6,3,11,1,4,4,4,0,1,1,3,2,3,1,3,2,2,1,5,5,3,1,1,1,2,1,2,1,2,5,9,1,3,2,4,2,1,2,2,2,2,1,1,1,2,4,2,5,3,2,4,3,1,2,1,1,2,2,1,2,2,5,2,219,49,2,1,504
1,219,50,2,5,6,2,7,2,6,3,8,1,6,4,4,6,3,1,3,5,6,2,3,1,1,1,5,3,3,3,1,1,1,3,1,1,3,4,9,6,3,2,3,3,3,3,2,1,1,1,2,1,2,1,1,3,6,1,4,2,1,2,1,2,3,1,1,1,2,5,2,219,50,2,0,907
1,219,51,2,2,7,3,6,2,1,3,15,1,2,4,1,0,0,1,2,3,3,2,1,2,1,1,5,3,3,3,1,1,3,1,0,1,3,1,10,6,3,3,5,3,3,2,2,2,1,1,1,1,1,3,3,3,3,2,4,2,1,6,1,3,2,2,3,2,2,3,2,219,51,2,3,903
1,219,52,2,3,5,3,7,1,6,4,15,1,5,2,3,6,1,1,2,6,6,2,3,4,1,1,5,4,3,1,1,1,2,1,0,1,1,5,10,2,4,0,0,3,1,1,1,2,2,2,1,2,2,5,3,3,4,2,2,1,1,2,1,1,2,2,1,2,2,3,2,219,52,2,3,205
1,219,53,2,2,5,3,7,2,1,3,13,1,4,1,2,2,1,2,2,4,5,1,3,4,1,1,4,2,3,1,1,1,2,1,1,1,3,2,10,4,2,2,4,3,2,1,1,1,2,1,1,2,2,5,3,1,5,2,1,2,1,5,2,1,2,2,1,2,2,3,2,219,53,2,2,422
1,219,54,2,3,5,3,8,1,6,3,13,1,5,2,1,4,1,1,3,3,5,2,3,5,1,1,5,4,3,1,1,1,2,1,2,1,2,5,10,1,2,2,3,2,2,1,1,1,2,2,1,2,1,4,2,2,5,2,2,1,1,2,1,2,2,2,1,2,2,3,2,219,54,2,2,311
1,219,55,2,3,5,3,8,2,2,3,13,1,3,2,2,3,1,1,2,3,3,1,3,4,1,1,4,3,3,3,1,1,2,1,2,1,2,2,10,5,2,3,3,3,2,3,2,1,2,2,2,2,2,4,3,3,4,1,2,1,1,2,1,3,2,2,1,2,2,3,2,219,55,2,2,412
1,219,56,2,1,5,3,6,1,6,3,13,1,5,1,2,2,2,3,3,3,4,1,3,4,1,1,4,2,3,3,1,1,2,1,3,1,2,5,10,1,2,3,4,3,2,3,2,1,1,2,1,2,2,4,3,2,4,3,4,2,1,3,1,3,2,2,1,2,2,3,2,219,56,2,2,306
1,219,57,2,2,5,3,8,2,1,4,13,1,4,4,2,4,3,1,2,4,9,2,1,3,2,1,5,4,3,3,1,3,2,1,2,1,2,1,10,5,2,4,3,4,3,2,1,1,2,1,2,1,2,5,4,4,5,3,4,3,1,3,1,3,2,2,1,2,2,3,2,219,57,2,2,314
1,219,58,2,2,7,3,6,1,6,3,13,1,3,2,1,3,2,1,3,2,4,2,3,4,1,1,5,4,3,1,1,1,3,1,1,1,1,5,10,1,2,4,3,3,3,3,1,1,2,2,1,1,2,1,3,1,5,2,4,1,1,5,3,1,0,0,1,0,2,3,2,219,58,2,2,426
1,219,59,2,3,7,3,6,2,1,2,12,1,2,1,1,2,2,1,3,4,5,1,3,5,1,1,4,4,3,1,1,1,2,1,2,1,3,3,10,4,2,3,4,2,4,1,2,1,2,2,1,1,2,2,2,1,4,2,2,2,1,1,2,3,2,2,1,3,2,3,2,219,59,2,0,713
1,219,60,2,2,5,3,6,1,6,3,13,1,4,1,3,4,2,3,2,3,4,1,3,3,2,1,5,5,3,1,2,1,1,1,2,1,1,3,10,6,3,2,3,3,3,2,1,1,1,1,2,1,2,0,3,1,3,5,4,1,1,5,2,3,3,2,3,2,2,3,2,219,60,2,2,425
1,219,61,2,4,6,2,8,2,1,4,14,2,2,1,2,3,2,1,3,3,3,2,3,5,1,1,5,2,3,1,1,1,1,1,2,1,1,5,10,2,2,2,5,2,2,1,2,1,2,2,2,2,2,2,2,4,5,2,2,2,1,4,1,1,2,2,2,2,2,3,2,219,61,2,0,604
1,219,62,2,2,7,1,5,2,1,3,5,1,5,3,4,5,2,1,2,2,3,1,1,1,1,1,4,1,3,2,1,2,2,1,2,3,3,5,10,2,1,4,4,2,1,1,1,1,2,2,1,1,2,4,2,4,2,2,1,2,1,2,1,2,2,2,2,2,2,3,2,219,62,2,1,510
1,219,63,2,2,6,1,7,1,6,4,4,1,4,3,2,6,1,1,2,3,4,1,1,3,1,1,4,2,3,1,1,1,1,1,3,1,3,1,10,2,1,3,3,3,2,1,1,1,2,2,1,1,1,4,3,1,5,2,2,2,1,6,2,1,1,2,3,2,2,5,2,219,63,2,1,218
1,219,64,2,1,5,2,8,2,1,3,4,1,4,2,1,3,1,1,3,3,5,1,3,5,2,1,4,3,3,1,1,1,1,1,2,1,1,2,10,1,2,3,3,2,2,1,1,1,2,1,2,1,1,4,1,3,2,1,3,3,1,6,2,1,2,2,1,1,2,5,2,219,64,2,0,119
1,219,65,2,2,6,2,6,2,1,2,6,1,3,2,1,3,2,1,3,4,7,1,3,5,1,1,5,2,3,1,1,1,2,1,2,1,2,2,10,3,2,3,3,2,2,1,1,1,2,2,1,1,1,5,2,2,5,2,2,2,1,5,1,1,2,2,1,2,2,3,2,219,65,2,1,202
1,219,66,2,2,6,2,7,1,6,3,5,1,5,1,3,4,1,1,3,3,5,1,3,4,1,1,4,2,3,1,1,1,2,1,1,1,2,2,10,1,2,4,4,3,2,1,2,2,1,1,1,1,1,5,3,2,5,1,3,1,1,5,2,3,0,0,0,0,2,3,2,219,66,2,1,302
1,219,67,2,3,4,3,8,1,6,3,6,2,5,1,2,3,1,1,3,4,5,1,3,5,2,1,5,5,3,1,1,1,3,1,3,1,2,2,10,2,4,4,4,3,2,1,1,2,2,2,1,1,2,4,3,2,5,2,2,1,1,5,1,3,3,3,1,2,2,1,2,219,67,2,1,14
1,219,68,2,3,4,2,6,2,2,5,4,1,4,1,3,5,1,1,3,3,4,1,3,2,1,1,5,5,3,1,1,1,1,1,3,1,2,5,10,1,4,3,5,3,1,1,1,1,2,1,1,1,1,5,2,3,4,1,2,1,1,6,2,1,1,2,3,1,2,5,2,219,68,2,0,124
1,219,69,2,2,5,2,7,1,6,3,8,1,5,1,1,1,1,1,3,2,2,2,3,4,2,1,5,4,3,1,1,1,3,3,1,1,1,5,10,2,5,3,4,3,2,4,1,1,2,1,2,1,1,5,1,1,4,1,2,2,1,5,1,1,0,0,0,0,2,5,2,219,69,2,1,611
1,219,70,2,1,6,3,5,1,6,3,17,1,4,2,2,3,2,1,3,2,3,1,3,4,1,1,5,4,3,1,2,1,2,1,3,1,3,2,10,1,2,3,3,2,1,1,1,1,2,1,2,2,2,4,2,2,4,3,2,2,1,5,2,3,2,2,1,2,2,3,2,219,70,2,1,802
1,219,71,2,2,5,3,8,2,6,3,7,1,4,1,3,6,2,1,3,4,9,1,3,2,2,1,5,4,3,3,1,1,1,1,2,1,3,2,10,1,0,2,3,3,1,1,1,1,2,2,2,1,1,4,3,3,4,1,2,1,1,2,1,2,2,2,1,2,2,3,2,219,71,2,0,504
1,219,72,2,3,6,1,7,1,6,3,4,2,5,1,2,3,2,1,2,4,5,2,2,4,2,1,4,4,3,1,1,1,2,1,3,1,3,2,10,1,4,2,4,2,2,2,2,1,1,1,1,2,2,1,2,2,4,1,1,2,1,2,1,1,2,2,1,2,2,5,2,219,72,2,0,403
1,219,73,2,2,6,1,7,2,2,3,5,1,2,1,1,3,2,1,3,3,3,2,2,3,1,1,5,4,3,1,1,1,1,1,3,1,1,5,10,1,4,3,4,2,1,1,1,1,2,2,1,2,2,4,2,1,5,1,1,1,1,2,1,2,1,2,1,2,2,3,2,219,73,2,1,515
1,219,74,2,2,6,1,4,2,2,3,9,1,3,1,2,2,3,1,3,2,3,2,3,4,1,1,4,4,3,1,1,3,2,1,3,1,2,3,10,1,2,2,4,2,2,2,2,1,2,2,1,2,2,5,3,3,5,2,1,2,2,1,4,0,0,0,0,0,2,5,2,219,74,2,1,310
1,219,75,2,3,4,2,8,2,6,6,6,2,5,1,2,3,1,1,3,3,4,2,2,4,2,1,5,4,3,1,3,1,3,1,3,1,3,5,10,5,2,2,3,2,2,1,1,1,2,1,1,1,1,5,2,1,5,2,2,2,1,2,1,1,2,2,2,2,2,3,2,219,75,2,1,406
1,219,76,2,2,4,3,6,2,2,3,1,3,2,1,2,3,1,1,2,3,4,2,3,4,1,1,5,5,3,1,1,1,2,1,2,1,2,2,10,1,2,2,4,3,1,2,1,1,1,1,1,2,2,5,3,3,4,2,4,2,1,3,1,1,3,2,1,2,2,1,2,219,76,2,0,770
1,219,77,2,3,4,2,6,2,1,4,3,3,5,1,1,3,1,1,2,3,4,1,3,5,1,1,5,5,3,1,1,1,3,1,1,1,2,3,10,1,2,3,3,4,2,1,1,1,2,2,2,2,1,5,3,4,2,1,2,2,1,5,3,2,1,1,1,2,2,1,2,219,77,2,1,136
1,219,78,2,2,4,3,6,1,6,2,1,3,2,3,2,3,2,1,2,2,3,1,2,4,1,1,4,3,3,1,1,1,1,1,3,1,2,2,10,2,2,4,3,3,1,1,1,1,2,2,1,2,2,4,2,1,5,2,4,2,1,5,2,3,2,2,1,3,2,1,2,219,78,2,0,805
1,219,79,2,1,5,1,8,2,1,3,3,3,3,1,1,3,1,1,3,3,3,2,3,4,3,1,5,4,3,1,1,1,3,1,1,1,2,2,10,1,2,3,4,3,1,1,1,1,2,2,1,2,2,5,3,2,5,1,2,2,1,5,3,1,1,2,1,2,2,1,2,219,79,2,0,104
1,219,80,2,2,5,3,6,2,1,3,0,1,5,2,1,3,2,1,3,3,3,1,3,5,2,1,4,4,3,1,1,1,2,1,1,1,2,2,10,2,2,4,3,3,1,1,1,1,2,2,1,1,2,4,3,2,4,3,4,2,1,1,4,2,2,2,1,2,2,3,2,219,80,2,2,411
1,219,81,2,2,6,3,7,2,6,3,3,1,3,2,2,4,2,3,3,3,4,2,3,3,2,1,5,5,3,3,1,1,3,1,3,1,2,2,10,1,2,3,3,2,1,5,5,1,0,0,0,0,0,4,3,2,5,1,2,2,1,5,3,3,2,2,3,2,2,3,2,219,81,2,1,809
1,219,82,2,2,4,3,6,1,6,2,1,3,2,2,2,3,3,1,3,3,5,1,2,4,1,1,4,3,3,2,1,1,1,1,2,1,2,5,10,3,1,4,3,3,2,1,1,1,2,2,1,1,2,5,3,1,5,3,4,2,1,3,1,3,3,1,3,3,2,1,2,219,82,2,0,804
1,219,83,2,3,5,1,8,2,1,5,3,0,3,1,2,3,1,1,3,4,7,2,3,4,1,1,4,4,3,1,1,1,1,1,2,1,2,2,10,2,2,4,3,3,1,1,1,1,2,2,1,2,2,5,3,3,4,3,4,1,1,4,1,3,2,3,1,1,2,1,2,219,83,2,0,115
1,219,84,2,2,6,2,6,1,6,2,2,3,3,1,2,4,2,1,3,3,3,2,1,4,2,1,4,2,3,2,1,1,2,1,2,1,2,2,10,1,4,5,3,3,1,1,1,1,2,2,1,1,1,1,3,3,5,1,2,1,1,5,3,1,2,2,1,2,2,1,2,219,84,2,0,401
