"Q.7. WHERE WERE YOU LIVING BEFORE YOU ENTERED THE ARMY*  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) 6. NO ANSWER 0. NO CODE OR NO DATA "
Q.8. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 9. NO ANSWER 0. NO CODE OR NO DATA 
"Q.9. ARE YOU LIMITED SERVICE*  1. YES, I AM LIMITED SERVICE 2. NO, I AM NOT LIMITED SERVICE 3. DON,T KNOW 4. NO ANSWER 0. NO CODE OR NO DATA "
Q.10. WHAT BRANCH OF THE ARMY ARE YOU IN*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 00. NO CODE OR NO DATA 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  1. ENGINEERS 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  131 1. FIELD ARTILLERY 4320 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  153 1. QUARTERMASTER CORPS 4298 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  477 1. INFANTRY 3974 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  37 1. MEDICAL DEPARTMENT 4414 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  32 1. ARMORED FORCE 4419 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  29 1. SIGNAL CORPS 4422 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  86 1. COAST ARTILLERY AND ANTI-AIRCRAFT 4365 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  43 1. AIR CORPS 4408 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  16 1. TRANSPORTATION CORPS 4435 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  33 1. ORDNANCE DEPARTMENT 4418 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  22 1. CHEMICAL WARFARE SERVICE 4429 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  29 1. MILITARY POLICE 4422 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  135 1. OTHER 4316 2. NOT CHOSEN 
"Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  3162 1. I HAVEN,T BEEN IN ANY OTHER 1289 2. NOT CHOSEN "
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  189 1. NO ANSWER 4262 2. NOT CHOSEN 
"Q.12. WHICH PART OF THE ARMY IS YOUR OUTFIT IN*  1. ARMY GROUND FORCES (A.G.F.) 2. ARMY AIR FORCES (A.A.F.) 3. ARMY SERVICE FORCES (A.S.F. - FORMERLY SERVICES OF SUPPLY, S.O.S.) 4. DEFENSE COMMAND 5. DON,T KNOW 6. NO ANSWER 0. NO CODE OR NO DATA "
Q.13. HOW MUCH DO YOU KNOW ABOUT THE DUTIES AND JOBS OF THE ARMY SERVICE FORCES (A.S.F.) FORMERLY KNOWN AS SERVICES OF SUPPLY (S.O.S.)*  1. A GREAT DEAL 2. A FAIR AMOUNT 3. VERY LITTLE 4. NEVER HEARD OF IT 5. NO ANSWER 0. NO CODE OR NO DATA 
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1. ENGINEERS 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1095 1. FIELD ARTILLERY 3356 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1072 1. QUARTERMASTER CORPS 3379 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  605 1. INFANTRY 3846 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  652 1. MEDICAL DEPARTMENT 3799 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1169 1. ARMORED FORCE 3282 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1211 1. SIGNAL CORPS 3240 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1476 1. COAST ARTILLERY AND ANTI-AIRCRAFT 2975 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1136 1. AIR CORPS 3315 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1278 1. TRANSPORTATION CORPS 3173 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1220 1. ORDNANCE DEPARTMENT 3231 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  822 1. CHEMICAL WARFARE SERVICE 3629 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1057 1. MILITARY POLICE 3394 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  1287 1. ALL HAVE BEEN FULLY EXPLAINED TO ME 3164 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  141 1. NONE HAVE BEEN EXPLAINED 4310 2. NOT CHOSEN "
"Q.14. ARE THERE ANY BRANCHES OF THE ARMY WHOSE WORK HAS NOT BEEN FULLY EXPLAINED TO YOU IN BOOKS, LECTURES OR MOVIES*  368 1. NO ANSWER 4083 2. NOT CHOSEN X. QUESTIONS 15, 16A AND 16B CODED TOGETHER. SEE V.16C AND "
"V.16C. SOURCE OF INFORMATION CODED IN V.16D:  1. ""YES"" CHECKED IN Q.16A (SO THAT Q.15 IS CODED IN COL. 57) 2. ""NO"" CHECKED IN Q.16A AND NO ANSWER IN Q.16B (SO THAT Q.15 IS CODED IN COL. 57) 3. ""NO"" CHECKED IN Q.16A AND Q.16B IS ANSWERED (SO THAT Q.16B IS CODED IN COL. 57) 4. NO ANSWER TO EITHER Q.15 AND/OR Q.16 0. NO CODE OR NO DATA "
"Q.16D. OCCUPATION CODE:  1. COMBAT JOB 2. NON-COMBAT, PROFESSIONAL OR CLERICAL 3. NON-COMBAT SKILLED 4. NON-COMBAT, SEMI-SKILLED AND UNSKILLED 5. BASIC 6. COMBAT AND TECHNICAL 7. UNCLASSIFIED 8. NO ANSWER 0. NO CODE OR NO DATA X. QUESTIONS 17A AND 17B CODED TOGETHER. "
"Q.17A. WERE YOU EVER GIVEN A CHANCE TO ASK FOR THE KIND OF ARMY JOB YOU WANTED*  Q.17B. IF YOU HAD A CHANCE TO ASK FOR THE KIND OF ARMY JOB YOU WANTED, DID YOU GET THE ONE YOU WANTED*  1. YES, I GOT THE ONE I ASKED FOR 2. NO, I DID NOT GET THE ONE I ASKED FOR 3. YES TO PART (A) AND A STATEMENT ""DIDN,T CHOOSE"" 4. YES TO PART (A) AND NO ANSWER TO PART (B) 5. NO TO PART (A) 6. NO TO PART (A) AND YES TO PART (B) 7. NO TO PART (A) AND NO TO PART (B) 8. NO ANSWER TO EITHER PART (A) OR (B) 0. NO CODE OR NO DATA "
Q.18. DO YOU FEEL THAT EVERYTHING POSSIBLE HAS BEEN DONE TO PLACE YOU IN THE ARMY JOB WHERE YOU BEST FIT*  1. YES 2. NO 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA 
"Q.19. DO YOU THINK YOUR ABILITY AND EXPERIENCE FIT YOU BETTER FOR SOME OTHER JOB OR DUTY*  1. YES, I WOULD FIT BETTER IN A DIFFERENT JOB 2. NO, I AM BEST FITTED FOR MY PRESENT JOB 3. NO ANSWER 0. NO CODE OR NO DATA "
"Q.20. IF YOU HAD A CHOICE, WHICH ONE OF THESE BRANCHES OF THE ARMY WOULD YOU LIKE TO BE IN*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. NO ANSWER 00. NO CODE OR NO DATA "
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  1. FITTED FOR THE WORK: PREVIOUS TRAINING, EXPERIENCE AND EDUCATION; KNOW MOST ABOUT IT (EMPHASIS ON PREVIOUS TRAINING) 2. NOT CHOSEN "
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  363 1. USEFUL IN PEACE TIME OR IN CIVILIAN LIFE; CHANCE TO LEARN SOMETHING (EMPHASIS ON TRAINING FOR FUTURE) 4088 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  151 1. CHANCE FOR ADVANCEMENT; CHANCE FOR PROMOTION (AS A PERSONAL AIM; NOT FOR DOING MOST FOR WAR EFFORT) 4300 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  1661 1. LIKES THE WORK; OR CONNECTED DUTIES; DESIRABLE WORK; INTERESTED IN WORK OR EQUIPMENT; LIKES CERTAIN JOB IN THIS BRANCH (NO CONNECTION WITH TRAINING; JUST LIKES THE WORK) 2790 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  156 1. CHANCE TO SEE ACTION; HAS EXCITEMENT; GETS INTO COMBAT OR FIGHTING (EMPHASIS ON PERSONAL AIMS; NO IMPLICATION OF BEING BEST FOR WAR EFFORT) 4295 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  20 1. IT IS MOST HIGHLY THOUGHT OF; OTHERS RECOMMENDED IT TO ME 4431 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  10 1. IT IS SAFEST; LEAST DANGEROUS 4441 2. NOT CHOSEN 
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  17 1. EASIEST WORK; SOFTEST; ""GOLDBRICK"" 4434 2. NOT CHOSEN "
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  93 1. INDIVIDUAL,S PHYSICAL CAPACITY; ""I AM IN LIMITED SERVICE""; ""I DON,T HAVE STRENGTH TO DO COMBAT WORK"" 4358 2. NOT CHOSEN X. COL. 72 NOT CODED. E. ALTRUISTIC MOTIVATION: "
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  183 1. I COULD DO MOST SERVICE FOR ARMY OR COUNTRY; CHANCE TO SHOW WHAT I COULD DO (FOR BENEFIT OF WAR EFFORT RATHER THAN FOR SELF); I COULD DO MOST GOOD; BEST WAY I CAN SERVE 4268 2. NOT CHOSEN 
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  107 1. IMPORTANT (IN THE ARMY OR IN WINNING THE WAR); TOUGHEST JOB (NO MENTION OF ""I"") 4344 2. NOT CHOSEN "
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  90 1. IT IS BEST, OR HIGHEST, SERVICE (WITHOUT GIVING ANY REASON, SUCH AS ""IMPORTANT"" OR ""MOST HIGHLY THOUGHT OF"") 4361 2. NOT CHOSEN E. OTHER MOTIVATION: "
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  259 1. I AM IN IT AND LIKE IT; I DON,T KNOW ABOUT THE OTHERS; I,M IN IT AND IT,S AS GOOD AS ANY (EMPHASIS ON ""I AM IN IT"") 4192 2. NOT CHOSEN "
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  11 1. HIGH QUALITY PERSONNEL; BEST PEOPLE GO INTO IT 4440 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  18 1. EFFICIENCY; LIKES WAY THINGS ARE RUN 4433 2. NOT CHOSEN E. GENERAL: 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  23 1. UNINTELLIGIBLE OR IRRELEVANT COMMENT 4428 2. NOT CHOSEN X. COL. 80 NOT USED. CARD 2 
CARD.  2. CARD TWO 
DECK.  044. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-044T - TOTAL SAMPLE 2. S-044X - CROSS SECTION 3. S-044I - INFANTRY 
"X. QUESTION 20A CONTINUED.  1. DON,T KNOW; UNDECIDED 2. NOT CHOSEN "
X. QUESTION 20A CONTINUED.  53 1. OTHER COMMENTS 4398 2. NOT CHOSEN 
Q.0. NOT USED  Y. COL. 12 NOT USED. 
Q.21. WOULD YOU CHANGE TO SOME OTHER ARMY JOB IF GIVEN A CHANCE*  1. YES 2. NO 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA 
"Q.22. WHAT WOULD YOU SAY WAS MORE IMPORTANT TO YOU PERSONALLY - THE PARTICULAR KIND OF JOB YOU GET TO DO, OR THE BRANCH OF THE ARMY YOU GET INTO*  1. THE KIND OF JOB I GET 2. THE BRANCH OF THE ARMY I GET INTO 3. IT MAKES NO DIFFERENCE 4. BOTH ARE EQUALLY IMPORTANT 5. DON,T KNOW 6. NO ANSWER 0. NO CODE OR NO DATA "
"Q.23. HAVE YOU LEARNED ANY SKILLS IN THE ARMY WHICH WILL HELP YOU GET A GOOD JOB WHEN YOU GET OUT*  1. YES 2. NO 3. DON,T KNOW 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.24. DOES THE KIND OF ARMY JOB YOU ARE NOW DOING OFFER A GOOD CHANCE FOR PROMOTION*  1. YES 2. NO 3. DON,T KNOW 4. NO ANSWER 0. NO CODE OR NO DATA "
Q.25. HOW WELL TRAINED ARE YOU FOR YOUR MAIN ARMY JOB OR DUTY*  1. VERY WELL TRAINED 2. FAIRLY WELL TRAINED 3. POORLY TRAINED 4. NO ANSWER 0. NO CODE OR NO DATA 
Q.26. HOW INTERESTED ARE YOU IN YOUR ARMY JOB*  1. VERY MUCH INTERESTED 2. A LITTLE BUT NOT MUCH 3. NOT INTERESTED AT ALL 4. NO ANSWER 0. NO CODE OR NO DATA 
Q.27. DO YOU USUALLY FEEL THAT WHAT YOU ARE DOING IN THE ARMY IS WORTHWHILE OR NOT*  1. I USUALLY FEEL IT IS NOT WORTHWHILE 2. I USUALLY FEEL IT IS WORTHWHILE 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA 
Q.28. HOW SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY JOB INSTEAD OF SOME OTHER JOB*  1. VERY SATISFIED 2. SATISFIED 3. IT DOES NOT MAKE ANY DIFFERENCE TO ME 4. DISSATISFIED 5. VERY DISSATISFIED 6. NO ANSWER 0. NO CODE OR NO DATA 
"Q.29. ON THE WHOLE, DO YOU THINK THE ARMY IS GIVING YOU A CHANCE TO SHOW WHAT YOU CAN DO*  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 6. NO ANSWER 0. NO CODE OR NO DATA "
"Q.30. HOW DO YOU FEEL MOST OF THE TIME, SATISFIED AND IN GOOD SPIRITS OR DISSATISFIED AND IN LOW SPIRITS*  1. SATISFIED AND IN GOOD SPIRITS 2. I AM UP HALF THE TIME AND DOWN HALF THE TIME 3. DISSATISFIED AND IN LOW SPIRITS 4. NO ANSWER 0. NO CODE OR NO DATA "
Q.31. DO YOU THINK YOU CAN MAKE GOOD IN THE ARMY*  1. I FEEL PRETTY SURE I CAN MAKE GOOD 2. I AM NOT SO SURE I CAN MAKE GOOD 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA 
"Q.32. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARMY*  1. I HAVE A PRETTY GOOD TIME 2. IT IS ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 4. NO ANSWER 0. NO CODE OR NO DATA "
Q.33. ARE YOU EVER WORRIED AND UPSET*  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES 3. I AM OFTEN WORRIED AND UPSET 4. NO ANSWER 0. NO CODE OR NO DATA 
"Q.34. IF IT WERE UP TO YOU, WHAT KIND OF OUTFIT WOULD YOU RATHER BE IN*  1. IN A COMBAT OUTFIT OVERSEAS 2. IN A NON-COMBAT OUTFIT OVERSEAS 3. IN AN OUTFIT THAT WILL STAY IN THE UNITED STATES 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.35. SUPPOSE YOUR OUTFIT WENT OVERSEAS, WOULD YOU RATHER HAVE AN ACTUAL FIGHTING JOB OR HAVE SOME OTHER JOB*  1. I WOULD RATHER HAVE AN ACTUAL FIGHTING JOB 2. I WOULD RATHER HAVE SOME OTHER JOB 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA X. CODES 01-04 PRECODED ON QUESTIONNAIRE, OTHER RESPONSES VOLUNTEERED. "
"Q.36. WHICH OF THE FOLLOWING STATEMENTS BEST TELLS THE WAY YOU FEEL ABOUT GETTING INTO THE FIGHTING*  01. I,M READY TO GO AND I WANT TO GET INTO THE REAL FIGHTING SOON 02. I,D LIKE TO GET IN ON THE FIGHTING, BEFORE IT,S OVER, BUT I DON,T THINK I,M READY YET 03. I HOPE I WON,T HAVE TO GO, BUT IF I DO, I THINK I,LL DO ALL RIGHT 04. I HOPE I WON,T HAVE TO GO BECAUSE I DON,T THINK I,LL EVER BE GOOD AS A FIGHTER 05. TOO OLD FOR COMBAT DUTY 06. NOT PHYSICALLY FIT FOR COMBAT DUTY 07. SHOULD BE WAR INDUSTRY 08. CHECKS ""01"", BUT QUALIFIES BY ASKING FOR FURLOUGH, WIFE,S PERMISSION, ETC. 09. WOULD PREFER TO BE INSTRUCTOR 10. OTHER COMMENTS INDICATING THAT MAN DOES NOT WISH COMBAT 11. ALL OTHER 12. NO ANSWER 00. NO CODE OR NO DATA "
"Q.37. IF IT WERE UP TO YOU TO CHOOSE, DO YOU THINK YOU COULD DO MORE FOR YOUR COUNTRY AS A SOLDIER OR AS A WORKER IN A WAR JOB*  1. AS A SOLDIER 2. AS A WAR WORKER 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA "
"Q.38A. WHICH OF THESE TWO GROUPS DO YOU THINK SHOULD BE DRAFTED FIRST*  1. MARRIED MEN WITH CHILDREN, NOT MAKING WAR MATERIALS 2. SINGLE MEN MAKING WAR MATERIALS 3. NO ANSWER 0. NO CODE OR NO DATA "
Q.38B. WHICH OF THESE TWO GROUPS DO YOU THINK SHOULD BE DRAFTED FIRST*  1. SINGLE MEN MAKING WAR MATERIALS 2. SINGLE MEN WORKING ON FARMS 3. NO ANSWER 0. NO CODE OR NO DATA 
"Q.38C. WHICH OF THESE TWO GROUPS DO YOU THINK SHOULD BE DRAFTED FIRST*  1. MARRIED MEN WITH CHILDREN, NOT MAKING WAR MATERIALS 2. SINGLE MEN WORKING ON FARMS 3. NO ANSWER 0. NO CODE OR NO DATA "
"Q.39. GRANTING THAT BOTH OF THESE THINGS ARE IMPORTANT, WHICH ONE IS MOST IMPORTANT TO DO RIGHT NOW - INCREASE THE SIZE OF OUR ARMED FORCES, OR INCREASE THE NUMBER OF FARM AND WAR WORKERS*  1. INCREASE SIZE OF ARMED FORCES 2. INCREASE NUMBER OF FARM AND WAR WORKERS 3. NO ANSWER 0. NO CODE OR NO DATA "
Q.40. WHICH ONE OF THESE BRANCHES DO YOU THINK WOULD GIVE YOU THE BEST TRAINING FOR A CIVILIAN JOB AFTER THE WAR*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 15. NO ANSWER 00. NO CODE OR NO DATA 
Q.41. WHICH ONE OF THESE BRANCHES WOULD YOU SAY HAS THE MOST DIRTY AND DISAGREEABLE JOBS*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 15. NO ANSWER 00. NO CODE OR NO DATA 
Q.42. WHICH ONE OF THESE BRANCHES DO YOU THINK WORKS ITS SOLDIERS THE HARDEST*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 15. NO ANSWER 00. NO CODE OR NO DATA 
