"Q.7. WHERE WERE YOU LIVING BEFORE YOU ENTERED THE ARMY*  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) "
Q.8. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 
"Q.9. ARE YOU LIMITED SERVICE*  1. YES, I AM LIMITED SERVICE 2. NO, I AM NOT LIMITED SERVICE 3. DON,T KNOW 0. NO ANSWER "
Q.10. WHAT BRANCH OF THE ARMY ARE YOU IN*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  1. ENGINEERS 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  1 1. FIELD ARTILLERY 313 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  0 1. QUARTERMASTER CORPS 314 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  0 1. INFANTRY 314 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  1 1. MEDICAL DEPARTMENT 313 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  1 1. ARMORED FORCE 313 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  3 1. SIGNAL CORPS 311 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  1 1. COAST ARTILLERY AND ANTI-AIRCRAFT 313 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  0 1. AIR CORPS 314 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  1 1. TRANSPORTATION CORPS 313 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  2 1. ORDNANCE DEPARTMENT 312 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  0 1. CHEMICAL WARFARE SERVICE 314 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  2 1. MILITARY POLICE 312 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  8 1. OTHER 306 2. NOT CHOSEN 
Q.11. WHAT OTHER BRANCHES HAVE YOU EVER BEEN IN*  10 1. NO ANSWER 304 2. NOT CHOSEN X. QUESTIONS 12-19 NOT CODED - SEE S-044T TOTAL SAMPLE. 
"Q.20. IF YOU HAD A CHOICE, WHICH ONE OF THESE BRANCHES OF THE ARMY WOULD YOU LIKE TO BE IN*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 00. NO ANSWER "
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  1. FITTED FOR WORK: PREVIOUS TRAINING, EXPERIENCE AND EDUCATION; KNOW MOST ABOUT IT (EMPHASIS ON PREVIOUS TRAINING) 2. NOT CHOSEN "
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  24 1. USEFUL IN PEACE TIME OR IN CIVILIAN LIFE; CHANCE TO LEARN SOMETHING (EMPHASIS ON TRAINING FOR FUTURE) 290 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  11 1. CHANCE FOR ADVANCEMENT; CHANCE FOR PROMOTION (AS A PERSONAL AIM; NOT FOR DOING MOST FOR WAR EFFORT) 303 2. NOT CHOSEN 
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  142 1. LIKES THE WORK, OR CONNECTED DUTIES; DESIRABLE WORK; INTERESTED IN WORK OR EQUIPMENT; LIKES CERTAIN JOB IN THIS BRANCH (NO CONNECTION WITH TRAINING; JUST LIKES WORK) 172 2. NOT CHOSEN "
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  13 1. CHANCE TO SEE ACTION; HAS EXCITEMENT; GETS INTO COMBAT OR FIGHTING (EMPHASIS ON PERSONAL AIMS; NO IMPLICATION OF BEING BEST FOR WAR EFFORT) 301 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  0 1. IT IS MOST HIGHLY THOUGHT OF; OTHERS RECOMMENDED IT TO ME 314 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  0 1. IT IS SAFEST; LEAST DANGEROUS 314 2. NOT CHOSEN 
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  4 1. EASIEST WORK; SOFTEST; ""GOLDBRICK"" 310 2. NOT CHOSEN "
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  12 1. INDIVIDUAL,S PHYSICAL CAPACITY; ""I AM IN LIMITED SERVICE"", ""I DON,T HAVE STRENGTH TO DO COMBAT WORK"" 302 2. NOT CHOSEN E. ALTRUISTIC MOTIVATION: "
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  17 1. I COULD DO MOST SERVICE FOR ARMY OR COUNTRY; CHANCE TO SHOW WHAT I CAN DO (FOR BENEFIT OF WAR EFFORT RATHER THAN FOR SELF); I COULD DO MOST GOOD; BEST WAY I CAN SERVE 297 2. NOT CHOSEN 
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  6 1. IMPORTANT (IN THE ARMY OR IN WINNING THE WAR); TOUGHEST JOB (NO MENTION OF ""I"") 308 2. NOT CHOSEN "
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  1 1. IT IS BEST, OR HIGHEST, SERVICE (WITHOUT GIVING ANY REASON, SUCH AS ""IMPORTANT"" OR ""MOST HIGHLY THOUGHT OF"") 313 2. NOT CHOSEN E. OTHER MOTIVATION: "
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  7 1. I AM IN IT AND LIKE IT; I DON,T KNOW ABOUT THE OTHERS; I,M IN IT AND IT,S AS GOOD AS ANY (EMPHASIS ON ""I AM IN IT"") 307 2. NOT CHOSEN "
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  0 1. HIGH QUALITY PERSONNEL; BEST PEOPLE GO INTO IT 314 2. NOT CHOSEN 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  1 1. EFFICIENCY; LIKES WAY THINGS ARE RUN 313 2. NOT CHOSEN E. GENERAL: 
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  1 1. UNINTELLIGIBLE OR IRRELEVANT COMMENT 313 2. NOT CHOSEN 
"Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  3 1. DON,T KNOW; UNDECIDED 311 2. NOT CHOSEN "
Q.20A. WHY WOULD YOU CHOOSE THIS BRANCH* E. PERSONAL MOTIVATION:  6 1. OTHER COMMENTS 308 2. NOT CHOSEN 
Q.21. WOULD YOU CHANGE TO SOME OTHER ARMY JOB IF GIVEN A CHANCE*  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"Q.22. WHAT WOULD YOU SAY WAS MORE IMPORTANT TO YOU PERSONALLY - THE PARTICULAR KIND OF JOB YOU GET TO DO, OR THE BRANCH OF THE ARMY YOU GET INTO*  1. THE KIND OF JOB I GET 2. THE BRANCH OF THE ARMY I GET INTO 3. IT MAKES NO DIFFERENCE 4. BOTH ARE EQUALLY IMPORTANT 5. DON,T KNOW 0. NO ANSWER X. QUESTIONS 23-39 NOT CODED - SEE S-044T TOTAL SAMPLE. "
Q.40. WHICH ONE OF THESE BRANCHES DO YOU THINK WOULD GIVE YOU THE BEST TRAINING FOR A CIVILIAN JOB AFTER THE WAR*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
Q.41. WHICH ONE OF THESE BRANCHES WOULD YOU SAY HAS THE MOST DIRTY AND DISAGREEABLE JOBS*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
Q.42. WHICH ONE OF THESE BRANCHES DO YOU THINK WORKS ITS SOLDIERS THE HARDEST*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
Q.43. WHICH ONE OF THESE BRANCHES WOULD YOU SAY GIVES THE SOLDIERS THE LEAST AMOUNT OF WORK TO DO*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
Q.44. WHICH ONE OF THESE BRANCHES DO YOU THINK HAS THE MOST DANGEROUS JOBS*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
Q.45. WHICH ONE OF THESE BRANCHES DO YOU THINK HAS THE LEAST DANGEROUS JOBS*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
Q.46. WHICH ONE OF THESE BRANCHES WILL BE NEEDED THE MOST TO WIN THE WAR*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
Q.47. WHICH ONE OF THESE BRANCHES WOULD YOU SAY WILL BE LEAST IMPORTANT IN WINNING THE WAR*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER X. QUESTION 48 NOT CODED - SEE S-044T TOTAL SAMPLE. 
Q.49. WHICH BRANCH OF THE ARMY DO YOU THINK MOST HIGHLY OF*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
Q.49A. WHY DO YOU THINK MOST HIGHLY OF THIS BRANCH* E. ALTRUISTIC MOTIVATION:  1. MOST IMPORTANT WORK; MOST IMPORTANT IN WINNING THE WAR (EMPHASIS ON MOST) 2. NOT CHOSEN 
"Q.49A. WHY DO YOU THINK MOST HIGHLY OF THIS BRANCH* E. ALTRUISTIC MOTIVATION:  47 1. IMPORTANT (NO ""MOST""); OTHERS DEPEND ON IT; SPECIFIC DUTIES ARE NECESSARY; IT IS NECESSARY 267 2. NOT CHOSEN "
"Q.49A. WHY DO YOU THINK MOST HIGHLY OF THIS BRANCH* E. ALTRUISTIC MOTIVATION:  5 1. BECAUSE OF WHAT IT HAS DONE UP TO NOW; BEST RECORD SO FAR (EMPHASIS ON ""SO FAR"") 309 2. NOT CHOSEN "
Q.49A. WHY DO YOU THINK MOST HIGHLY OF THIS BRANCH* E. ALTRUISTIC MOTIVATION:  21 1. SIMPLE STATEMENT OF FUNCTIONS WITHOUT ANY REFERENCE TO IMPORTANCE 293 2. NOT CHOSEN X. COL. 80 NOT USED. CARD 2 
CARD.  2. CARD TWO 
DECK.  044. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.0. NOT USED  Y. COL. 8 NOT USED. 
FORM.  1. S-044T - TOTAL SAMPLE 2. S-044X - CROSS-SECTION 3. S-0XXX - INFANTRY 
"X. QUESTION 49 CONTINUED.  1. IT IS HIGHEST OR BEST OR SUPERIOR (NO REASON GIVEN SUCH AS ""IMPORTANT"" OR ""I LIKE IT"") 2. NOT CHOSEN "
X. QUESTION 49 CONTINUED.  33 1. MOST DANGEROUS; HAS MOST COMBAT 281 2. NOT CHOSEN 
"X. QUESTION 49 CONTINUED.  13 1. DOES THE HARDEST WORK; HARD WORK; ROUGH LIFE (BUT NO WORDS ""DANGER"" OR ""COMBAT"" OR ""FIGHTING"") 301 2. NOT CHOSEN "
"X. QUESTION 49 CONTINUED.  5 1. RUNS MOST EFFICIENTLY; ""SATISFIED WITH WAY THINGS ARE REGULATED AND PUT IN ORDER""; ""LIKES THE WAY THEY WORK"" (EMPHASIS ON ORGANIZATION) 309 2. NOT CHOSEN "
"X. QUESTION 49 CONTINUED.  9 1. MOST ADVANCED; UP-TO-DATE, MODERN (IN EQUIPMENT OR ACTIVITY, NOT ORGANIZATION) 305 2. NOT CHOSEN "
X. QUESTION 49 CONTINUED.  2 1. COOPERATION BETWEEN MEN AND OFFICERS; MEN OR UNITS WORK TOGETHER 312 2. NOT CHOSEN E. PERSONAL MOTIVATION: 
X. QUESTION 49 CONTINUED.  14 1. I AM IN IT; I PICKED IT 300 2. NOT CHOSEN 
X. QUESTION 49 CONTINUED.  28 1. LIKES THE WORK; HAS MOST INTERESTING WORK; I LIKE IT THE BEST; I WOULD LIKE TO BE IN IT 286 2. NOT CHOSEN 
X. QUESTION 49 CONTINUED.  20 1. USEFUL IN PEACE TIME OR IN CIVILIAN LIFE; LEARN THE MOST 294 2. NOT CHOSEN 
X. QUESTION 49 CONTINUED.  1 1. RAPID PROMOTION; PAYS THE MOST MONEY; CHANCE FOR ADVANCEMENT 313 2. NOT CHOSEN 
X. QUESTION 49 CONTINUED.  4 1. I COULD DO MORE THERE; I AM BEST FITTED FOR IT 310 2. NOT CHOSEN 
X. QUESTION 49 CONTINUED.  1 1. KNOW MORE ABOUT IT 313 2. NOT CHOSEN E. OTHER MOTIVATION: 
X. QUESTION 49 CONTINUED.  30 1. BEST MEN; BETTER CLASS MEN; MOST INTELLIGENT MEN; STRICTEST REQUIREMENTS; BEST TRAINED MEN (EMPHASIS ON MEN) 284 2. NOT CHOSEN 
X. QUESTION 49 CONTINUED.  1 1. IT IS THOUGHT MOST HIGHLY OF; MOST LOOKED UP TO 313 2. NOT CHOSEN E. GENERAL: 
X. QUESTION 49 CONTINUED.  0 1. UNINTELLIGIBLE OR IRRELEVANT COMMENT 314 2. NOT CHOSEN 
"X. QUESTION 49 CONTINUED.  0 1. DON,T KNOW; UNDECIDED 314 2. NOT CHOSEN "
X. QUESTION 49 CONTINUED.  24 1. OTHER COMMENTS 290 2. NOT CHOSEN 
Q.50. WHICH BRANCH OF THE ARMY DO YOU LIKE THE LEAST*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. UNDECIDED 00. NO ANSWER 
"Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  1. UNPLEASANT DUTIES; DIRTIEST JOBS; DISLIKE THE DUTIES (INCLUDING SPECIFIC DUTIES, SUCH AS MARCHING, CARING FOR WOUNDED); LIVES TOO ROUGH 2. NOT CHOSEN "
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  16 1. UNINTERESTED IN WORK; NOT INTERESTED 298 2. NOT CHOSEN 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  20 1. TOO TOUGH WORK; WORKS TOO HARD 294 2. NOT CHOSEN 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  7 1. NO PROMOTIONS; NO FUTURE 307 2. NOT CHOSEN 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  6 1. DANGEROUS; TOO MUCH COMBAT 308 2. NOT CHOSEN 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  14 1. NO FIGHTING; NO COMBAT; NO ACTION 300 2. NOT CHOSEN 
"Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  5 1. CAN,T LEARN ANYTHING (IMPLYING NOTHING USEFUL FOR CIVILIAN LIFE) 309 2. NOT CHOSEN E. UNDESIRABLE PERSONNEL: "
"Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  39 1. ARROGANT; ""SHOW OFF""; ATTITUDE OF PERSONNEL UNFAIR; ABUSE THEIR POWER; BULLIES (BAD MEN) 275 2. NOT CHOSEN "
"Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  7 1. MAKES ENEMIES; BAD RELATIONS WITH OTHER SOLDIERS; HARD TO KEEP FRIENDS; YOU CAN,T KEEP YOUR FRIENDS (AS PART OF JOB, NOT NECESSARILY BAD MEN) 307 2. NOT CHOSEN "
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  16 1. LOW QUALITY PERSONNEL; LEAST TRAINING 298 2. NOT CHOSEN 
"Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  0 1. ""CHICKEN SHIT""; OBEYS LETTER OF LAW RATHER THAN SPIRIT 314 2. NOT CHOSEN "
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  1 1. HAS POOREST DISCIPLINE 313 2. NOT CHOSEN E. OTHER: 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  1 1. NO ONE LIKES IT; IT IS LOOKED DOWN UPON 313 2. NOT CHOSEN 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  22 1. UNIMPORTANT OR UNNECESSARY 292 2. NOT CHOSEN 
"Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  3 1. TOO MUCH RESPONSIBILITY; IT IS FOR A MORE EDUCATED MAN THAN I AM; I AM PERSONALLY NOT FITTED FOR IT; CAN,T MEET REQUIREMENTS 311 2. NOT CHOSEN "
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  2 1. NO RECOGNITION OF THE BRANCH; NO APPRECIATION; NO REWARDS 312 2. NOT CHOSEN 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  9 1. I AM IN IT; I HAVE BEEN IN IT 305 2. NOT CHOSEN 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  3 1. INEFFICIENT 311 2. NOT CHOSEN E. GENERAL: 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  22 1. MISUNDERSTOOD THE QUESTION (THOUGHT IT WAS THE BEST SINCE WANTED; REFER TO Q.20 OR Q.49) 292 2. NOT CHOSEN 
"Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  6 1. REPETITION; I JUST DON,T LIKE IT 308 2. NOT CHOSEN "
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  1 1. UNINTELLIGIBLE OR IRRELEVANT COMMENT 313 2. NOT CHOSEN 
"Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  1 1. DON,T KNOW; UNDECIDED 313 2. NOT CHOSEN "
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  1 1. I LIKE THEM ALL THE SAME; I LIKE THEM ALL WELL 313 2. NOT CHOSEN 
Q.50A. WHY DO YOU LIKE THIS BRANCH THE LEAST* E. UNDESIRABLE WORK:  9 1. OTHERS 305 2. NOT CHOSEN X. QUESTIONS 51A-51D NOT CODED - SEE S-044T TOTAL SAMPLE. 
V.52A. CHEMICAL WARFARE SCORE:  0. SCORE OF 0 1. SCORE OF 1 2. SCORE OF 2 3. SCORE OF 3 4. SCORE OF 4 5. SCORE OF 5 6. NO ANSWER 
V.52B. ENGINEERS SCORE:  0. SCORE OF 0 1. SCORE OF 1 2. SCORE OF 2 3. SCORE OF 3 4. SCORE OF 4 5. SCORE OF 5 6. NO ANSWER 
V.52C. MEDICAL DEPARTMENT SCORE:  0. SCORE OF 0 1. SCORE OF 1 2. SCORE OF 2 3. SCORE OF 3 4. SCORE OF 4 5. SCORE OF 5 6. NO ANSWER 
V.52D. MILITARY POLICE SCORE:  0. SCORE OF 0 1. SCORE OF 1 2. SCORE OF 2 3. SCORE OF 3 4. SCORE OF 4 5. SCORE OF 5 6. NO ANSWER 
