CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.4..1,Q.5B.,Q.6.,Q.7.,Q.8A.,Q.8B.,Q.8C.,Q.9.,Q.10.,Q.11.,Q.12A.,Q.12B.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18A.,Q.18B.,Q.19.,Q.20A.,Q.20B.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25A.,Q.25B.,Q.26.,Q.27.,Q.28A.,Q.28B.,Q.28C.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.35C.,Q.35D.,Q.35E.,Q.35F.,Q.35G.,Q.35H.,Q.35I.,Q.36.,Q.37.,Q.38A.,Q.38B.,Q.39A.,Q.39B.,Q.39C.,Q.39D.,Q.39E.,Q.39F.,Q.39G.,Q.39H.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.40A.,Q.40B.,Q.40C.,Q.40D.,Q.40E.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.50E.,Q.51D.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57A.,Q.57B.,Q.57C.,Q.58.,Q.59.,Q.60A.,Q.60B.,Q.61.,Q.62.,Q.63.,Q.63..1,Q.63..2,Q.63..3,Q.63..4,Q.63..5,Q.63..6,Q.63..7,Q.63..8,Q.63..9,Q.63..10,Q.63..11,Q.63..12,Q.63..13,Q.63..14,Q.64.,V.66.,V.66..1,V.67.,V.68.,V.69.,CARD..2,DECK..2,BALLOT..2,FORM..2,FORM..3,V.71.,V.72.,V.73.
1,100,11,2,2,2,2,11,3,120,1,4,2,2,1,4,3,1,1,1,3,3,6,2,3,2,0,8,1,3,1,3,3,3,2,2,2,4,2,4,3,2,3,1,2,3,5,3,3,3,3,3,3,1,3,3,3,2,5,1,1,1,1,1,2,2,2,2,2,2,100,11,2,2,3,2,1,2,2,5,1,4,4,4,4,4,1,4,4,4,2,2,3,2,1,4,1,1,1,1,3,5,1,2,1,1,8,4,2,2,0,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,1,1,1,1,3,100,11,2,5,2,25,22
1,100,12,2,1,2,9,10,2,40,1,4,2,1,3,1,2,2,1,2,3,3,4,1,1,2,1,8,1,2,2,3,2,2,1,1,2,2,1,1,2,4,3,4,3,2,2,2,1,1,1,1,1,1,1,3,3,1,1,1,1,2,2,2,4,3,2,2,2,2,100,12,2,3,3,3,3,1,2,1,1,3,3,4,4,3,4,4,4,4,2,2,1,2,1,2,1,1,5,1,1,2,1,2,3,1,5,4,2,1,2,2,1,2,1,3,3,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,12,1,10,1,7,3,100,12,2,0,2,24,8
1,100,13,2,1,2,9,8,2,100,1,3,7,1,4,0,3,1,1,1,1,2,1,3,3,1,1,8,1,2,2,5,2,2,2,2,1,4,4,4,4,2,1,4,3,3,3,2,1,2,2,2,1,1,2,3,2,1,2,3,1,2,3,2,2,3,1,1,2,2,100,13,2,2,3,3,2,3,2,5,2,2,4,4,4,4,4,4,4,4,1,1,3,1,1,3,2,2,1,5,5,1,5,1,3,1,4,4,2,1,1,2,1,1,1,1,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,4,9,1,8,0,6,3,100,13,2,1,2,25,55
1,100,14,2,2,2,2,12,4,140,1,3,7,0,0,2,3,2,1,2,3,3,4,2,1,2,1,0,2,0,1,11,2,2,2,2,6,2,2,2,3,3,1,3,3,2,2,2,1,1,1,1,1,1,3,3,3,1,1,3,3,2,1,1,2,2,2,2,1,2,100,14,2,2,3,2,2,2,2,5,1,2,3,3,4,4,4,4,4,4,2,2,1,1,2,3,1,1,2,2,1,2,1,4,3,1,8,4,2,3,1,1,3,2,2,2,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,10,1,4,0,2,3,100,14,2,4,2,26,32
1,100,15,2,2,2,9,10,2,71,1,3,7,3,1,3,2,2,1,2,3,2,3,3,1,2,1,8,1,2,3,3,2,2,1,1,1,4,5,5,5,2,3,2,2,2,2,2,1,1,3,3,1,1,1,3,3,3,2,1,1,2,1,1,3,3,1,1,2,2,100,15,2,1,3,3,1,3,2,5,1,2,4,4,2,4,3,4,4,4,1,2,3,2,1,3,1,1,1,1,1,5,5,4,2,1,9,4,1,1,1,2,2,1,1,1,3,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,7,1,7,2,4,3,100,15,2,2,2,25,15
1,100,16,2,1,2,2,10,2,53,1,3,1,1,1,1,2,2,1,1,3,3,6,1,1,2,2,8,1,3,2,3,2,2,1,1,2,2,2,2,2,3,3,4,3,3,2,2,1,1,1,1,1,1,1,3,3,2,1,1,1,2,1,1,3,2,2,1,1,2,100,16,2,1,2,2,2,1,2,1,2,2,4,4,4,4,4,4,4,4,1,2,3,2,1,4,1,1,1,1,2,2,1,2,3,1,6,4,2,1,2,2,1,2,3,4,4,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,1,6,2,3,3,100,16,2,3,2,26,94
1,100,17,2,1,2,2,9,1,75,1,4,4,3,2,4,3,2,2,4,1,1,4,2,3,1,1,2,1,2,4,6,3,1,2,2,3,4,4,4,4,1,1,2,3,3,4,2,3,1,1,1,1,1,1,3,2,3,2,1,1,2,2,3,3,2,3,2,2,2,100,17,2,1,3,2,1,3,1,3,4,2,2,4,4,4,3,4,4,4,2,2,3,2,2,3,1,1,5,3,4,1,1,5,3,1,6,4,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,4,11,1,8,2,6,3,100,17,2,1,2,24,45
1,100,18,2,1,2,9,7,2,5,1,4,7,3,7,3,2,2,2,2,2,1,2,1,2,2,0,8,1,3,4,11,3,3,2,2,2,3,3,5,4,2,3,2,2,2,1,4,1,3,1,3,1,1,3,3,3,1,2,1,1,1,2,3,3,2,2,2,2,2,100,18,2,2,1,3,1,2,2,2,2,4,4,3,1,4,2,4,4,4,1,1,1,2,1,4,1,1,5,3,5,3,5,4,3,1,9,4,2,1,2,1,2,3,3,3,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,8,1,6,2,5,3,100,18,2,2,2,26,60
1,100,19,2,2,0,0,10,3,70,1,2,7,0,0,1,2,2,2,2,1,2,2,2,2,2,2,8,0,0,0,4,0,2,1,1,0,2,0,2,0,3,2,2,3,3,0,2,1,1,3,0,1,1,1,3,3,1,1,2,2,2,2,2,3,3,3,2,0,2,100,19,2,2,2,2,1,1,2,2,2,2,4,4,4,4,3,4,4,4,1,1,1,1,1,2,1,1,1,2,2,0,2,4,3,1,0,4,2,1,2,0,3,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,8,2,8,2,6,3,100,19,2,0,2,9,62
1,100,20,2,1,2,10,10,2,30,1,3,7,3,2,1,2,2,1,1,1,3,1,1,2,2,1,8,1,3,2,6,2,2,1,1,3,2,1,2,3,2,3,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,2,1,2,100,20,2,3,3,3,2,3,2,5,3,2,4,3,2,2,4,4,4,4,2,1,3,2,1,4,1,1,2,1,1,1,2,5,3,1,8,4,2,2,1,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,13,1,7,0,4,3,100,20,2,2,2,26,80
1,100,21,2,2,3,11,10,2,0,1,3,7,3,3,3,3,3,1,1,1,2,1,1,1,2,1,0,2,2,4,4,3,2,2,1,3,4,4,4,4,3,2,3,3,3,2,2,3,1,1,1,1,1,3,2,2,1,5,2,2,2,2,2,2,2,1,1,2,2,100,21,2,2,3,3,1,1,2,3,1,4,4,4,1,4,1,4,4,4,2,2,1,2,1,3,1,1,5,5,2,1,5,4,1,1,5,4,2,1,2,2,1,2,3,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6,1,5,2,4,3,100,21,2,2,2,29,37
1,100,22,2,1,2,10,10,2,40,1,3,2,1,2,1,2,1,1,2,1,4,6,1,2,2,1,8,1,2,4,6,2,2,1,1,6,3,3,3,4,4,3,3,2,3,2,2,1,1,1,1,1,1,3,3,3,1,2,3,1,1,2,2,3,2,2,2,2,2,100,22,2,3,3,3,1,2,2,1,1,2,2,4,2,4,4,4,4,4,2,2,1,2,1,4,3,1,1,2,2,3,1,2,1,1,4,4,2,1,1,2,1,2,2,1,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,11,1,7,1,4,3,100,22,2,2,3,25,38
1,100,23,2,2,2,9,2,3,130,1,3,3,1,2,2,2,2,1,1,1,4,1,1,1,2,1,8,1,2,1,6,2,2,1,1,1,4,3,2,2,3,3,4,3,3,1,3,1,1,3,1,1,1,3,3,3,2,2,3,3,2,1,2,1,3,2,2,2,2,100,23,2,3,3,2,1,3,1,2,2,3,4,1,4,4,4,4,4,1,2,1,1,2,3,3,1,1,1,1,1,1,1,2,3,1,6,4,1,1,1,2,1,2,3,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,12,1,7,1,4,3,100,23,2,2,3,25,13
1,100,24,2,2,2,6,10,2,80,1,3,1,3,1,3,2,2,3,2,0,4,4,3,3,2,1,8,1,3,2,3,2,1,1,0,2,4,5,5,5,3,1,1,3,2,3,2,1,2,2,2,1,1,0,3,2,3,1,2,1,2,3,2,3,3,3,2,2,2,100,24,2,3,3,3,1,2,1,2,2,2,3,2,3,4,3,4,4,4,2,2,1,2,2,3,2,1,3,2,5,1,1,2,3,1,5,4,2,1,1,1,3,2,1,3,3,3,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,0,13,1,11,1,7,3,100,24,2,0,3,24,41
1,100,25,2,2,1,1,11,3,139,1,2,4,3,1,1,2,2,1,2,1,4,3,3,3,2,1,8,0,2,1,4,2,3,2,2,3,4,4,4,5,3,1,1,3,3,3,2,1,2,3,1,1,1,3,3,3,2,2,1,1,1,2,2,2,3,3,2,1,2,100,25,2,1,1,1,1,1,2,2,1,2,4,3,1,4,4,4,4,2,1,1,1,2,1,5,1,2,4,4,4,4,1,4,3,1,5,4,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,5,1,6,5,4,3,100,25,2,2,3,27,52
1,100,26,2,2,2,9,3,2,30,1,4,5,3,5,3,3,2,2,1,2,3,2,1,1,2,1,8,1,3,1,3,3,2,2,1,3,3,3,4,3,4,1,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,2,2,2,1,2,100,26,2,0,1,1,2,1,3,1,1,1,2,4,1,4,3,4,4,4,1,2,3,2,1,3,1,1,1,1,1,1,5,2,2,1,4,4,2,3,2,2,1,2,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,5,2,6,9,5,3,100,26,2,1,3,26,38
1,100,27,2,2,2,6,5,3,54,1,3,1,3,1,4,3,2,1,2,3,3,3,2,1,2,2,8,1,0,1,3,2,2,2,2,3,4,4,4,4,4,3,2,2,3,3,2,1,3,3,2,1,1,1,3,2,1,1,2,1,2,2,2,2,2,2,2,2,2,100,27,2,3,3,3,3,3,2,2,2,4,2,4,4,2,4,4,4,4,2,2,1,2,1,4,1,1,5,3,5,2,2,4,3,1,7,4,2,1,2,2,2,2,1,4,3,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,14,1,6,0,4,3,100,27,2,2,3,24,27
1,100,28,2,1,2,11,5,2,65,1,3,3,3,1,4,3,1,2,2,3,2,3,2,1,2,1,8,1,3,1,4,3,2,2,2,3,4,4,4,4,1,1,1,3,3,2,4,1,1,3,3,1,1,3,3,1,2,2,1,1,1,1,1,3,2,2,2,2,2,100,28,2,3,3,3,1,3,2,2,1,4,4,4,1,4,1,2,4,4,1,1,1,2,1,4,2,1,4,5,3,4,5,3,3,1,4,4,2,1,1,1,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,4,12,1,3,1,2,3,100,28,2,4,3,24,46
1,100,29,2,1,1,9,7,4,30,1,4,4,1,3,4,2,1,1,1,3,2,6,1,1,2,2,8,1,2,1,3,2,3,2,1,3,2,2,2,2,4,3,4,3,3,2,4,1,1,1,1,1,1,1,1,1,1,5,3,3,2,1,1,2,3,2,2,2,2,100,29,2,1,3,1,1,3,3,2,4,2,4,1,1,4,1,4,4,4,1,2,1,2,3,4,1,1,5,1,1,5,1,5,3,1,5,4,2,2,2,1,1,1,1,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,1,5,3,3,3,100,29,2,3,3,27,28
1,100,30,2,1,2,9,10,2,150,1,3,2,3,2,2,2,2,1,2,3,4,1,1,1,2,2,0,1,2,2,6,2,2,1,1,3,4,4,4,4,2,3,4,2,3,3,2,1,1,0,1,1,1,1,0,3,3,1,1,1,2,3,2,2,3,2,3,2,2,100,30,2,2,2,2,3,3,2,1,1,3,4,4,1,4,4,4,1,1,2,2,3,2,3,3,3,1,2,2,3,2,2,2,3,1,6,4,2,1,1,2,1,2,2,4,4,3,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0,10,1,9,0,6,3,100,30,2,1,3,25,72
1,100,31,2,1,5,9,11,3,70,1,3,1,1,1,1,2,2,1,1,1,2,4,3,3,1,1,8,1,2,1,11,2,1,1,1,2,3,4,4,4,4,3,2,3,3,3,2,1,1,1,1,1,1,1,1,3,0,2,1,1,2,2,2,3,2,3,2,2,2,100,31,2,2,2,2,1,2,1,1,1,3,4,2,2,4,2,4,4,4,1,1,1,1,1,3,3,1,1,1,1,1,1,4,3,1,4,4,1,1,1,2,2,1,2,1,4,4,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,10,1,9,1,5,3,100,31,2,1,3,28,28
1,100,32,2,1,2,9,10,2,40,3,3,6,3,2,1,2,1,1,2,1,3,1,3,1,2,1,8,2,2,2,3,1,2,2,2,1,4,2,2,2,4,1,3,3,2,2,2,1,2,1,1,1,1,1,3,1,1,1,2,1,2,2,3,1,2,3,2,2,2,100,32,2,3,3,3,2,1,1,1,1,2,4,4,4,4,2,4,4,4,2,2,3,1,1,4,1,1,1,1,1,1,1,4,3,1,10,4,2,2,1,1,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,4,13,1,9,1,5,3,100,32,2,2,3,24,28
1,100,33,2,1,2,2,5,3,120,1,4,2,1,1,2,2,2,1,1,1,3,6,1,1,2,1,8,3,0,2,3,2,2,2,0,0,3,3,2,3,2,2,4,3,3,2,4,1,1,1,1,1,1,3,3,1,1,1,2,1,1,2,2,2,2,3,2,2,2,100,33,2,3,3,3,2,2,2,1,1,2,4,3,2,4,2,4,4,4,2,1,1,2,1,3,1,1,2,1,1,1,3,2,1,1,7,4,2,1,2,2,1,1,2,3,3,3,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,13,1,6,0,3,3,100,33,2,3,3,25,39
1,100,34,2,2,0,0,6,3,77,1,2,7,0,0,1,3,2,1,2,2,2,1,1,2,1,1,8,1,2,4,4,3,3,2,2,3,3,2,2,2,2,1,4,3,3,3,2,1,1,2,1,1,1,1,0,3,1,1,1,1,1,0,1,2,1,3,2,2,2,100,34,2,2,1,2,1,3,3,3,1,1,4,4,2,4,1,4,4,4,1,2,1,2,1,4,2,2,2,1,1,1,1,5,2,3,7,4,2,1,1,2,1,2,2,3,3,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,8,2,0,2,0,3,100,34,2,5,3,7,25
1,100,35,2,1,5,5,8,3,60,1,4,7,3,7,2,2,2,2,2,1,2,6,1,1,2,2,8,0,3,1,3,2,2,1,1,3,2,1,2,1,1,3,3,2,2,2,4,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,4,3,2,2,2,2,100,35,2,1,2,1,1,1,2,2,4,4,2,2,3,4,4,4,4,2,1,1,1,2,3,3,1,1,1,2,5,0,5,2,1,1,8,4,2,1,0,2,1,2,2,4,4,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,0,5,1,10,4,7,3,100,35,2,0,3,28,60
1,100,36,2,2,2,2,6,3,32,1,4,7,2,7,4,2,1,1,2,2,1,6,2,2,2,0,8,2,0,2,3,2,2,2,0,5,4,4,4,0,1,1,1,3,3,0,2,3,2,3,3,3,1,3,3,2,1,5,3,3,2,2,2,3,2,2,3,2,2,100,36,2,2,3,2,1,1,3,5,2,4,4,2,4,4,2,4,4,4,1,2,1,2,3,3,1,1,4,5,4,3,5,5,3,1,10,4,2,2,0,1,3,3,2,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,6,1,8,2,5,3,100,36,2,1,3,26,81
1,100,37,2,1,5,10,10,3,60,1,3,1,2,7,4,2,2,2,2,3,4,3,3,1,2,2,8,1,2,4,8,3,2,1,1,3,4,5,4,4,1,1,1,3,3,3,2,1,1,1,1,1,1,3,3,3,2,1,3,2,1,2,1,3,2,2,2,2,2,100,37,2,3,3,2,2,2,3,3,1,2,4,4,1,4,2,4,4,2,1,1,3,2,1,4,3,1,3,3,4,5,5,2,3,3,7,4,2,3,2,1,2,2,2,3,2,4,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,10,1,5,0,3,3,100,37,2,3,4,28,52
1,100,38,2,2,2,11,10,3,40,1,3,1,3,3,2,3,2,2,2,3,3,1,1,1,2,1,8,2,0,2,4,2,3,1,1,2,4,3,4,4,2,3,4,3,2,3,2,1,1,1,0,1,0,3,0,2,1,1,2,1,2,2,3,2,3,2,2,2,2,100,38,2,2,2,3,2,1,2,1,2,3,1,2,3,4,4,4,4,1,1,1,1,2,3,4,1,1,1,2,1,1,2,4,1,1,11,4,2,1,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,9,1,7,1,6,3,100,38,2,1,4,24,35
1,100,39,2,1,5,8,8,3,70,1,3,1,1,1,1,2,2,1,1,1,3,2,1,1,2,1,8,1,1,1,3,2,2,1,1,1,2,2,2,2,4,3,3,2,2,1,2,1,1,1,3,1,1,1,1,3,2,5,1,1,1,2,1,2,2,1,1,2,2,100,39,2,2,3,2,3,2,2,2,1,2,1,3,1,4,2,4,4,4,1,2,1,2,2,4,1,1,1,1,1,5,1,5,2,3,9,4,2,1,2,2,1,1,3,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,8,1,5,0,2,3,100,39,2,4,4,28,27
1,100,40,2,2,2,9,10,2,100,2,3,2,3,1,4,2,2,2,1,3,2,1,3,2,2,2,8,1,3,4,6,2,3,2,2,3,4,4,4,5,2,3,4,3,3,4,3,1,1,1,1,1,1,1,3,3,2,2,1,1,2,2,1,2,2,2,3,2,2,100,40,2,3,2,2,1,3,1,2,1,1,4,4,1,4,2,4,4,2,2,1,1,2,3,4,2,1,5,2,3,1,3,5,3,1,8,4,2,1,0,1,2,1,2,3,3,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,10,1,5,1,3,3,100,40,2,3,4,24,95
1,100,41,2,2,2,9,5,3,60,1,3,1,3,1,4,2,2,3,2,1,2,4,1,1,2,1,8,1,2,4,6,2,3,1,1,3,4,2,3,4,4,3,4,3,3,3,4,1,0,1,1,1,1,0,0,0,1,5,1,1,2,2,2,3,2,2,3,2,2,100,41,2,2,3,2,1,1,3,2,1,2,2,4,4,4,2,4,4,4,2,2,1,2,1,3,1,1,1,1,1,2,5,4,2,1,9,4,2,1,2,1,1,2,2,2,4,4,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,6,1,7,2,5,3,100,41,2,1,4,24,59
