CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.4..1,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15A.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33A.,Q.34.,Q.35A.,Q.36.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45A.,Q.46A.,Q.47.,Q.48A.,Q.49.,Q.50.,Q.51A.,Q.52A.,Q.53.,Q.54.,V.58.,V.59.
1,174,11,2,9,5,5,54,1,3,2,2,3,4,3,5,4,5,2,2,3,3,1,1,2,2,3,3,1,1,1,2,2,3,3,6,1,2,1,4,1,1,2,4,3,2,4,4,2,2,1,2,1,2,1,3,3,5,73
1,174,12,1,7,2,6,64,1,3,3,1,3,4,5,5,1,1,2,1,1,1,1,1,1,3,3,1,3,1,1,2,1,2,1,1,1,0,3,4,1,1,2,3,1,1,4,2,1,2,2,2,2,1,1,3,1,5,23
1,174,13,3,11,4,7,71,3,3,2,1,3,4,3,5,2,3,1,1,1,3,1,1,1,2,1,2,1,1,1,0,2,3,3,6,4,2,0,4,0,0,0,4,3,2,0,5,4,1,1,1,1,1,0,0,0,5,27
1,174,14,3,9,2,7,74,4,3,2,1,1,0,3,2,1,2,1,1,1,1,2,2,2,4,2,1,1,1,5,2,2,3,3,6,1,2,1,4,0,1,4,4,1,2,1,5,2,1,1,2,1,2,1,2,1,5,45
1,174,15,3,10,5,6,64,1,3,1,2,2,2,2,2,2,3,1,2,2,2,2,2,2,5,3,3,2,2,1,2,2,3,3,6,3,2,2,4,1,1,3,2,2,2,2,4,2,2,1,2,2,1,3,3,4,5,93
1,174,16,1,11,4,5,59,5,3,2,1,2,2,1,2,2,3,1,1,1,1,2,2,2,1,2,2,1,1,5,2,2,3,3,3,3,2,0,1,1,2,3,4,1,2,2,1,3,2,1,1,1,2,1,3,1,5,16
1,174,17,1,3,3,5,59,4,3,1,1,1,2,2,2,2,1,1,1,1,1,2,2,3,2,3,3,1,1,4,1,2,3,3,0,1,2,0,0,0,0,3,3,1,2,2,3,1,1,1,1,1,2,1,3,2,5,24
1,174,18,1,9,0,2,22,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,3,1,1,4,2,2,1,3,6,3,2,2,4,1,1,3,4,1,2,1,5,2,1,1,1,1,1,1,3,2,5,97
1,174,19,2,11,6,9,93,5,2,1,1,1,2,3,1,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,2,2,3,3,6,2,2,2,4,1,1,2,4,2,1,3,4,3,2,1,1,1,1,3,3,2,5,39
1,174,20,2,7,3,7,74,4,3,3,2,3,4,5,3,2,4,3,2,1,1,2,2,3,2,2,4,1,1,2,1,2,3,0,0,0,0,0,4,1,4,2,4,1,1,1,4,4,1,1,1,1,2,1,3,3,5,84
1,174,21,1,9,1,0,0,3,3,3,2,2,2,3,3,2,4,1,1,1,1,2,2,2,2,2,3,1,1,4,2,2,3,1,3,3,1,2,4,2,2,4,4,2,1,4,4,4,2,1,2,1,1,1,3,3,5,86
1,174,22,3,10,5,7,74,5,3,3,2,2,3,3,3,5,1,3,1,1,1,2,2,2,2,2,3,1,1,4,2,1,3,3,6,5,2,5,1,2,2,3,4,2,2,2,5,4,2,1,2,2,1,1,3,2,5,91
1,174,23,3,10,6,6,64,4,3,2,2,2,2,3,3,2,3,3,1,1,1,2,2,2,1,2,2,1,1,4,2,1,3,3,6,2,2,5,4,2,2,3,3,2,2,2,1,4,1,1,2,2,2,1,3,2,5,92
1,174,24,1,11,1,3,33,0,3,2,2,2,2,3,3,2,1,4,1,1,1,2,2,2,1,1,2,2,1,4,2,2,2,3,6,2,1,1,4,1,1,2,4,1,1,4,5,2,3,4,3,1,2,1,3,2,5,5
1,174,25,3,11,3,7,74,3,3,2,2,2,2,4,3,1,3,3,1,2,2,2,2,2,2,3,3,2,2,5,2,2,3,2,1,2,2,2,4,2,3,3,3,2,2,1,5,2,1,1,1,1,1,1,3,2,5,12
1,174,26,1,11,0,0,0,2,2,2,2,2,3,3,3,2,5,3,1,1,1,2,2,4,5,2,2,2,1,1,2,1,3,3,1,4,2,3,4,2,2,3,4,3,2,4,5,2,3,1,1,1,2,3,3,2,5,34
1,174,27,2,8,5,5,59,5,3,2,4,3,3,3,4,2,3,2,1,1,1,2,2,3,4,3,2,1,1,1,2,2,3,2,6,2,2,2,4,1,3,3,4,1,3,2,5,4,1,1,2,2,1,1,3,2,5,15
1,174,28,1,5,3,5,52,3,3,1,2,2,3,4,4,5,3,3,1,1,1,2,3,3,2,2,2,1,1,1,2,2,3,3,2,2,2,5,4,4,4,3,3,1,3,2,4,3,1,1,2,2,2,0,0,0,5,79
1,174,29,1,8,5,4,42,4,3,3,4,3,3,5,5,3,1,1,1,3,3,2,3,5,4,4,4,1,1,4,0,0,0,3,6,1,1,1,4,2,3,3,6,2,4,1,4,4,1,1,2,2,3,1,3,2,5,40
1,174,30,1,0,5,6,62,5,3,3,2,3,3,5,5,2,3,1,1,1,1,2,3,3,5,3,3,1,1,5,1,2,3,3,6,2,2,3,4,1,2,3,3,3,2,4,5,4,2,1,2,3,2,3,2,3,5,55
1,174,31,3,10,6,2,22,3,2,1,2,2,2,2,2,2,3,3,2,1,1,2,2,2,3,3,2,2,2,1,2,2,3,2,2,2,2,3,4,1,4,3,4,1,2,3,5,3,2,1,2,2,1,1,2,2,7,98
1,174,32,1,3,5,3,31,3,2,3,4,3,4,2,2,2,5,4,3,3,3,2,2,3,3,4,1,2,2,5,2,2,3,2,1,4,2,4,4,2,3,3,3,2,4,3,2,4,1,1,3,3,2,1,3,3,7,91
1,174,33,4,4,7,5,58,4,2,3,4,3,3,4,4,3,3,2,3,1,1,2,2,1,5,3,3,1,1,1,2,2,1,1,6,4,2,5,4,4,3,3,4,2,1,1,4,4,1,1,1,1,1,1,3,4,7,15
1,174,34,4,2,7,3,32,4,2,3,4,2,3,4,4,3,3,2,3,2,3,2,2,1,3,4,2,1,1,0,2,2,1,1,6,2,2,0,4,1,3,3,3,2,1,1,5,4,1,1,1,1,1,1,3,2,7,20
1,174,35,3,7,5,4,43,3,2,2,1,2,2,3,3,2,3,1,2,1,1,2,2,2,1,2,1,3,1,3,0,2,3,3,6,2,2,5,3,4,4,4,4,1,1,1,5,3,2,1,1,1,1,1,3,2,7,35
1,174,36,3,3,5,5,54,4,2,2,2,2,3,4,3,1,3,4,1,2,2,2,2,2,2,3,2,2,1,1,1,2,0,3,6,1,2,5,4,3,3,3,4,1,2,2,1,3,1,1,1,1,1,1,3,2,7,17
1,174,37,1,6,4,5,57,4,2,3,4,3,2,3,3,5,3,4,2,1,1,2,2,2,5,5,3,1,1,1,2,2,1,1,1,5,2,5,4,4,4,3,3,2,2,2,1,1,1,1,2,2,1,3,3,2,7,73
1,174,38,3,10,4,3,33,5,2,3,3,3,2,5,5,5,5,2,1,1,1,2,2,3,4,5,2,2,1,4,2,2,3,3,2,4,2,5,4,4,3,4,4,3,3,3,5,4,2,1,1,1,2,3,3,3,7,44
1,174,39,3,2,3,7,74,4,1,3,2,2,2,5,5,2,3,3,1,2,1,2,2,3,5,3,3,1,1,1,1,1,3,2,3,2,1,2,4,2,4,4,3,1,2,3,1,2,2,1,2,2,2,2,2,4,7,1
1,174,40,3,7,5,5,54,1,2,3,2,2,3,3,5,2,3,4,1,1,3,2,2,1,2,2,2,3,3,1,2,2,1,2,6,2,1,1,4,0,2,3,3,2,2,3,4,3,1,2,2,2,1,3,3,3,7,5
1,174,41,3,5,6,2,21,5,2,3,2,3,4,5,5,4,3,2,2,3,3,2,2,3,3,3,3,2,3,5,2,2,3,2,1,2,2,3,4,4,0,3,4,2,3,1,4,3,1,4,2,3,2,1,3,4,7,24
1,174,42,1,9,1,5,58,2,2,2,2,3,1,3,5,2,3,1,1,1,2,2,2,1,4,3,3,1,1,4,2,2,1,1,6,3,2,5,4,2,3,3,2,3,1,1,5,4,2,1,3,1,1,1,3,4,7,32
1,174,43,1,5,1,5,58,3,2,3,2,2,2,5,5,3,5,4,1,1,1,2,2,2,2,2,4,1,1,4,2,2,3,3,2,3,2,5,4,3,3,3,4,1,1,4,4,2,1,1,3,1,1,1,3,2,7,27
1,174,44,3,3,3,6,64,1,2,3,3,3,4,3,5,2,3,2,2,3,3,2,2,4,3,0,4,2,2,5,2,2,3,1,1,3,2,3,4,3,3,3,3,3,3,3,5,4,2,1,4,3,2,1,3,2,7,21
1,174,45,0,0,1,6,64,0,2,1,2,1,2,2,2,2,3,2,1,1,1,2,3,2,1,2,2,2,1,4,0,2,2,3,1,0,2,0,4,1,3,3,4,3,1,3,0,2,1,1,1,1,1,1,0,0,7,52
1,174,46,1,6,1,5,54,1,2,2,4,3,2,3,4,3,4,4,1,3,3,2,3,1,5,2,3,1,1,1,2,2,3,3,6,4,2,5,4,4,3,3,4,2,2,3,1,4,1,1,1,1,1,1,3,2,7,63
1,174,47,1,2,5,2,21,5,2,2,3,2,2,3,3,4,1,1,1,1,1,2,3,4,3,3,4,2,1,6,1,2,2,1,6,3,2,0,4,2,2,3,2,3,2,1,4,4,2,1,3,2,2,1,3,2,7,54
1,174,48,3,9,4,2,21,5,2,3,4,3,4,5,5,5,1,3,1,3,3,2,3,3,5,2,2,1,1,4,2,1,3,3,2,4,2,2,4,3,0,3,3,2,1,4,2,1,1,1,1,1,1,1,3,4,7,13
1,174,49,1,8,6,2,23,5,2,3,4,3,4,5,5,5,1,3,1,3,3,2,3,3,5,2,2,1,1,4,2,1,3,3,1,4,2,2,4,1,3,3,3,2,1,4,2,1,2,1,1,1,1,1,3,4,7,14
1,174,50,5,9,7,0,0,5,4,2,4,3,4,5,5,5,3,4,2,1,1,2,3,1,3,2,3,3,2,1,0,0,0,3,6,4,1,2,4,1,3,3,3,2,1,1,4,1,1,1,1,1,1,3,3,4,7,45
1,174,51,4,9,5,6,64,4,2,3,3,3,4,4,5,3,3,2,1,1,1,2,3,3,3,3,3,2,2,1,2,2,3,3,6,2,2,3,4,1,3,3,4,3,2,3,5,2,1,1,2,1,1,3,3,4,7,78
1,174,52,2,4,5,7,74,4,2,3,4,3,4,5,5,2,4,2,1,3,1,2,3,4,3,4,3,1,1,6,0,1,3,3,5,3,2,0,4,1,3,3,4,1,2,1,5,4,1,1,4,1,2,1,3,2,7,67
1,174,53,3,10,6,3,34,5,2,3,4,3,4,4,4,5,2,2,3,1,1,1,3,3,5,4,4,3,3,4,2,2,0,1,1,2,2,5,4,3,3,3,4,3,1,1,5,4,1,2,3,2,1,1,3,2,7,9
1,174,54,1,7,7,5,52,5,2,3,2,3,4,3,5,3,4,2,2,1,1,1,3,3,2,3,4,2,1,1,2,2,3,3,6,4,2,2,4,3,3,3,2,2,2,2,2,4,1,1,2,2,1,1,3,4,7,77
1,174,55,3,3,6,6,64,4,2,3,1,1,4,5,5,4,5,2,0,3,3,1,3,1,4,2,1,1,1,1,2,2,1,1,5,2,2,2,4,1,1,2,3,1,1,1,1,4,1,1,3,4,3,1,3,4,7,80
1,174,56,3,0,5,0,0,3,3,3,1,2,3,1,1,1,3,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,3,3,6,2,2,1,4,2,3,1,6,1,1,1,1,2,2,1,1,2,1,1,3,4,7,56
1,174,57,3,11,6,3,33,5,2,2,2,3,3,3,4,2,4,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,3,1,1,2,2,5,4,4,2,3,3,2,2,1,5,4,1,1,1,2,1,2,3,2,7,12
1,174,58,1,3,5,7,74,4,1,2,1,1,2,4,4,1,3,1,1,3,3,1,2,3,3,2,1,1,1,1,2,2,3,0,1,3,2,2,4,2,2,3,5,3,1,4,1,1,2,1,2,2,1,1,3,1,7,62
1,174,59,5,4,7,7,72,3,2,2,1,1,2,3,3,1,2,2,1,1,1,1,2,2,2,3,2,1,1,1,2,2,2,3,6,5,2,1,4,4,3,3,1,2,2,4,4,4,1,1,1,1,1,1,0,4,7,76
1,174,60,1,10,5,9,93,5,3,2,3,3,2,5,3,5,4,2,1,1,1,1,2,3,4,1,2,2,1,6,1,2,2,1,1,4,1,3,4,3,3,3,1,3,1,4,4,4,1,1,1,1,0,1,3,0,7,86
1,174,61,3,11,4,7,74,3,2,2,2,2,3,5,3,3,3,3,1,3,3,1,2,3,3,3,3,2,1,4,2,2,3,2,6,1,2,1,4,3,3,3,4,2,3,1,4,2,2,1,2,1,1,1,3,3,7,8
1,174,62,1,9,3,5,56,4,2,3,2,3,3,4,3,1,3,3,1,3,3,1,2,2,5,2,2,2,1,1,2,2,3,2,0,2,2,2,4,2,2,3,4,1,2,4,5,3,2,1,2,3,1,1,3,2,7,85
1,174,63,1,2,5,7,71,2,2,3,2,2,3,2,3,3,3,3,1,3,3,1,2,3,3,3,3,1,3,4,2,2,2,2,6,2,2,3,4,2,3,3,4,1,3,1,1,4,2,1,3,1,3,1,3,3,7,6
1,174,64,7,10,6,2,21,5,3,2,1,2,2,3,2,2,3,1,1,1,1,1,1,1,1,1,2,1,1,5,2,2,2,3,6,3,2,1,4,2,2,2,3,2,1,1,1,2,1,1,1,1,1,2,3,4,7,65
1,174,65,1,2,5,5,54,4,2,3,1,1,2,3,2,1,1,2,1,3,3,1,1,1,1,1,1,1,1,4,2,2,2,1,6,1,2,1,4,4,4,3,1,1,2,4,4,2,1,1,1,1,1,1,3,1,7,68
1,174,66,3,5,5,5,58,4,2,3,1,2,2,2,4,2,3,3,2,1,1,1,1,1,1,3,1,1,1,1,2,2,3,2,0,2,2,2,4,1,3,3,6,1,3,4,5,4,1,1,1,1,1,1,3,2,7,2
1,174,67,1,4,4,6,61,1,2,3,1,2,4,5,4,2,3,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,3,1,2,2,1,4,2,3,3,4,1,1,1,5,2,1,1,1,1,1,1,2,2,7,59
1,174,68,3,4,5,5,57,4,1,2,2,2,3,4,4,2,2,1,3,3,3,1,1,2,2,1,2,2,1,1,2,2,1,1,6,1,2,3,4,1,3,3,4,3,1,1,5,3,1,1,1,1,1,1,3,4,7,71
1,174,69,3,4,4,5,58,4,2,2,2,2,2,4,3,1,3,2,1,3,3,1,1,1,5,2,2,2,1,1,2,2,2,2,1,1,2,2,4,3,3,3,2,2,2,2,5,2,1,1,1,1,1,1,3,2,7,31
1,174,70,3,10,5,2,21,5,3,3,2,1,3,4,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,2,3,3,6,0,2,0,4,1,2,4,3,1,1,1,1,2,2,1,1,1,1,1,3,4,7,25
1,174,71,1,7,3,5,57,5,2,2,1,2,1,3,3,1,2,1,1,3,3,1,1,3,4,2,1,1,1,1,2,2,3,3,6,4,2,4,4,3,3,3,4,3,1,4,5,4,1,1,1,1,2,1,3,2,7,29
1,174,72,4,10,6,2,21,5,3,3,1,2,3,3,3,1,3,1,1,2,1,1,1,2,2,2,1,2,2,4,2,0,1,1,1,4,1,1,4,2,3,3,3,2,1,1,4,4,1,1,1,2,2,1,3,4,7,79
1,174,73,3,10,2,7,72,3,2,2,1,3,2,4,3,1,5,3,1,3,3,1,1,3,2,2,2,2,1,1,2,2,2,1,5,4,2,2,4,2,2,3,4,2,2,2,2,2,2,1,2,1,1,1,3,3,7,22
1,174,74,1,3,4,5,54,2,2,3,4,2,3,3,3,2,3,4,1,1,1,1,1,2,2,5,2,3,2,4,2,2,3,3,3,2,2,5,4,2,2,3,3,2,2,3,2,0,2,1,2,2,2,1,3,2,7,64
1,174,75,1,3,5,3,33,5,2,2,1,2,2,5,3,2,1,2,3,0,1,1,1,1,3,4,2,1,1,1,2,2,1,3,1,2,1,1,1,3,3,3,3,2,1,2,5,4,3,1,2,1,1,3,2,2,7,81
1,174,76,1,0,2,5,59,4,2,3,2,2,2,3,3,2,3,0,1,1,1,3,2,2,5,3,5,3,3,1,2,2,3,2,0,3,0,0,4,2,3,3,6,3,2,3,5,3,1,1,2,3,2,1,3,4,7,50
1,174,77,1,9,2,6,64,1,2,3,3,3,4,0,2,4,5,2,1,3,3,3,3,3,3,4,3,1,1,5,2,1,3,3,1,3,2,5,4,3,3,3,6,1,4,1,4,4,1,1,4,2,3,3,3,4,7,16
1,174,78,2,10,5,4,43,3,3,1,3,2,2,3,2,3,3,1,2,1,1,0,1,4,3,4,4,2,1,5,1,2,1,1,1,4,1,1,1,1,2,3,3,2,2,2,5,4,1,1,1,1,1,1,2,2,7,51
1,174,79,1,4,6,2,21,5,0,0,4,3,0,5,5,5,4,2,1,3,1,0,1,3,4,4,4,1,2,0,0,0,0,0,5,4,2,5,4,4,3,3,2,3,3,1,5,4,1,1,3,3,3,1,2,4,7,5
1,174,80,1,11,5,2,21,5,3,2,4,2,3,5,4,3,4,1,2,1,2,4,1,4,5,4,3,1,1,1,2,2,3,3,1,3,2,0,4,4,4,4,3,2,3,3,4,4,1,1,1,1,1,3,3,4,7,18
1,174,81,3,0,5,5,58,4,2,3,3,3,2,4,5,3,3,2,2,3,2,4,2,4,2,3,2,1,1,1,2,2,3,3,3,4,2,5,4,3,3,1,2,1,3,3,4,1,2,1,2,1,3,1,3,3,7,53
1,174,82,3,2,5,5,54,3,2,3,2,3,3,5,5,5,4,3,1,3,3,4,2,2,3,3,4,1,1,1,2,2,3,1,2,4,2,1,4,2,3,3,4,1,2,1,5,4,1,1,3,1,3,1,3,2,7,55
1,174,83,4,7,5,5,58,5,2,3,2,3,4,5,5,3,3,2,1,1,1,4,2,2,5,3,1,1,1,3,1,2,1,0,6,4,2,1,4,4,3,3,4,3,4,1,4,4,1,1,4,3,3,2,3,1,7,41
1,174,84,1,3,4,5,58,4,2,3,4,3,4,5,4,4,3,2,2,3,3,4,3,4,3,4,3,2,2,4,2,2,1,1,6,4,2,4,4,2,3,4,3,3,2,3,5,4,2,0,2,1,1,2,3,2,7,0
1,174,85,2,5,1,5,54,3,2,2,3,3,4,5,5,4,5,2,3,2,3,4,3,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,3,3,3,2,1,3,3,4,5,4,3,4,0,0,3,2,2,4,7,12
1,174,86,1,9,3,5,58,4,1,3,4,3,4,5,5,4,5,4,2,1,3,4,3,2,3,3,1,1,1,1,2,2,3,2,1,4,2,4,4,1,3,3,4,1,1,1,5,4,1,1,1,1,1,0,3,3,7,37
1,174,87,3,10,4,5,52,2,2,3,3,3,4,5,5,3,5,4,2,1,3,4,3,3,3,3,1,1,1,1,2,2,3,2,2,3,1,4,4,1,3,3,4,1,1,1,5,4,2,1,1,2,2,3,3,4,7,33
1,174,88,1,4,4,7,71,1,2,3,4,3,4,5,5,4,5,4,2,1,3,4,3,3,3,3,1,1,1,1,2,2,3,2,6,4,2,4,4,1,3,3,4,1,2,1,5,4,1,1,2,2,1,2,3,3,7,36
1,174,89,3,10,5,3,33,5,2,3,2,3,4,5,5,4,3,2,1,1,2,4,3,4,4,3,3,2,2,5,1,2,2,1,0,5,2,3,4,1,3,3,3,3,2,4,5,4,1,1,3,2,2,1,3,3,7,52
1,174,90,1,8,6,2,21,5,4,3,3,3,4,5,5,3,4,2,3,3,1,4,3,3,5,4,3,2,2,5,2,2,1,2,3,2,1,3,4,2,3,3,4,1,4,1,4,4,2,1,3,3,2,2,3,2,7,6
1,174,91,1,5,5,6,63,4,2,3,2,3,4,5,5,2,5,2,2,1,1,4,3,2,3,4,4,1,2,1,2,2,1,2,1,4,2,4,4,4,4,3,4,1,3,3,5,4,1,1,3,1,2,1,3,2,7,27
1,174,92,0,1,5,7,74,5,2,3,1,2,3,5,5,4,2,2,2,3,3,4,3,1,3,4,4,1,2,3,0,2,3,3,1,4,2,1,4,3,3,3,1,1,4,3,1,2,1,1,4,1,1,1,3,2,7,46
1,174,93,1,9,5,3,33,5,2,2,2,3,4,5,5,5,3,2,2,1,1,4,4,4,3,4,4,1,1,1,2,2,1,3,6,4,2,5,4,4,3,3,4,1,3,4,4,4,1,1,2,2,1,1,3,4,7,54
1,174,94,3,10,5,2,23,4,3,3,4,3,4,5,4,4,2,2,3,1,1,5,2,4,5,5,4,2,1,4,2,2,3,2,6,3,2,4,4,3,3,3,2,4,4,4,5,4,2,1,4,1,3,1,3,4,7,42
1,174,95,3,9,5,3,33,3,2,3,1,3,4,5,5,1,5,2,1,1,3,5,2,1,5,4,1,1,1,1,2,2,3,3,5,4,1,4,4,3,3,3,4,1,4,4,5,4,3,4,1,1,3,3,3,4,7,43
1,174,96,1,2,4,6,61,3,2,3,4,3,4,5,5,5,5,4,1,3,3,5,3,1,3,5,3,1,2,5,2,2,3,3,1,5,2,1,1,1,3,3,4,2,1,1,5,4,1,1,1,1,1,1,3,2,7,40
1,174,97,1,4,5,5,52,5,2,3,4,3,4,5,5,4,4,2,1,2,2,5,3,4,3,4,4,1,1,1,2,2,0,1,1,4,1,1,4,1,3,3,4,1,4,1,5,4,2,1,2,2,1,1,3,3,7,56
1,174,98,1,0,2,3,31,1,2,3,3,3,4,5,5,4,5,4,3,3,3,5,3,2,4,3,2,1,1,0,2,1,2,1,2,4,1,2,4,3,3,3,2,1,4,4,5,0,1,2,2,3,0,1,3,4,7,3
1,174,99,1,3,7,5,58,4,2,3,4,3,2,5,5,4,3,2,1,3,1,5,3,3,3,4,3,1,1,1,2,2,3,3,1,4,2,5,4,4,4,4,3,2,4,1,4,4,1,1,2,2,3,1,3,4,7,25
1,174,100,3,4,6,2,23,5,3,3,4,3,4,5,5,4,2,2,3,1,1,5,3,4,5,3,4,2,1,4,2,2,3,2,6,3,2,0,4,4,0,3,4,3,2,4,5,4,1,1,3,2,2,1,3,2,7,49
1,174,101,3,3,6,7,74,3,2,3,2,3,2,5,5,3,3,2,2,3,1,5,3,2,3,4,2,1,1,1,2,2,3,3,1,4,2,5,4,4,4,4,2,1,4,1,4,4,1,1,3,4,3,1,3,4,7,15
1,174,102,3,3,5,3,31,5,2,2,4,3,3,5,5,4,4,4,4,3,3,5,3,1,5,0,4,0,1,1,2,2,3,2,6,4,1,1,4,2,4,3,6,1,2,1,5,4,1,1,3,1,3,1,3,4,7,30
1,174,103,1,4,5,2,23,4,1,3,3,3,4,5,5,4,4,4,3,1,1,5,4,5,5,5,4,1,1,1,2,2,3,2,4,3,1,2,4,4,3,3,4,3,4,4,5,4,2,2,4,2,2,1,3,2,7,20
1,174,104,3,5,4,2,22,3,2,3,1,3,2,5,5,3,3,3,1,3,3,1,1,1,3,2,2,1,1,1,2,2,3,3,2,2,1,1,4,4,4,4,3,1,3,1,4,4,1,1,1,1,2,1,3,4,7,14
1,174,105,1,5,5,3,33,5,2,3,4,3,4,5,5,5,3,1,1,3,3,1,1,2,3,4,2,1,1,1,2,2,3,1,1,4,1,5,4,4,3,3,2,3,4,4,5,4,2,2,2,2,3,1,3,3,7,38
1,174,106,4,10,7,7,74,4,2,3,2,2,4,4,5,3,3,3,2,1,1,1,1,2,2,2,2,1,1,1,2,2,3,3,6,2,2,2,4,1,2,3,4,2,2,3,1,1,1,1,2,2,1,2,3,4,7,22
1,174,107,3,7,3,6,64,4,2,3,1,3,2,5,5,1,3,3,1,3,3,1,1,1,1,2,2,1,1,1,1,2,3,3,1,2,2,1,4,2,3,3,3,3,2,2,5,4,2,1,2,2,1,1,3,4,7,26
1,174,108,3,4,6,6,64,5,3,2,4,3,4,5,5,4,2,2,1,1,1,1,1,4,5,3,3,2,1,4,2,2,3,2,6,3,2,0,4,4,0,3,4,3,2,2,5,4,1,1,3,2,2,1,3,2,7,24
1,174,109,1,2,3,6,63,3,2,3,3,3,3,4,4,3,3,2,2,1,1,2,2,3,2,3,3,1,1,1,2,2,2,2,6,0,2,0,4,2,3,3,4,3,1,3,1,3,1,1,2,2,2,1,3,3,7,13
1,174,110,1,6,7,5,54,4,2,3,2,2,4,4,4,2,3,4,2,1,1,2,2,4,2,4,2,1,1,1,1,2,2,3,6,3,1,2,4,3,3,3,1,1,1,1,4,3,2,1,2,2,2,1,3,2,7,19
1,174,111,2,8,1,5,56,1,2,3,2,3,4,3,5,2,3,3,2,2,2,2,2,4,5,3,3,1,1,1,2,2,3,3,1,2,2,5,4,1,1,3,3,3,3,3,2,2,1,1,2,2,2,1,3,3,7,1
1,174,112,3,3,5,6,64,1,2,3,2,2,3,5,5,3,3,3,1,1,1,2,2,4,3,3,3,2,1,1,2,2,3,1,6,4,2,2,4,1,4,4,3,1,2,4,4,4,1,1,3,1,1,1,3,4,7,10
