CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16A.,Q.16B.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21A....DID,Q.21B....DID,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,CARD..1,DECK..1,BALLOT..1,Q.64.,Q.65.,Q.66.,Q.67.,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90.,Q.91.,Q.92.,Q.93.,Q.94.,Q.95.,Q.96.,Q.97.,Q.98.,Q.99.,Q.100.,Q.101.,Q.102.,Q.103.,Q.104.,Q.105.,Q.106.,Q.106A.,Q.106B.,Q.106C.,Q.106D.,Q.106E.,Q.106F.,Q.106G.,Q.107.,Q.108.,Q.109.,Q.110.,Q.111.,Q.112.,Q.113.,Q.114.,N.116.,N.117.,N.118.
1,177,12,1,1,4,1,3,4,4,1,5,0,6,3,1,4,6,5,0,3,1,5,1,1,1,2,1,2,5,1,1,1,1,2,2,3,1,1,2,1,3,1,1,1,1,1,1,1,3,7,4,4,1,1,1,3,4,2,1,1,4,1,2,3,2,1,5,2,177,12,1,11,2,4,1,3,1,2,1,2,2,4,6,1,2,2,1,2,1,1,4,6,1,3,1,1,1,1,1,2,1,1,1,1,1,5,2,2,4,1,1,1,2,1,3,2,1,3,1,2,1,2,1,2,3,2,1,1,56,909,0
1,177,13,3,1,4,1,3,5,4,1,3,11,7,1,2,2,3,6,6,3,1,5,2,1,1,2,2,2,5,1,1,1,5,1,1,3,1,1,2,1,2,2,1,2,5,1,2,2,1,8,4,4,3,3,1,2,2,2,3,2,2,1,2,2,1,3,5,2,177,13,2,12,1,2,2,2,3,3,2,1,1,3,1,2,2,1,1,2,1,2,5,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,2,1,2,1,1,4,1,1,4,4,4,4,4,3,4,2,3,3,4,2,2,22,744,0
1,177,14,3,1,4,1,3,5,4,1,4,10,7,8,2,2,2,6,7,2,2,1,1,1,1,1,1,2,5,0,1,1,11,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,7,4,4,2,1,2,2,2,1,2,2,2,1,2,1,4,1,5,2,177,14,4,12,1,1,2,1,3,4,1,1,1,2,8,1,1,1,1,2,2,2,12,5,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,4,2,3,2,1,3,3,1,2,21,677,0
1,177,15,1,1,4,1,3,4,4,1,4,7,6,1,3,4,6,5,0,1,2,2,1,0,1,2,2,3,5,1,1,1,5,1,4,5,5,2,3,1,1,1,1,1,1,1,4,3,4,1,4,4,3,3,1,1,1,2,1,3,4,1,3,3,2,1,2,2,177,15,3,10,1,1,1,1,1,4,1,1,2,4,5,1,5,1,1,3,1,3,2,5,1,1,2,1,2,2,2,2,2,1,1,3,1,5,2,2,1,1,2,1,1,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,22,839,0
1,177,16,1,1,4,1,3,5,4,1,0,10,5,1,1,4,6,6,0,2,2,3,1,1,1,2,1,2,5,1,1,1,5,4,2,1,5,2,1,1,2,4,3,1,0,1,2,2,0,12,0,5,0,5,5,0,0,2,1,3,1,3,2,2,1,3,5,2,177,16,1,12,1,4,2,2,2,3,2,1,2,5,12,2,6,5,1,2,1,2,12,5,2,3,2,0,4,5,4,0,0,0,0,5,4,7,3,3,0,6,4,5,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,5,32,669,0
1,177,17,2,2,4,1,4,5,5,2,11,11,7,5,6,1,7,6,6,4,2,1,6,1,1,2,1,2,5,0,1,1,12,4,0,3,1,1,2,1,2,0,0,0,0,0,4,4,1,12,4,4,1,3,2,3,2,3,3,3,3,3,1,1,4,1,5,2,177,17,3,12,2,3,4,4,3,4,2,1,2,4,3,2,2,1,3,3,2,5,12,5,3,3,3,3,3,3,2,3,2,1,3,3,1,5,2,2,1,2,2,5,3,3,3,3,3,3,3,3,2,3,3,1,2,3,2,2,36,422,0
1,177,18,3,2,4,1,4,5,4,1,5,7,8,8,7,1,7,6,3,3,2,3,1,1,1,1,2,3,5,1,1,1,5,4,1,3,3,1,4,4,2,1,0,2,5,1,3,4,4,12,4,4,2,2,4,1,2,2,1,1,5,5,1,1,2,3,5,2,177,18,4,12,2,1,1,1,5,1,1,1,2,2,12,4,2,3,1,1,3,3,10,1,1,3,3,2,2,2,2,3,3,2,2,1,1,5,2,2,1,1,2,1,2,2,2,2,2,3,3,2,2,2,2,1,2,3,3,1,27,832,0
1,177,19,3,2,4,1,4,5,4,1,7,9,8,8,7,2,2,6,9,1,1,3,1,1,1,1,1,2,5,1,1,1,12,1,1,1,5,2,1,1,2,4,2,5,4,1,2,2,1,12,4,4,3,3,4,1,1,2,2,1,3,1,3,2,1,2,1,2,177,19,3,12,2,3,3,2,1,1,1,1,3,4,12,1,1,2,1,3,1,2,12,2,2,3,2,2,1,2,2,3,2,2,1,2,2,6,2,2,1,1,2,1,1,4,4,4,4,4,4,4,2,2,3,3,3,3,2,1,44,750,0
1,177,20,3,2,4,2,3,4,4,1,3,8,6,3,2,4,6,8,5,3,2,3,3,1,1,2,2,2,5,1,3,3,12,0,0,0,0,5,0,0,2,5,5,4,3,1,2,2,1,11,4,4,3,3,1,2,2,1,3,2,3,2,2,2,2,3,5,2,177,20,3,12,1,3,1,2,2,3,1,1,2,3,5,3,1,1,1,3,2,2,1,5,1,3,3,3,1,3,3,3,2,3,1,3,2,5,2,2,1,1,2,1,2,3,2,3,1,3,2,1,2,4,2,1,2,3,3,1,21,473,0
1,177,21,1,2,4,1,4,5,4,1,5,6,8,1,1,4,6,5,7,3,2,1,2,3,3,1,2,1,5,1,2,1,5,1,1,3,1,1,3,2,2,3,5,5,2,4,3,4,2,12,1,2,4,1,1,2,1,1,1,1,3,0,2,1,3,3,6,2,177,21,3,12,1,0,0,1,0,5,6,5,6,6,12,5,6,1,1,2,1,5,12,6,2,2,2,2,2,5,4,0,0,2,1,3,4,5,2,2,2,3,4,3,3,3,3,3,3,3,3,2,2,3,2,1,1,2,1,1,27,872,0
1,177,22,1,2,4,1,5,4,4,1,3,8,6,2,1,3,6,5,6,3,1,5,1,1,1,2,2,1,5,1,1,1,1,1,2,1,5,1,1,1,1,3,2,2,2,2,2,2,1,4,1,4,2,2,4,2,2,1,1,2,2,3,2,3,1,1,1,2,177,22,1,2,1,2,2,2,2,2,2,1,2,5,12,4,3,2,1,2,2,2,12,1,1,3,1,2,2,3,2,3,2,2,2,3,2,1,2,2,1,1,2,1,2,4,4,4,4,4,4,2,2,3,5,1,3,3,2,1,21,610,0
1,177,23,1,2,4,1,4,5,4,2,11,10,6,3,3,7,7,6,11,3,1,5,6,3,1,2,2,2,5,2,2,1,8,1,4,1,3,2,2,1,4,5,2,5,5,2,4,4,1,1,4,1,6,1,4,1,1,2,1,3,3,3,3,2,4,3,1,2,177,23,3,7,2,4,4,5,3,4,1,1,2,1,6,1,3,1,1,2,1,2,5,1,1,3,1,2,2,1,1,3,2,2,2,2,1,7,2,2,1,1,1,1,1,4,1,4,4,4,4,1,1,1,4,4,3,4,1,2,21,672,0
1,177,24,1,2,4,1,3,5,4,1,0,7,6,1,1,4,6,3,11,3,2,1,1,1,2,1,2,1,0,2,1,2,12,1,2,5,3,3,2,1,2,2,3,5,1,1,3,2,2,12,1,1,4,3,5,3,2,2,1,2,3,1,2,1,0,2,1,2,177,24,2,12,2,2,0,2,3,2,2,1,2,6,12,2,2,2,1,2,3,1,12,5,2,3,2,2,2,3,2,2,2,3,2,3,2,6,2,2,1,2,1,1,2,1,2,1,2,4,3,1,3,2,4,3,2,2,3,1,21,418,0
1,177,25,1,2,4,1,4,4,4,2,0,10,7,8,7,4,8,6,6,3,2,2,1,1,1,2,2,3,5,1,1,1,7,3,2,1,4,2,1,1,2,2,3,1,2,1,3,3,1,12,4,4,1,1,4,1,1,2,1,2,2,5,2,1,3,1,1,2,177,25,3,3,1,1,2,2,2,2,2,1,1,5,12,1,2,2,1,2,3,2,7,5,3,3,2,3,3,2,2,3,2,2,2,2,2,5,2,2,1,1,2,2,1,4,4,4,4,4,4,4,1,2,2,2,3,2,1,2,54,414,0
1,177,26,1,2,4,1,4,4,4,1,6,11,8,8,7,3,9,6,10,2,1,3,1,1,1,1,2,1,4,1,1,1,2,1,4,2,5,1,4,1,1,5,2,1,5,1,1,2,1,12,4,4,3,3,1,3,2,1,1,3,2,3,3,2,3,1,6,2,177,26,4,10,1,4,1,2,2,5,6,1,1,5,6,1,5,5,1,1,1,5,11,1,1,2,1,1,2,2,3,3,1,1,2,1,4,6,2,2,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,2,1,2,2,1,56,889,0
1,177,27,1,2,4,1,4,4,4,1,2,7,6,3,1,4,6,4,5,3,2,1,4,1,1,2,2,3,5,1,1,1,5,1,2,5,3,2,2,1,2,3,3,2,2,1,3,2,1,7,4,4,1,1,2,2,2,2,1,2,2,2,2,1,2,2,5,2,177,27,4,1,2,3,4,4,3,3,2,1,2,2,1,4,4,2,1,2,3,3,3,1,2,3,3,3,3,3,3,3,2,2,2,2,1,1,1,2,1,2,2,1,1,2,1,2,1,2,2,2,3,3,2,3,3,4,3,1,36,438,0
1,177,28,1,2,4,1,5,6,4,1,8,4,7,1,1,3,5,5,11,3,2,3,1,1,1,2,2,2,5,2,1,1,1,3,4,4,4,2,4,1,2,3,2,5,1,1,2,2,1,6,4,4,2,3,2,3,2,1,3,2,1,4,2,2,3,2,6,2,177,28,2,12,1,2,2,5,2,4,2,1,1,3,3,2,3,1,1,3,3,4,4,5,2,3,3,2,3,3,3,3,3,1,2,1,3,6,2,2,2,1,1,1,3,2,3,3,3,2,3,2,2,2,2,1,2,2,2,1,56,892,0
1,177,29,1,2,4,1,2,4,4,1,5,6,7,1,3,1,5,5,11,3,1,5,1,1,1,2,2,3,5,1,1,1,5,4,4,5,3,1,2,3,2,2,2,4,2,1,2,4,4,12,4,4,3,3,4,3,2,2,1,2,2,0,2,2,4,1,5,2,177,29,4,11,1,2,2,2,2,4,5,1,2,2,1,4,3,3,2,1,3,2,12,5,2,2,2,2,2,3,1,3,2,2,2,3,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,3,2,2,2,43,610,0
1,177,30,1,2,4,1,3,4,4,1,6,10,7,8,7,3,7,6,6,3,2,3,4,1,1,2,2,2,5,2,1,1,5,1,1,4,2,3,3,1,1,1,5,1,5,1,1,2,1,6,4,1,3,2,4,3,1,2,2,3,2,1,2,3,3,3,5,2,177,30,1,6,2,2,1,5,4,1,1,3,4,3,2,1,3,1,1,3,1,2,5,4,3,2,3,2,1,3,3,3,1,1,1,2,1,2,2,2,1,1,2,2,4,1,4,4,4,4,4,1,3,3,3,3,3,4,2,1,43,647,0
1,177,31,1,2,4,1,3,4,4,1,3,9,5,3,1,3,6,4,7,3,1,5,2,1,0,2,2,1,5,1,1,1,4,1,2,4,3,1,2,1,2,2,2,1,2,1,2,2,1,8,4,4,2,1,2,2,2,1,2,2,2,2,2,2,3,2,1,2,177,31,2,1,1,2,2,2,3,3,1,2,1,4,12,2,1,3,2,2,2,4,2,5,2,3,3,3,3,3,3,3,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,3,1,1,2,1,2,22,759,0
1,177,32,1,2,4,1,6,6,4,1,3,8,7,1,5,2,3,6,5,2,2,2,4,1,1,1,0,2,5,2,1,1,7,1,3,3,5,4,4,1,2,3,5,5,2,1,2,2,1,8,4,1,3,2,4,3,2,2,2,2,1,2,2,2,2,2,6,2,177,32,4,11,2,4,3,4,2,3,3,1,4,3,12,2,1,2,1,2,2,2,12,6,3,3,2,0,3,3,3,3,2,1,3,3,2,5,2,2,1,1,2,2,1,1,1,1,3,1,4,1,2,2,2,3,2,2,1,1,56,914,0
1,177,33,1,2,4,1,4,5,4,1,4,9,7,2,2,3,6,5,6,1,2,2,1,1,1,1,1,2,5,1,1,1,2,1,2,1,3,1,2,1,1,1,3,5,3,1,3,2,1,2,4,4,3,1,4,2,1,2,3,2,2,3,2,2,4,1,1,2,177,33,4,12,2,4,4,5,2,3,5,2,5,4,8,2,1,1,1,2,2,2,2,1,3,3,3,3,3,3,3,2,1,1,2,2,2,5,2,2,1,1,3,2,2,2,1,2,1,3,3,3,2,3,4,1,2,2,3,1,36,492,0
1,177,34,1,2,4,1,3,4,4,1,11,6,7,8,7,4,7,6,8,2,1,5,1,1,1,2,1,2,5,2,1,1,12,1,2,1,3,2,3,1,1,5,2,2,5,1,2,2,1,7,4,4,4,3,4,3,2,2,2,2,2,1,1,1,1,2,5,2,177,34,2,12,2,2,3,4,3,2,1,1,2,4,3,1,1,2,2,2,1,2,12,1,2,2,3,2,3,1,3,2,2,1,2,1,1,5,1,2,1,1,2,1,4,4,4,4,4,4,4,4,2,4,3,1,2,5,1,3,56,879,0
1,177,35,1,2,4,1,3,4,4,1,11,5,7,2,2,3,6,5,0,3,2,2,1,1,1,2,1,3,1,1,1,2,12,1,2,1,3,4,3,1,2,5,2,2,1,1,3,2,1,1,4,4,2,1,3,3,2,1,3,2,3,3,1,1,4,1,6,2,177,35,4,1,1,1,2,1,2,3,1,1,1,3,12,2,1,1,2,2,4,4,12,5,2,3,3,3,2,3,2,3,3,2,2,2,2,6,2,2,1,2,2,3,2,1,2,2,2,4,2,1,3,3,3,3,2,3,3,2,55,747,0
1,177,36,1,2,4,1,4,5,4,1,6,9,7,8,7,1,8,6,8,0,2,2,1,1,1,0,1,2,3,3,1,1,7,1,4,4,5,3,2,1,3,4,2,4,2,1,3,2,1,4,1,4,1,1,4,3,4,1,2,4,4,1,3,3,2,3,6,2,177,36,1,1,3,5,4,5,4,1,3,1,4,3,12,1,1,1,1,2,2,2,7,5,1,3,2,1,3,2,1,3,2,2,3,2,2,5,1,1,3,1,1,1,2,2,3,2,2,2,3,2,3,3,3,1,3,4,2,1,27,812,0
1,177,37,1,2,4,1,3,4,4,1,5,11,7,8,7,4,6,6,3,4,2,2,1,1,1,2,2,1,5,1,1,1,8,1,4,1,5,2,3,1,1,3,3,3,1,1,4,2,1,6,4,4,3,1,4,1,2,2,2,3,3,2,2,1,2,1,3,2,177,37,2,1,1,1,3,5,3,1,1,1,1,2,3,1,1,1,1,3,1,4,3,4,1,3,1,1,1,1,3,1,1,1,1,1,3,1,1,1,4,5,1,1,4,4,4,4,4,4,4,1,3,4,1,1,3,4,2,3,55,458,0
1,177,38,1,2,4,3,3,5,4,2,4,10,8,8,7,3,6,5,7,3,2,2,1,1,1,2,2,2,4,3,1,1,5,3,3,5,5,3,1,1,2,1,3,3,4,1,1,2,1,8,4,4,1,1,3,2,2,2,1,3,3,1,2,2,1,2,5,2,177,38,3,1,2,4,2,4,3,4,1,1,1,1,11,1,5,4,1,4,3,3,10,5,2,3,3,3,1,2,1,3,2,2,1,3,3,5,2,2,1,1,2,1,3,3,3,3,3,3,4,4,2,3,3,1,3,4,1,1,27,951,0
1,177,39,1,2,4,2,2,3,4,1,7,5,7,2,1,1,5,4,5,2,2,1,1,1,1,2,2,2,5,1,2,2,12,1,4,1,3,3,3,1,2,5,0,0,0,0,4,2,1,6,4,4,3,3,4,3,3,2,3,4,3,2,3,1,2,2,2,2,177,39,3,7,1,2,4,4,3,4,1,1,3,4,4,1,1,2,1,2,3,3,1,2,2,3,3,2,2,3,3,3,2,2,2,1,1,5,2,2,1,2,2,1,1,1,2,3,2,3,3,2,2,4,3,2,3,3,2,3,22,718,0
1,177,40,1,2,4,2,3,4,4,1,4,10,7,8,7,3,7,6,7,2,2,1,1,1,1,2,2,2,5,3,1,1,7,1,3,5,4,3,2,1,2,2,5,5,5,1,4,4,1,3,4,4,2,3,2,3,4,2,1,2,2,3,2,2,2,3,3,2,177,40,2,2,2,3,5,5,3,4,2,2,2,3,1,4,2,4,1,2,2,4,7,1,2,1,2,2,2,1,2,2,1,2,2,1,1,5,1,2,2,2,1,2,1,1,2,3,1,2,2,1,2,3,2,3,3,3,1,2,55,767,0
1,177,41,1,2,4,2,4,4,4,1,4,6,7,1,2,1,6,5,5,4,3,3,3,1,1,2,2,2,5,1,1,1,5,2,5,5,5,2,2,1,2,2,2,1,3,1,1,2,1,8,1,4,2,1,2,4,3,2,1,1,2,1,2,2,1,2,6,2,177,41,1,11,1,2,3,2,3,4,1,1,5,4,1,2,5,2,1,1,3,1,3,5,2,3,3,2,3,3,3,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,3,4,2,2,3,3,2,3,2,1,1,43,619,0
1,177,42,1,2,4,2,4,4,4,1,3,6,7,2,2,4,6,5,10,2,2,3,4,1,1,2,2,2,5,1,1,1,11,1,5,5,3,2,2,1,2,2,2,3,1,1,3,4,1,8,4,4,2,3,4,2,2,2,1,2,2,3,2,1,2,3,2,2,177,42,4,2,2,0,0,2,3,2,1,1,2,5,12,2,3,2,1,2,2,3,12,1,2,3,2,3,3,4,2,2,2,2,3,3,2,5,2,2,1,1,2,2,2,2,2,2,2,3,2,2,3,4,3,2,3,3,2,1,22,732,0
1,177,43,1,2,4,2,5,5,4,1,7,7,8,8,7,2,9,6,6,3,2,3,1,1,1,2,2,0,5,2,1,1,5,1,3,3,4,2,2,3,1,4,2,2,5,1,4,4,1,1,1,4,2,3,4,1,2,2,1,2,2,3,2,2,3,3,1,2,177,43,3,1,2,4,2,4,3,3,2,1,2,2,6,4,1,2,2,3,1,3,12,5,1,2,2,2,2,1,2,2,2,1,2,2,2,7,2,2,1,1,1,1,4,4,4,4,4,1,4,4,2,2,3,3,3,4,2,3,32,416,0
1,177,44,1,2,4,2,3,4,4,1,3,6,7,2,1,4,6,5,0,3,2,1,1,1,1,0,2,3,0,1,1,3,12,1,2,1,3,4,3,3,2,1,2,1,1,1,4,2,1,1,4,4,2,1,3,1,1,2,1,2,2,4,1,1,4,1,0,2,177,44,2,12,1,1,2,1,1,2,1,1,1,3,12,1,1,1,1,2,4,4,2,5,2,3,3,3,3,3,2,2,2,2,2,2,2,5,2,2,1,1,2,2,2,2,2,3,2,2,3,1,2,4,3,1,3,4,2,1,55,737,0
1,177,45,1,2,4,1,4,4,4,1,11,10,7,8,7,4,8,6,7,2,2,2,1,1,1,2,1,2,5,1,1,1,1,1,2,2,2,1,4,1,2,3,1,3,4,1,2,2,1,12,4,4,1,2,1,1,2,1,3,2,3,1,2,2,3,3,1,2,177,45,4,12,1,4,4,4,3,3,2,1,2,4,12,2,4,5,4,4,5,5,12,6,0,0,0,0,4,5,4,0,0,0,0,5,4,6,1,2,1,1,2,2,2,4,1,3,2,3,3,1,3,2,3,1,3,3,3,3,55,449,0
1,177,46,1,2,4,2,2,4,4,1,4,4,5,4,4,1,5,4,1,4,2,2,1,1,1,2,2,3,5,2,2,2,12,1,2,4,2,1,2,3,2,5,1,4,5,1,2,4,4,12,4,4,3,1,2,2,1,1,1,2,3,0,2,3,1,1,5,2,177,46,3,2,1,2,2,2,2,4,1,1,1,5,9,2,3,5,4,4,5,5,12,6,0,0,0,0,4,5,4,0,0,0,0,5,4,5,2,2,1,1,1,1,3,3,2,3,3,3,3,1,1,4,3,1,3,3,1,1,55,731,0
