CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.5..1,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.9C.,Q.9D.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26A.,Q.26B.,Q.27.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.31A.,Q.31B.,Q.31C.,Q.31D.,Q.31E.,Q.31F.,Q.31G.,Q.31H.,Q.31I.,Q.31J.,Q.31K.,Q.31L.,Q.31M.,Q.31N.,Q.31O.,Q.31P.,Q.31Q.,Q.31R.,Q.31S.,Q.31T.,Q.32.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.36A.,Q.36B.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.36C.,Q.36D.,Q.36E.,Q.36F.,Q.36G.,Q.36H.,Q.36I.,Q.37A.,Q.37B.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44.,Q.47A.,Q.47B.,Q.47C.,Q.47D.,Q.47E.,Q.49.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.51A.,Q.51B.,Q.53A.,Q.53B.,Q.54A.,Q.54B.,Q.54C.,Q.54D.,Q.54E.,Q.55A.,Q.55B.,Q.56.,Q.57.,Q.58.,Q.58..1,Q.58..2,Q.58..3,Q.58..4,Q.58..5,Q.58..6,Q.58..7,Q.58..8,Q.58..9,Q.58..10,Q.58..11,Q.58..12,Q.59.,Q.60A.,Q.60B.,Q.61A.,Q.61A..1,Q.61B.
1,101,11,2,1,3,3,4,3,3,130,4,2,1,2,1,1,1,2,2,1,1,2,3,1,1,2,1,3,2,2,2,2,2,2,4,1,1,1,2,1,1,4,1,4,2,4,4,1,2,4,1,4,1,1,1,1,4,4,2,1,1,4,1,2,3,3,1,1,2,101,11,2,3,3,1,1,3,3,3,1,1,1,5,3,1,1,2,2,4,4,4,4,4,4,4,4,1,1,1,3,5,5,4,1,2,1,2,1,1,2,1,99,30,65,5,0,2,3,3,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,6,3,4,5,4
1,101,12,2,2,3,1,3,3,4,85,4,4,1,2,1,2,1,1,1,2,1,2,2,2,3,1,2,2,2,2,1,1,2,2,3,1,1,1,2,1,1,4,2,1,2,1,4,1,1,4,4,4,1,2,2,4,4,1,2,4,3,4,1,2,3,3,2,1,2,101,12,2,3,2,1,1,3,2,1,1,1,1,2,3,1,2,2,1,1,4,4,4,4,4,4,1,1,1,2,4,4,1,3,1,2,1,2,1,1,1,1,0,0,90,5,5,1,1,4,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,4,3,3
1,101,13,2,3,4,2,4,7,1,190,4,2,1,1,1,2,1,2,1,2,1,2,3,1,2,8,1,2,2,7,2,2,2,1,1,1,1,2,2,2,2,4,4,4,1,4,4,4,1,4,4,4,4,4,4,4,1,4,2,1,5,4,1,4,3,3,1,1,2,101,13,2,3,3,1,1,3,3,3,1,1,1,1,1,1,1,2,2,4,3,4,4,3,4,4,4,1,2,2,3,4,3,3,1,2,1,2,1,1,1,1,5,20,75,0,0,1,1,4,4,2,2,2,2,1,2,2,2,2,2,2,2,1,3,1,1,2,4,4
1,101,14,2,3,4,3,4,5,2,120,4,4,1,2,1,1,1,2,2,2,1,2,3,1,2,4,1,2,2,2,1,2,1,1,5,1,1,4,2,4,2,4,4,1,2,4,4,4,4,1,4,1,1,1,4,4,4,1,0,4,5,2,2,0,3,3,1,1,2,101,14,2,1,3,1,1,1,3,1,1,1,2,5,3,1,1,1,4,4,4,4,4,4,4,4,4,1,3,1,1,3,1,4,2,2,2,2,3,3,1,1,0,0,0,0,0,1,1,1,4,2,2,2,2,1,2,2,2,2,2,2,2,1,5,0,6,4,2,4
1,101,15,2,3,5,2,2,5,4,37,4,4,1,3,1,3,1,3,1,1,1,2,2,1,3,8,2,2,2,3,2,1,2,2,4,1,2,1,2,1,1,4,4,4,2,1,1,2,1,1,1,4,2,2,4,4,4,4,4,4,5,2,2,3,2,2,1,1,2,101,15,2,2,1,1,1,1,1,3,1,1,2,2,3,1,3,2,2,4,4,4,4,4,4,4,4,1,3,1,3,2,1,4,1,3,2,3,0,1,1,2,0,10,90,0,0,2,1,2,4,2,2,2,1,2,2,2,2,1,2,2,2,2,1,3,3,0,0,1
1,101,16,2,2,2,1,4,1,4,60,4,13,1,1,1,2,3,4,1,1,1,2,2,1,3,1,2,2,2,3,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,4,2,1,1,1,1,1,2,1,1,1,1,1,1,2,4,2,2,1,3,3,1,1,2,101,16,2,1,3,1,1,2,3,3,2,4,1,2,3,1,1,2,4,2,4,2,4,1,4,4,2,1,1,1,1,2,1,2,1,3,1,3,1,1,1,2,10,20,50,10,10,1,1,2,3,2,2,2,2,1,2,2,2,2,1,2,2,2,2,6,1,4,0,3
1,101,17,2,2,3,1,4,6,3,60,4,4,1,2,1,2,2,2,1,2,2,2,2,2,2,4,1,2,2,4,2,1,2,2,4,2,2,2,2,1,2,4,1,1,2,1,4,1,1,4,1,1,1,1,2,1,1,1,2,1,1,2,3,3,3,2,1,1,2,101,17,2,1,3,1,1,2,1,3,1,1,1,1,1,1,1,2,1,4,3,4,3,2,4,4,4,1,2,5,5,3,1,2,1,2,1,2,2,1,1,1,10,20,60,5,5,2,1,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,4,2,4
1,101,18,2,2,3,1,4,12,2,150,4,2,1,2,1,3,1,1,1,1,1,2,2,1,1,8,2,2,2,2,1,1,2,1,3,1,1,1,2,1,1,4,1,4,2,4,4,4,1,4,4,4,1,1,1,4,4,4,1,1,5,3,3,3,3,3,1,1,2,101,18,2,3,3,1,1,1,3,1,1,1,1,5,3,1,1,2,2,4,4,1,4,1,4,4,4,1,5,1,2,2,3,3,1,3,1,3,1,1,1,2,10,60,20,10,0,1,1,3,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1
1,101,19,2,2,3,1,2,5,4,25,4,4,1,2,1,1,1,1,1,1,1,2,2,1,1,4,1,3,2,2,1,2,2,2,3,1,1,1,1,1,1,4,1,1,2,1,2,1,1,4,1,4,2,1,1,4,4,1,2,1,2,4,3,1,3,2,3,1,2,101,19,2,3,3,1,1,2,1,3,2,1,1,1,3,1,3,4,2,4,4,4,4,3,4,4,4,1,1,1,2,5,5,4,1,2,1,1,1,1,1,2,0,75,25,0,0,1,3,3,3,2,2,1,2,2,2,2,2,2,2,2,1,2,1,6,6,4,3,1
1,101,20,2,2,3,1,3,7,4,21,4,14,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,4,9,2,2,3,2,3,1,1,2,2,2,2,1,1,4,2,2,1,4,4,4,4,1,2,1,4,4,4,4,1,4,5,2,1,4,3,2,3,1,2,101,20,2,2,1,1,1,2,2,3,2,1,1,2,1,1,4,1,4,4,1,3,4,4,4,4,4,1,5,1,4,2,1,4,3,3,2,3,1,1,1,1,1,1,33,33,32,3,1,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2
1,101,21,2,3,4,1,4,5,2,159,4,9,1,2,1,2,1,1,1,1,3,2,2,3,0,2,1,2,4,3,1,1,2,2,6,3,2,2,3,1,1,1,3,1,3,1,1,1,1,4,1,1,3,1,1,1,4,1,3,1,1,2,1,1,3,3,2,1,2,101,21,2,1,1,1,1,2,2,3,1,2,3,2,1,1,1,1,1,4,4,2,4,4,4,4,4,3,5,1,3,1,1,3,2,2,2,2,2,1,1,1,1,4,95,0,0,2,3,3,1,2,2,2,2,2,2,1,2,2,1,2,2,2,3,1,1,4,3,4
1,101,22,2,3,5,1,3,4,4,2,4,4,1,2,1,1,3,0,1,1,1,2,0,2,0,8,3,1,4,3,2,1,2,2,2,1,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,3,1,1,2,101,22,2,2,3,1,1,2,2,3,3,4,2,1,1,1,1,1,1,2,4,4,4,2,4,4,2,1,5,1,5,5,1,2,3,2,3,2,1,1,1,1,2,5,70,10,13,2,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,4,2,3,4,3,4
1,101,23,2,2,3,1,3,2,4,75,4,9,1,2,1,2,3,4,2,1,2,2,2,1,2,1,1,1,4,3,1,2,2,2,3,1,2,2,2,2,2,2,1,1,3,4,4,1,1,4,1,1,1,1,1,1,1,1,2,1,1,3,1,3,2,1,1,1,2,101,23,2,1,1,1,1,1,1,1,1,3,2,2,1,3,2,2,2,3,1,4,4,4,4,4,2,3,5,1,2,2,2,1,2,3,1,2,1,1,1,2,10,10,50,20,10,2,3,3,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,3,1
1,101,24,2,3,5,1,4,5,4,15,4,7,1,3,1,1,1,4,1,1,1,2,2,1,3,1,1,2,4,3,2,2,2,2,3,2,5,1,2,1,2,4,1,2,3,4,4,4,4,1,4,4,1,4,4,4,4,4,3,2,5,4,1,3,3,2,1,1,2,101,24,2,1,1,1,1,2,1,1,2,1,1,1,3,1,1,1,1,2,2,4,4,4,4,4,2,1,1,1,1,3,2,3,1,3,1,4,1,3,1,1,0,10,90,0,0,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,5,1
1,101,25,2,3,4,2,2,5,4,28,4,9,1,1,1,1,3,3,2,1,1,1,3,1,1,8,1,3,4,9,2,2,2,2,3,1,1,1,1,1,1,4,4,2,3,4,4,4,1,1,1,4,1,1,4,4,4,4,4,4,5,4,1,3,3,3,1,1,2,101,25,2,1,2,1,1,2,1,3,1,3,2,5,3,3,3,2,2,4,4,1,4,1,4,4,1,1,1,1,1,3,1,4,1,2,1,2,1,1,1,2,47,47,6,0,0,1,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,4,3,4
1,101,26,2,2,5,1,4,7,3,150,4,9,1,2,1,2,1,2,2,1,2,2,3,2,3,2,2,2,4,3,1,2,3,2,5,3,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,4,1,2,3,1,3,3,2,2,2,1,1,2,101,26,2,1,1,2,1,2,2,3,0,3,1,5,1,1,1,4,4,4,4,2,4,4,4,4,4,1,2,1,5,5,4,3,1,1,1,2,1,2,1,2,0,10,70,20,0,1,1,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,1,5,2,4,3,4
1,101,27,2,2,3,3,4,2,4,85,4,4,1,2,1,2,1,2,2,1,2,2,2,3,2,8,2,1,1,3,2,1,3,2,1,2,2,1,2,1,1,2,1,1,3,4,3,2,4,1,2,2,3,2,2,4,4,1,3,3,3,1,1,4,3,2,2,1,2,101,27,2,1,1,1,1,2,3,3,1,4,2,2,1,1,2,2,1,4,0,0,0,1,0,2,0,1,5,2,4,4,1,2,2,3,2,4,1,2,1,2,0,0,0,0,98,3,2,1,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2
1,101,28,2,1,3,2,4,7,4,100,4,9,1,2,1,2,1,1,2,1,1,2,2,1,3,1,1,1,1,2,2,2,2,2,4,1,1,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,3,1,1,1,3,1,2,2,3,1,1,1,3,3,3,1,2,101,28,2,3,3,1,1,2,3,3,1,1,1,1,1,0,1,2,1,4,2,2,4,4,2,2,2,1,1,1,3,2,2,2,2,2,2,2,1,1,1,1,10,10,50,30,0,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0
1,101,29,2,3,5,1,3,5,4,10,4,0,1,2,1,1,3,4,2,2,2,2,2,2,2,10,2,2,1,3,2,1,2,2,3,3,2,1,3,1,1,1,2,1,3,1,4,1,2,1,2,2,1,1,2,1,4,1,3,2,2,3,1,1,3,2,1,1,2,101,29,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,4,4,4,4,3,4,4,4,4,4,3,5,1,5,2,2,2,2,3,2,4,1,2,2,2,0,10,10,80,0,1,4,3,3,2,2,1,2,2,2,2,2,2,2,2,1,2,3,6,1,4,0,5
1,101,30,2,1,4,3,4,12,3,90,4,4,1,2,1,3,2,1,1,1,2,2,3,3,3,7,1,2,1,2,2,1,3,2,2,1,1,1,2,1,1,3,2,4,2,1,3,2,3,2,3,4,3,4,2,4,4,4,3,4,4,4,1,1,3,3,2,1,2,101,30,2,1,1,1,1,2,1,3,1,2,1,4,3,1,3,4,4,4,4,4,4,4,4,4,4,1,5,1,5,2,5,2,2,2,1,1,2,1,2,2,2,10,50,30,8,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,3,5,1,4,3,4
1,101,31,2,3,5,1,2,5,4,28,4,4,1,2,1,2,1,1,2,1,1,2,2,2,2,4,2,2,1,7,3,1,2,2,1,2,3,2,2,2,2,2,4,2,1,4,4,1,4,4,1,4,1,1,1,1,1,4,3,4,1,4,1,3,3,3,1,1,2,101,31,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,1,5,5,5,5,1,4,1,2,2,2,1,1,1,2,1,75,0,0,24,1,1,3,3,2,2,2,1,2,2,2,1,2,2,2,2,2,3,6,3,4,3,4
1,101,32,2,3,0,2,4,5,4,30,4,9,1,2,1,3,1,3,2,2,2,2,3,3,1,2,1,2,1,3,2,2,2,2,0,2,1,1,2,1,1,1,1,1,3,2,1,2,2,1,2,2,2,1,3,1,1,2,2,2,1,4,1,4,3,3,1,1,2,101,32,2,1,0,1,1,3,2,1,1,2,2,5,2,2,3,2,2,3,3,2,4,4,4,4,4,1,1,1,3,1,1,2,1,3,2,3,2,1,1,2,0,0,85,10,5,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,3,4
1,101,33,2,2,4,1,4,6,3,80,4,9,1,1,1,3,3,4,3,3,1,3,2,3,3,2,1,2,1,5,1,2,2,2,5,2,2,2,2,2,1,3,3,2,2,4,3,2,1,2,4,4,3,4,4,1,2,1,3,4,5,2,2,1,3,2,2,2,2,101,33,2,2,2,1,1,2,3,3,1,1,2,1,1,1,3,2,4,4,3,4,4,4,4,4,4,2,1,1,5,5,1,3,1,3,2,3,2,1,1,2,0,0,0,0,98,1,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,4,3,5
1,101,34,2,2,1,1,2,5,4,33,4,2,1,2,1,3,1,3,1,1,2,2,3,1,1,0,2,2,1,3,1,2,1,1,1,2,3,1,2,1,1,2,1,4,2,1,1,1,1,4,1,2,2,4,2,2,4,4,1,2,2,4,2,3,3,3,1,1,2,101,34,2,1,3,1,1,2,2,1,2,3,1,5,1,1,1,4,4,4,3,4,4,3,4,4,4,1,2,2,2,1,3,1,1,1,1,1,1,1,1,2,0,0,50,0,50,2,3,3,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,3,1
1,101,35,2,3,4,1,4,12,1,165,4,10,1,1,1,1,1,1,3,1,2,2,2,3,3,2,2,2,1,4,2,2,2,2,3,2,2,4,3,2,1,1,3,2,3,2,1,1,2,2,1,2,3,3,2,2,1,2,3,3,3,3,3,1,3,3,1,1,2,101,35,2,1,2,1,1,2,2,1,1,2,3,2,1,1,2,1,1,4,3,4,4,4,4,4,4,1,4,1,4,4,1,0,1,4,1,4,1,1,1,1,1,3,5,90,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,6,3,4,1,4
1,101,36,2,2,5,1,4,6,3,105,4,10,1,3,1,3,1,1,2,1,1,3,3,1,3,4,2,1,1,3,1,1,2,1,1,1,1,1,3,1,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,3,1,3,2,1,1,2,101,36,2,2,2,1,1,2,3,3,1,3,2,2,3,1,4,1,1,2,2,2,4,3,4,4,4,1,2,1,5,5,1,2,2,4,2,3,1,2,1,2,0,10,70,20,0,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,1,4
1,101,37,2,3,5,1,2,5,4,25,4,8,1,3,3,2,1,1,2,3,2,3,2,2,3,8,2,2,0,0,2,2,3,2,3,2,2,2,2,2,1,4,2,4,3,4,1,2,3,4,2,2,1,2,4,4,4,2,3,4,2,3,3,1,3,2,2,1,2,101,37,2,3,2,1,1,2,3,1,2,4,2,1,3,1,4,2,2,4,2,4,4,4,4,4,1,1,3,1,5,5,5,1,1,4,1,3,3,1,1,1,1,10,89,0,0,2,3,4,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,4,0,4
1,101,38,2,2,3,1,4,5,4,10,4,10,1,1,3,3,1,3,1,1,1,2,3,3,3,4,3,2,0,2,2,1,0,2,5,3,3,4,3,3,3,3,4,4,3,3,2,3,4,3,2,1,2,3,4,3,2,3,3,4,5,1,1,4,2,3,3,1,2,101,38,2,2,3,1,1,2,3,3,1,1,3,3,3,3,1,2,4,4,4,4,4,2,4,4,4,3,1,2,5,5,1,2,1,5,1,3,3,1,1,2,2,10,20,10,58,1,1,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,3,6,6,4,0,4
1,101,39,2,1,4,1,4,6,3,20,4,3,1,1,3,1,1,1,2,1,3,1,2,2,3,2,2,3,3,7,2,2,2,2,3,2,2,1,2,1,2,4,2,1,2,1,4,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,3,3,2,1,2,101,39,2,3,3,1,1,2,1,3,2,2,2,1,1,1,4,4,4,4,4,4,4,4,4,4,1,2,5,5,4,4,5,1,2,3,2,0,2,0,1,2,1,10,80,6,3,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,5,4,1,3
1,101,40,2,2,5,1,4,6,3,180,4,4,1,2,3,1,1,1,1,2,1,2,3,3,3,2,2,2,3,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,3,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,4,3,4,3,3,1,1,2,101,40,2,3,3,1,1,3,1,1,1,1,1,1,3,3,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,5,2,1,1,1,2,1,1,2,2,30,50,10,5,5,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,6,6,4,3,1
1,101,41,2,3,4,3,4,2,1,80,4,9,1,2,3,2,1,1,1,1,1,2,3,1,1,4,1,3,3,2,1,1,1,1,3,1,1,1,2,1,1,4,1,4,1,4,4,4,0,4,4,4,1,1,4,4,4,4,1,4,5,4,3,3,3,3,1,1,2,101,41,2,1,1,3,1,2,2,3,1,1,2,1,3,1,3,1,4,4,4,4,4,4,4,4,4,1,1,1,1,2,5,4,1,2,1,2,1,1,2,2,0,0,0,0,0,1,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4
1,101,42,2,2,2,1,4,2,1,120,4,4,1,2,3,1,1,3,1,2,1,1,2,1,3,4,3,1,3,2,1,1,2,2,2,2,2,2,2,2,2,4,4,4,1,4,2,1,4,4,4,1,2,2,4,4,4,1,1,4,5,4,3,4,3,3,1,1,2,101,42,2,2,2,1,1,2,2,1,1,1,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,1,5,1,5,5,5,3,2,2,2,3,1,1,2,2,0,60,30,0,10,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,6,0,4,4
1,101,43,2,2,3,1,2,5,4,20,4,10,1,3,3,1,3,1,2,1,3,3,1,1,2,8,2,1,2,3,2,2,3,2,6,2,2,2,3,2,2,2,4,1,3,4,4,2,2,1,2,2,1,3,3,1,2,2,2,2,1,1,1,1,3,3,3,1,2,101,43,2,1,1,1,1,2,2,3,2,1,1,1,2,1,2,2,2,3,3,2,4,2,2,4,2,1,3,2,4,4,1,2,3,3,3,3,1,1,1,1,0,5,75,20,0,3,3,4,4,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,1,4,3,5
