CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23A.,Q.23B.,Q.23C.,Q.23D.,Q.23E.,Q.23F.,Q.23G.,Q.23H.,Q.23I.,Q.23J.,Q.23K.,Q.24.,Q.25.,Q.26.,Q.27A.,Q.27B.,Q.27C.,Q.27D.,Q.27E.,Q.27F.,Q.27G.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.45..1,Q.45..2,CARD..1,DECK..1,BALLOT..1,FORM..1,X.,X..1,X..2,X..3,X..4,X..5,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.0.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,V.65.,V.66.,V.67.,V.68.,V.69.
1,205,16,4,1,23,0,2,2,1,6,9,3,1,3,1,2,1,3,3,3,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,0,4,0,4,4,1,4,4,3,0,0,2,0,0,0,2,5,0,0,1,2,23,6,3,1,2,1,1,2,2,205,16,4,1,2,2,2,2,2,10,13,3,2,2,3,2,2,3,3,2,1,2,3,0,2,3,2,5,1,1,1,1,2,101
1,205,17,4,2,23,2,1,1,3,6,1,4,1,3,1,4,4,3,3,2,5,5,2,3,0,0,0,0,4,0,0,0,0,0,0,3,3,2,3,3,3,3,2,1,3,3,3,4,4,2,3,4,1,3,3,3,1,4,15,8,1,1,1,2,2,2,2,205,17,4,2,2,2,2,2,1,1,0,3,0,0,0,0,0,1,5,4,1,4,2,0,3,2,1,2,1,1,1,1,1,161
1,205,18,4,1,31,0,2,2,0,0,9,2,4,3,1,2,0,2,1,0,2,2,1,2,0,0,0,0,4,0,0,0,0,0,0,3,2,2,0,0,2,3,0,0,0,3,3,4,4,1,3,5,3,0,2,0,2,2,22,7,2,1,2,1,1,2,2,205,18,4,1,2,2,2,2,2,9,1,3,2,2,3,1,2,1,1,1,1,5,4,0,1,1,2,3,1,1,1,1,2,121
1,205,19,4,4,34,2,1,1,1,6,3,2,3,3,1,3,3,3,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,3,1,1,1,3,3,2,3,1,2,2,1,2,3,4,3,3,22,7,3,1,1,1,2,1,2,205,19,4,2,2,2,2,2,2,13,1,2,3,2,3,2,2,2,4,3,2,5,3,0,2,2,2,3,3,3,1,1,3,311
1,205,20,4,2,21,2,1,1,1,2,1,3,3,2,2,1,2,2,1,3,2,2,2,1,1,1,1,3,1,1,3,3,3,3,0,3,2,2,3,3,2,3,1,3,3,4,3,2,2,2,2,2,1,2,1,2,4,3,15,7,1,1,1,1,1,2,2,205,20,4,1,2,2,2,2,2,3,1,3,2,2,3,2,2,2,2,2,1,4,4,0,2,3,2,3,1,1,1,1,1,101
1,205,21,4,2,23,2,1,1,1,6,1,1,2,1,2,2,3,2,1,3,4,3,2,3,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,3,3,3,1,1,2,3,3,4,4,1,1,1,1,1,3,3,5,1,14,7,3,1,1,1,1,2,2,205,21,4,1,2,2,2,2,2,3,2,1,3,2,3,2,2,3,5,4,4,5,4,0,2,3,2,4,1,1,1,1,1,141
1,205,22,4,2,30,3,11,1,2,1,12,1,4,1,3,2,6,2,1,2,4,0,2,3,1,1,1,2,1,1,1,1,1,1,1,1,3,0,4,3,2,2,3,1,3,5,3,3,2,2,1,1,1,1,3,4,5,2,21,7,3,2,1,2,2,2,2,205,22,4,1,2,2,2,2,2,13,0,1,1,1,3,2,3,1,2,1,1,2,2,0,1,2,2,5,1,3,1,1,6,511
1,205,23,4,1,24,3,11,99,1,6,12,1,3,2,3,5,4,2,2,2,3,0,2,2,1,1,1,2,1,1,1,3,1,1,1,1,2,2,1,2,1,2,1,1,2,2,0,3,6,1,2,2,1,1,3,4,6,2,21,7,2,1,1,1,2,2,2,205,23,4,1,2,2,2,2,2,5,4,2,2,2,3,2,1,1,4,3,2,4,2,0,1,2,3,5,1,3,1,1,6,501
1,205,24,4,3,14,3,1,1,2,5,3,2,3,1,3,4,3,2,2,2,2,7,1,2,1,1,1,1,1,1,1,0,1,1,1,1,2,0,4,4,4,4,4,1,2,2,3,2,4,2,4,2,3,2,1,2,2,4,6,7,2,1,1,2,2,2,2,205,24,4,1,2,2,2,2,2,3,13,1,1,1,3,2,1,1,3,2,1,4,2,0,2,4,4,4,1,3,1,1,3,301
1,205,25,4,1,36,2,0,0,1,6,3,1,4,1,2,2,3,1,1,3,3,3,1,2,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,3,0,3,1,1,1,2,3,2,2,2,4,3,2,4,3,3,3,5,16,7,3,1,2,2,2,2,2,205,25,4,1,2,2,2,2,2,13,1,4,2,3,2,2,2,2,3,2,1,4,2,0,2,2,2,3,1,3,1,1,3,391
1,205,26,4,2,27,2,2,2,2,0,9,0,4,1,1,2,4,1,1,3,3,2,1,1,0,0,0,0,4,0,0,0,0,0,0,3,2,2,2,2,2,2,1,1,2,3,1,3,5,1,2,3,1,2,3,5,3,2,21,9,2,0,1,1,1,2,2,205,26,4,2,2,2,2,2,2,0,9,2,2,2,3,2,3,1,1,2,2,2,1,0,2,3,2,1,2,1,1,1,2,131
1,205,27,4,3,28,1,0,0,2,2,3,0,0,0,0,4,0,3,1,0,0,0,0,0,1,1,1,2,4,0,1,0,0,0,0,1,0,2,2,3,1,3,0,0,0,4,3,0,0,2,0,0,0,0,1,3,6,0,22,0,0,0,2,2,2,2,2,205,27,4,2,2,2,2,2,1,9,0,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,341
1,205,28,4,2,33,1,11,99,1,0,3,2,2,2,1,3,4,2,3,2,2,10,1,2,1,2,2,3,1,2,2,1,1,1,1,1,1,2,3,3,2,3,1,1,2,3,3,2,2,1,4,3,2,2,3,3,4,2,21,7,2,1,1,1,1,2,2,205,28,4,2,2,2,2,2,2,8,3,1,3,2,3,3,2,2,3,1,1,3,3,0,2,1,4,4,3,3,1,1,3,371
1,205,29,4,1,28,3,2,2,1,6,11,4,2,2,3,3,4,3,3,3,3,4,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,3,4,4,1,4,4,3,3,2,2,2,3,3,1,2,1,3,6,2,18,8,1,1,1,1,1,1,2,205,29,4,1,2,2,2,2,2,10,13,2,2,2,1,2,1,3,2,1,2,5,4,0,3,4,2,3,1,3,2,1,3,375
1,205,30,4,4,25,2,1,1,1,6,1,2,3,2,2,3,3,2,1,2,2,3,2,2,1,1,1,3,1,3,1,1,1,1,1,1,2,1,2,3,2,2,1,1,3,3,3,3,4,2,3,2,1,2,3,3,6,5,15,7,3,1,2,2,1,2,2,205,30,4,2,2,2,2,2,2,1,13,2,3,3,3,2,2,1,2,2,1,3,3,0,2,2,2,2,1,1,2,1,1,137
1,205,31,4,4,31,3,1,1,1,2,3,3,2,2,2,2,4,3,2,2,4,5,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,3,3,2,1,1,3,3,3,3,3,1,1,2,1,1,2,4,6,3,19,0,3,1,1,1,1,2,2,205,31,4,2,2,2,2,2,2,9,3,2,1,2,1,3,2,2,2,2,3,5,4,0,1,4,2,3,4,3,2,1,3,365
1,205,32,4,4,33,2,1,1,1,6,3,1,4,3,1,1,4,2,1,3,3,5,1,2,1,1,1,2,1,2,2,1,3,1,1,1,2,2,2,3,3,3,1,1,3,1,3,2,2,1,3,3,1,3,3,2,7,3,21,7,1,1,1,1,1,1,2,205,32,4,1,2,2,2,2,2,3,13,3,2,2,3,2,2,1,2,1,1,5,4,0,2,1,3,3,1,3,2,1,3,320
1,205,33,4,4,31,1,2,2,0,6,3,1,4,2,2,3,4,3,1,3,3,3,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,3,3,3,1,3,2,3,3,2,4,1,0,4,2,4,1,3,7,2,19,8,1,1,2,1,1,1,2,205,33,4,1,2,2,2,2,2,9,0,4,2,2,3,2,2,1,2,1,1,4,3,0,1,2,3,3,1,3,2,1,3,346
1,205,34,4,1,32,2,1,1,2,1,3,1,3,3,1,2,3,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,3,3,3,1,3,2,3,3,3,5,1,2,1,1,1,3,4,7,4,19,6,1,1,1,1,1,1,2,205,34,4,1,2,2,2,2,2,3,13,3,2,2,3,2,3,1,2,2,2,1,2,0,1,2,2,1,1,1,2,1,3,314
1,205,35,4,3,28,0,2,2,2,6,3,1,4,2,3,3,5,1,1,3,4,4,2,2,1,1,1,1,1,0,1,1,0,0,1,1,2,1,2,3,3,3,1,1,3,1,3,3,3,1,4,2,1,2,2,3,7,2,19,6,3,1,1,1,1,2,2,205,35,4,2,2,2,1,2,2,3,13,2,1,1,2,2,3,1,2,2,1,2,2,0,2,3,1,2,1,3,2,1,3,374
1,205,36,4,4,27,2,2,2,1,6,1,1,3,1,3,3,5,2,2,3,5,5,2,2,2,1,1,2,1,2,2,1,2,1,1,1,2,1,2,3,3,3,1,1,3,1,3,2,3,1,2,2,1,2,3,4,7,2,27,8,3,1,1,1,1,2,2,205,36,4,2,2,2,2,2,2,1,4,1,1,1,3,2,3,2,2,1,1,4,3,0,1,2,2,2,1,1,2,1,1,129
1,205,37,4,2,28,1,2,2,1,6,9,1,4,2,1,3,3,1,1,2,3,4,1,1,1,1,1,0,1,0,0,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,3,1,2,1,1,2,3,3,3,4,22,5,1,1,1,1,1,1,2,205,37,4,1,2,2,2,2,2,8,4,2,2,2,3,2,2,1,1,1,1,5,1,0,2,2,2,2,4,1,2,1,2,129
1,205,38,4,2,28,1,2,2,1,6,9,2,4,2,2,3,4,2,1,2,2,2,1,2,0,0,0,0,4,0,0,0,0,0,0,3,2,2,3,3,3,3,1,1,2,1,3,4,4,1,4,2,1,1,3,4,2,2,26,7,3,1,1,1,2,2,2,205,38,4,2,2,2,2,2,2,8,0,1,2,2,3,2,2,2,1,2,2,5,3,0,0,2,3,3,2,1,2,1,2,132
1,205,39,4,2,22,0,1,1,2,2,1,2,4,2,1,2,3,2,2,3,2,3,2,2,1,1,1,0,1,1,1,1,1,1,0,1,2,2,2,2,2,2,1,1,2,2,3,3,3,1,3,1,1,1,3,3,2,3,15,7,3,1,1,1,1,1,2,205,39,4,1,2,2,2,2,2,10,4,2,3,3,3,2,2,3,1,3,1,5,3,0,2,3,2,2,1,1,2,1,1,153
1,205,40,4,2,28,1,1,1,1,6,9,1,4,2,2,3,3,0,1,0,3,3,1,1,0,0,0,0,4,0,0,0,0,0,0,1,2,1,2,2,2,2,1,1,3,2,2,2,3,1,2,1,1,2,3,3,1,2,22,7,3,1,1,1,1,2,2,205,40,4,2,2,2,2,2,2,3,0,1,1,2,3,1,2,1,1,1,1,2,2,0,2,2,3,4,1,1,2,1,2,124
1,205,41,4,3,22,0,1,1,1,6,9,2,4,1,1,5,0,3,1,2,4,4,1,1,0,0,0,0,4,0,0,0,0,0,0,1,2,2,0,2,2,0,0,1,3,2,3,3,3,1,4,1,1,1,3,4,3,0,22,8,1,1,1,2,2,1,2,205,41,4,2,2,2,2,2,2,9,4,3,2,1,0,2,4,1,1,1,1,1,1,0,1,2,1,1,2,1,2,1,2,106
1,205,42,4,3,33,3,1,1,2,2,1,1,4,2,1,1,1,2,1,2,1,0,2,2,0,1,1,2,1,2,3,1,3,1,3,2,2,0,2,3,2,3,1,3,3,4,3,3,4,1,2,2,3,2,3,3,3,2,23,6,4,3,2,1,1,1,2,205,42,4,1,2,2,2,2,2,11,0,1,3,2,3,3,1,2,1,3,1,4,3,0,2,2,4,4,1,1,2,1,1,300
1,205,43,4,3,26,0,1,1,1,0,1,1,4,1,1,3,5,1,1,3,2,2,2,2,0,0,0,0,4,0,0,0,0,0,0,3,3,1,3,3,2,3,1,3,3,2,3,2,4,2,2,5,3,2,1,2,2,2,15,9,4,1,1,1,2,2,2,205,43,4,1,2,2,2,2,2,9,1,2,2,2,3,2,2,0,1,2,1,5,4,0,2,2,3,0,1,1,2,1,1,165
1,205,44,4,3,29,3,10,99,1,1,12,3,2,0,0,2,3,2,2,1,2,1,2,0,1,3,3,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,4,3,4,2,1,4,1,1,1,3,0,2,2,21,7,2,1,2,2,2,1,2,205,44,4,1,2,2,2,2,2,11,0,1,3,2,3,2,2,1,1,1,1,3,2,0,2,1,1,1,1,3,2,1,6,500
1,205,45,4,3,47,1,1,1,1,6,1,2,4,3,1,2,2,3,3,2,3,0,1,2,1,1,1,3,3,1,0,3,1,1,1,3,2,0,3,3,2,3,1,4,4,3,4,3,2,1,2,3,2,0,3,3,1,2,23,7,2,1,1,1,2,1,2,205,45,4,1,2,2,2,2,2,9,1,3,2,3,2,2,1,1,1,2,3,4,3,0,1,2,2,4,1,1,2,1,1,328
1,205,46,4,3,19,0,1,1,1,0,3,2,0,1,1,0,0,1,1,0,2,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,1,2,0,1,1,0,0,0,0,3,1,4,2,1,1,1,1,1,5,19,7,0,1,1,1,2,2,2,205,46,4,2,2,2,2,2,2,3,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,2,1,3,305
1,205,47,4,3,30,3,1,1,1,6,3,1,0,1,3,3,0,2,1,0,4,4,2,1,0,0,0,0,4,0,0,0,0,0,0,3,3,2,2,2,2,3,1,1,2,4,2,2,1,3,4,2,1,1,2,3,1,4,23,7,1,1,2,2,2,2,2,205,47,4,2,2,2,2,2,1,3,11,0,3,3,3,1,3,1,1,1,1,1,1,0,1,2,2,1,1,3,2,1,3,336
1,205,48,4,4,28,1,1,1,2,2,1,1,0,2,1,2,3,2,3,2,2,2,1,2,1,1,0,0,4,1,0,0,0,0,0,1,2,2,2,2,3,3,1,1,3,4,3,4,2,1,3,3,1,2,3,3,4,2,24,6,1,1,3,1,1,1,2,205,48,4,1,2,2,2,2,2,9,1,2,2,2,3,2,3,2,1,3,3,4,3,0,2,2,4,1,3,1,2,1,1,319
1,205,49,4,4,34,1,2,2,2,6,9,1,4,1,1,2,3,2,1,2,3,3,2,2,1,1,1,2,1,1,0,1,1,1,1,1,2,2,2,3,2,3,1,1,2,4,3,3,4,1,1,1,1,1,3,4,3,4,23,6,1,1,1,1,1,1,2,205,49,4,1,2,2,2,2,2,8,0,1,2,2,3,2,2,1,1,1,1,4,2,0,1,2,1,2,3,1,2,1,2,122
1,205,50,4,4,41,3,10,99,1,6,3,1,4,2,1,3,3,2,1,2,4,10,1,2,1,1,1,2,1,2,1,1,1,1,1,2,2,2,2,3,3,2,1,1,4,1,3,1,3,2,1,3,1,3,3,3,1,4,20,7,2,1,1,1,2,2,2,205,50,4,2,2,2,2,2,2,3,4,2,2,2,3,2,1,1,1,2,1,5,3,0,1,2,3,2,3,3,2,1,3,367
1,205,51,4,4,26,2,1,1,1,6,1,1,2,2,3,3,6,2,3,2,2,3,2,2,2,1,1,2,4,2,2,1,1,1,1,2,2,1,2,3,3,3,1,1,2,2,3,3,3,2,1,3,3,2,3,4,1,2,22,7,4,1,1,1,1,2,2,205,51,4,2,2,2,2,2,2,11,4,2,3,2,3,2,2,2,1,3,1,4,2,0,2,4,4,2,3,1,2,1,1,336
1,205,52,4,4,36,2,1,1,1,6,1,4,1,3,1,4,0,3,3,3,4,4,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2,3,3,3,3,1,1,1,3,1,2,1,2,4,2,4,0,0,1,5,15,0,1,1,1,1,1,1,2,205,52,4,1,2,2,2,2,2,5,1,3,1,0,3,2,2,1,1,2,1,2,2,0,1,3,4,3,1,1,2,1,1,104
1,205,53,4,4,28,2,2,2,2,6,9,1,4,1,1,2,3,1,1,2,2,3,1,1,1,1,1,0,1,0,0,1,1,1,1,1,2,2,2,2,3,2,1,1,1,3,3,4,4,1,1,3,1,2,3,4,5,4,23,6,1,1,1,1,1,1,2,205,53,4,1,2,2,2,2,2,8,1,2,2,2,3,2,2,1,1,1,1,2,2,0,1,2,1,2,3,1,2,1,2,113
1,205,54,4,4,99,2,1,1,2,6,1,1,4,1,3,4,6,2,2,1,1,2,1,2,0,1,1,2,1,2,2,1,1,1,0,3,3,0,4,4,4,4,4,4,4,2,3,3,4,2,2,4,2,2,1,2,5,3,15,7,2,1,1,1,1,1,2,205,54,4,2,2,2,2,2,2,10,1,1,1,2,3,1,4,1,1,1,1,5,4,0,1,1,3,1,1,1,2,1,1,118
1,205,55,4,4,42,3,1,1,2,6,1,1,4,2,1,3,7,2,1,3,4,5,1,2,2,1,1,2,1,2,2,1,2,1,1,1,2,2,2,4,4,4,4,4,4,2,3,2,4,2,3,4,1,3,3,3,5,3,23,7,1,1,1,1,2,2,2,205,55,4,1,2,2,2,2,2,6,1,2,2,2,3,2,3,1,1,2,2,1,1,0,1,4,2,3,3,1,2,1,1,313
1,205,56,4,2,28,2,2,2,1,1,9,2,4,2,2,2,3,1,3,2,2,3,1,3,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,3,2,3,1,1,3,2,3,3,3,1,1,3,1,1,3,4,5,2,22,6,3,1,2,1,1,1,2,205,56,4,2,2,2,2,2,2,8,4,3,2,2,3,2,2,1,1,2,1,4,2,0,2,2,2,5,2,1,2,1,2,118
1,205,57,4,3,30,3,1,1,2,6,3,1,3,1,3,2,3,1,1,2,3,4,1,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,3,3,2,2,1,3,3,3,2,2,1,1,1,1,3,3,5,4,21,6,1,1,1,2,2,2,2,205,57,4,1,2,2,2,2,2,7,1,3,2,2,3,2,2,3,1,1,1,4,3,0,2,2,3,2,1,3,2,1,3,322
1,205,58,4,0,27,3,1,1,1,6,3,2,4,2,3,3,4,1,2,2,2,2,2,3,0,0,0,0,4,0,0,0,0,0,0,3,2,2,2,2,2,2,1,1,2,1,2,3,4,1,4,3,2,3,3,2,5,2,19,7,1,1,1,2,1,2,2,205,58,4,2,2,2,2,2,2,3,4,1,3,2,3,2,2,1,1,1,1,1,1,0,2,1,2,3,1,1,2,1,3,300
1,205,59,4,0,49,0,1,1,2,0,3,1,2,0,1,5,0,2,2,2,4,4,2,0,1,1,0,0,1,1,1,1,1,1,0,1,2,1,2,2,1,2,1,1,2,1,3,3,5,1,1,1,1,1,2,1,5,5,20,7,1,1,1,1,1,1,2,205,59,4,1,2,2,2,1,2,4,1,2,2,2,3,1,1,1,1,2,1,3,0,0,2,1,3,2,3,3,2,1,3,360
1,205,60,4,4,30,3,1,1,1,6,3,1,4,1,4,4,6,2,1,2,2,3,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,3,4,1,3,2,2,1,2,1,1,6,2,20,7,1,1,2,1,1,2,2,205,60,4,1,2,2,2,2,2,3,4,1,1,1,3,1,1,2,1,1,1,1,2,0,1,2,2,1,1,3,2,1,3,356
1,205,61,4,3,28,1,10,99,2,6,3,1,1,3,2,2,3,2,1,2,3,3,1,2,1,1,1,1,1,2,1,1,1,2,0,2,2,1,2,2,1,2,1,1,2,2,3,3,3,1,2,2,2,2,3,2,6,3,28,8,1,1,1,1,1,1,2,205,61,4,1,2,2,2,2,2,8,4,2,2,2,3,2,2,2,1,1,1,4,3,0,2,2,2,0,1,3,2,1,3,366
1,205,62,4,2,28,2,2,2,1,6,9,2,4,2,2,3,4,0,3,2,0,3,1,2,3,1,1,2,1,1,2,1,3,3,3,1,3,1,3,3,2,3,1,1,3,2,3,3,3,1,1,3,1,1,3,4,6,2,22,6,3,1,2,1,1,1,2,205,62,4,2,2,2,2,2,2,8,4,2,2,2,3,2,2,1,1,2,1,4,2,0,2,2,2,5,2,1,2,1,2,108
