CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6A.,Q.6B.,Q.7.,Q.8A.,Q.8B.,Q.9.,Q.10.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17A.,Q.17B.,Q.17C.,Q.18A.,Q.18A..1,Q.18A..2,Q.18A..3,Q.18A..4,Q.18A..5,Q.18A..6,Q.18A..7,Q.18A..8,Q.18A..9,Q.18A..10,Q.18A..11,Q.18A..12,Q.18B.,Q.19.,Q.20.,Q.20..1,Q.20..2,Q.20..3,Q.20..4,Q.20..5,Q.20..6,Q.20..7,Q.20..8,Q.20..9,Q.20..10,Q.20..11,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,CARD..1,DECK..1,BALLOT..1,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.44.,V.44A.,Q.45.,Q.46.,Q.47.,Q.48A.,V.50.,V.51.,V.52.,V.53.
1,106,24,4,4,6,2,9,9,3,2,11,6,5,7,1,5,5,4,1,1,1,6,3,2,2,2,2,2,2,2,2,1,2,2,2,11,9,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,2,2,1,1,2,2,3,3,3,5,2,2,9,2,106,24,4,9,9,9,90,3,10,30,0,4,3,3,3,3,3,21,8
1,106,25,4,4,5,2,9,9,3,2,11,4,3,4,4,2,16,6,1,3,8,10,6,2,2,2,2,2,2,2,2,1,2,2,2,11,6,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,3,3,3,3,2,3,3,2,3,2,3,9,2,106,25,4,9,9,9,90,9,10,90,9,1,1,3,2,3,4,10,9
1,106,26,4,4,6,2,9,9,3,2,11,6,5,6,4,4,10,6,4,3,8,6,6,2,2,2,2,2,2,2,2,1,2,2,2,11,8,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,2,2,1,3,3,3,3,2,3,3,3,3,2,2,9,2,106,26,4,9,9,9,90,6,10,60,6,1,1,1,1,2,4,21,0
1,106,27,4,4,6,2,9,9,3,2,10,5,5,4,4,2,10,8,4,3,10,3,3,2,2,2,2,2,2,2,2,1,2,2,2,11,4,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,3,3,4,4,2,3,3,3,2,2,2,9,2,106,27,4,9,9,9,90,6,10,60,6,1,1,1,1,1,5,21,0
1,106,28,4,4,6,2,9,9,3,2,10,4,5,6,5,1,12,4,4,5,12,0,0,2,2,2,2,2,2,2,2,1,2,2,2,3,8,2,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,2,2,4,2,2,3,3,3,3,3,2,2,9,2,106,28,4,9,9,9,90,6,10,60,0,4,2,4,2,3,3,22,8
1,106,29,4,1,1,2,9,9,3,2,10,3,3,5,4,1,10,6,2,1,2,8,4,2,2,2,2,2,2,2,2,1,2,2,2,3,8,2,1,2,2,2,2,2,2,2,2,2,2,2,5,1,4,2,1,3,3,4,4,2,3,3,3,2,2,2,4,2,106,29,4,3,3,2,30,9,10,90,9,1,1,3,1,1,5,12,1
1,106,30,4,3,5,2,9,9,3,2,11,4,2,4,4,2,13,6,1,1,8,7,3,2,2,2,2,2,2,2,2,2,2,1,2,3,6,3,1,2,2,2,2,2,2,2,2,2,2,2,3,2,4,1,3,4,4,3,3,2,3,3,3,3,2,2,9,2,106,30,4,9,9,9,90,6,10,60,6,1,2,2,1,3,4,12,4
1,106,31,4,1,1,2,9,9,3,2,10,5,2,5,4,3,10,3,1,3,2,7,3,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,1,3,3,1,2,1,3,2,3,4,1,3,2,2,106,31,4,1,2,1,20,3,20,70,0,4,3,3,1,2,2,12,1
1,106,32,4,1,1,2,9,9,3,2,10,5,5,3,4,2,10,6,3,3,2,6,3,2,2,1,2,2,2,2,2,2,2,2,2,9,8,2,1,2,2,2,2,2,2,2,2,2,2,2,4,1,4,1,2,2,2,1,1,2,3,1,3,4,1,2,1,2,106,32,4,2,3,2,30,9,10,90,9,1,1,1,2,3,3,12,1
1,106,33,4,4,6,2,9,9,3,2,11,6,5,5,4,1,10,6,4,3,11,7,3,2,2,2,2,2,2,2,2,1,2,2,2,9,6,1,1,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,1,3,3,2,1,2,3,3,1,1,2,1,9,2,106,33,4,9,9,9,90,7,10,70,7,1,2,1,1,1,2,21,0
1,106,34,4,1,1,2,9,9,3,2,10,6,5,7,1,5,10,3,4,3,2,7,2,2,2,2,2,2,2,2,2,1,2,2,2,9,5,2,1,2,2,2,2,2,2,2,2,2,2,2,4,3,3,5,1,4,3,4,4,2,3,3,3,5,2,2,2,2,106,34,4,3,2,2,30,9,10,90,9,1,1,2,1,3,5,12,1
1,106,35,4,4,6,2,9,9,3,2,11,6,5,6,4,2,5,6,2,3,1,6,5,1,2,2,2,2,2,2,2,2,2,2,2,8,0,2,1,2,2,2,2,2,2,2,2,2,2,2,5,1,4,1,2,1,1,4,4,2,3,3,3,3,2,2,9,2,106,35,4,9,9,9,91,2,10,90,9,2,1,1,1,2,5,20,9
1,106,36,4,4,6,2,9,9,3,2,10,5,5,6,4,3,5,4,1,1,1,5,5,2,2,2,2,2,2,2,2,2,2,1,2,10,8,2,1,2,2,2,2,2,2,2,2,2,2,2,0,3,4,1,1,3,3,2,2,3,3,2,3,2,1,2,9,2,106,36,4,9,9,9,90,3,10,31,2,4,2,3,1,1,3,20,3
1,106,37,4,4,6,2,9,9,2,1,10,4,2,7,4,1,5,4,1,3,1,5,3,2,2,2,2,2,2,2,2,2,2,1,2,10,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,2,1,3,3,2,3,3,3,3,2,2,9,2,106,37,4,9,9,9,90,6,10,60,0,4,0,4,1,3,4,21,9
1,106,38,4,4,6,2,9,9,3,2,11,5,5,5,4,4,4,6,1,4,8,9,6,2,2,2,2,2,2,1,2,1,2,2,2,4,0,1,1,2,2,2,2,2,2,1,2,2,2,2,2,3,4,4,1,3,3,1,1,2,3,0,3,2,1,3,9,2,106,38,4,9,9,9,91,2,0,1,2,4,2,4,1,2,2,21,9
1,106,39,4,4,6,2,9,9,2,2,10,6,5,7,4,1,5,6,3,5,12,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,3,3,4,4,2,3,3,3,3,2,2,9,2,106,39,4,9,9,9,90,5,10,50,7,3,2,3,1,1,5,22,8
1,106,40,4,4,5,2,9,9,3,2,11,4,5,6,4,2,10,6,4,4,9,8,5,2,2,2,2,2,2,1,2,1,2,2,2,4,5,1,1,2,2,2,2,2,2,1,2,2,2,2,5,3,2,3,1,3,3,1,1,2,3,1,2,1,1,1,9,2,106,40,4,9,9,9,90,9,10,90,9,1,1,1,1,2,1,12,0
1,106,41,4,4,6,2,9,9,3,2,11,5,5,4,4,1,10,3,4,3,8,4,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,1,2,2,2,2,2,2,2,2,1,2,2,4,3,4,1,0,3,3,1,1,2,3,2,2,1,1,1,9,2,106,41,4,9,9,9,90,5,10,50,5,1,1,1,2,2,2,11,0
1,106,42,4,3,1,2,9,9,3,2,10,6,3,7,4,2,5,6,1,5,12,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,8,1,1,2,2,2,2,2,2,2,2,2,2,2,4,2,4,1,1,4,4,3,3,2,3,3,3,3,2,2,9,2,106,42,4,9,9,9,30,3,10,30,8,3,2,3,1,2,4,12,8
1,106,43,4,3,6,2,9,9,2,2,11,6,5,5,4,1,14,6,3,4,8,8,6,2,2,2,2,2,2,1,2,1,2,2,2,4,6,1,1,2,2,2,2,2,2,1,2,2,2,2,4,3,4,1,1,3,3,1,1,1,2,1,1,1,1,1,9,2,106,43,4,9,9,9,90,1,10,10,0,4,3,4,1,3,1,20,6
1,106,44,4,3,6,2,9,9,2,1,9,1,5,6,1,5,2,4,4,3,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,0,3,2,2,2,2,1,2,2,2,2,2,2,2,4,2,4,1,2,2,1,2,2,1,3,2,3,5,1,3,9,2,106,44,4,9,9,9,90,8,10,80,8,1,2,2,1,2,2,22,7
1,106,45,4,3,2,2,9,9,3,2,9,6,5,7,1,5,5,6,1,5,12,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,3,3,3,3,2,3,3,3,5,2,2,9,2,106,45,4,9,9,9,90,3,10,30,3,1,1,1,1,3,4,10,1
1,106,46,4,4,6,2,9,9,3,2,9,6,4,7,1,5,10,4,4,1,10,4,4,2,2,2,2,2,2,2,2,2,1,2,2,8,8,3,2,2,2,2,2,2,1,2,2,2,2,2,4,3,4,5,1,4,4,3,3,2,3,3,3,5,2,2,9,2,106,46,4,9,9,9,90,5,10,51,2,4,2,3,2,3,4,21,3
1,106,47,4,3,2,2,9,9,3,2,9,6,5,7,1,5,5,6,4,5,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,1,2,2,2,2,2,2,2,5,3,4,1,3,2,2,2,2,2,3,2,3,5,2,2,9,2,106,47,4,9,9,9,90,2,10,20,2,1,1,1,1,2,3,11,9
1,106,48,4,3,3,2,9,9,3,2,9,6,4,7,1,5,5,6,1,5,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,2,2,2,1,2,2,2,2,2,2,2,5,3,4,4,1,3,3,4,4,2,3,3,3,5,2,2,9,2,106,48,4,9,9,9,90,1,10,10,1,1,1,2,1,1,5,11,9
1,106,49,4,3,6,2,9,9,3,2,9,6,4,6,1,5,2,5,3,5,12,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,0,1,2,2,2,2,2,1,2,2,2,2,2,2,5,3,4,1,1,3,3,1,1,1,3,1,1,5,1,1,9,2,106,49,4,9,9,9,90,2,10,21,2,4,3,3,1,1,1,22,7
1,106,50,4,2,4,2,9,9,3,2,9,6,5,7,1,5,5,6,1,1,2,3,3,2,2,2,2,2,2,2,2,1,2,2,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,2,2,3,2,2,2,3,1,3,5,1,2,9,2,106,50,4,9,9,9,90,9,10,90,9,1,1,1,1,1,3,12,8
1,106,51,4,4,4,2,9,9,3,2,9,6,5,7,1,5,5,6,1,4,1,11,4,2,2,2,2,2,2,2,2,1,2,2,2,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,3,3,3,3,3,2,3,3,3,5,2,2,9,2,106,51,4,9,9,9,90,1,10,10,1,1,1,1,3,1,4,11,4
1,106,52,4,2,1,2,9,9,3,2,9,4,2,6,1,5,10,2,4,3,1,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,8,3,2,2,2,1,2,2,2,2,2,2,2,2,5,3,4,1,3,2,3,2,1,2,3,3,3,5,1,2,9,2,106,52,4,9,9,9,90,3,10,30,0,4,2,3,2,1,3,11,3
1,106,53,4,4,6,2,9,9,3,2,9,1,5,6,1,5,3,4,4,7,4,2,3,2,2,2,2,2,2,1,2,1,2,2,2,4,0,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,5,1,3,3,1,4,2,3,1,1,5,1,2,9,2,106,53,4,9,9,9,90,6,10,60,6,1,2,2,1,3,4,21,9
1,106,54,4,1,1,2,9,9,3,2,9,4,4,3,1,5,10,3,1,1,2,6,3,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,4,1,3,5,1,3,3,1,1,2,3,1,2,5,1,2,2,2,106,54,4,1,1,1,10,8,10,80,8,1,1,2,1,2,3,12,1
1,106,55,4,4,6,2,9,9,3,2,9,4,3,6,1,5,10,4,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,6,0,1,2,2,2,1,2,2,2,2,2,2,2,2,4,3,4,4,1,3,3,3,3,2,3,3,3,5,2,2,9,2,106,55,4,9,9,9,90,6,10,60,0,4,3,4,1,2,4,21,0
1,106,56,4,2,3,2,9,9,3,2,9,6,5,4,1,5,10,9,2,3,2,6,3,2,2,2,2,2,2,2,2,2,1,2,2,4,3,3,2,2,2,2,2,2,1,2,2,2,2,2,4,3,4,1,1,4,4,2,2,2,3,2,2,5,2,3,2,2,106,56,4,2,2,3,20,2,20,20,2,1,2,2,3,3,2,12,1
1,106,57,4,3,5,2,9,9,3,2,10,6,2,4,4,1,10,4,3,1,5,6,5,2,2,2,2,2,2,1,2,2,1,2,2,8,5,3,2,2,2,2,2,2,1,2,2,2,2,2,3,3,4,1,2,2,2,2,2,3,3,2,1,4,1,3,9,2,106,57,4,9,9,9,90,6,20,60,0,4,3,4,1,2,2,11,0
1,106,58,4,3,5,2,9,9,3,2,11,4,1,7,4,1,10,6,1,1,1,5,2,2,2,2,2,2,2,2,2,2,1,2,2,4,4,2,2,2,2,2,2,2,1,2,2,2,2,2,3,1,4,1,2,2,4,2,2,2,3,2,2,2,1,3,9,2,106,58,4,9,9,9,90,4,20,90,9,2,2,1,1,2,2,12,0
1,106,59,4,3,4,2,9,9,3,2,7,5,1,6,4,2,5,6,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,1,2,2,2,2,2,2,2,5,3,4,1,2,1,1,4,4,2,3,3,3,3,2,2,9,2,106,59,4,9,9,9,90,7,20,90,7,1,1,2,1,1,5,10,9
1,106,60,4,2,6,2,9,9,3,2,7,6,5,5,5,1,13,4,1,5,12,0,0,2,2,2,2,2,1,2,2,2,2,2,2,8,0,1,2,2,2,2,2,1,2,2,2,2,2,2,4,3,4,5,1,3,3,1,1,1,4,1,1,1,1,1,9,2,106,60,4,9,9,9,91,2,10,0,5,1,2,2,1,1,1,22,5
1,106,61,4,4,6,2,9,9,3,2,7,4,1,7,4,3,4,4,4,1,1,3,2,2,2,2,2,2,2,2,2,2,1,2,2,6,0,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,4,1,4,3,2,2,2,3,3,3,2,1,3,9,2,106,61,4,9,9,9,90,7,10,70,7,1,1,3,1,4,2,22,3
1,106,62,4,3,6,2,9,9,3,2,7,4,5,6,5,1,6,4,4,5,12,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,0,1,2,2,1,2,2,2,2,2,2,2,2,2,5,3,4,5,3,4,2,4,3,2,3,3,3,3,2,2,9,2,106,62,4,9,9,9,90,4,10,40,4,1,2,4,2,2,5,20,1
1,106,63,4,2,6,2,9,9,3,2,7,6,4,6,5,1,6,4,4,5,12,0,0,2,2,2,2,2,2,2,1,1,2,2,2,4,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,3,3,3,3,2,2,9,2,106,63,4,9,9,9,90,6,10,60,6,1,2,4,2,1,4,20,1
1,106,64,4,1,1,1,5,9,3,2,7,5,5,5,4,1,10,6,1,1,2,6,4,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,4,1,3,2,2,1,1,2,3,3,3,2,1,2,2,2,106,64,4,1,2,1,20,9,10,90,9,1,1,1,1,2,3,12,1
1,106,65,4,3,5,2,9,9,3,2,7,3,5,5,5,1,10,2,3,5,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,4,1,2,2,1,2,2,2,3,2,3,2,1,3,9,2,106,65,4,9,9,9,90,6,10,60,6,1,2,2,1,1,2,11,1
1,106,66,4,1,1,1,5,9,3,2,7,5,4,3,4,2,10,3,1,1,2,6,2,2,2,1,2,2,2,2,2,2,2,2,2,2,5,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,1,1,4,3,1,1,2,3,1,4,2,1,1,2,2,106,66,4,2,1,1,20,9,10,90,9,1,1,1,1,2,2,12,1
1,106,67,4,4,5,2,9,9,3,2,10,4,3,6,4,2,10,4,4,1,2,5,4,2,2,2,2,2,2,2,2,1,2,2,2,1,4,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,5,2,2,1,1,1,3,3,1,2,1,1,1,9,2,106,67,4,9,9,9,90,6,10,60,6,1,2,1,1,1,2,11,0
1,106,68,4,4,5,2,9,9,3,2,11,6,5,6,4,3,5,4,4,4,1,8,5,2,2,2,2,2,2,2,1,1,2,2,2,4,5,1,1,2,2,2,2,2,2,2,2,2,2,2,5,1,4,3,2,2,1,2,2,2,3,2,2,2,1,3,9,2,106,68,4,9,9,9,10,9,10,90,9,1,1,1,1,1,2,10,3
1,106,69,4,4,5,2,9,9,3,2,11,6,5,6,2,1,12,6,1,3,8,7,6,2,2,2,2,2,2,2,2,1,2,2,2,1,6,1,2,2,2,1,2,2,2,2,2,2,2,2,5,1,4,5,1,3,3,4,4,2,3,3,3,5,2,2,9,2,106,69,4,9,9,9,90,7,10,70,7,1,1,1,1,1,5,10,3
1,106,70,4,3,4,2,9,9,3,2,10,6,5,6,4,2,5,6,2,4,1,11,5,2,2,2,2,2,2,2,2,1,2,2,2,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,5,3,4,1,1,4,3,4,4,2,3,3,3,3,2,2,9,2,106,70,4,9,9,9,90,3,10,30,3,1,1,1,1,2,5,10,3
1,106,71,4,2,6,2,9,9,3,2,6,6,5,6,5,2,6,4,4,5,12,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1,2,2,2,2,1,2,2,2,2,2,2,2,3,2,4,1,2,1,1,3,3,2,3,3,3,3,2,2,9,2,106,71,4,9,9,9,90,3,10,30,3,1,2,4,1,1,4,20,1
1,106,72,4,4,6,2,9,9,3,2,11,6,5,6,4,1,3,7,4,1,1,6,6,2,2,2,2,2,2,2,2,1,2,2,2,1,6,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,4,3,3,3,3,2,2,2,3,2,1,2,1,3,9,2,106,72,4,9,9,9,90,5,10,50,5,1,3,4,1,1,2,20,3
1,106,73,4,4,6,2,9,9,3,2,5,6,5,6,5,2,6,4,4,5,12,0,0,2,2,2,2,2,2,1,2,1,2,2,2,8,0,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,4,1,1,3,3,2,2,1,3,3,3,2,2,3,9,2,106,73,4,9,9,9,90,7,10,70,7,1,2,4,2,2,2,20,1
