S100E.CARD.  1. CARD ONE 
"S100E.Q16. WHILE YOU WERE AT THE BATTLE FRONT, DID YOUR LEADERS EXPLAIN THE WHOLE BATTLE SO YOU COULD SEE JUST HOW YOUR COMPANY'S PART FITTED INTO THE CAMPAIGN AS A WHOL?  1. AS MUCH AS THEY COULD 2. THEY COULD HAVE GIVEN US A LITTLE MORE 3. THEY COULD HAVE GIVEN US A GREAT DEAL MORE 0. NO ANSWER "
"S100E.Q17. WHILE YOU WERE IN COMBAT, DID YOU FEEL THAT THE TROOPS TO THE REAR, IN GENERAL, WERE DOING AS MUCH AS THEY COULD UNDER THE CIRCUMSTANCES FOR THE MEN WHO WERE DOING THE FIGHTIN?  1. AS MUCH AS THEY COULD 2. COULD HAVE DONE SOMEWHAT MORE 3. COULD HAVE DONE A GREAT DEAL MORE 0. NO ANSWER "
S100E.Q18A. HOW ABOUT ATROCITIE? DID YOU PERSONALLY EVER SEE WITH YOUR OWN EYES A CASE OF JAPANESE USING METHODS OF FIGHTING OR TREATING PRISONERS WHICH YOU WOULD CALL DIRTY OR INHUMA?  1. NO 2. YES 0. NO ANSWER 
S100E.Q18B. HOW ABOUT STORIES YOU HAVE HEARD FROM OTHER? DID YOU HEAR ANY TRUE CASES OF JAPANESE USING METHODS OF FIGHTING OR TREATING PRISONERS WHICH YOU WOULD CALL DIRTY OR INHUMA?  1. NO 2. YES 0. NO ANSWER 
"S100E.Q19. DID YOU RECEIVE ANY OF THE FOLLOWING DECORATION?  1. PURPLE HEART 2. SILVER STAR 3. DISTINGUISHED SERVICE CROSS 4. PURPLE HEART AND SILVER STAR 5. PURPLE HEART AND DISTINGUISHED SERVICE CROSS 6. SILVER STAR AND DISTINGUISHED SERVICE CROSS 7. PURPLE HEART, SILVER STAR AND DISTINGUISHED SERVICE CROSS 8. NONE OF THE THREE 9. OTHER 0. NO ANSWER "
S100E.Q20A. HOW DO YOU FEEL ABOUT THE SILVER STA?  1. ALL MEN I KNOW WHO GOT THEM REALLY DESERVED THEM 2. A FEW MEN I KNOW WHO GOT THEM DID NOT DESERVE THEM 3. MANY MEN I KNOW WHO GOT THEM DID NOT DESERVE THEM 0. NO ANSWER 
S100E.Q20B. DO YOU KNOW ANY MEN WHO DESERVED SILVER STARS BUT DID NOT GET THE?  1. MANY MEN I KNOW DESERVED SILVER STARS BUT DID NOT GET THEM 2. A FEW MEN I KNOW DESERVED SILVER STARS BUD DID NOT GET THEM 3. NOBODY I KNOW DESERVED A SILVER STAR BUT DID NOT GET IT 0. NO ANSWER 
S100E.Q21. IN GENERAL WOULD YOU SAY THAT BATTLE FIGHTING BECAME MORE FRIGHTENING OR LESS FRIGHTENING THE MORE YOU SAW OF I?  1. IT WAS MORE FRIGHTENING THE MORE I SAW OF IT 2. IT WAS LESS FRIGHTENING THE MORE I SAW OF IT 3. IT WAS NEVER FRIGHTENING 4. IT STAYED FRIGHTENING ALL THE TIME 0. NO ANSWER 
"S100E.Q22. WHICH OF THE FOLLOWING STATEMENTS BEST TELLS THE WAY YOU WOULD FEEL ABOUT GOING BACK INTO ACTUAL BATTL?  01. I WANT VERY MUCH TO GET INTO IT AS SOON AS POSSIBLE 02. I AM READY TO GO ANY TIME 03. I HOPE I WON'T HAVE TO GO BUT IF I GO I THINK I WILL DO ALL RIGHT 04. I HOPE I WON'T HAVE TO GO BECAUSE I DON'T THINK I WOULD DO VERY WELL 05. HAVE DONE MY SHARE, LET OTHERS FIGHT 06. NEED A REST OR FURLOUGH FIRST 07. COULDN'T STAND IT - AFRAID - NERVES SHOT 08. PHYSICAL CONDITION 09. QUALIFIED ACCEPTANCE 10. REFUSAL (MISCELLANEOUS) 11. ALL OTHER 00. NO ANSWER "
S100E.Q23. ARE YOU EVER WORRIED AND UPSE?  1. I AM HARDLY EVER WORRIED AND UPSET 2. I AM SOMETIMES WORRIED AND UPSET 3. I AM OFTEN WORRIED AND UPSET 0. NO ANSWER 
"S100E.Q24. IN GENERAL, WHAT SORT OF A TIME DO YOU HAVE IN THE ARM?  1. I HAVE A PRETTY GOOD TIME 2. IT'S ABOUT FIFTY-FIFTY 3. I HAVE A PRETTY ROTTEN TIME 4. NO ANSWER 0. NO CODE OR NO DATA "
S100E.Q25A. DO YOU THINK THAT THE EQUIPMENT OF THE AMERICAN ARMY IS BETTER OR WORSE THAN THE EQUIPMENT OF THE JAPANESE ARM?  1. ALL OF OUR EQUIPMENT IS BETTER 2. MOST OF OUR EQUIPMENT IS BETTER 3. OUR EQUIPMENT IS ABOUT THE SAME AS THAT OF THE JAPANESE ARMY 4. MOST OF OUR EQUIPMENT IS WORSE 5. ALL OF OUR EQUIPMENT IS WORSE 6. DON'T KNOW 0. NO ANSWER 
S100E.Q25B. IF YOU THINK SOME JAPANESE WEAPONS ARE BETTER THAN OURS WHAT ARE THE?  1. NO JAPANESE WEAPONS ARE BETTER THAN OURS 2. SOME JAPANESE WEAPONS ARE BETTER THAN OURS 0. NO ANSWER 
S100E.Q26. THINK OF ALL THE MEN IN YOUR PLATOON (OR EQUIVALENT UNIT) JUST BEFORE YOU WENT INTO ACTION FOR THE FIRST TIME. NOW THINK OF THE ONE MAN WHO HAD SERVED TIME THE MOST IN THE GUARDHOUSE. HOW DID HE DO IN ACTUAL BATTLE AS COMPARED WITH OTHER MEN IN THE PLATOO?  1. HE DID MUCH BETTER THAN AVERAGE 2. HE DID BETTER THAN AVERAGE 3. SAME AS AVERAGE 4. HE DID WORSE THAN AVERAGE 5. HE DID MUCH WORSE THAN AVERAGE 6. ANY OTHER ANSWER 0. NO ANSWER 
S100E.Q27. HOW MANY OF THE NON-COMS IN YOUR OUTFIT ARE THE KIND YOU WOULD WANT TO SERVE UNDER IN COMBA?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S100E.Q28A. HOW MANY OF THE OFFICERS IN YOUR COMPANY ARE THE KIND YOU WOULD WANT TO SERVE UNDER IN COMBA?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
S100E.Q28B. HOW MANY OF YOUR COMPANY OFFICERS ARE THE KIND WHO ARE WILLING TO GO THROUGH ANYTHING THEY ASK THEIR MEN TO GO THROUG?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 6. NO ANSWER 0. NO CODE OR NO DATA 
S100E.Q28C. HOW MANY OF YOUR OFFICERS TAKE A PERSONAL INTEREST IN THEIR ME?  1. ALL OF THEM DO 2. MOST OF THEM DO 3. ABOUT HALF OF THEM DO 4. FEW OF THEM DO 5. NONE OF THEM DO 0. NO ANSWER 
S100E.Q29. DO YOU EVER GET THE FEELING THAT THIS WAR IS NOT WORTH FIGHTIN?  1. VERY OFTEN 2. SOMETIMES 3. ONLY ONCE IN A GREAT WHILE 4. NEVER 0. NO ANSWER 
S100E.Q30. DO YOU THINK THERE WILL BE ANOTHER WAR IN THE NEXT 25 YEARS OR S?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"S100E.Q31. AFTER THE WAR IS OVER, DO YOU THINK THE UNITED STATES WILL BE A BETTER PLACE OR A WORSE PLACE TO LIVE IN THAN IT WAS BEFORE THE WA?  1. WORSE AFTER THE WAR THAN BEFORE THE WAR 2. SAME AFTER THE WAR AS BEFORE THE WAR 3. BETTER AFTER THE WAR THAN BEFORE THE WAR 4. UNDECIDED 0. NO ANSWER "
"S100E.Q32A. WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE GERMAN?  1. IT WILL NOT BE VERY HARD 2. IT WILL BE A TOUGH JOB, BUT OUR LOSSES WON'T BE HEAVY 3. IT WILL BE A TOUGH JOB, WITH HEAVY LOSSES OF MEN AND EQUIPMENT 0. NO ANSWER "
"S100E.Q32B. WHICH COMES CLOSEST TO YOUR IDEA OF HOW HARD IT IS GOING TO BE TO BEAT THE JAPANES?  1. IT WILL NOT BE VERY HARD 2. IT WILL BE A TOUGH JOB, BUT OUR LOSSES WON'T BE HEAVY 3. IT WILL BE A TOUGH JOB, WITH HEAVY LOSSES OF MEN AND EQUIPMENT 0. NO ANSWER "
S100E.Q33. DO YOU THINK A SOLDIER WITH ABILITY HAS A GOOD CHANCE FOR PROMOTION IN THE ARM?  1. A VERY GOOD CHANCE 2. A FAIRLY GOOD CHANCE 3. NOT MUCH OF A CHANCE 4. NO CHANCE AT ALL 5. UNDECIDED 0. NO ANSWER 
"S100E.Q34. DURING COMBAT, HOW DID YOU FEEL ABOUT NEW REPLACEMENTS WHO CAME IN AS NON-COM?  1. THIS DID NOT HAPPEN IN MY COMPANY 2. I THOUGHT IT WAS O.K. 3. I DID NOT CARE MUCH ONE WAY OR THE OTHER 4. I THOUGHT IT WAS BAD 0. NO ANSWER "
S100E.Q35A. TACTICAL AIR FORC?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S100E.Q35B. MEDICAL TROOP?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S100E.Q35C. QUARTERMASTER TROOP?  1. GOOD 2. POOR 3. NO OPINION 4. NO ANSWER 0. NO CODE OR NO DATA 
S100E.Q35D. ORDNANCE TROOP?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S100E.Q35E. ENGINEER TROOP?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S100E.Q35F. ARTILLER?  1. GOOD 2. POOR 3. NO OPINION 4. NO ANSWER 0. NO CODE OR NO DATA 
S100E.Q35G. TANK?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S100E.Q35H. PARACHUTIST?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S100E.Q35I. MARINE?  1. GOOD 2. POOR 3. NO OPINION 0. NO ANSWER 
S100E.Q36. DID SUPPLIES YOU MUCH WANTED OR NEEDED AT THE FRONT EVER FAIL TO REACH YO?  1. WE USUALLY GOT WHAT WE NEEDED 2. WE OFTEN DID NOT GET WHAT WE NEEDED 3. WE SELDOM GOT WHAT WE NEEDED 0. NO ANSWER 
"S100E.Q37. HAVE YOU LISTENED TO RADIO TOKY? HOW DID YOU FEEL ABOUT THE RADIO PROPAGAND?  1. YES, MOSTLY LIES 2. YES, MOSTLY LIES, BUT MAYBE A LITTLE MORE TRUTH THAN WE CARE TO ADMIT 3. YES, A LOT OF TRUTH IN WHAT THEY SAID 4. YES, NO ANSWER TO ""HOW DID YOU FEEL"" 5. NO 6. NO ANSWER 0. NO CODE OR NO DATA "
"S100E.Q38A. WHAT WOULD YOU LIKE TO SEE HAPPEN TO THE JAPANESE AFTER THE WA?  1. PUNISH THE LEADERS, BUT NOT THE ORDINARY JAPANESE 2. MAKE THE ORDINARY JAPANESE SUFFER PLENTY 3. WIPE OUT THE WHOLE JAPANESE NATION 0. NO ANSWER "
"S100E.Q38B. WHAT WOULD YOU LIKE TO SEE HAPPEN TO THE GERMANS AFTER THE WA?  1. PUNISH THE LEADERS, BUT NOT THE ORDINARY GERMANS 2. MAKE THE ORDINARY GERMAN PEOPLE SUFFER PLENTY 3. WIPE OUT THE WHOLE GERMAN NATION 0. NO ANSWER P. THE OFFICE OF THE SURGEON GENERAL IS INTERESTED IN FINDING OUT FROM MEN LIKE YOURSELF WITH PROVED COMBAT EXPERIENCE, INFORMATION WHICH WILL AID IN SELECTION OF MEN FOR TYPES FOR COMBAT DUTY. WHATEVER YOU MAY THINK OF QUESTIONS 39-48 PLEASE ANSWER THEM SERIOUSLY AND CONSCIENTIOUSLY, AS THE INFORMATION WHEN THEY ARE ALL TABULATED SCIENTIFICALLY WILL BE VALUABLE. "
"S100E.Q39A. ARE YOU EVER BOTHERED BY NERVOUSNES?  1. YES, OFTEN 2. YES, SOMETIMES 3. NO, NEVER 0. NO ANSWER "
S100E.Q39B. DO YOU OFTEN HAVE TROUBLE IN GETTING TO SLEE?  1. VERY OFTEN 2. SOMETIMES 3. ALMOST NEVER 0. NO ANSWER 
"S100E.Q39C. ARE YOU EVER TROUBLED BY YOUR HANDS SWEATING SO THAT THEY FEEL DAMP AND CLAMM?  1. YES, OFTEN 2. YES, SOMETIMES 3. NO, NEVER 0. NO ANSWER "
S100E.Q39D. HOW OFTEN ARE YOU BOTHERED BY HAVING AN UPSET STOMAC?  1. NEARLY ALL THE TIME 2. PRETTY OFTEN 3. NOT VERY OFTEN 4. NEVER 0. NO ANSWER 
"S100E.Q39E. DO YOUR HANDS TREMBLE ENOUGH TO BOTHER YO?  1. YES, OFTEN 2. YES, SOMETIMES 3. NO, NEVER 0. NO ANSWER "
S100E.Q39F. BEFORE YOU CAME INTO THE ARMY DID YOU USUALLY GO AROUND WITH A BUNCH OF OTHERS OR BY YOURSEL?  1. I USUALLY WENT AROUND BY MYSELF 2. I USUALLY WENT AROUND WITH JUST ONE OR TWO OTHERS 3. I USUALLY WENT AROUND WITH A BUNCH OF OTHERS 0. NO ANSWER 
"S100E.Q39G. ON THE WHOLE, BEFORE YOU CAME INTO THE ARMY DID YOU USUALLY LIKE TO BE BY YOURSELF OR WITH OTHER PEOPL?  1. USUALLY LIKED BETTER TO BE BY MYSELF 2. USUALLY LIKED BETTER TO BE WITH OTHER PEOPLE 3. UNDECIDED 0. NO ANSWER X. COL. 80 NOT USED. CARD 2 "
S100E.CARD.  2. CARD TWO 
S100E.DECK.  100. SURVEY NUMBER 
S100E.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S100E.FORM:  1. S-100A 2. S-100B 3. S-100C 4. S-100D 5. S-10XX 6. S-100F 7. S-100G X. Q.39 CONTINUED. 
S100E.Q39H. BEFORE GOING INTO COMBAT WERE YOU EVER A.W.O.L.*  1. YES 2. NO 0. NO ANSWER 
S100E.Q40A. BEING ON HIGH PLACE?  1. VERY MUCH 2. A LITTLE 3. NOT AT ALL 0. NO ANSWER 
S100E.Q40B. BEING SHUT UP IN A ROOM OR CLOSE?  1. VERY MUCH 2. A LITTLE 3. NOT AT ALL 0. NO ANSWER 
S100E.Q40C. FALLIN?  1. VERY MUCH 2. A LITTLE 3. NOT AT ALL 0. NO ANSWER 
S100E.Q40D. SNAKE?  1. VERY MUCH 2. A LITTLE 3. NOT AT ALL 4. NO ANSWER 0. NO CODE OR NO DATA 
S100E.Q40E. BEING CALLED ON TO RECITE IN CLAS?  1. VERY MUCH 2. A LITTLE 3. NOT AT ALL 0. NO ANSWER 
S100E.Q41. HOW DID YOU FEEL ABOUT FIGHTING AS A KI?  1. REALLY LIKED FIGHTING 2. DIDN'T PARTICULARLY LIKE IT OR DISLIKE IT 3. DIDN'T LIKE FIGHTING AT ALL 0. NO ANSWER 
"S100E.Q42. IN GENERAL, DID YOU USUALLY FEEL MORE SCARED BEFORE GOING INTO COMBAT, DURING COMBAT, OR AFTER COMBA?  1. BEFORE GOING INTO COMBAT 2. DURING COMBAT 3. AFTER COMBAT 4. BEFORE, AFTER AND DURING COMBAT 5. UNDECIDED 0. NO ANSWER "
S100E.Q43A. VIOLENT POUNDING OF THE HEAR?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43B. SINKING FEELING IN THE STOMAC?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43C. FEELING OF WEAKNESS OR FEELING FAIN?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43D. FEELING SICK AT THE STOMAC?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43E. COLD SWEA?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43F. VOMITIN?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43G. SHAKING OR TREMBLING ALL OVE?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43H. URINATING IN PANT?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43I. LOSING CONTROL OF BOWEL?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q43J. FEELING OF STIFFNES?  1. OFTEN 2. SOMETIMES 3. ONCE 4. NEVER 0. NO ANSWER 
S100E.Q44A. HAVE YOU BEEN SENT TO A HOSPITAL OR A REST CAMP BECAUSE OF MALARIA SINCE YOU LEFT THE UNITED STATE?  1. YES 2. NO 0. NO ANSWER 
S100E.Q44B. HAVE YOU BEEN SENT TO A HOSPITAL OR REST CAMP BECAUSE OF ANY OTHER SICKNESS SINCE YOU LEFT THE UNITED STATE?  1. YES 2. NO 0. NO ANSWER 
"S100E.Q45. IN YOUR OPINION, WHAT SHOULD BE DONE WITH MEN WHO CRACK UP IN ACTION, MEN WHO GET SHELL-SHOCKED, BLOW THEIR TOPS, GO HAYWIR?  1. MOST OF THEM SHOULD BE TREATED AS SICK MEN 2. MOST OF THEM SHOULD BE TREATED AS COWARDS AND PUNISHED 3. MOST OF THEM SHOULD BE TREATED SOME OTHER WAY 0. NO ANSWER "
S100E.Q46. DID YOU SEE ANY OF YOUR BEST FRIENDS GET KILLED IN COMBA?  1. YES 2. NO 0. NO ANSWER X. QUESTIONS 47A AND 47B NOT CODED. 
S100E.Q48A. DO YOU THINK YOU WERE IN TOUGH ENOUGH PHYSICAL CONDITION AT THE TIME YOU WENT INTO YOUR FIRST BATTL?  1. YES 2. NO 3. UNDECIDED 4. NO ANSWER 0. NO CODE OR NO DATA 
"S100E.Q48B. IN GENERAL, WHAT SORT OF PHYSICAL CONDITION WOULD YOU SAY YOU ARE IN AT THE PRESENT TIM?  1. VERY GOOD PHYSICAL CONDITION 2. GOOD PHYSICAL CONDITION 3. FAIR PHYSICAL CONDITION 4. POOR PHYSICAL CONDITION 5. VERY POOR PHYSICAL CONDITION 0. NO ANSWER "
S100E.Q49A. DO YOU THINK THE ARMY TRIED HARD ENOUGH TO GET GOOD FOOD TO YOU AT THE BATTLE FRON?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
S100E.Q49B. DO YOU THINK THE ARMY TRIED HARD ENOUGH TO GET MAIL REGULARLY TO YOU AT THE BATTLE FRON?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"S100E.Q50A. WHEN THE GOING WAS TOUGH, HOW MUCH DID IT HELP YOU TO THINK THAT YOU HAD TO FINISH THE JOB IN ORDER TO GET HOME AGAI?  1. IT HELPED A LOT 2. IT HELPED SOME 3. IT HELPED A LITTLE 4. IT DID NOT HELP AT ALL 5. I DIDN'T THINK OF IT 6. NO ANSWER 0. NO CODE OR NO DATA "
"S100E.Q50B. WHEN THE GOING WAS TOUGH, HOW MUCH DID IT HELP YOU TO THINK THAT YOU COULDN'T LET THE OTHER MEN DOW?  1. IT HELPED A LOT 2. IT HELPED SOME 3. IT HELPED A LITTLE 4. IT DID NOT HELP AT ALL 5. I DIDN'T THINK OF IT 6. NO ANSWER 0. NO CODE OR NO DATA "
"S100E.Q50C. WHEN THE GOING WAS TOUGH, HOW MUCH DID IT HELP YOU TO THINK OF WHAT WE ARE FIGHTING FO?  1. IT HELPED A LOT 2. IT HELPED SOME 3. IT HELPED A LITTLE 4. IT DID NOT HELP AT ALL 5. I DIDN'T THINK OF IT 0. NO ANSWER "
"S100E.Q50D. WHEN THE GOING WAS TOUGH, HOW MUCH WERE YOU HELPED BY THOUGHTS OF HATRED FOR THE ENEM?  1. THEY HELPED A LOT 2. THEY HELPED SOME 3. THEY HELPED A LITTLE 4. THEY DID NOT HELP AT ALL 5. I DIDN'T HAVE SUCH THOUGHTS 6. NO ANSWER 0. NO CODE OR NO DATA "
"S100E.Q50E. WHEN THE GOING WAS TOUGH, HOW MUCH DID PRAYER HELP YO?  1. IT HELPED A LOT 2. IT HELPED SOME 3. IT HELPED A LITTLE 4. IT DID NOT HELP AT ALL 5. I DIDN'T THINK OF IT 0. NO ANSWER X. QUESTIONS 51A, 51B AND 51C NOT CODED. "
S100E.Q51D. HOW SATISFIED ARE YOU ABOUT BEING IN YOUR PRESENT ARMY JOB INSTEAD OF SOME OTHER ARMY JO?  1. VERY SATISFIED 2. SATISFIED 3. IT DOESN'T MAKE ANY DIFFERENCE TO ME 4. DISSATISFIED 5. VERY DISSATISFIED 0. NO ANSWER 
