CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.15..1,Q.16A.,Q.16B.,Q.16C.,Q.16D.,Q.16E.,Q.16F.,Q.16G.,Q.16H.,Q.17A.,Q.17B.,Q.18.,Q.19.,Q.20A.,Q.21.,Q.22.,Q.23.,Q.24.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.30E.,Q.30F.,Q.30G.,Q.30H.,Q.30I.,Q.30J.,Q.30K.,Q.31A.,Q.31B.,Q.31C.,Q.31D.,Q.31E.,Q.31F.,Q.31G.,Q.32.,Q.33A.,Q.33B.,Q.34.,Q.35A.,Q.35B.,Q.36.,Q.37.,Q.38.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.39.,Q.40.,Q.41.,Q.42.,Q.43A.,Q.43B.,Q.44A.,Q.44B.,Q.45.,Q.46.,Q.48A.,Q.48B.,Q.49A.,Q.49B.,Q.50.,Q.51A.,Q.51B.,Q.52A.,Q.52B.,Q.53A.,Q.53B.,Q.54A.,Q.54B.,Q.55A.,Q.55B.,Q.56A.,Q.56B.,Q.57.,Q.58A.,Q.58B.,Q.59A.,Q.59B.,Q.60A.,Q.60B.,Q.61A.,Q.62A.,Q.62B.,Q.63A.,Q.63B.,Q.64A.,Q.64B.,Q.65A.,Q.65B.,Q.66A.,Q.66B.,Q.67A.,Q.67B.,Q.68.,Q.69A.,Q.69B.,V.71.,V.72.,V.73.,V.74.,V.75.,V.76.
1,211,15,2,4,1,3,18,2,1,8,1,3,8,1,1,1,1,0,2,2,4,2,3,2,2,2,1,1,1,4,4,4,2,3,2,3,1,3,2,1,1,1,1,2,1,2,1,1,1,1,1,2,3,2,2,1,1,2,2,3,2,2,1,3,2,1,1,2,211,15,2,2,1,5,3,2,2,2,2,66,3,1,3,3,3,2,3,5,1,5,3,3,3,3,1,3,2,2,2,2,4,1,5,1,2,1,3,5,3,5,1,2,2,3,2,2,2,0,3,2,3,1,5,11,2,2,95
1,211,16,2,4,2,4,21,4,1,6,1,10,0,1,1,1,1,6,2,2,2,2,2,2,1,2,2,3,3,4,4,4,1,3,1,3,1,3,2,2,1,1,1,3,1,3,2,1,3,3,1,2,3,4,3,1,1,3,3,2,2,2,4,2,2,2,2,2,211,16,2,3,4,1,3,2,2,2,2,65,3,3,3,1,2,2,2,3,2,3,2,2,2,3,2,2,2,4,3,5,4,3,5,0,0,0,0,0,2,3,1,1,1,3,1,1,1,2,2,5,3,4,0,8,2,2,386
1,211,17,2,4,1,4,20,4,1,9,1,1,7,1,1,1,1,6,5,2,3,2,2,1,2,2,2,3,1,4,4,4,2,4,3,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,3,2,3,2,2,1,1,2,1,1,2,211,17,2,2,2,1,1,2,3,2,3,60,1,1,4,1,2,1,3,5,2,2,3,3,3,2,3,2,2,4,3,2,3,1,3,1,2,1,3,5,2,5,3,1,3,1,2,1,2,0,3,5,3,2,3,7,2,2,349
1,211,18,2,4,2,5,19,2,1,8,1,3,8,1,1,1,1,6,3,1,3,3,3,2,2,2,2,3,3,4,4,4,2,3,2,3,1,3,2,1,1,1,1,2,1,2,3,1,1,1,1,2,3,3,3,1,1,3,3,3,2,2,2,2,1,1,2,2,211,18,2,2,4,1,3,2,3,2,3,64,2,1,5,1,1,1,1,4,2,4,2,1,2,2,2,1,2,4,1,2,3,1,5,1,1,1,2,1,2,1,2,2,1,1,2,2,2,0,3,2,2,5,4,9,2,2,340
1,211,19,2,4,2,4,23,2,1,8,1,1,7,1,1,1,1,6,2,1,3,2,3,3,2,2,1,3,1,4,4,4,2,4,3,4,1,3,2,1,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,1,3,4,3,3,2,1,3,1,1,3,2,211,19,2,2,4,1,3,1,3,1,3,64,1,1,3,1,2,1,2,3,2,3,2,2,2,2,2,1,3,4,2,2,3,1,3,1,2,1,1,3,2,3,2,2,1,2,2,2,1,1,2,2,3,5,4,10,2,2,255
1,211,20,2,4,2,4,33,2,1,10,1,4,10,1,1,1,1,6,2,2,4,3,3,2,2,1,1,3,1,4,4,4,2,3,2,2,2,3,2,1,1,1,1,3,1,1,1,1,3,1,1,4,2,2,2,1,1,2,3,3,4,2,3,2,5,3,5,2,211,20,2,2,4,4,1,5,1,5,1,94,3,1,4,1,1,1,2,4,2,4,2,2,3,1,2,1,2,4,3,2,3,1,5,1,1,1,3,5,2,4,2,2,3,2,2,2,1,1,3,2,4,4,4,13,2,2,64
1,211,21,2,4,2,4,32,1,1,11,1,3,8,1,1,1,1,6,2,2,3,2,2,2,2,2,2,3,0,4,4,4,1,3,1,2,3,3,2,2,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,3,3,3,3,2,2,2,3,1,1,2,2,211,21,2,2,4,6,3,1,3,2,3,94,2,3,0,1,2,2,2,3,2,3,2,2,1,3,2,2,3,4,2,2,3,3,5,3,3,1,2,3,2,3,3,3,3,0,2,2,1,1,2,5,3,3,1,8,2,2,171
1,211,22,2,4,2,3,24,4,1,7,1,1,6,1,1,1,2,6,2,1,3,2,3,2,1,2,2,3,3,4,4,4,2,4,3,3,1,3,1,1,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,3,3,3,3,3,2,2,3,2,1,2,2,211,22,2,2,3,6,1,2,3,2,3,94,2,2,5,2,1,3,2,3,2,4,1,1,1,3,2,2,3,4,2,2,3,3,1,3,3,3,2,3,3,5,3,3,3,3,2,2,2,0,3,2,3,1,2,9,2,5,208
1,211,23,2,4,3,4,19,2,1,7,1,3,9,1,1,1,1,6,3,1,2,1,1,2,3,3,3,3,3,4,4,4,2,1,1,4,3,1,1,2,2,1,1,2,1,2,3,1,3,1,1,2,2,2,2,1,4,2,3,2,3,2,1,3,2,3,2,2,211,23,2,0,1,1,4,2,3,2,3,94,3,1,4,1,1,2,2,3,2,3,2,2,3,3,2,2,2,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,2,5,91
1,211,24,2,4,3,4,69,1,1,10,1,2,8,1,1,1,1,6,2,3,3,3,3,3,1,1,1,3,3,4,4,4,2,2,3,3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,2,2,1,1,3,3,3,4,2,3,2,2,1,2,2,211,24,2,2,1,1,3,1,3,2,3,94,1,1,5,1,1,1,3,4,3,4,3,3,2,3,2,2,1,1,3,2,3,3,4,3,2,1,2,4,2,4,2,3,2,2,2,2,1,1,3,2,4,7,7,15,1,2,286
1,211,25,2,4,3,5,38,4,1,6,1,10,0,1,1,1,1,6,1,1,3,3,1,1,1,1,1,3,3,4,4,4,1,3,0,1,1,3,2,3,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,3,3,3,3,4,2,2,3,3,1,3,2,211,25,2,2,4,4,4,2,3,2,3,94,2,2,5,2,1,1,3,4,1,5,1,1,1,3,1,1,2,4,2,3,3,3,3,2,2,1,3,4,1,3,1,2,1,3,1,2,1,3,2,3,3,0,0,9,2,2,407
1,211,26,2,4,3,4,21,2,1,9,1,2,6,1,1,1,1,0,3,3,4,3,2,2,1,1,1,3,3,4,4,4,2,3,3,3,3,3,2,1,2,1,1,2,1,2,2,1,1,1,1,2,3,3,3,1,3,2,3,2,3,2,2,3,2,1,2,2,211,26,2,1,3,1,2,2,2,3,3,58,1,1,4,1,1,2,2,4,2,4,2,1,2,3,2,1,2,4,3,5,3,1,5,1,1,3,2,4,3,5,2,1,2,3,2,1,2,0,2,5,3,5,6,14,2,2,256
1,211,27,2,4,1,3,18,2,1,6,1,1,8,1,1,1,1,0,3,2,3,3,3,2,2,2,2,1,1,4,4,4,2,4,1,4,1,3,2,3,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,3,2,2,2,3,2,1,2,2,211,27,2,2,2,1,3,2,3,2,3,56,2,1,4,1,2,1,2,4,2,4,2,2,1,3,2,2,2,4,1,2,3,1,5,1,1,1,2,4,3,4,2,2,2,3,2,1,2,0,3,2,4,4,6,10,2,2,399
1,211,28,2,4,2,4,19,4,1,9,1,1,4,1,1,1,1,6,3,1,3,2,3,2,2,1,2,3,3,4,4,4,1,4,3,3,1,2,2,1,2,1,1,2,1,2,2,1,3,1,1,2,3,2,2,1,1,3,3,3,3,2,2,3,2,1,1,2,211,28,2,2,3,0,2,2,3,2,3,50,3,1,4,1,1,1,3,4,2,4,3,2,3,2,2,2,3,1,2,2,3,1,4,1,2,1,3,4,2,4,2,2,1,2,2,2,2,0,1,5,4,3,4,9,2,2,393
1,211,29,2,4,2,4,27,4,1,9,1,1,7,1,1,1,1,6,2,2,4,2,3,2,1,1,1,3,3,4,4,4,1,4,3,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,3,2,2,1,1,2,2,2,3,2,2,3,2,1,2,2,211,29,2,2,3,1,2,2,3,2,3,75,3,3,4,2,2,1,3,4,2,3,1,2,1,2,2,2,2,4,2,5,3,3,3,2,2,1,3,4,3,4,3,2,1,2,3,3,2,0,2,5,4,1,1,13,2,2,251
1,211,30,2,4,1,4,16,2,1,6,1,3,9,1,1,1,1,6,3,2,4,2,3,2,1,2,1,3,3,4,4,4,1,2,2,2,1,3,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,3,1,1,1,3,3,4,2,4,3,1,1,1,2,211,30,2,2,4,1,3,1,4,1,4,70,2,1,4,1,1,1,2,3,2,3,2,1,1,1,2,1,2,4,2,2,2,1,3,1,1,1,2,3,2,3,2,1,1,2,2,1,2,0,3,0,6,4,4,12,2,2,405
1,211,31,2,4,3,4,24,4,1,7,1,3,9,1,1,1,1,6,3,2,2,2,2,2,2,2,2,3,1,4,4,4,2,4,3,3,1,3,2,2,2,1,1,3,1,2,3,1,3,1,1,2,3,2,3,1,3,3,3,3,3,2,3,3,1,1,2,2,211,31,2,2,4,4,3,2,3,2,4,78,3,1,4,1,1,1,3,5,3,5,2,2,1,3,3,2,2,4,2,2,1,3,3,3,3,1,2,3,2,4,3,3,1,3,3,3,2,0,3,5,1,4,0,7,2,2,345
1,211,32,2,4,4,3,26,4,1,8,1,1,6,1,1,1,3,1,3,1,2,2,3,2,3,1,1,3,3,4,4,4,2,3,2,2,3,3,2,1,1,1,1,2,1,1,1,1,2,1,1,3,3,2,3,3,3,3,3,3,3,2,2,3,1,1,1,2,211,32,2,3,5,4,1,1,4,1,4,74,1,1,5,1,2,3,2,3,2,3,2,2,1,2,2,2,2,4,2,2,3,1,4,1,1,1,2,3,2,3,2,1,2,3,2,1,2,0,2,2,3,7,7,8,1,2,367
1,211,33,2,4,2,5,33,4,1,10,1,2,7,1,1,1,1,6,2,3,3,2,3,2,2,1,2,3,1,4,4,4,1,3,1,1,1,3,2,2,2,1,1,2,1,2,2,1,2,1,1,2,3,2,3,1,3,3,3,3,4,2,2,4,2,1,2,2,211,33,2,2,4,3,3,2,3,2,3,77,2,1,5,1,1,1,3,5,2,4,2,2,2,3,2,1,2,1,3,2,3,1,4,1,2,1,3,5,2,4,2,1,3,3,3,0,2,0,3,2,4,5,3,11,2,2,198
1,211,34,2,4,2,3,19,4,1,7,1,3,8,1,1,1,2,1,3,2,3,2,3,2,2,2,1,3,3,4,4,4,2,4,1,2,1,3,1,2,2,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,3,3,2,2,3,2,2,3,1,1,1,2,211,34,2,3,4,1,3,2,4,1,4,75,1,1,5,1,1,2,2,5,2,5,2,2,2,1,2,1,1,1,3,1,4,1,5,1,1,3,1,5,3,5,2,1,2,3,2,1,2,0,3,1,5,7,7,10,1,2,461
1,211,35,2,4,2,5,30,4,1,11,1,2,7,1,1,1,1,6,2,3,3,3,3,3,1,1,1,3,1,4,4,4,2,4,2,2,1,3,2,1,1,1,1,2,1,2,2,2,2,1,1,2,3,4,3,1,1,3,3,3,4,2,4,3,2,1,2,2,211,35,2,2,4,4,3,2,3,2,3,73,1,1,5,1,1,1,3,4,2,4,2,1,2,3,2,1,2,4,3,2,3,1,4,1,2,1,3,5,2,4,2,2,2,3,2,1,2,0,3,2,4,5,5,15,2,2,311
1,211,36,2,4,2,4,34,1,1,7,1,3,8,1,1,1,1,6,4,3,3,3,3,3,2,2,1,3,1,4,4,4,1,4,3,3,2,3,2,2,2,1,1,2,2,1,1,2,1,2,2,2,3,2,3,1,3,3,3,3,2,2,1,3,1,2,1,2,211,36,2,3,3,1,3,2,4,2,3,79,2,1,3,1,2,2,3,5,1,5,2,1,3,3,2,1,1,1,3,5,1,1,3,1,2,1,3,3,2,3,1,1,1,3,2,2,1,2,3,5,3,4,3,13,2,2,342
1,211,37,2,4,2,2,24,4,1,7,1,3,9,1,1,1,1,6,2,1,2,2,2,2,1,1,1,3,1,4,4,4,2,4,2,3,3,3,1,1,1,1,1,3,1,3,1,3,3,1,1,2,3,3,3,1,1,2,3,2,3,2,4,3,2,1,1,2,211,37,2,2,3,5,3,5,1,2,2,74,3,1,5,1,1,3,3,5,2,5,3,1,3,3,2,1,2,4,3,5,4,1,5,1,1,1,3,5,2,4,3,1,3,3,2,1,2,0,3,5,3,7,7,9,1,2,361
1,211,38,2,4,2,5,30,4,1,8,1,3,9,1,1,1,1,6,4,1,2,1,1,1,2,2,2,3,1,4,4,4,1,3,3,2,1,3,1,2,1,1,1,2,1,2,2,1,2,1,1,2,3,3,4,1,1,3,2,3,4,2,2,3,2,1,2,2,211,38,2,2,1,4,3,2,3,2,3,80,3,1,2,3,3,1,3,4,1,4,1,2,1,3,2,2,2,4,2,5,3,1,3,2,1,1,2,5,2,4,1,1,1,3,2,2,2,0,2,3,4,2,2,3,2,2,346
1,211,39,2,4,2,3,31,2,1,10,1,2,8,1,1,1,1,6,1,2,3,3,2,2,2,1,1,1,3,4,4,4,3,3,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,3,2,4,2,1,3,2,3,3,4,2,3,2,2,3,3,2,211,39,2,2,2,3,1,5,3,5,3,80,3,1,3,1,2,1,3,4,2,3,2,2,1,3,2,2,3,4,3,5,3,1,3,1,2,1,2,4,2,4,3,3,1,2,2,2,2,0,2,2,3,4,3,11,2,2,265
1,211,40,2,4,4,3,32,4,1,6,1,3,9,1,1,1,1,6,3,2,3,2,2,2,1,2,1,3,3,4,4,4,1,4,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,1,3,3,3,4,5,2,2,3,2,1,2,2,211,40,2,2,4,6,1,2,3,2,3,80,2,3,2,1,2,1,3,4,2,4,2,2,3,3,2,1,2,4,3,2,3,2,4,2,1,1,3,4,2,3,1,2,1,2,3,3,1,2,3,5,3,3,0,10,2,2,217
1,211,41,2,4,2,5,44,2,1,12,1,5,9,1,1,1,1,6,2,2,2,2,3,2,2,1,1,3,1,4,4,4,1,4,1,1,1,3,0,1,2,1,1,2,1,2,2,1,1,1,1,2,3,3,3,1,3,3,2,2,2,2,3,1,1,2,1,2,211,41,2,0,4,1,3,1,4,1,4,81,2,2,5,0,3,1,2,5,1,5,1,1,1,3,2,2,2,4,2,3,3,1,4,1,1,2,3,5,2,4,2,2,0,0,2,2,1,1,3,2,4,7,7,10,1,2,437
1,211,42,2,4,2,4,30,1,1,7,1,3,9,1,1,1,1,6,3,1,1,1,3,2,2,2,2,3,3,4,4,4,1,4,1,1,1,2,1,2,2,1,1,1,1,1,1,1,0,1,1,2,2,2,2,1,1,3,2,3,4,2,2,4,2,3,2,2,211,42,2,2,5,1,3,2,4,2,4,81,2,1,5,1,1,1,2,5,2,5,1,1,1,3,2,1,2,4,2,2,4,1,5,1,1,1,2,5,2,5,3,0,3,3,2,1,2,0,2,2,5,7,7,6,1,2,294
1,211,43,2,4,2,4,28,4,1,9,1,2,7,1,1,1,1,6,3,2,4,3,3,3,1,1,1,3,3,4,4,4,1,4,1,2,1,3,2,1,1,1,1,3,1,1,3,1,1,1,1,2,3,2,3,1,3,3,3,3,3,2,1,3,1,1,1,2,211,43,2,3,4,1,3,2,3,2,3,82,2,1,4,1,1,3,2,3,1,2,2,1,2,3,2,1,2,4,3,2,3,1,4,1,1,3,2,4,3,4,2,2,2,3,2,2,2,0,3,2,4,5,6,15,2,2,131
1,211,44,2,4,2,4,30,4,1,11,1,4,9,1,1,1,1,6,3,2,3,3,3,3,1,2,1,3,3,4,4,4,2,3,2,2,1,3,1,1,1,1,1,3,1,2,2,1,2,1,1,2,3,3,3,1,1,3,2,3,2,2,2,3,1,1,1,2,211,44,2,2,4,1,3,2,3,2,3,83,3,1,4,1,2,1,2,3,2,3,1,3,1,3,2,2,2,4,2,5,0,1,3,1,2,3,2,3,2,3,3,3,2,3,2,2,2,0,3,3,5,3,4,13,2,2,341
1,211,45,2,4,2,4,32,2,1,8,1,3,9,1,1,1,1,6,2,2,3,2,3,2,2,2,1,3,3,4,4,4,1,3,2,1,1,3,2,1,3,1,1,2,1,2,2,1,2,1,1,2,3,3,3,1,1,3,4,2,2,2,2,3,1,1,1,2,211,45,2,3,3,1,3,1,4,1,4,84,3,1,4,3,3,3,1,3,2,3,3,3,3,3,3,3,2,4,3,5,1,1,5,1,2,2,1,1,2,3,2,2,3,3,3,3,1,1,3,5,1,1,3,10,2,2,56
1,211,46,2,4,2,4,28,4,1,11,1,4,7,1,1,1,1,6,2,1,4,3,2,2,1,1,1,3,3,4,4,4,2,4,3,2,1,3,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,3,1,3,2,2,3,4,3,1,3,2,1,1,2,211,46,2,2,3,1,3,2,2,2,2,73,3,1,3,1,1,1,3,3,3,4,2,1,2,1,2,1,1,1,2,1,3,1,5,1,1,1,3,5,3,5,2,1,2,3,2,3,1,1,3,2,3,6,6,12,2,2,44
1,211,47,2,4,1,4,18,4,1,8,1,3,8,1,1,1,1,6,1,1,4,3,3,2,1,1,1,3,1,4,4,4,2,4,3,4,2,3,2,1,2,1,1,2,1,2,1,1,2,1,1,2,3,2,2,1,3,3,2,3,3,3,1,4,2,1,1,2,211,47,2,2,2,1,3,2,4,2,3,65,1,1,4,1,2,2,1,5,3,5,2,1,1,3,2,1,2,4,3,1,4,1,5,1,1,1,2,4,3,5,1,1,1,1,1,1,2,1,1,1,1,5,3,13,2,2,163
1,211,48,2,4,2,4,28,4,1,12,1,2,7,1,1,1,1,6,3,2,2,3,2,2,2,2,2,3,3,4,4,4,2,3,3,3,1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,3,2,1,2,2,211,48,2,2,2,3,3,2,3,2,3,75,1,1,3,1,2,1,2,3,2,3,1,2,1,3,2,2,1,2,3,2,3,1,2,2,1,1,2,4,2,4,1,2,1,3,2,2,1,2,3,2,2,3,2,8,2,2,183
