S0112.CARD.  1. CARD ONE 
"S0112.Q37. DO YOU THINK THAT MOST OF THE MEN IN YOUR COMPANY WOULD ""GO TO BAT"" FOR THEIR NONCOM?  1. YES, THEY WOULD DO MOST ANYTHING FOR THEM 2. YES, THEY WOULD PROBABLY ""GO TO BAT"" FOR THEM 3. I DOUBT IF THEY WOULD 4. I AM PRETTY SURE THEY WOULD NOT 5. NO ANSWER 0. NO CODE OR NO DATA "
"S0112.Q38. DO YOU THINK THAT MOST OF THE MEN IN YOUR COMPANY WOULD ""GO TO BAT"" FOR THEIR OFFICER?  1. YES, THEY WOULD DO MOST ANYTHING FOR THEM 2. YES, THEY WOULD PROBABLY ""GO TO BAT"" FOR THEM 3. I DOUBT IF THEY WOULD 4. I AM PRETTY SURE THEY WOULD NOT 5. NO ANSWER 0. NO CODE OR NO DATA "
S0112.Q39. DO YOU THINK YOUR OFFICERS ARE INTERESTED IN WHAT YOU THINK AND HOW YOU FEEL ABOUT THING?  1. VERY MUCH INTERESTED 2. FAIRLY INTERESTED 3. SLIGHTLY INTERESTED 4. THEY DON'T SEEM TO CARE ONE WAY OR ANOTHER 5. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q40. DO YOU THINK YOUR NON-COMS ARE INTERESTED IN WHAT YOU THINK AND HOW YOU FEEL ABOUT THING?  1. VERY MUCH INTERESTED 2. FAIRLY INTERESTED 3. SLIGHTLY INTERESTED 4. THEY DON'T SEEM TO CARE ONE WAY OR ANOTHER 5. NO ANSWER 0. NO CODE OR NO DATA 
"S0112.Q41. WHICH OF THE FOLLOWING STATEMENTS BEST TELLS THE WAY YOU FEEL ABOUT GETTING INTO AN ACTUAL BATTLE ZON?  1. I WANT VERY MUCH TO GET INTO IT JUST AS SOON AS POSSIBLE 2. I'M READY TO GO ANYTIME 3. I'D LIKE TO GO BEFORE IT'S OVER BUT I DON'T THINK I'M READY YET 4. I HOPE I WON'T HAVE TO GO, BUT IF I DO I THINK I'LL DO ALRIGHT 5. I HOPE I WON'T HAVE TO GO BECAUSE I DON'T THINK I WOULD DO VERY WELL 6. NO OPINION 7. NO ANSWER 0. NO CODE OR NO DATA "
S0112.Q42. IF AND WHEN YOU GET INTO COMBAT HOW WELL DO YOU THINK YOU WILL STAND UP UNDER BATTLE CONDITION?  1. VERY WELL 2. FAIRLY WELL 3. NOT VERY WELL 4. NOT WELL AT ALL 5. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q43. DO YOU THINK THE MEN IN YOUR PLATOON HAVE BEEN GIVEN ENOUGH TRAINING AND EXPERIENCE SO THAT THEY COULD DO A GOOD JOB OF TAKING CHARGE OF A GROUP OF MEN ON THEIR OWN IN COMBA?  1. MOST OF THEM HAVE BEEN GIVEN ENOUGH TRAINING 2. ABOUT HALF OF THEM HAVE BEEN GIVEN ENOUGH TRAINING 3. FEW OF THEM HAVE BEEN GIVEN ENOUGH TRAINING 0. NO ANSWER 
S0112.Q44. HOW ABOUT YOURSELF - DO YOU THINK YOU HAVE BEEN GIVEN ENOUGH TRAINING AND EXPERIENCE SO THAT YOU COULD DO A GOOD JOB OF TAKING CHARGE OF A GROUP OF MEN ON YOUR OWN IN COMBA?  1. HAVE BEEN GIVEN ENOUGH TRAINING AND EXPERIENCE 2. HAVE NOT BEEN GIVEN QUITE ENOUGH TRAINING AND EXPERIENCE 3. HAVE NOT BEEN GIVEN NEARLY ENOUGH TRAINING AND EXPERIENCE 0. NO ANSWER 
S0112.Q45. IF YOUR SQUAD OR PLATOON WERE TO GET SEPARATED FROM YOUR OFFICERS IN COMBAT HOW GOOD A JOB DO YOU THINK THE MEN WOULD BE ABLE TO DO IN GOING AHEAD AND CARRYING OUT THEIR MISSIO?  1. A VERY GOOD JOB 2. A FAIRLY GOOD JOB 3. DON'T THINK THEY WOULD DO VERY GOOD 0. NO ANSWER 
S0112.Q46A. DO YOU FEEL THAT YOU ARE NOW TRAINED AND READY FOR COMBAT OR DO YOU NEED MORE TRAININ?  1. I'M READY FOR COMBAT NOW 2. I NEED A LITTLE MORE OF SOME KINDS OF TRAINING 3. I NEED A LOT MORE OF SOME KINDS OF TRAINING 4. NO ANSWER 0. NO CODE OR NO DATA X. QUESTION 46B NOT CODED. 
"S0112.Q47. WHICH OF THE FOLLOWING BEST DESCRIBED YOUR OWN FEELING ABOUT GETTING INTO COMBAT AGAINST THE GERMAN?  1. I WANT TO GET IN AND AM JUST WAITING FOR THE CHANCE 2. DON'T CARE ABOUT COMBAT, BUT WOULD PREFER IT TO PRESENT SET-UP 3. HOPE I DON'T HAVE TO GET INTO COMBAT 0. NO ANSWER "
"S0112.Q48. IF YOU WERE GIVEN A SQUAD OF MEN AND TOLD TO TAKE CHARGE OF THEM ALL BY YOURSELF IN A COMBAT MISSION UNDER ENEMY FIRE, HOW WELL DO YOU THINK YOU WOULD D?  1. VERY WELL 2. FAIRLY WELL 3. NOT VERY WELL 0. NO ANSWER "
S0112.Q49. HOW MANY OF THE MEN IN YOUR PLATOON DO YOU THINK WOULD DO A GOOD JOB IF THEY WERE GIVEN A SQUAD OF MEN AND TOLD TO TAKE CHARGE OF THEM IN A COMBAT MISSION UNDER ENEMY FIR?  1. ALL OF THEM 2. MOST OF THEM 3. ABOUT HALF OF THEM 4. FEW OF THEM 5. NONE OF THEM 6. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q50. HOW MANY OF THE OFFICERS IN YOUR COMPANY ARE THE KIND YOU WOULD WANT TO SERVE UNDER IN COMBA?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 6. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q51. HOW MANY OF THE NON-COMS IN YOUR COMPANY ARE THE KIND YOU WOULD WANT TO SERVE UNDER IN COMBA?  1. ALL OF THEM ARE 2. MOST OF THEM ARE 3. ABOUT HALF OF THEM ARE 4. FEW OF THEM ARE 5. NONE OF THEM ARE 0. NO ANSWER 
"S0112.Q52. DO YOU FEEL THE MOST DESERVING MEN USUALLY GET THE BEST ""BREAKS"" IN YOUR OUTFI?  1. ALWAYS 2. USUALLY 3. ABOUT HALF THE TIME 4. RARELY 5. NEVER 0. NO ANSWER "
"S0112.Q53. WHEN YOU ARE GIVEN A JOB TO DO, ARE YOU TOLD ENOUGH ABOUT IT SO THAT YOU CAN DO A GOOD JO?  1. ALWAYS TOLD ENOUGH 2. USUALLY TOLD ENOUGH 3. OFTEN NOT TOLD ENOUGH 4. ALMOST NEVER TOLD ENOUGH 0. NO ANSWER "
S0112.Q54. HOW WELL DO YOU THINK YOUR NON-COMS KNOW THEIR STUF?  1. VERY WELL 2. FAIRLY WELL 3. NOT SO WELL 4. NOT WELL AT ALL 0. NO ANSWER 
S0112.Q55. HOW WELL DO YOU THINK YOUR OFFICERS KNOW THEIR STUF?  1. VERY WELL 2. FAIRLY WELL 3. NOT SO WELL 4. NOT WELL AT ALL 0. NO ANSWER 
S0112.Q56. ARE YOU USUALLY TOLD WHY THE THINGS YOU DO AND THE THINGS THAT ARE DONE IN YOUR OUTFIT ARE NECESSAR?  1. ALMOST ALWAYS 2. USUALLY 3. ABOUT HALF THE TIME 4. USUALLY NOT 0. NO ANSWER 
S0112.Q57. HOW EASY DO YOU FEEL IT IS TO GET SUGGESTIONS BROUGHT TO THE ATTENTION OF THOSE IN YOUR COMPANY WHO COULD PUT THEM TO US?  1. VERY EASY 2. QUITE EASY 3. NOT VERY EASY 4. VERY DIFFICULT 5. DON'T KNOW 0. NO ANSWER 
S0112.Q58. WHEN YOU DO A PARTICULARLY GOOD JOB DO YOU USUALLY GET RECOGNITION OR PRAISE FOR I?  1. ALWAYS 2. USUALLY 3. RARELY 4. NEVER 0. NO ANSWER 
S0112.Q59. WHEN A MAN IN YOUR OUTFIT MAKES A GOOD SUGGESTION DOES HE USUALLY GET THE CREDIT HE DESERVE?  1. ALWAYS 2. MOST OF THE TIME 3. ABOUT HALF THE TIME 4. SELDOM 5. NEVER 0. NO ANSWER 
"S0112.Q60. DO TOO MANY OF THE THINGS YOU HAVE TO DO SEEM UNNECESSARY FOR MAKING YOUR OUTFIT A BETTER FIGHTING UNI?  1. ALMOST ALL OF THEM SEEM NECESSARY 2. SOME, BUT NOT TOO MANY, SEEM UNNECESSARY 3. TOO MANY SEEM UNNECESSARY 4. FAR TOO MANY SEEM UNNECESSARY 0. NO ANSWER "
"S0112.Q61. WHEN PROMOTIONS ARE MADE IN THE COMPANY, HOW OFTEN DO THEY GO TO THE MEN WHO DESERVE THEM MOS?  1. RARELY OR NEVER 2. SOMETIMES 3. ABOUT HALF THE TIME 4. USUALLY 5. ALWAYS 0. NO ANSWER "
S0112.Q62. DO YOU THINK THOSE WHO RECOMMEND AND DECIDE ON PROMOTIONS IN YOUR COMPANY REALLY KNOW WHICH MEN ARE BEST QUALIFIED FOR PROMOTIO?  1. THEY KNOW VERY LITTLE ABOUT IT 2. THEY HAVE A FAIRLY GOOD IDEA 3. THEY HAVE A PRETTY GOOD IDEA 4. THEY KNOW PRETTY WELL 0. NO ANSWER 
"S0112.Q63. WHICH OF THE FOLLOWING DO YOU THINK WOULD BE THE BIGGEST HELP IN GETTING A PROMOTION IN YOUR OUTFI?  1. ABILITY ON THE JOB 2. TIME IN THE ARMY 3. HAVING AN ""IN"" WITH THE RIGHT PEOPLE 4. EDUCATION 5. BEING A CONSCIENTIOUS, HARD WORKER 0. NO ANSWER "
S0112.Q64. IN YOUR OUTFIT WHEN A MAN BREAKS A RULE OR DISOBEYS AN ORDER DOES HE USUALLY GET WHAT HE HAS COMING TO HI?  1. HE GETS MUCH MORE THAN HE SHOULD 2. HE GETS SOMEWHAT MORE THAN HE SHOULD 3. HE GETS ABOUT WHAT HE SHOULD 4. HE GETS SOMEWHAT LESS THAN HE SHOULD 5. HE GETS MUCH LESS THAN HE SHOULD 6. UNDECIDED 0. NO ANSWER 
S0112.Q65. DO YOU THINK YOUR OFFICERS ARE INTERESTED IN YOUR PERSONAL WELFAR?  1. VERY MUCH INTERESTED 2. FAIRLY INTERESTED 3. SLIGHTLY INTERESTED 4. THEY DON'T SEEM TO CARE ONE WAY OR ANOTHER 0. NO ANSWER 
S0112.Q66. DO YOU THINK THAT YOUR NON-COMS ARE INTERESTED IN YOUR PERSONAL WELFAR?  1. VERY MUCH INTERESTED 2. FAIRLY INTERESTED 3. SLIGHTLY INTERESTED 4. THEY DON'T SEEM TO CARE ONE WAY OR ANOTHER 0. NO ANSWER X. QUESTION 67 NOT CODED. 
S0112.Q68. WHAT SORT OF OPINION DO YOU HAVE OF THE ENGLISH PEOPL?  1. VERY FAVORABLE 2. FAIRLY FAVORABLE 3. RATHER UNFAVORABLE 4. VERY UNFAVORABLE 0. NO ANSWER 
S0112.Q69. WHAT SORT OF OPINION DO YOU HAVE OF THE IRISH PEOPL?  1. VERY FAVORABLE 2. FAIRLY FAVORABLE 3. RATHER UNFAVORABLE 4. VERY UNFAVORABLE 5. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q70. AFTER THE WAR DO YOU THINK THAT YOU WILL BE VERY MUCH CONCERNED ABOUT THE MAJOR PROBLEMS THAT FACE GROUPS OF PEOPLE OUTSIDE THE CIRCLE OF YOUR OWN FAMILY AND FRIEND?  1. I WILL NOT BE ESPECIALLY CONCERNED ABOUT SUCH PROBLEMS 2. I WILL PROBABLY HAVE SOME CONCERN ABOUT SUCH PROBLEMS 3. I AM SURE I WILL BE GREATLY CONCERNED ABOUT SUCH PROBLEMS 4. UNDECIDED 0. NO ANSWER 
"S0112.Q71. DO YOU THINK OF ANY GROUP OF PEOPLE IN THE U.S. (WHETHER OCCUPATIONAL, RACIAL, OR RELIGIOUS, ETC.) FOR WHOM YOU FEEL A PARTICULAR DISLIK? IF YES, WHAT GROUP OR GROUP?  1. YES 2. NO 3. NO ANSWER 0. UNDESIGNATED X. CODES FOR SPECIFIC GROUPS NOT PROVIDED BY SURVEY ORGANIZATION. "
S0112.Q72. ARE YOUR MESS FACILITIES AND FOOD ABOUT AS GOOD AS THEY COULD BE UNDER PRESENT CIRCUMSTANCE?  1. ABOUT AS GOOD AS THEY COULD BE 2. COULD BE A BIT BETTER 3. COULD BE A LOT BETTER 0. NO ANSWER X. COL. 80 NOT USED. CARD 2 
S0112.CARD.  2. CARD TWO 
S0112.DECK.  112. SURVEY NUMBER 
S0112.BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
S0112.Q73. ARE YOUR HOUSING AND SANITARY CONDITIONS ABOUT AS GOOD AS THEY COULD BE UNDER PRESENT CIRCUMSTANCE?  1. ABOUT AS GOOD AS THEY COULD BE 2. COULD BE A BIT BETTER 3. COULD BE A LOT BETTER 4. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q74. IS YOUR MEDICAL SERVICE ABOUT AS GOOD AS IT COULD BE UNDER THE CIRCUMSTANCE?  1. ABOUT AS GOOD AS COULD BE 2. COULD BE A BIT BETTER 3. COULD BE A LOT BETTER 0. NO ANSWER 
S0112.Q75. IS YOUR DENTAL SERVICE ABOUT AS GOOD AS IT COULD BE UNDER THE CIRCUMSTANCE?  1. ABOUT AS GOOD AS COULD BE 2. COULD BE A BIT BETTER 3. COULD BE A LOT BETTER 4. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q76. ARE YOU GETTING ABOUT AS MUCH TIME-OFF (FURLOUGHS AND PASSES) AS YOU SHOULD HAVE UNDER PRESENT CIRCUMSTANCE?  1. ABOUT AS MUCH AS WE SHOULD HAVE 2. SHOULD HAVE A BIT MORE 3. SHOULD HAVE A LOT MORE 4. NO ANSWER 0. NO CODE OR NO DATA 
S0112.Q77. IS THE TRANSPORTATION PROVIDED FROM YOUR CAMP TO TOWN ABOUT AS GOOD AS IT COULD BE UNDER PRESENT CIRCUMSTANCE?  1. ABOUT AS GOOD AS IT COULD BE 2. COULD BE A BIT BETTER 3. COULD BE A LOT BETTER 0. NO ANSWER 
S0112.Q78. ARE YOUR RECREATION AND ENTERTAINMENT NEEDS ABOUT AS WELL TAKEN CARE OF AS THEY COULD BE UNDER PRESENT CIRCUMSTANCE?  1. ABOUT AS GOOD AS THEY COULD BE 2. COULD BE A BIT BETTER 3. COULD BE A LOT BETTER 4. NO ANSWER 0. NO CODE OR NO DATA 
"S0112.V79. IDENTIFICATION OF ORGANIZATIONS WITHIN THE FIFTH DIVISION: X. EACH NUMBER IN COLUMN 15 INDICATES A DIFFERENT BATTALION. 1-3 BEING IN THE FIRST REGIMENT, 4-6 IN THE SECOND AND 7-9 IN THE THIRD. THE COMPANIES WITHIN EACH BATTALION ARE NUMBERED 1-4 IN COLUMN 16.  ANP X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. "
S0112.V80. SERIAL NUMBER IDENTIFICATION:  ANP 00.NO CODE OR NO DATA X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS. 
